"","DIA","TIME","IRR","TEMP","MA","PDC"
"1",1,1,7,22.3,0.23668,36.39
"2",1,2,10.3,22.63,0.23672,71.19
"3",1,3,19,23.17,0.2367,136.51
"4",1,4,28.7,24.88,0.23669,211.67
"5",1,5,41.8,26.38,0.23667,322.12
"6",1,6,61.4,27.83,0.23665,481.4
"7",1,7,88.3,29.28,0.23662,698.33
"8",1,8,122,30.43,0.23661,968.76
"9",1,9,159.6,30.84,0.2366,1286.84
"10",1,10,198.7,30.59,0.2366,1637.4
"11",1,11,240.4,30.25,0.23664,2018.22
"12",1,12,287.5,30.51,0.23669,2450.43
"13",1,13,330.1,31.99,0.23672,2839.53
"14",1,14,372.8,32.67,0.23676,3131.76
"15",1,15,418.2,33.48,0.23681,3426.37
"16",1,16,464.5,33.3,0.23686,3827.96
"17",1,17,509.6,32.61,0.23694,4199.94
"18",1,18,549.1,33.05,0.23702,4537.41
"19",1,19,589.1,33.98,0.23708,4876.8
"20",1,20,623.7,33.94,0.23715,5157.85
"21",1,21,669.4,34.73,0.23721,5490.11
"22",1,22,700.9,34.64,0.23727,5751.93
"23",1,23,737.8,35.13,0.23735,6033.43
"24",1,24,779.6,34.9,0.23741,6275.73
"25",1,25,802.6,35.51,0.23748,6494.83
"26",1,26,839.4,35.99,0.23755,6697.99
"27",1,27,854.6,35.73,0.2376,6830.75
"28",1,28,888.6,36.75,0.23766,7081.89
"29",1,29,921.5,37.06,0.2377,7224.93
"30",1,30,942,37.31,0.23774,7352.88
"31",1,31,962.5,36.25,0.23781,7490.45
"32",1,32,1003.8,36.19,0.2379,7757.12
"33",1,33,1051.5,36.03,0.23803,8041.88
"34",1,34,672,34.45,0.23815,5172.3
"35",1,35,855.2,35.77,0.23821,6146.16
"36",1,36,889.3,35.92,0.23828,6767.87
"37",1,37,1149.3,37.15,0.23834,8418.33
"38",1,38,919.4,37.38,0.23839,6538.77
"39",1,39,1168.4,36.93,0.23847,8420.81
"40",1,40,1192.2,36.38,0.23855,8431.91
"41",1,41,575.5,35.87,0.23862,4038.22
"42",1,42,1143.8,36.46,0.23869,7864.4
"43",1,43,1153.7,36.48,0.23878,8245.43
"44",1,44,1115.1,36.42,0.23888,8268.3
"45",1,45,1160.7,37.59,0.23896,8432.97
"46",1,46,711.4,36.19,0.23902,5055.15
"47",1,47,944,36.44,0.23908,7283.36
"48",1,48,1069.4,36.32,0.23919,8043.18
"49",1,49,1044,36.83,0.23927,7783.45
"50",1,50,1063.4,36.68,0.23934,7819.96
"51",1,51,1073.2,37.33,0.23938,7780.25
"52",1,52,1109,37.04,0.23948,7958.44
"53",1,53,993.9,37.16,0.23954,7145.66
"54",1,54,363.1,36.04,0.23955,2716.2
"55",1,55,133.9,31.94,0.23961,1062.16
"56",1,56,206.9,29.81,0.23969,1706.5
"57",1,57,289.4,31.03,0.23977,2343.67
"58",1,58,215,31.17,0.23986,1726.18
"59",1,59,125.1,31.03,0.2399,994.4
"60",1,60,173.7,31.38,0.23999,1371.63
"61",1,61,185.8,30.91,0.24004,1468.78
"62",1,62,167,32.02,0.24008,1334.32
"63",1,63,185.5,32.62,0.24011,1477.49
"64",1,64,167.4,32.38,0.24015,1317.47
"65",1,65,249.4,32.44,0.2402,2007.28
"66",1,66,426,32.99,0.24025,3397.15
"67",1,67,239.4,32.01,0.24039,1889.54
"68",1,68,330.3,31.51,0.24054,2516.04
"69",1,69,291,32.57,0.24061,2142.67
"70",1,70,249.8,32.89,0.24067,1512.46
"71",1,71,170.2,31.77,0.24071,1070.86
"72",1,72,200.2,31.34,0.24076,1128.97
"73",1,73,161.4,32.19,0.24078,980.64
"74",1,74,120.9,31.56,0.24082,775.61
"75",1,75,91.6,30.61,0.2409,625.92
"76",1,76,61.6,30.37,0.24094,441.75
"77",1,77,37.8,30.04,0.24099,285.11
"78",1,78,13.5,29.59,0.24101,99.14
"79",1,79,0.7,28.93,0.241,12.72
"80",2,1,7.8,25.86,0.246,54.58
"81",2,2,18,25.93,0.24617,130.18
"82",2,3,32.1,26.27,0.24631,242.12
"83",2,4,48,26.79,0.24648,374.5
"84",2,5,67.9,27.2,0.24669,540.17
"85",2,6,88.8,27.45,0.24703,716.21
"86",2,7,117.3,27.88,0.24743,961.2
"87",2,8,152.3,28.34,0.24787,1258.86
"88",2,9,189.1,28.7,0.24828,1568.23
"89",2,10,228.8,29.38,0.24878,1919.42
"90",2,11,267.2,29.95,0.24932,2273.72
"91",2,12,300.6,30.97,0.24983,2536.84
"92",2,13,363.1,31.77,0.25035,3041
"93",2,14,415.5,31.83,0.25086,3447.84
"94",2,15,464,32.46,0.2513,3828.47
"95",2,16,501.1,32.64,0.25169,4122.94
"96",2,17,541.9,32.25,0.25207,4467.3
"97",2,18,576.7,32.86,0.25249,4769.88
"98",2,19,615.4,32.21,0.2529,5127.55
"99",2,20,645.5,32.11,0.2533,5377.36
"100",2,21,683.2,32.76,0.25372,5681.22
"101",2,22,725,33.21,0.25406,5985.89
"102",2,23,761.3,32.81,0.25442,6271.75
"103",2,24,786,33.53,0.25476,6445.21
"104",2,25,816.4,33.5,0.25513,6686.04
"105",2,26,843.8,33.36,0.2555,6873.23
"106",2,27,868.8,33.28,0.25589,7046.16
"107",2,28,898.1,33.61,0.25624,7260.15
"108",2,29,923.6,34.08,0.25659,7395.98
"109",2,30,944.6,34.32,0.25692,7527.91
"110",2,31,964.3,34.09,0.25726,7654.97
"111",2,32,977.2,34.26,0.25761,7762.92
"112",2,33,993.9,34.16,0.258,7882.98
"113",2,34,1004.4,35.74,0.25833,7918.9
"114",2,35,1009.5,34.85,0.25868,8001.58
"115",2,36,972.3,35.26,0.25903,7694.64
"116",2,37,1001.5,35.66,0.25933,7893.8
"117",2,38,983.3,35.19,0.25961,7824.14
"118",2,39,1056.1,34.71,0.2599,8194.98
"119",2,40,1068.4,34.96,0.26019,8230.11
"120",2,41,794.8,34.68,0.26046,6243.04
"121",2,42,209,33.91,0.26072,1628.41
"122",2,43,988.4,34.63,0.26105,7785.24
"123",2,44,1060.6,34.66,0.26142,8262.62
"124",2,45,1044.4,35.34,0.2617,7915.28
"125",2,46,1052.6,35.29,0.26199,8008.99
"126",2,47,999.2,35.41,0.26229,7630.59
"127",2,48,936.6,35.94,0.26255,6907.62
"128",2,49,861.8,35.6,0.26284,6248.33
"129",2,50,958.1,36.43,0.2631,7202.45
"130",2,51,999.3,35.73,0.26338,7441.98
"131",2,52,924.7,36.42,0.26364,6835.81
"132",2,53,851.1,36.37,0.26382,6230.03
"133",2,54,538.3,35.56,0.26402,4135.52
"134",2,55,573.9,35.68,0.26419,4404.52
"135",2,56,725,36.46,0.26434,5535.91
"136",2,57,738.4,35.51,0.26453,5564.72
"137",2,58,716.6,36.33,0.26468,5407.66
"138",2,59,387.4,35.5,0.26483,2976.94
"139",2,60,439,35.18,0.26502,3421.33
"140",2,61,444.7,35.48,0.26516,3471.19
"141",2,62,351.1,35.25,0.26528,2716.91
"142",2,63,237.8,34.94,0.26539,1866.38
"143",2,64,258.1,34.54,0.26553,2036.9
"144",2,65,269.1,33.37,0.26577,2078.55
"145",2,66,203.5,32.39,0.26597,1607.11
"146",2,67,162.4,31.87,0.2662,1269.92
"147",2,68,157.5,31.02,0.26642,1210.02
"148",2,69,146.3,28.93,0.26667,1042.53
"149",2,70,94.1,28.44,0.26688,699.04
"150",2,71,69.2,28.06,0.26706,535
"151",2,72,54.9,28.42,0.26722,421.37
"152",2,73,36.3,28.58,0.26738,269.22
"153",2,74,20.7,28.33,0.26757,154.75
"154",2,75,11.2,28.24,0.26772,83.49
"155",2,76,4.5,28.22,0.26791,37.7
"156",2,77,0.1,28.42,0.26807,6.61
"157",3,1,2.25,27.33,0.27375,6.68
"158",3,2,6,25.55,0.27626,43.31
"159",3,3,9.4,25.54,0.27637,64.19
"160",3,4,20.3,25.55,0.27648,152.86
"161",3,5,33.7,26.53,0.27657,252.35
"162",3,6,37.2,26.16,0.27665,282.02
"163",3,7,71.1,27.54,0.27672,562.19
"164",3,8,135,28.82,0.27684,1103.89
"165",3,9,169.8,29.55,0.27694,1401.39
"166",3,10,181,29.47,0.27706,1486.95
"167",3,11,216.1,29.87,0.27716,1797.54
"168",3,12,266.9,30.68,0.27725,2273.72
"169",3,13,307.8,30.01,0.27743,2645.41
"170",3,14,312,29.07,0.27756,2668.58
"171",3,15,387,29.15,0.27769,3276.74
"172",3,16,421.9,28.88,0.27784,3503.85
"173",3,17,464.7,29.04,0.27805,3860.25
"174",3,18,506.9,29.49,0.27827,4215.34
"175",3,19,548.6,29.89,0.27845,4559.61
"176",3,20,586,29.87,0.27869,4871.33
"177",3,21,625.4,30.65,0.27887,5236.72
"178",3,22,664.5,31.29,0.27903,5533.81
"179",3,23,700.4,32.28,0.27916,5845.16
"180",3,24,736.6,32.3,0.27934,6108.56
"181",3,25,769.6,33.34,0.27951,6353.33
"182",3,26,801.3,33.49,0.27971,6574.52
"183",3,27,827.4,33.41,0.27991,6793.79
"184",3,28,865.1,34.24,0.28008,7072.05
"185",3,29,894.5,35.1,0.28026,7234.91
"186",3,30,850,34.41,0.28043,6921.7
"187",3,31,859.6,35.21,0.28059,7590.24
"188",3,32,959.4,35.99,0.28074,7692.56
"189",3,33,986.7,35,0.28097,7863.94
"190",3,34,1015.5,34.98,0.28116,8080.5
"191",3,35,1056.8,35.62,0.28134,8278.06
"192",3,36,921.6,35.35,0.28156,6613.08
"193",3,37,733.1,35.88,0.28175,5992.02
"194",3,38,733.1,35.14,0.28193,5367.94
"195",3,39,1096.7,36.19,0.28213,8130.27
"196",3,40,827.1,35.6,0.2823,6526.15
"197",3,41,1105.8,35.52,0.28249,8428.56
"198",3,42,1132.6,35.3,0.28272,8425.35
"199",3,43,1159.9,35.93,0.28294,8420.31
"200",3,44,1028.1,35.89,0.28311,7785.35
"201",3,45,1047.5,36.25,0.28332,7816.08
"202",3,46,1028.1,36.11,0.28351,7476.18
"203",3,47,1085.8,36.08,0.28375,8296.12
"204",3,48,605,35.44,0.28397,4583.1
"205",3,49,980.7,36.18,0.28419,7574.83
"206",3,50,688.8,36.03,0.28442,5324.17
"207",3,51,813.85,36.23,0.28464,6276.94
"208",3,52,824.6,36.54,0.28487,6230.2
"209",3,53,897.5,36.07,0.28507,6774.88
"210",3,54,849.1,36.07,0.28534,6331.11
"211",3,55,839.4,35.83,0.28561,6310.2
"212",3,56,701.4,36.46,0.28581,5404.63
"213",3,57,797.6,36.53,0.28605,6034.6
"214",3,58,555,36.62,0.28629,4236.15
"215",3,59,537.5,36.49,0.28656,4475.08
"216",3,60,661.1,36.79,0.28677,5421.18
"217",3,61,443.2,36.11,0.287,3463.85
"218",3,62,612.1,36.51,0.28727,5027.4
"219",3,63,407.6,37.04,0.28747,3344.61
"220",3,64,516.7,36.99,0.28775,4260.25
"221",3,65,427.9,36.26,0.28801,3616.73
"222",3,66,296.9,36.04,0.28824,2428.45
"223",3,67,336.1,36.71,0.28847,2650.56
"224",3,68,156.1,34.92,0.28872,1254.39
"225",3,69,304.2,36.01,0.28898,2373.78
"226",3,70,246.9,35.84,0.28921,1674.92
"227",3,71,201.9,35.91,0.28943,1186.12
"228",3,72,130.9,35.25,0.28964,812.29
"229",3,73,80.1,34.75,0.28987,671.17
"230",3,74,57.8,34.42,0.29007,485.01
"231",3,75,43.8,34.14,0.29032,365.31
"232",3,76,37.7,33.88,0.29059,308.51
"233",3,77,32.9,33.67,0.29081,261.95
"234",3,78,22.4,33.65,0.29103,185.66
"235",3,79,6.9,33.51,0.29123,66.27
"236",4,1,6.6,23.34,0.33793,49.8
"237",4,2,12,23.35,0.33803,94.17
"238",4,3,21,23.54,0.33814,172.88
"239",4,4,30.9,23.6,0.33822,249.5
"240",4,5,38,23.5,0.33831,309.39
"241",4,6,47.2,23.46,0.33845,390.13
"242",4,7,63.2,23.62,0.33867,535.07
"243",4,8,86.1,23.67,0.33887,735.26
"244",4,9,105,23.92,0.33904,904.2
"245",4,10,116.2,24.03,0.33923,990.78
"246",4,11,126.3,24.15,0.33941,1094.41
"247",4,12,139.6,24.18,0.33967,1212.39
"248",4,13,155.5,24.28,0.33989,1353.9
"249",4,14,176.8,24.53,0.34011,1556.57
"250",4,15,203.4,24.77,0.34041,1791.49
"251",4,16,231.9,24.99,0.34074,2049.23
"252",4,17,260.5,25.37,0.34107,2297.72
"253",4,18,290.4,25.75,0.34136,2559.48
"254",4,19,326.2,25.93,0.34167,2884.58
"255",4,20,358.8,26.77,0.34193,3178.13
"256",4,21,391.3,26.93,0.34221,3463.39
"257",4,22,407.7,27.21,0.34248,3647.64
"258",4,23,434.4,27.56,0.34271,3925.07
"259",4,24,561.9,28.19,0.34293,5041.22
"260",4,25,604.7,28.8,0.34319,5353.66
"261",4,26,509.1,29.03,0.3434,4526.55
"262",4,27,661.8,29.64,0.34363,5853.36
"263",4,28,894.7,31.36,0.34383,7694.84
"264",4,29,1015,32.87,0.34405,8401.57
"265",4,30,765.3,31.54,0.34429,6415.67
"266",4,31,772.2,31.2,0.3445,6585.66
"267",4,32,863.9,32.1,0.34472,7311.04
"268",4,33,689.6,32.14,0.34491,5833.39
"269",4,34,611.1,31.9,0.34512,5105.62
"270",4,35,619.9,32.02,0.34529,5319.38
"271",4,36,690.7,31.29,0.34558,5958.14
"272",4,37,689.9,32.3,0.34584,5799.11
"273",4,38,463.3,31.04,0.34614,3981.67
"274",4,39,623.5,30.77,0.34644,5429.08
"275",4,40,612.5,31.67,0.34666,5261.78
"276",4,41,534.6,31.14,0.34688,4624.39
"277",4,42,483.9,31.34,0.34713,4182.15
"278",4,43,377.9,30.38,0.34737,3266.01
"279",4,44,358,30.66,0.3476,3075.03
"280",4,45,347.1,30.3,0.34785,3021.03
"281",4,46,350.8,30.12,0.34808,3067.47
"282",4,47,390.2,30.31,0.3483,3394.42
"283",4,48,409.8,30.48,0.34855,3565.58
"284",4,49,488.9,30.71,0.34878,4261.54
"285",4,50,573.6,30.94,0.34901,4928.58
"286",4,51,516.9,31.17,0.34923,4412.85
"287",4,52,440.2,31,0.34945,3759.66
"288",4,53,428.6,31.24,0.34967,3677
"289",4,54,431.2,30.89,0.34989,3664.88
"290",4,55,441.7,31.05,0.35012,3801.76
"291",4,56,498.7,31.4,0.3503,4260.66
"292",4,57,569.5,31.8,0.35049,4818.83
"293",4,58,489.5,32.39,0.35064,4096.26
"294",4,59,337.4,31.55,0.3508,2864.23
"295",4,60,374.5,31.52,0.35093,3232.81
"296",4,61,413.8,31.54,0.35108,3531.74
"297",4,62,491.2,31.92,0.35118,4099.23
"298",4,63,458.1,32.65,0.35132,3627.21
"299",4,64,421.3,31.45,0.35144,3225.6
"300",4,65,377.3,31.73,0.35157,2877.78
"301",4,66,324.9,32.29,0.35164,2488.59
"302",4,67,281.1,31.33,0.35179,2050.89
"303",4,68,237.5,32.33,0.35186,1435.95
"304",4,69,190.9,32.82,0.35194,1049.39
"305",4,70,145.1,32.27,0.35201,832.85
"306",4,71,114.7,31.56,0.35208,644.03
"307",4,72,87.8,31.61,0.35223,521.79
"308",4,73,65.8,31.42,0.35234,421.21
"309",4,74,43,30.89,0.35243,307.81
"310",4,75,21.7,29.99,0.35249,174.13
"311",4,76,5.2,29.3,0.35256,49.22
"312",5,1,6.4,20.92,0.3577,43
"313",5,2,8.1,21.31,0.35786,56.73
"314",5,3,9.6,20.97,0.35801,70.36
"315",5,4,13.5,20.89,0.35811,100.54
"316",5,5,29.5,21.06,0.35819,236
"317",5,6,51.6,21.39,0.35824,427.2
"318",5,7,88.3,21.6,0.35829,760.08
