"","DIA","TIME","IRR","TEMP","MA","PDC","data"
"1",1,1,7,17.72,0.69269,41.15,20200228
"2",1,2,11,18.03,0.69267,83.69,20200228
"3",1,3,18.6,18.49,0.69265,147.08,20200228
"4",1,4,31.2,22.78,0.69262,299.85,20200228
"5",1,5,51.9,25.66,0.69259,517.6,20200228
"6",1,6,77.7,28.04,0.69258,743.96,20200228
"7",1,7,111.7,28.75,0.69258,1011.13,20200228
"8",1,8,152.2,27.5,0.69264,1385.97,20200228
"9",1,9,200.3,25.76,0.69277,1863.03,20200228
"10",1,10,264.3,27.36,0.69285,2447.22,20200228
"11",1,11,320.1,27.98,0.69295,3025.45,20200228
"12",1,12,355.4,26.64,0.69315,3336.34,20200228
"13",1,13,419.3,27.09,0.69334,3934.89,20200228
"14",1,14,432.2,27.27,0.69358,4001.29,20200228
"15",1,15,414.3,27.46,0.69376,3918.25,20200228
"16",1,16,567,27.77,0.694,5307.14,20200228
"17",1,17,586.1,28.42,0.69425,5469.92,20200228
"18",1,18,653.7,28.36,0.6945,5865.72,20200228
"19",1,19,610,28.3,0.69467,5507.87,20200228
"20",1,20,754.8,28.54,0.69499,6827.31,20200228
"21",1,21,745.6,28.62,0.6952,6657.24,20200228
"22",1,22,780.6,28.8,0.69542,6979.37,20200228
"23",1,23,811.3,29.19,0.69565,7189.87,20200228
"24",1,24,859.6,29.81,0.69585,7508.32,20200228
"25",1,25,908,30.63,0.69606,7850.58,20200228
"26",1,26,929.5,29.46,0.69629,8025.73,20200228
"27",1,27,1006.2,29.87,0.69644,8389.46,20200228
"28",1,28,1012.6,30.25,0.69665,8132.13,20200228
"29",1,29,862.2,30.56,0.69688,6553.82,20200228
"30",1,30,1139.5,30.44,0.69706,8426.5,20200228
"31",1,31,1083.1,30.69,0.69719,8421.6,20200228
"32",1,32,897.5,29.93,0.69735,6543.87,20200228
"33",1,33,1150.7,31.03,0.69747,8408.88,20200228
"34",1,34,1199.1,30.57,0.69765,8424.9,20200228
"35",1,35,1159.3,30.55,0.69778,8420.58,20200228
"36",1,36,1150.9,30.18,0.69793,8416.53,20200228
"37",1,37,315,29.01,0.69802,2627.58,20200228
"38",1,38,585.6,28.81,0.69811,4467.15,20200228
"39",1,39,985.2,29.94,0.69826,6943.24,20200228
"40",1,40,1165.8,30.32,0.69835,8425.25,20200228
"41",1,41,939.3,30.3,0.69846,6967.07,20200228
"42",1,42,1161.6,32.33,0.69853,8412.63,20200228
"43",1,43,1156.3,32.16,0.69862,8424.31,20200228
"44",1,44,1146.4,32.2,0.69871,7890.33,20200228
"45",1,45,748.7,31.7,0.69882,5312.87,20200228
"46",1,46,1047.4,32.3,0.69887,7657.21,20200228
"47",1,47,924.2,32.13,0.69904,6772.29,20200228
"48",1,48,1139.5,33.19,0.69916,8421.73,20200228
"49",1,49,952.6,32.34,0.6993,7153.02,20200228
"50",1,50,247.6,30.6,0.69941,2117.34,20200228
"51",1,51,677.8,31.27,0.69955,5331.23,20200228
"52",1,52,289,30.99,0.69967,2531.69,20200228
"53",1,53,254,31.1,0.69972,2274.87,20200228
"54",1,54,304.5,31.83,0.69972,2842.75,20200228
"55",1,55,975.6,33.52,0.6998,8118.28,20200228
"56",1,56,300.6,31.81,0.69984,2462.93,20200228
"57",1,57,232.6,31.14,0.69986,2015.87,20200228
"58",1,58,173.2,30.44,0.69987,1502.93,20200228
"59",1,59,140.1,30.19,0.69985,1229.9,20200228
"60",1,60,145.2,29.11,0.69984,1266.97,20200228
"61",1,61,199,29.86,0.69984,1752.69,20200228
"62",1,62,274.9,30.8,0.69983,2222.51,20200228
"63",1,63,171,29.76,0.6999,1416.09,20200228
"64",1,64,207.9,29.79,0.69995,1759.28,20200228
"65",1,65,132.3,29.38,0.69999,1152.2,20200228
"66",1,66,126.9,29.27,0.70001,1107.61,20200228
"67",1,67,128.6,29.97,0.69998,1068.83,20200228
"68",1,68,118.1,29.12,0.70004,1023.94,20200228
"69",1,69,150,28.9,0.70012,1169.18,20200228
"70",1,70,62.9,28.36,0.7002,525.41,20200228
"71",1,71,31.9,27.96,0.70023,264.74,20200228
"72",1,72,19,27.82,0.7003,162.02,20200228
"73",1,73,12.4,27.7,0.70036,103.95,20200228
"74",1,74,7.7,27.25,0.70044,63.26,20200228
"75",1,75,2.9,27.17,0.70055,26.67,20200228
"76",1,76,0.1,27.1,0.70071,3.26,20200228
"77",2,1,6.33,20.56,0.70923,41.95,20200229
"78",2,2,10.6,20.59,0.7093,79.81,20200229
"79",2,3,19,21.37,0.70944,152.91,20200229
"80",2,4,29.7,22.74,0.70956,255.63,20200229
"81",2,5,48.2,23.92,0.70967,423.48,20200229
"82",2,6,76.15,24.77,0.70982,669.62,20200229
"83",2,7,110.7,25.14,0.70992,977.59,20200229
"84",2,8,150.2,25.38,0.71006,1382.34,20200229
"85",2,9,193.6,25.46,0.71021,1824.41,20200229
"86",2,10,239.2,25.63,0.71039,2292.12,20200229
"87",2,11,285.8,26.38,0.71055,2769.26,20200229
"88",2,12,334,26.19,0.7108,3215.38,20200229
"89",2,13,380.7,27.56,0.71091,3651.45,20200229
"90",2,14,427.5,26.84,0.71117,4075.93,20200229
"91",2,15,474.4,28.14,0.71131,4428.53,20200229
"92",2,16,519.1,27.95,0.71149,4858.24,20200229
"93",2,17,563.1,28.91,0.71161,5220,20200229
"94",2,18,606.5,29.07,0.71176,5585.18,20200229
"95",2,19,647.5,28.54,0.71193,5902.93,20200229
"96",2,20,686.6,29.75,0.7121,6184.98,20200229
"97",2,21,725.4,29.12,0.71226,6470.94,20200229
"98",2,22,762.7,29.3,0.71245,6776.6,20200229
"99",2,23,796.3,29.28,0.71264,7022.1,20200229
"100",2,24,828.9,29.48,0.71286,7269.35,20200229
"101",2,25,861.3,29.84,0.71297,7339.86,20200229
"102",2,26,892.6,30.18,0.71308,7703.71,20200229
"103",2,27,920,30.13,0.71317,7883.13,20200229
"104",2,28,941,30.09,0.71331,8003.52,20200229
"105",2,29,968.4,30.25,0.71349,8249.64,20200229
"106",2,30,990.2,30.6,0.71362,8383.85,20200229
"107",2,31,1006.5,31,0.71369,8401.45,20200229
"108",2,32,1025.5,30.32,0.7138,8429.69,20200229
"109",2,33,1038.1,30.52,0.71394,8439.96,20200229
"110",2,34,1052.7,30.44,0.71405,8435.18,20200229
"111",2,35,1066.2,30.87,0.71413,8433.29,20200229
"112",2,36,1090.5,31.04,0.71418,8425.5,20200229
"113",2,37,1163.2,31.54,0.71429,8435.14,20200229
"114",2,38,700.5,30.75,0.71445,5249.78,20200229
"115",2,39,1101.2,30.54,0.71461,8244.65,20200229
"116",2,40,1148.3,31.76,0.71469,7866.66,20200229
"117",2,41,1237,31.39,0.71483,8436.56,20200229
"118",2,42,1076.2,31.68,0.71492,7525.91,20200229
"119",2,43,1137.3,31.72,0.71499,8429.31,20200229
"120",2,44,1085.1,32.02,0.71507,8061.5,20200229
"121",2,45,830,30.98,0.71517,6182.67,20200229
"122",2,46,1074.7,31.73,0.71528,8430.26,20200229
"123",2,47,1053.2,31.21,0.71539,8380.21,20200229
"124",2,48,931.3,31.85,0.71548,7342.26,20200229
"125",2,49,999,32.01,0.71561,8255.15,20200229
