"","DIA","TIME","IRR","TEMP","MA","PDC","data"
"1",1,1,7.44,21.48,4e-05,63.15,20191004
"2",1,2,16.4,22.28,4e-05,140.31,20191004
"3",1,3,33.3,25.05,4e-05,273.65,20191004
"4",1,4,54.1,28.41,4e-05,435.1,20191004
"5",1,5,78.6,30.45,4e-05,620.06,20191004
"6",1,6,111.9,30.84,5e-05,905.04,20191004
"7",1,7,150,29.56,5e-05,1276.98,20191004
"8",1,8,189.5,28.97,6e-05,1675.41,20191004
"9",1,9,230.4,29.91,6e-05,2080.53,20191004
"10",1,10,274.6,29.46,7e-05,2508.61,20191004
"11",1,11,322.3,29.58,1e-04,2943.94,20191004
"12",1,12,365,29.9,0.00016,3315.98,20191004
"13",1,13,409.9,30.43,0.00025,3710.16,20191004
"14",1,14,455.9,31.03,0.00041,4106.67,20191004
"15",1,15,502.2,32.57,0.00052,4483.54,20191004
"16",1,16,547.6,32.16,0.00077,4866.79,20191004
"17",1,17,587.8,32.46,0.00099,5181.58,20191004
"18",1,18,622.3,32.27,0.00127,5483.93,20191004
"19",1,19,661.6,31.96,0.00167,5818.18,20191004
"20",1,20,698.6,33.11,0.00189,6132.67,20191004
"21",1,21,732.8,32.96,0.00214,6375.96,20191004
"22",1,22,753.2,33.98,0.00234,6570.25,20191004
"23",1,23,856.6,34.55,0.00257,7269.86,20191004
"24",1,24,665.1,34.29,0.00275,5800.95,20191004
"25",1,25,682.9,33.65,0.00294,5526.44,20191004
"26",1,26,636.5,34.57,0.00309,5408.26,20191004
"27",1,27,881.8,35.26,0.00322,7390.84,20191004
"28",1,28,892.8,35.43,0.00336,7559.49,20191004
"29",1,29,949,35.57,0.00355,7866.07,20191004
"30",1,30,957.9,36.12,0.00364,7876.16,20191004
"31",1,31,974.2,36.96,0.0037,7989.98,20191004
"32",1,32,988.1,35.86,0.00386,8076.88,20191004
"33",1,33,997.1,35.85,0.00403,8131.74,20191004
"34",1,34,993.7,36.02,0.00416,8137.58,20191004
"35",1,35,1023.3,36.83,0.00432,8342.47,20191004
"36",1,36,1035,37.39,0.00442,8371.12,20191004
"37",1,37,1073.4,37.7,0.00459,8420.2,20191004
"38",1,38,753.9,37.39,0.00469,5859.42,20191004
"39",1,39,974.5,37.61,0.00483,7587.2,20191004
"40",1,40,528.8,37.17,0.00491,4614.61,20191004
"41",1,41,560.2,36.39,0.00502,4835.28,20191004
"42",1,42,220.5,36.26,0.00508,1852.09,20191004
"43",1,43,116.5,33.27,0.00528,1151.7,20191004
"44",1,44,127,24.55,0.00547,1269.05,20191004
"45",1,45,85.4,27.57,0.00556,889.67,20191004
"46",1,46,82.5,24.56,0.00577,858.56,20191004
"47",1,47,101.1,20.81,0.0059,1017.29,20191004
"48",1,48,148.9,22.17,0.00589,1541.05,20191004
"49",1,49,201.8,24.66,0.00587,2071.11,20191004
"50",1,50,260.8,26.56,0.00592,2689.34,20191004
"51",1,51,370.5,28.41,0.00597,3783.99,20191004
"52",1,52,664.7,29.9,0.00611,5998.1,20191004
"53",1,53,506.3,31.68,0.00617,4717.08,20191004
"54",1,54,391.6,34.48,0.00619,3722.35,20191004
"55",1,55,289.6,33.95,0.00623,2778.5,20191004
"56",1,56,142.1,32.99,0.00625,1341.63,20191004
"57",1,57,113.4,29.5,0.00647,1156.39,20191004
"58",1,58,127.1,27.72,0.00658,1279.6,20191004
"59",1,59,84.8,27.04,0.0067,841.93,20191004
"60",1,60,76.2,26.62,0.00675,781.2,20191004
"61",1,61,76.2,25.9,0.00679,768.96,20191004
