dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,n
20191023,000100,NA,-116.68,0,1.12,0.04,0,0,9.23,0.02,0,0,0.46,315,0,14
20191023,001500,NA,-127,0,1.5,0.05,0,0,12.42,0.03,0,0,0.46,189,0,15
20191023,003000,NA,-127,0,1.7,0.06,0,0,14.04,0.04,0,0,0.45,273,0,15
20191023,004500,NA,-127,0,1.97,0.07,0,0,16.26,0.04,0,0,0.44,63,0,15
20191023,010000,NA,-127,0,2.06,0.07,0,0,17.02,0.05,0,0,0.43,105,0,15
20191023,011500,NA,-127,0,2.18,0.07,0,0,18,0.05,0,0,0.44,168,0,15
20191023,013000,NA,-127,0,2.05,0.07,0,0,16.9,0.05,0,0,0.44,189,0,15
20191023,014500,NA,-127,0,1.97,0.06,0,0,16.24,0.04,0,0,0.46,315,0,15
20191023,020000,NA,-127,0,1.92,0.06,0,0,15.82,0.04,0,0,0.44,231,0,15
20191023,021500,NA,-127,0,1.85,0.06,0,0,15.27,0.04,0,0,0.43,126,0,15
20191023,023000,NA,-127,0,1.89,0.06,0,0,15.62,0.04,0,0,0.42,0,0,15
20191023,024500,NA,-127,0,1.79,0.06,0,0,14.79,0.04,0,0,0.43,0,0,15
20191023,030000,NA,-127,0,1.91,0.06,0,0,15.78,0.04,0,0,0.44,0,0,15
20191023,031500,NA,-127,0,1.92,0.06,0,0,15.89,0.04,0,0,0.44,231,0,15
20191023,033000,NA,-127,0,1.83,0.06,0,0,15.11,0.04,0,0,0.44,315,0,15
20191023,034500,NA,-127,0,1.94,0.07,0,0,16.05,0.05,0,0,0.44,315,0,15
20191023,040000,NA,-127,0,1.99,0.07,0,0,16.39,0.05,0,0,0.43,315,0,15
20191023,041500,NA,-127,0,1.92,0.06,0,0,15.83,0.04,0,0,0.44,315,0,15
20191023,043000,NA,-127,0,1.79,0.06,0,0,14.77,0.04,0,0,0.44,210,0,15
20191023,044500,NA,-127,0,1.79,0.06,0,0,14.77,0.04,0,0,0.44,0,0,15
20191023,050000,NA,-127,0,1.66,0.06,0,0,13.75,0.04,0,0,0.45,252,0,15
20191023,051500,NA,-127,0,1.66,0.06,0,0,13.67,0.04,0,0,0.44,315,0,15
20191023,053000,NA,-127,0,1.85,0.06,0,0,15.28,0.04,0,0,0.46,315,0,15
20191023,054500,NA,-127,0,2.07,0.07,0,0,17.07,0.05,0,0,0.44,315,0,15
20191023,060000,NA,-127,0,1.69,0.06,0,0,13.96,0.04,0,0,0.45,315,0,15
20191023,061500,NA,-127,0,1.62,0.05,0,0,13.35,0.04,0,0,0.45,231,0,15
20191023,063000,NA,-127,0,1.85,0.06,0,0,15.24,0.04,0,0,0.45,189,0,15
20191023,064500,NA,-127,0,1.62,0.05,0,0,13.36,0.04,0,0,0.44,189,0,15
20191023,070000,NA,-127,0,1.6,0.05,0,0,13.18,0.04,0,0,0.44,189,0,15
20191023,071500,NA,-127,0,1.48,0.05,0,0,12.22,0.03,0,0,0.42,168,0,15
20191023,073000,NA,-127,0,1.48,0.05,0,0,12.19,0.03,0,0,0.42,231,0,15
20191023,074500,NA,-127,0,1.62,0.05,0,0,13.4,0.04,0,0,0.46,252,0,15
20191023,080000,NA,-127,0,1.66,0.06,0,0,13.71,0.04,0,0,0.44,252,0,15
20191023,081500,NA,-127,0,1.69,0.06,0,0,13.93,0.04,0,0,0.44,147,0,15
20191023,083000,NA,-127,0,1.72,0.06,0,0,14.2,0.04,0,0,0.43,168,0,15
20191023,084500,NA,-127,0,1.74,0.06,0,0,14.33,0.04,0,0,0.43,84,0,15
20191023,090000,NA,-4.71,0,1.91,0.06,0,0,15.77,0.04,0,0,0.44,151.07,0,14
20191023,091500,781.51,29.7,0,1.98,0.06,0,0,16.36,0.04,0,0,0.44,123.12,0,8
20191023,093000,847.62,29.05,0,1.73,0.06,0,0,14.29,0.04,0,0,0.42,12,0,15
20191023,094500,943.9,29.71,0,1.74,0.06,0,0,14.38,0.04,0,0,0.42,18,0,15
20191023,100000,319.11,28.6,0,1.94,0.06,0,0,16.01,0.04,0,0,0.43,18,0,15
20191023,101500,594.78,30.18,0,1.87,0.06,0,0,15.41,0.04,0,0,0.45,197.67,0,15
20191023,103000,1065.1,32.01,0,1.42,0.05,0,0,11.74,0.03,0,0,0.43,157,0,15
20191023,104500,1067.45,31.96,0,1.2,0.04,0,0,9.93,0.03,0,0,0.43,82.33,0,15
20191023,110000,1044.75,31.49,0,1.22,0.04,0,0,10.07,0.03,0,0,0.42,135.67,0,15
20191023,111500,1054.27,30.4,0,1.2,0.04,0,0,9.89,0.03,0,0,0.43,31.33,0,15
20191023,113000,1057.66,31.24,0,1.29,0.04,0,0,10.66,0.03,0,0,0.43,64.33,0,15
20191023,114500,990.87,31.39,0,1.44,0.05,0,0,11.91,0.03,0,0,0.45,130,0,15
20191023,120100,1041.15,31.59,0,1.17,0.04,0,0,9.62,0.03,0,0,0.43,158.57,0,14
20191023,121500,1018.66,32.11,0,1.09,0.04,0,0,9.02,0.02,0,0,0.43,231.67,0,15
20191023,123000,1006.65,31.85,0,1.09,0.03,0,0,8.97,0.02,0,0,0.44,140.33,0,15
20191023,124500,975.99,32.57,0,1.05,0.04,0,0,8.66,0.02,0,0,0.45,166,0,15
20191023,130000,948.6,31.96,0,1.09,0.04,0,0,9.03,0.03,0,0,0.43,121.33,0,15
20191023,131500,916.11,31.99,0,1.13,0.04,0,0,9.3,0.02,0,0,0.44,67.33,0,15
20191023,133000,880.23,32.95,0,1.03,0.03,0,0,8.46,0.02,0,0,0.43,181,0,15
20191023,134500,790.87,32.33,0,1.16,0.04,0,0,9.6,0.03,0,0,0.42,80.67,0,15
20191023,140000,743.25,32.69,0,1.15,0.04,0,0,9.47,0.03,0,0,0.43,149.67,0,15
20191023,141500,740.64,32.58,0,1.27,0.04,0,0,10.45,0.03,0,0,0.46,103,0,15
20191023,143000,687.41,33.95,0,1.16,0.04,0,0,9.53,0.03,0,0,0.46,227.67,0,15
20191023,144500,638.75,34.27,0,1.21,0.04,0,0,9.96,0.03,0,0,0.43,227.67,0,15
20191023,150000,576,33.68,0,1.15,0.04,0,0,9.49,0.03,0,0,0.42,210,0,15
20191023,151500,518.72,33.41,0,1.28,0.04,0,0,10.55,0.03,0,0,0.43,183,0,15
20191023,153000,459.36,33.62,0,1.26,0.04,0,0,10.43,0.03,0,0,0.44,189.67,0,15
20191023,154500,394.52,33.68,0,1.14,0.04,0,0,9.37,0.03,0,0,0.43,228,0,15
20191023,160000,333.2,33.42,0,1.22,0.04,0,0,10.03,0.03,0,0,0.42,217.33,0,15
20191023,161500,274.1,33.11,0,1.15,0.04,0,0,9.51,0.03,0,0,0.43,238.33,0,15
20191023,163000,80.37,32.03,0,1.15,0.04,0,0,9.46,0.03,0,0,0.44,231,0,15
20191023,164500,18.4,30.71,0,1.54,0.05,0,0,12.76,0.03,0,0,0.45,228,0,15
20191023,170000,10.05,30,0,1.65,0.13,0.05,0.01,13.49,0.11,0.01,0,0.5,231,0,15
20191023,171500,3.71,29.32,0,1.89,0.06,0,0,15.6,0.04,0,0,0.48,216,0,15
20191023,173000,0,28.25,0,2.26,0.19,0.09,0.01,18.45,0.17,0.02,0,0.53,219,0,15
20191023,174500,0,26.9,0,2.88,0.11,0.01,0,23.78,0.08,0,0,0.51,204,0,15
20191023,180000,0,26.43,0,3.74,0.12,0,0,30.85,0.08,0,0,0.5,219,0,15
20191023,181500,0,25.69,0,4.58,0.15,0,0,37.83,0.1,0,0,0.5,222,0,15
20191023,183000,0,24.87,0,8.23,0.27,0,0,67.86,0.19,0,0,0.51,180,0,15
20191023,184500,0,23.77,0,6.52,0.22,0,0,53.82,0.15,0,0,0.52,174,0,15
20191023,190000,0,23.37,0,7.69,0.26,0,0,63.41,0.17,0,0,0.5,180,0,15
20191023,191500,0,22.21,0,7.01,0.23,0,0,57.8,0.16,0,0,0.48,176.79,0,14
20191023,193000,0,21.73,0,7.4,0.25,0.01,0,61,0.18,0,0,0.51,73.93,0,14
20191023,194500,0,21.65,0,7.57,0.25,0,0,62.48,0.17,0,0,0.51,69,0,15
20191023,200000,0,21.17,0,11.69,0.39,0,0,96.41,0.27,0,0,0.5,57,0,15
20191023,201500,0,21.07,0,12.61,0.42,0,0,104.02,0.29,0,0,0.5,57,0,15
20191023,203000,0,20.74,0,13.21,0.44,0,0,109.02,0.3,0,0,0.49,54,0,15
20191023,204500,0,20.55,0,14.27,0.47,0,0,117.71,0.32,0,0,0.48,54,0,15
20191023,210000,0,20.72,0,16.44,0.55,0,0,135.6,0.37,0.01,0,0.48,78,0,15
20191023,211500,0,21.93,0,12.84,0.43,0,0,105.97,0.29,0,0,0.5,147,0,15
20191023,213000,0,20.92,0,9.85,0.33,0,0,81.23,0.22,0,0,0.48,180,0,15
20191023,214500,0,20.37,0,17.61,0.64,0.04,0.01,145.23,0.46,0.01,0,0.53,159,0,15
20191023,220000,0,21.14,0,16.52,0.75,0.15,0.02,135.95,0.59,0.03,0.01,0.56,141,0,15
20191023,221500,0,21.47,0,6.74,0.23,0,0,55.59,0.16,0,0,0.52,120,0,15
20191023,223000,0,22.18,0,3.57,0.12,0,0,29.48,0.08,0,0,0.48,96,0,15
20191023,224500,0,22.24,0,2.77,0.09,0,0,22.81,0.06,0,0,0.47,105,0,15
20191023,230000,0,22.47,0,2.54,0.08,0,0,20.96,0.06,0,0,0.45,83.57,0,14
20191023,231500,0,22.66,0,2.16,0.07,0,0,17.85,0.05,0,0,0.46,67.5,0,14
20191023,233000,0,22.79,0,2.09,0.07,0,0,17.21,0.05,0,0,0.47,51,0,15
20191023,234500,0,22.94,0,1.99,0.07,0,0,16.45,0.05,0,0,0.45,78,0,15
