dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,n
20191106,000100,0,22.79,0,9.1,0.3,0,0,75.05,0.21,0,0,0.45,45,21.09,14
20191106,001500,0,22.71,0,8.33,0.28,0,0,68.72,0.19,0,0,0.46,66,15.78,15
20191106,003000,0,22.72,0,7.2,0.24,0,0,59.36,0.16,0,0,0.46,69,11.88,15
20191106,004600,0,22.76,0,6.31,0.21,0,0,52.02,0.14,0,0,0.45,45,19.48,14
20191106,010000,0,22.69,0,6.3,0.21,0,0,52.01,0.14,0,0,0.46,60,12.86,15
20191106,011500,0,22.6,0,6.31,0.21,0,0,52.06,0.14,0,0,0.46,45,7.89,15
20191106,013000,0,22.6,0,6.55,0.22,0,0,54.04,0.15,0,0,0.45,42,15.07,15
20191106,014500,0,22.65,0,7.09,0.24,0,0,58.53,0.16,0,0,0.44,36,15.61,15
20191106,020000,0.08,22.7,0,7.33,0.24,0,0,60.5,0.17,0,0,0.46,27,15.07,15
20191106,021600,0,22.83,0,7.83,0.26,0,0,64.62,0.18,0,0,0.44,51.92,18.01,13
20191106,023000,0,22.87,0,8.12,0.27,0,0,66.99,0.18,0,0,0.47,45,18.62,15
20191106,024500,0,22.97,0,8.1,0.27,0,0,66.8,0.18,0,0,0.44,24,18.27,15
20191106,030000,0,23.11,0,8.14,0.27,0,0,67.14,0.18,0,0,0.44,15,24.12,15
20191106,031500,0,23.12,0,8.17,0.27,0,0,67.38,0.19,0,0,0.44,36,20.13,15
20191106,033000,0,23.05,0,8.34,0.28,0,0,68.82,0.19,0,0,0.44,21,15.69,15
20191106,034600,0,23.08,0,8.13,0.27,0,0,67.11,0.19,0,0,0.45,32.14,14.63,14
20191106,040000,0,23.14,0,8.13,0.27,0,0,67.1,0.18,0,0,0.45,24,13.57,15
20191106,041500,0.21,23.21,0,7.65,0.25,0,0,63.14,0.17,0,0,0.45,121.33,6.47,15
