dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,n
20191019,000100,0,23.56,0,11.7,0.39,0,0,96.51,0.26,0,0,0.45,163.93,3.61,14
20191019,001500,0.34,23.5,0,10.69,0.35,0,0,88.16,0.24,0,0,0.44,165,3.01,15
20191019,003000,0,23.25,0,10.91,0.36,0,0,90.02,0.25,0,0,0.45,165,4.34,15
20191019,004500,0.04,22.98,0,10.26,0.34,0,0,84.63,0.23,0,0,0.44,153,3.28,15
20191019,010000,0,22.85,0,10.37,0.34,0,0,85.54,0.24,0,0,0.44,150,1.6,15
20191019,011500,0.52,22.84,0,9.56,0.32,0,0,78.85,0.22,0,0,0.45,180,2.93,15
20191019,013000,0.17,22.37,0,9.39,0.31,0,0,77.45,0.21,0,0,0.44,189,2.84,15
20191019,014500,0.04,22.08,0,9.85,0.33,0,0,81.27,0.22,0,0,0.45,192,0.89,15
20191019,020000,0.04,21.59,0,9.59,0.32,0,0,79.13,0.22,0,0,0.45,195,1.24,15
20191019,021500,0,21.63,0,10.65,0.35,0,0,87.86,0.24,0,0,0.46,186,2.39,15
20191019,023000,0,21.83,0,10.39,0.35,0,0,85.72,0.24,0,0,0.45,162,0.71,15
20191019,024500,0.08,21.83,0,9.56,0.32,0,0,78.88,0.22,0,0,0.45,135,0,15
20191019,030000,0.04,21.81,0,8.77,0.29,0,0,72.39,0.2,0,0,0.44,135,1.86,15
20191019,031500,0,22.21,0,8.15,0.27,0,0,67.25,0.19,0,0,0.44,120,3.72,15
20191019,033000,0.52,22.21,0,8.23,0.27,0,0,67.92,0.19,0,0,0.44,132,2.13,15
20191019,034500,0.25,22.1,0,8.29,0.28,0,0,68.39,0.19,0,0,0.45,117,2.75,15
20191019,040000,0.08,22.11,0,8.76,0.29,0,0,72.25,0.2,0,0,0.45,96,11.7,15
20191019,041500,0.34,22.06,0,8.75,0.29,0,0,72.15,0.2,0,0,0.45,96,9.13,15
20191019,043000,0,22.27,0,8.42,0.28,0,0,69.47,0.19,0,0,0.45,99,11.17,15
20191019,044500,0.12,22.24,0,8.31,0.28,0,0,68.58,0.19,0,0,0.45,81,10.91,15
20191019,050000,0.77,22.44,0,8.13,0.27,0,0,67.05,0.19,0,0,0.45,87,10.55,15
