dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,n
20191023,000100,0.08,-116.68,0,1.12,0.04,0,0,9.23,0.02,0,0,0.46,315,5.42,14
20191023,001500,0,-127,0,1.5,0.05,0,0,12.42,0.03,0,0,0.46,189,4.43,15
20191023,003000,0,-127,0,1.7,0.06,0,0,14.04,0.04,0,0,0.45,273,3.72,15
20191023,004500,0,-127,0,1.97,0.07,0,0,16.26,0.04,0,0,0.44,63,5.76,15
20191023,010000,0,-127,0,2.06,0.07,0,0,17.02,0.05,0,0,0.43,105,4.52,15
20191023,011500,0,-127,0,2.18,0.07,0,0,18,0.05,0,0,0.44,168,2.84,15
20191023,013000,0.08,-127,0,2.05,0.07,0,0,16.9,0.05,0,0,0.44,189,2.22,15
20191023,014500,0,-127,0,1.97,0.06,0,0,16.24,0.04,0,0,0.46,315,1.33,15
20191023,020000,0,-127,0,1.92,0.06,0,0,15.82,0.04,0,0,0.44,231,2.13,15
20191023,021500,0,-127,0,1.85,0.06,0,0,15.27,0.04,0,0,0.43,126,2.84,15
20191023,023000,0,-127,0,1.89,0.06,0,0,15.62,0.04,0,0,0.42,0,0,15
20191023,024500,0,-127,0,1.79,0.06,0,0,14.79,0.04,0,0,0.43,0,0,15
20191023,030000,0,-127,0,1.91,0.06,0,0,15.78,0.04,0,0,0.44,0,0,15
20191023,031500,0,-127,0,1.92,0.06,0,0,15.89,0.04,0,0,0.44,231,0,15
20191023,033000,0,-127,0,1.83,0.06,0,0,15.11,0.04,0,0,0.44,315,0,15
20191023,034500,0.08,-127,0,1.94,0.07,0,0,16.05,0.05,0,0,0.44,315,0,15
20191023,040000,0,-127,0,1.99,0.07,0,0,16.39,0.05,0,0,0.43,315,0,15
20191023,041500,0,-127,0,1.92,0.06,0,0,15.83,0.04,0,0,0.44,315,0.35,15
20191023,043000,0,-127,0,1.79,0.06,0,0,14.77,0.04,0,0,0.44,210,0.98,15
20191023,044500,0,-127,0,1.79,0.06,0,0,14.77,0.04,0,0,0.44,0,0.8,15
20191023,050000,1.51,-127,0,1.66,0.06,0,0,13.75,0.04,0,0,0.45,252,0.71,15
20191023,051500,28.83,-127,0,1.66,0.06,0,0,13.67,0.04,0,0,0.44,315,0,15
20191023,053000,64.84,-127,0,1.85,0.06,0,0,15.28,0.04,0,0,0.46,315,0.09,15
20191023,054500,101.24,-127,0,2.07,0.07,0,0,17.07,0.05,0,0,0.44,315,0.09,15
20191023,060000,197.65,-127,0,1.69,0.06,0,0,13.96,0.04,0,0,0.45,315,4.08,15
20191023,061500,208.22,-127,0,1.62,0.05,0,0,13.35,0.04,0,0,0.45,231,8.16,15
20191023,063000,215.79,-127,0,1.85,0.06,0,0,15.24,0.04,0,0,0.45,189,7.45,15
20191023,064500,272.8,-127,0,1.62,0.05,0,0,13.36,0.04,0,0,0.44,189,12.15,15
20191023,070000,385.65,-127,0,1.6,0.05,0,0,13.18,0.04,0,0,0.44,189,10.37,15
20191023,071500,449.97,-127,0,1.48,0.05,0,0,12.22,0.03,0,0,0.42,168,10.64,15
20191023,073000,467.84,-127,0,1.48,0.05,0,0,12.19,0.03,0,0,0.42,231,15.87,15
20191023,074500,602.87,-127,0,1.62,0.05,0,0,13.4,0.04,0,0,0.46,252,13.3,15
20191023,080000,658.19,-127,0,1.66,0.06,0,0,13.71,0.04,0,0,0.44,252,12.32,15
20191023,081500,706.98,-127,0,1.69,0.06,0,0,13.93,0.04,0,0,0.44,147,13.65,15
20191023,083000,755.25,-127,0,1.72,0.06,0,0,14.2,0.04,0,0,0.43,168,14.01,15
20191023,084500,811.35,-127,0,1.74,0.06,0,0,14.33,0.04,0,0,0.43,84,13.65,15
20191023,090000,121.53,-4.71,2.2,0.78,0.06,624.41,0,15.77,0.04,0,0,7.73,151.07,3.52,14
20191023,091500,0,29.7,2.45,0.44,0.06,781.51,0,16.36,0.04,0,0,14.13,123.12,0,8
20191023,093000,0,29.05,1.95,0.42,0.06,847.62,0,14.29,0.04,0,0,13.3,12,0,15
20191023,094500,0,29.71,2.03,0.42,0.06,943.9,0,14.38,0.04,0,0,14.01,18,0,15
20191023,100000,0,28.6,2.22,0.43,0.06,319.11,0,16.01,0.04,0,0,6.74,18,0,15
20191023,101500,0,30.18,2.14,0.45,0.06,594.78,0,15.41,0.04,0,0,5.5,197.67,0,15
20191023,103000,0,32.01,1.78,0.43,0.05,1065.1,0,11.74,0.03,0,0,7.09,157,0,15
20191023,104500,0,31.96,1.58,0.43,0.04,1067.45,0,9.93,0.03,0,0,9.66,82.33,0,15
20191023,110000,0,31.49,1.55,0.42,0.04,1044.75,0,10.07,0.03,0,0,9.58,135.67,0,15
20191023,111500,0,30.4,1.48,0.43,0.04,1054.27,0,9.89,0.03,0,0,15.69,31.33,0,15
20191023,113000,0,31.24,1.58,0.43,0.04,1057.66,0,10.66,0.03,0,0,11.7,64.33,0,15
20191023,114500,0,31.39,1.66,0.45,0.05,990.87,0,11.91,0.03,0,0,10.64,130,0,15
20191023,120100,0,31.59,1.48,0.43,0.04,1041.15,0,9.62,0.03,0,0,9.12,158.57,0,14
20191023,121500,0,32.11,1.35,0.43,0.04,1018.66,0,9.02,0.02,0,0,10.11,231.67,0,15
20191023,123000,0,31.85,1.4,0.44,0.03,1006.65,0,8.97,0.02,0,0,13.57,140.33,0,15
20191023,124500,0,32.57,1.3,0.45,0.04,975.99,0,8.66,0.02,0,0,9.04,166,0,15
20191023,130000,0,31.96,1.7,0.43,0.04,948.6,0,9.03,0.03,0,0,15.34,121.33,0,15
20191023,131500,0,31.99,1.33,0.44,0.04,916.11,0,9.3,0.02,0,0,13.03,67.33,0,15
20191023,133000,0,32.95,1.34,0.43,0.03,880.23,0,8.46,0.02,0,0,8.33,181,0,15
20191023,134500,0,32.33,1.55,0.42,0.04,790.87,0,9.6,0.03,0,0,11.79,80.67,0,15
20191023,140000,0,32.69,1.4,0.43,0.04,743.25,0,9.47,0.03,0,0,9.66,149.67,0,15
20191023,141500,0,32.58,1.57,0.46,0.04,740.64,0,10.45,0.03,0,0,11.44,103,0,15
20191023,143000,0,33.95,1.32,0.46,0.04,687.41,0,9.53,0.03,0,0,6.83,227.67,0,15
