dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n
20191025,000100,0,3.38,0.11,0,0,27.85,0.08,0,0,0.45,25.46,35.36,15.29,14
20191025,001500,0,3.29,0.11,0,0,27.11,0.08,0,0,0.44,25.43,30,17.64,15
20191025,003000,0,3.13,0.1,0,0,25.86,0.07,0,0,0.45,25.28,51,17.91,15
20191025,004500,0,3.29,0.11,0,0,27.16,0.07,0,0,0.44,25.02,33,16.4,15
20191025,010000,0,3.39,0.11,0,0,27.99,0.08,0,0,0.45,24.78,54,14.28,15
20191025,011500,0,3.52,0.12,0,0,29.03,0.08,0,0,0.46,24.45,35.36,12.45,14
20191025,013000,0,3.45,0.11,0,0,28.44,0.08,0,0,0.43,24.14,33,12.24,15
20191025,014500,0,3.16,0.1,0,0,26.11,0.07,0,0,0.45,24.18,36,11.62,15
20191025,020000,0,3.1,0.1,0,0,25.6,0.07,0,0,0.45,24.4,48,12.24,15
20191025,021500,0,3.18,0.11,0,0,26.25,0.07,0,0,0.45,24.43,30,13.3,15
20191025,023000,0,2.91,0.1,0,0,24,0.07,0,0,0.45,24.41,27,12.32,15
20191025,024500,0,3.04,0.1,0,0,25.07,0.07,0,0,0.43,24.27,36,10.46,15
20191025,030000,0,2.92,0.1,0,0,24.11,0.07,0,0,0.45,24.37,27,13.65,15
20191025,031500,0,2.65,0.09,0,0,21.89,0.06,0,0,0.45,24.84,45,16.67,15
20191025,033000,0.34,2.45,0.08,0,0,20.24,0.05,0,0,0.44,24.84,51,17.47,15
20191025,034500,0,2.47,0.08,0,0,20.37,0.06,0,0,0.45,24.82,28.93,14.35,14
20191025,040000,0,2.38,0.08,0,0,19.66,0.05,0,0,0.45,24.83,42,14.63,15
20191025,041500,0,2.38,0.08,0,0,19.59,0.05,0,0,0.47,24.6,18,16.05,15
20191025,043000,0,2.52,0.08,0,0,20.79,0.06,0,0,0.47,24.4,36,16.58,15
20191025,044500,0,2.52,0.08,0,0,20.76,0.06,0,0,0.48,24.25,26.25,14.19,12
20191025,050000,0.81,2.39,0.08,0,0,19.74,0.05,0,0,0.45,24.38,27,13.74,15
20191025,051500,25.44,2.44,0.08,0,0,20.11,0.06,0,0,0.44,25.31,36,14.28,15
20191025,053000,68.88,2.53,0.08,0,0,20.89,0.06,0,0,0.44,26.4,24,11.62,15
20191025,054500,115.8,2.57,0.08,0,0,21.18,0.06,0,0,0.44,27.12,12.86,15.11,14
20191025,060000,164.12,2.59,0.09,0,0,21.34,0.06,0,0,0.44,17.22,30,15.87,15
20191025,061500,218.4,2.64,0.09,0,0,21.8,0.06,0,0,0.44,28.03,24,17.2,15
20191025,063000,286.63,2.59,0.09,0,0,21.39,0.06,0,0,0.43,29.07,27,20.13,15
20191025,064500,339.86,2.58,0.09,0,0,21.32,0.06,0,0,0.44,29.46,33,18.71,15
20191025,070000,397.52,2.68,0.09,0,0,22.13,0.06,0,0,0.45,30.08,27,18.18,15
20191025,071500,452.45,2.8,0.09,0,0,23.1,0.06,0,0,0.45,30.86,18,15.34,15
20191025,073000,502.57,2.57,0.09,0,0,21.21,0.06,0,0,0.45,31.19,25.71,16.62,14
20191025,074500,549.77,2.59,0.09,0,0,21.38,0.06,0,0,0.46,31.79,51,19.15,15
20191025,080000,620.22,2.54,0.08,0,0,20.95,0.06,0,0,0.45,32.55,12,19.06,15
20191025,081500,679.19,2.41,0.08,0,0,19.88,0.05,0,0,0.42,32.55,48,21.72,15
20191025,083000,725.51,2.37,0.08,0,0,19.58,0.05,0,0,0.44,33.15,21,19.86,15
20191025,084500,772.49,2.54,0.09,0,0,20.95,0.06,0,0,0.44,33.69,32.14,18.81,14
20191025,090000,810.05,2.49,0.08,0,0,20.56,0.06,0,0,0.42,34.23,18,19.86,15
20191025,091500,848.27,2.52,0.08,0,0,20.76,0.06,0,0,0.44,34.54,36,17.38,15
20191025,093000,889.11,2.43,0.08,0,0,20.09,0.06,0,0,0.43,34.97,42,18.8,15
20191025,094500,925.64,2.12,0.07,0,0,17.5,0.05,0,0,0.42,35.26,15,18.8,15
20191025,100000,940.51,2.23,0.07,0,0,18.4,0.05,0,0,0.43,36,3,13.39,15
20191025,101500,966.21,2.1,0.07,0,0,17.36,0.05,0,0,0.43,35.75,21,15.69,15
20191025,103000,989.99,2.27,0.07,0,0,18.74,0.05,0,0,0.43,35.83,32.14,15.29,14
20191025,104500,999.48,2.83,0.09,0,0,23.31,0.06,0,0,0.43,36.08,42,14.81,15
20191025,110000,1010.44,2.96,0.1,0,0,24.44,0.07,0,0,0.42,36.77,15,10.02,15
20191025,111500,1015.39,4.11,0.14,0,0,33.93,0.09,0,0,0.42,35.93,63,9.49,15
20191025,113000,1008.48,4.3,0.14,0,0,35.43,0.1,0,0,0.41,36.58,61.33,10.02,15
20191025,114500,1012.52,4.67,0.16,0,0,38.54,0.11,0,0,0.41,36.88,45,9.75,15
20191025,120100,998.38,5.13,0.17,0,0,42.32,0.12,0,0,0.41,36.61,16.07,7.89,14
20191025,121500,893.15,4.94,0.17,0,0,40.74,0.11,0,0,0.42,37.5,223.33,10.11,15
20191025,123000,974.43,5.08,0.17,0,0,41.87,0.11,0,0,0.42,37.78,142.33,7.63,15
20191025,124500,956.82,5,0.17,0,0,41.25,0.11,0,0,0.41,37.76,156,10.29,15
20191025,130000,493.02,4.83,0.16,0,0,39.88,0.11,0,0,0.41,37.11,206.67,7.98,15
20191025,131500,684.67,4.53,0.15,0,0,37.42,0.1,0,0,0.41,37.25,144,6.38,15
20191025,133000,594.65,5.15,0.17,0,0,42.46,0.12,0,0,0.41,37.49,153,9.93,15
20191025,134500,813.18,4.83,0.16,0,0,39.84,0.11,0,0,0.43,38.27,213,12.32,15
20191025,140000,762.95,4.79,0.16,0,0,39.57,0.11,0,0,0.42,38.46,228,9.13,15
20191025,141500,726.16,5.24,0.17,0,0,43.26,0.12,0,0,0.41,38.67,207,8.6,15
20191025,143000,666.93,6.04,0.2,0,0,49.83,0.14,0,0,0.42,39.07,224.67,7.18,15
20191025,144500,633.14,5.56,0.18,0,0,45.83,0.13,0,0,0.42,38.05,153,7.89,15
20191025,150000,556.03,4.76,0.16,0,0,39.27,0.11,0,0,0.42,37.32,120,6.3,15
20191025,151500,460.67,4.22,0.14,0,0,34.79,0.1,0,0,0.42,37.87,186,7.98,15
20191025,153000,398.43,3.96,0.13,0,0,32.67,0.09,0,0,0.41,37.62,141,4.34,15
20191025,154500,204.44,4,0.13,0,0,33.04,0.09,0,0,0.41,36.99,213,5.76,15
20191025,160000,158.25,3.97,0.13,0,0,32.77,0.09,0,0,0.43,37.07,189,4.61,15
20191025,161500,96.28,4.11,0.14,0,0,33.95,0.09,0,0,0.44,35.29,147,5.23,15
20191025,163000,71.1,4.31,0.14,0,0,35.55,0.1,0,0,0.42,35.04,120,5.59,15
20191025,164500,39.4,4.6,0.15,0,0,37.92,0.1,0,0,0.42,34.66,165,4.88,15
20191025,170000,15.13,4.81,0.16,0,0,39.71,0.11,0,0,0.43,33.76,150,2.84,15
20191025,171500,1.36,4.69,0.16,0,0,38.66,0.11,0,0,0.44,33.22,141,3.1,15
20191025,173000,0,4.32,0.14,0,0,35.63,0.1,0,0,0.43,32.78,138,2.39,15
20191025,174500,0,4.34,0.14,0,0,35.79,0.1,0,0,0.43,32.07,99,2.93,15
20191025,180000,0,5.16,0.17,0,0,42.53,0.12,0,0,0.44,31.31,105,3.46,15
20191025,181500,0,5.69,0.19,0,0,46.95,0.13,0,0,0.45,31.11,120,1.6,15
20191025,183000,0,5.67,0.19,0,0,46.81,0.13,0,0,0.44,20.39,108,1.86,15
20191025,184500,0.08,5.69,0.19,0,0,46.91,0.13,0,0,0.46,30.3,173.57,4.18,14
20191025,190000,0.08,5.93,0.2,0,0,48.96,0.13,0,0,0.47,29.82,177,3.81,15
20191025,191500,0,5.16,0.17,0,0,42.6,0.12,0,0,0.45,29.49,171,1.33,15
20191025,193000,0,5.37,0.18,0,0,44.28,0.12,0,0,0.44,28.54,177,0.71,15
20191025,194500,0,5.75,0.19,0,0,47.43,0.13,0,0,0.45,18.16,180,4.61,15
20191025,200000,0,5.8,0.19,0,0,47.86,0.13,0,0,0.46,28.17,180,9.31,15
20191025,201500,0,5.36,0.18,0,0,44.21,0.12,0,0,0.47,27.14,180,7.71,15
20191025,203000,0,5.17,0.17,0,0,42.66,0.12,0,0,0.45,26.56,168,6.65,15
20191025,204500,0,5.23,0.17,0,0,43.18,0.12,0,0,0.47,26.29,180,7,15
20191025,210000,0,5.91,0.2,0,0,48.73,0.13,0,0,0.46,26.04,135,4.08,15
