dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20191003,092100,0,27.35,1.99,0.82,0.13,224.06,1.77,0.15,0.03,0.62,0,315,0,0
20191003,092200,0,12.71,0.81,0.29,0.05,104.25,0.7,0.06,0.01,0.64,0,315,0,0
20191003,095500,10.51,13.42,1.63,0.9,0.14,108.92,1.57,0.16,0.03,0.7,0,270,0,0
20191003,151300,12.49,13.7,0.86,0.31,0.05,112.45,0.75,0.06,0.01,0.63,0,270,0,0
20191003,151700,12.49,12,0.4,0,0,99.02,0.27,0,0,0.54,0,270,0,0
20191003,151900,8.53,15.38,1.18,0.51,0.08,125.87,1.07,0.1,0.02,0.57,0,270,0,0
20191003,152600,4.56,11.86,1.17,0.59,0.09,96.7,1.1,0.11,0.02,0.64,0,270,0,0
20191003,153100,16.46,13.14,0.76,0.25,0.04,107.92,0.64,0.05,0.01,0.63,0,270,0,0
20191003,153200,10.51,13.39,0.91,0.35,0.06,109.75,0.8,0.07,0.01,0.65,0,270,0,0
20191003,153300,2.58,12.79,0.95,0.39,0.06,104.78,0.85,0.07,0.01,0.65,0,90,0,0
20191003,153500,8.53,11.71,1.29,0.68,0.11,95.28,1.23,0.13,0.02,0.59,0,90,0,0
20191003,153600,14.48,12.01,0.99,0.45,0.07,98.23,0.9,0.08,0.02,0.63,0,90,0,0
20191003,154100,0,10.93,0.56,0.15,0.02,89.9,0.46,0.03,0.01,0.58,0,90,0,0
20191003,154200,0,11.96,0.72,0.25,0.04,98.15,0.62,0.05,0.01,0.61,0,90,0,0
20191003,154500,0,8.42,0.74,0.34,0.05,68.8,0.68,0.06,0.01,0.59,0,90,0,0
20191003,154900,0,11.33,0.38,0,0,93.49,0.26,0,0,0.51,27.25,90,0,0
20191003,155000,0,9.23,0.31,0,0,76.14,0.21,0,0,0.54,27.31,90,0,0
20191003,155000,0,9.48,0.33,0.01,0,78.22,0.23,0.01,0,0.59,27.31,90,0,0
20191003,155100,0,9.23,0.31,0,0,76.14,0.21,0,0,0.54,27.31,90,0,0
20191003,155100,0,9.48,0.33,0.01,0,78.22,0.23,0.01,0,0.59,27.31,90,0,0
20191003,155100,0,9.61,0.36,0.03,0,79.22,0.26,0.01,0,0.6,27.5,90,0,0
20191003,155100,0,10.27,0.4,0.05,0.01,84.64,0.3,0.01,0,0.6,27.31,90,0,0
20191003,155100,0,10.64,0.43,0.05,0.01,87.7,0.32,0.01,0,0.6,27.38,90,0,0
20191003,155100,0,10.48,0.45,0.07,0.01,86.33,0.34,0.02,0,0.61,27.31,90,0,0
20191003,155200,0,10.19,0.47,0.1,0.02,83.9,0.37,0.02,0.01,0.62,27.31,90,0,0
20191003,155700,0,10.18,0.5,0.12,0.02,83.74,0.4,0.02,0.01,0.61,27.25,90,0,0
20191003,155700,0,9.61,0.36,0.03,0,79.22,0.26,0.01,0,0.6,27.5,90,0,0
20191003,155700,0,10.27,0.4,0.05,0.01,84.64,0.3,0.01,0,0.6,27.31,90,0,0
20191003,155700,0,10.64,0.43,0.05,0.01,87.7,0.32,0.01,0,0.6,27.38,90,0,0
20191003,155700,0,10.48,0.45,0.07,0.01,86.33,0.34,0.02,0,0.61,27.31,90,0,0
20191003,155800,0,10.19,0.47,0.1,0.02,83.9,0.37,0.02,0.01,0.62,27.31,90,0,0
20191003,155800,0,10.18,0.5,0.12,0.02,83.74,0.4,0.02,0.01,0.61,27.25,90,0,0
20191003,155800,0,9.61,0.36,0.03,0,79.22,0.26,0.01,0,0.6,27.5,90,0,0
20191003,155800,0,10.27,0.4,0.05,0.01,84.64,0.3,0.01,0,0.6,27.31,90,0,0
20191003,155800,0,10.64,0.43,0.05,0.01,87.7,0.32,0.01,0,0.6,27.38,90,0,0
20191003,155800,0,10.48,0.45,0.07,0.01,86.33,0.34,0.02,0,0.61,27.31,90,0,0
20191003,155900,0,10.19,0.47,0.1,0.02,83.9,0.37,0.02,0.01,0.62,27.31,90,0,0
20191003,160200,0,10.18,0.5,0.12,0.02,83.74,0.4,0.02,0.01,0.61,27.25,90,0,0
20191003,160200,0,9.61,0.36,0.03,0,79.22,0.26,0.01,0,0.6,27.5,90,0,0
20191003,160300,0,10.27,0.4,0.05,0.01,84.64,0.3,0.01,0,0.6,27.31,90,0,0
20191003,160300,0,10.64,0.43,0.05,0.01,87.7,0.32,0.01,0,0.6,27.38,90,0,0
20191003,160300,0,10.48,0.45,0.07,0.01,86.33,0.34,0.02,0,0.61,27.31,90,0,0
20191003,160300,0,10.19,0.47,0.1,0.02,83.9,0.37,0.02,0.01,0.62,27.31,90,0,0
20191003,160500,0,10.18,0.5,0.12,0.02,83.74,0.4,0.02,0.01,0.61,27.25,90,0,0
20191003,160600,0,9.61,0.36,0.03,0,79.22,0.26,0.01,0,0.6,27.5,90,0,0
20191003,161300,0,10.27,0.4,0.05,0.01,84.64,0.3,0.01,0,0.6,27.31,90,0,0
20191003,170400,0,10.64,0.43,0.05,0.01,87.7,0.32,0.01,0,0.6,27.38,90,0,0
20191003,170500,0,10.48,0.45,0.07,0.01,86.33,0.34,0.02,0,0.61,27.31,90,0,0
20191003,170600,0,10.19,0.47,0.1,0.02,83.9,0.37,0.02,0.01,0.62,27.31,90,0,0
20191003,170700,0,10.18,0.5,0.12,0.02,83.74,0.4,0.02,0.01,0.61,27.25,90,0,0
20191003,170800,0,9.61,0.36,0.03,0,79.22,0.26,0.01,0,0.6,27.5,90,0,0
20191003,170900,0,10.27,0.4,0.05,0.01,84.64,0.3,0.01,0,0.6,27.31,90,0,0
20191003,171100,0,10.64,0.43,0.05,0.01,87.7,0.32,0.01,0,0.6,27.38,90,0,0
20191003,171200,0,10.48,0.45,0.07,0.01,86.33,0.34,0.02,0,0.61,27.31,90,0,0
20191003,171300,0,10.19,0.47,0.1,0.02,83.9,0.37,0.02,0.01,0.62,27.31,90,0,0
20191003,171400,0,10.18,0.5,0.12,0.02,83.74,0.4,0.02,0.01,0.61,27.25,90,0,0
20191003,171500,0,10.19,0.51,0.13,0.02,83.84,0.41,0.03,0.01,0.61,27.44,90,0,0
20191003,171600,12.49,9.09,1.91,1.22,0.19,72.57,1.93,0.22,0.04,0.78,27.5,90,0,0
20191003,171700,183.04,9.78,1.66,1.01,0.16,78.71,1.65,0.18,0.03,0.77,27.38,90,0,0
20191003,171800,270.3,10.1,1.33,0.76,0.12,81.8,1.3,0.14,0.02,0.73,27.5,90,0,0
20191003,171900,28.36,9.65,1.13,0.61,0.1,78.41,1.08,0.11,0.02,0.71,27.5,90,0,0
20191003,172000,12.49,9.27,1.07,0.57,0.09,75.32,1.02,0.11,0.02,0.71,27.5,90,0,0
20191003,172100,12.49,9.09,1.91,1.22,0.19,72.57,1.93,0.22,0.04,0.78,27.5,90,0,0
20191003,172200,183.04,9.78,1.66,1.01,0.16,78.71,1.65,0.18,0.03,0.77,27.38,90,0,0
20191003,172300,270.3,10.1,1.33,0.76,0.12,81.8,1.3,0.14,0.02,0.73,27.5,90,0,0
20191003,172400,28.36,9.65,1.13,0.61,0.1,78.41,1.08,0.11,0.02,0.71,27.5,90,0,0
20191003,172500,12.49,9.27,1.07,0.57,0.09,75.32,1.02,0.11,0.02,0.71,27.5,90,0,0
20191003,172600,12.49,9.09,1.91,1.22,0.19,72.57,1.93,0.22,0.04,0.78,27.5,90,0,0
20191003,172700,183.04,9.78,1.66,1.01,0.16,78.71,1.65,0.18,0.03,0.77,27.38,90,0,0
20191003,172800,270.3,10.1,1.33,0.76,0.12,81.8,1.3,0.14,0.02,0.73,27.5,90,0,0
20191003,172900,28.36,9.65,1.13,0.61,0.1,78.41,1.08,0.11,0.02,0.71,27.5,90,0,0
20191003,173000,12.49,9.27,1.07,0.57,0.09,75.32,1.02,0.11,0.02,0.71,27.5,90,0,0
20191003,173100,12.49,9.09,1.91,1.22,0.19,72.57,1.93,0.22,0.04,0.78,27.5,90,0,0
20191003,173200,183.04,9.78,1.66,1.01,0.16,78.71,1.65,0.18,0.03,0.77,27.38,90,0,0
20191003,173300,270.3,10.1,1.33,0.76,0.12,81.8,1.3,0.14,0.02,0.73,27.5,90,0,0
20191003,173400,28.36,9.65,1.13,0.61,0.1,78.41,1.08,0.11,0.02,0.71,27.5,90,0,0
20191003,173500,12.49,9.27,1.07,0.57,0.09,75.32,1.02,0.11,0.02,0.71,27.5,90,0,0
20191003,173600,12.49,9.09,1.91,1.22,0.19,72.57,1.93,0.22,0.04,0.78,27.5,90,0,0
20191003,173700,183.04,9.78,1.66,1.01,0.16,78.71,1.65,0.18,0.03,0.77,27.38,90,0,0
20191003,173800,270.3,10.1,1.33,0.76,0.12,81.8,1.3,0.14,0.02,0.73,27.5,90,0,0
20191003,173900,28.36,9.65,1.13,0.61,0.1,78.41,1.08,0.11,0.02,0.71,27.5,90,0,0
20191003,174000,12.49,9.27,1.07,0.57,0.09,75.32,1.02,0.11,0.02,0.71,27.5,90,0,0
20191003,174100,12.49,8.69,0.98,0.52,0.08,70.63,0.94,0.1,0.02,0.7,27.56,90,0,0
20191003,174200,12.49,8.72,0.91,0.47,0.07,71,0.87,0.09,0.02,0.68,27.44,90,0,0
20191003,174300,30.34,8.96,0.84,0.41,0.06,73.12,0.78,0.08,0.01,0.66,27.38,90,0,0
20191003,174400,28.36,9.44,0.76,0.34,0.05,77.24,0.69,0.06,0.01,0.63,27.5,90,0,0
20191003,174500,36.29,9.11,0.66,0.27,0.04,74.61,0.58,0.05,0.01,0.64,27.56,90,0,0
20191003,174600,44.22,9.45,0.66,0.26,0.04,77.49,0.58,0.05,0.01,0.64,27.44,90,0,0
20191003,174700,12.49,8.69,0.98,0.52,0.08,70.63,0.94,0.1,0.02,0.7,27.56,90,0,0
20191003,174800,12.49,8.72,0.91,0.47,0.07,71,0.87,0.09,0.02,0.68,27.44,90,0,0
