rainfall,vento_vel,tamanho_medio,massaPM1,massaPM2,irr,massaPM4,numPM4,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.0,7.98,0.44,3.04,0.1,0.0,0.0,0.0,0.0,0.07,000100,station,17.38,25.07,135.0,0.0,20191007.0
0.0,3.99,0.43,2.59,0.09,0.0,0.0,0.0,0.0,0.06,000200,station,17.44,21.33,90.0,0.0,20191007.0
0.0,7.98,0.43,3.04,0.1,0.6,0.0,0.0,0.0,0.07,000300,station,17.44,25.05,90.0,0.0,20191007.0
0.0,1.33,0.41,3.08,0.1,0.0,0.0,0.0,0.0,0.07,000400,station,17.31,25.42,135.0,0.0,20191007.0
0.0,2.66,0.41,3.28,0.11,0.0,0.0,0.0,0.0,0.07,000500,station,17.38,27.05,135.0,0.0,20191007.0
0.0,5.32,0.41,3.16,0.11,0.0,0.0,0.0,0.0,0.07,000600,station,17.31,26.1,135.0,0.0,20191007.0
0.0,6.65,0.42,3.36,0.11,0.0,0.0,0.0,0.0,0.08,000700,station,17.44,27.72,135.0,0.0,20191007.0
0.0,10.64,0.43,3.13,0.1,0.0,0.0,0.0,0.0,0.07,000800,station,17.31,25.79,90.0,0.0,20191007.0
0.0,3.99,0.43,3.02,0.1,0.0,0.0,0.0,0.0,0.07,000900,station,17.25,24.88,135.0,0.0,20191007.0
0.0,2.66,0.42,3.4,0.11,0.0,0.0,0.0,0.0,0.08,001000,station,17.19,28.09,135.0,0.0,20191007.0
0.0,9.31,0.42,3.12,0.1,0.0,0.0,0.0,0.0,0.07,001100,station,17.38,25.7,90.0,0.0,20191007.0
0.0,5.32,0.43,3.18,0.11,0.0,0.0,0.0,0.0,0.07,001200,station,17.44,26.26,135.0,0.0,20191007.0
0.0,7.98,0.42,3.05,0.1,0.0,0.0,0.0,0.0,0.07,001300,station,17.38,25.13,90.0,0.0,20191007.0
0.0,1.33,0.42,3.16,0.11,0.0,0.0,0.0,0.0,0.07,001400,station,17.31,26.11,135.0,0.0,20191007.0
0.0,2.66,0.42,3.11,0.1,0.0,0.0,0.0,0.0,0.07,001500,station,17.25,25.62,135.0,0.0,20191007.0
0.0,7.98,0.45,3.2,0.11,0.0,0.0,0.0,0.0,0.07,001600,station,17.19,26.37,90.0,0.0,20191007.0
0.0,0.0,0.44,3.12,0.1,0.0,0.0,0.0,0.0,0.07,001700,station,17.31,25.77,90.0,0.0,20191007.0
0.0,7.98,0.45,2.98,0.1,0.0,0.0,0.0,0.0,0.07,001800,station,17.31,24.55,90.0,0.0,20191007.0
0.0,11.97,0.45,3.31,0.11,0.0,0.0,0.0,0.0,0.08,001900,station,17.38,27.31,90.0,0.0,20191007.0
0.0,5.32,0.44,2.73,0.09,0.0,0.0,0.0,0.0,0.06,002000,station,17.44,22.49,135.0,0.0,20191007.0
0.0,13.3,0.45,3.44,0.11,0.0,0.0,0.0,0.0,0.08,002100,station,17.25,28.38,90.0,0.0,20191007.0
0.0,7.98,0.46,3.58,0.12,0.0,0.0,0.0,0.0,0.08,002200,station,17.38,29.56,90.0,0.0,20191007.0
0.0,10.64,0.45,3.78,0.13,0.0,0.0,0.0,0.0,0.09,002300,station,17.44,31.19,90.0,0.0,20191007.0
0.0,5.32,0.46,3.43,0.11,0.0,0.0,0.0,0.0,0.08,002400,station,17.31,28.28,90.0,0.0,20191007.0
0.0,2.66,0.47,3.34,0.11,0.0,0.0,0.0,0.0,0.08,002500,station,17.31,27.54,135.0,0.0,20191007.0
0.0,5.32,0.47,3.1,0.1,0.0,0.0,0.0,0.0,0.07,002600,station,17.31,25.59,135.0,0.0,20191007.0
0.0,5.32,0.48,3.28,0.11,0.0,0.0,0.0,0.0,0.07,002700,station,17.38,27.08,135.0,0.0,20191007.0
0.0,2.66,0.47,3.27,0.11,0.0,0.0,0.0,0.0,0.07,002800,station,17.19,26.96,90.0,0.0,20191007.0
0.0,3.99,0.46,2.96,0.1,0.0,0.0,0.0,0.0,0.07,002900,station,17.19,24.43,90.0,0.0,20191007.0
0.0,2.66,0.46,3.1,0.1,0.0,0.0,0.0,0.0,0.07,003000,station,17.12,25.57,90.0,0.0,20191007.0
0.0,9.31,0.46,3.51,0.12,0.0,0.0,0.0,0.0,0.08,003100,station,17.31,28.99,90.0,0.0,20191007.0
0.0,1.33,0.45,3.21,0.11,0.6,0.0,0.0,0.0,0.07,003200,station,17.38,26.52,135.0,0.0,20191007.0
0.0,0.0,0.45,3.36,0.11,0.0,0.0,0.0,0.0,0.08,003300,station,17.38,27.71,135.0,0.0,20191007.0
