vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
3.99,0.46,1.04,0.0,0.03,0.0,0.0,0.0,0.0,0.02,100,station,17.44,8.56,315.0,0.0,20191023.0
5.32,0.45,1.11,0.0,0.04,0.0,0.0,0.0,0.0,0.03,200,station,-127.0,9.17,315.0,0.0,20191023.0
5.32,0.46,0.95,0.0,0.03,0.0,0.0,0.0,0.0,0.02,300,station,-127.0,7.86,315.0,0.0,20191023.0
7.98,0.46,0.91,0.0,0.03,0.0,0.0,0.0,0.0,0.02,400,station,-127.0,7.51,315.0,0.0,20191023.0
10.64,0.45,1.19,0.0,0.04,0.0,0.0,0.0,0.0,0.03,500,station,-127.0,9.84,315.0,0.0,20191023.0
2.66,0.46,1.07,0.0,0.04,0.0,0.0,1.17,0.0,0.02,600,station,-127.0,8.85,315.0,0.0,20191023.0
5.32,0.46,1.07,0.0,0.04,0.0,0.0,0.0,0.0,0.02,700,station,-127.0,8.84,315.0,0.0,20191023.0
2.66,0.47,1.19,0.0,0.04,0.0,0.0,0.0,0.0,0.03,800,station,-127.0,9.82,315.0,0.0,20191023.0
5.32,0.47,1.38,0.0,0.05,0.0,0.0,0.0,0.0,0.03,900,station,-127.0,11.41,315.0,0.0,20191023.0
5.32,0.46,1.02,0.0,0.03,0.0,0.0,0.0,0.0,0.02,1000,station,-127.0,8.41,315.0,0.0,20191023.0
2.66,0.46,1.14,0.0,0.04,0.0,0.0,0.0,0.0,0.03,1100,station,-127.0,9.45,315.0,0.0,20191023.0
5.32,0.45,1.04,0.0,0.03,0.0,0.0,0.0,0.0,0.02,1200,station,-127.0,8.55,315.0,0.0,20191023.0
5.32,0.45,1.13,0.0,0.04,0.0,0.0,0.0,0.0,0.03,1300,station,-127.0,9.34,315.0,0.0,20191023.0
7.98,0.46,1.42,0.0,0.05,0.0,0.0,0.0,0.0,0.03,1400,station,-127.0,11.68,315.0,0.0,20191023.0
