dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n
20191018,000100,0,7.94,0.26,0,0,65.49,0.18,0,0,0.45,23.68,54.64,6.18,14
20191018,001500,0.17,7.99,0.27,0,0,65.91,0.18,0,0,0.45,24.28,54,10.11,15
20191018,003000,0.21,7.65,0.25,0,0,63.14,0.17,0,0,0.45,24.55,57,9.04,15
20191018,004500,0.04,7.35,0.24,0,0,60.68,0.17,0,0,0.43,24.91,48,11.62,15
20191018,010000,0.78,7.27,0.24,0,0,59.97,0.16,0,0,0.44,25.01,48,10.37,15
20191018,011500,0,7.06,0.23,0,0,58.23,0.16,0,0,0.45,25.32,42,9.58,15
20191018,013000,0,6.9,0.23,0,0,56.93,0.16,0,0,0.45,24.85,39,3.1,15
20191018,014500,0.08,7.12,0.24,0,0,58.77,0.16,0,0,0.44,24.44,24,3.19,15
20191018,020000,0,7.3,0.24,0,0,60.22,0.17,0,0,0.43,23.8,45,0.18,15
20191018,021500,0.08,7.26,0.24,0,0,59.9,0.16,0,0,0.44,23.28,108,2.75,15
20191018,023000,0.04,7.82,0.26,0,0,64.5,0.18,0,0,0.45,24.65,60,6.38,15
20191018,024500,0,7.88,0.26,0,0,64.98,0.18,0,0,0.43,24.47,54,4.43,15
20191018,030000,0,8.01,0.27,0,0,66.04,0.18,0,0,0.45,24.13,36,4.52,15
20191018,031500,0,8.1,0.27,0,0,66.79,0.18,0,0,0.45,23.88,33,3.01,15
20191018,033000,0.21,7.9,0.26,0,0,65.19,0.18,0,0,0.44,23.57,18,2.13,15
20191018,034500,0.08,7.71,0.26,0,0,63.64,0.17,0,0,0.44,22.63,147,0.44,15
20191018,040000,0.04,7.63,0.25,0,0,62.94,0.17,0,0,0.44,22.37,183,0.09,15
20191018,041500,0,7.82,0.26,0,0,64.49,0.18,0,0,0.45,21.86,135,0,15
20191018,043000,0.08,7.58,0.25,0,0,62.55,0.17,0,0,0.43,21.86,135,1.06,15
20191018,044500,0.3,7.55,0.25,0,0,62.26,0.17,0,0,0.44,22.07,135,0,15
20191018,050000,0.21,7.58,0.25,0,0,62.53,0.17,0,0,0.45,22,135,1.77,15
20191018,051500,9.15,7.33,0.24,0,0,60.49,0.17,0,0,0.45,22.73,81,2.48,15
20191018,053000,23.07,7.14,0.24,0,0,58.95,0.16,0,0,0.44,24.55,39,2.31,15
20191018,054500,50.04,6.62,0.22,0,0,54.63,0.15,0,0,0.44,25.23,45,0.09,15
20191018,060000,93.27,7.06,0.23,0,0,58.26,0.16,0,0,0.45,26.57,69,1.86,15
20191018,061500,130.95,7.99,0.27,0,0,65.93,0.18,0,0,0.44,26.91,168,3.28,15
20191018,063000,94.2,8.58,0.29,0,0,70.82,0.19,0,0,0.44,27.07,171,2.75,15
20191018,064500,80.71,11.24,0.37,0,0,92.7,0.25,0,0,0.45,26.63,270,1.95,15
20191018,070000,91.16,11.48,0.38,0,0,94.74,0.26,0,0,0.45,26.43,315,0.53,15
20191018,071500,114.3,11.78,0.39,0,0,97.18,0.27,0,0,0.44,27.76,252,0.35,15
20191018,073000,159.91,11.65,0.39,0,0,96.1,0.26,0,0,0.45,28.9,210,0.09,15
