rainfall,tamanho_medio,vento_vel,massaPM1,massaPM2,irr,massaPM4,numPM4,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.0,0.62,0.0,27.35,1.99,0.0,0.82,0.15,0.13,1.77,92100,station,0.0,224.06,315.0,0.03,20191003.0
0.0,0.64,0.0,12.71,0.81,0.0,0.29,0.06,0.05,0.7,92200,station,0.0,104.25,315.0,0.01,20191003.0
0.0,0.7,0.0,13.42,1.63,10.51,0.9,0.16,0.14,1.57,95500,station,0.0,108.92,270.0,0.03,20191003.0
0.0,0.63,0.0,13.7,0.86,12.49,0.31,0.06,0.05,0.75,151300,station,0.0,112.45,270.0,0.01,20191003.0
0.0,0.54,0.0,12.0,0.4,12.49,0.0,0.0,0.0,0.27,151700,station,0.0,99.02,270.0,0.0,20191003.0
0.0,0.57,0.0,15.38,1.18,8.53,0.51,0.1,0.08,1.07,151900,station,0.0,125.87,270.0,0.02,20191003.0
0.0,0.64,0.0,11.86,1.17,4.56,0.59,0.11,0.09,1.1,152600,station,0.0,96.7,270.0,0.02,20191003.0
0.0,0.63,0.0,13.14,0.76,16.46,0.25,0.05,0.04,0.64,153100,station,0.0,107.92,270.0,0.01,20191003.0
0.0,0.65,0.0,13.39,0.91,10.51,0.35,0.07,0.06,0.8,153200,station,0.0,109.75,270.0,0.01,20191003.0
1.0,0.65,50.54,12.79,0.95,2.58,0.39,0.07,0.06,0.85,153300,station,0.0,104.78,90.0,0.01,20191003.0
0.0,0.59,0.0,11.71,1.29,8.53,0.68,0.13,0.11,1.23,153500,station,0.0,95.28,90.0,0.02,20191003.0
0.0,0.63,0.0,12.01,0.99,14.48,0.45,0.08,0.07,0.9,153600,station,0.0,98.23,90.0,0.02,20191003.0
0.0,0.58,0.0,10.93,0.56,0.0,0.15,0.03,0.02,0.46,154100,station,0.0,89.9,90.0,0.01,20191003.0
0.0,0.61,0.0,11.96,0.72,0.0,0.25,0.05,0.04,0.62,154200,station,0.0,98.15,90.0,0.01,20191003.0
0.0,0.59,0.0,8.42,0.74,0.0,0.34,0.06,0.05,0.68,154500,station,0.0,68.8,90.0,0.01,20191003.0
0.0,0.51,0.0,11.33,0.38,0.0,0.0,0.0,0.0,0.26,154900,station,27.25,93.49,90.0,0.0,20191003.0
0.0,0.54,0.0,9.23,0.31,0.0,0.0,0.0,0.0,0.21,155000,station,27.31,76.14,90.0,0.0,20191003.0
0.0,0.0,0.59,9.48,0.33,0.0,0.01,0.01,0.0,0.23,155050,station,27.31,78.22,90.0,0.0,20191003.0
0.0,0.0,0.6,9.61,0.36,0.0,0.03,0.01,0.0,0.26,155100,station,27.5,79.22,90.0,0.0,20191003.0
0.0,0.0,0.6,10.27,0.4,0.0,0.05,0.01,0.01,0.3,155110,station,27.31,84.64,90.0,0.0,20191003.0
0.0,0.0,0.6,10.64,0.43,0.0,0.05,0.01,0.01,0.32,155120,station,27.38,87.7,90.0,0.0,20191003.0
0.0,0.0,0.61,10.48,0.45,0.0,0.07,0.02,0.01,0.34,155130,station,27.31,86.33,90.0,0.0,20191003.0
1.0,0.0,0.62,10.19,0.47,0.0,0.1,0.02,0.02,0.37,155140,station,27.31,83.9,90.0,0.01,20191003.0
1.0,0.0,0.61,10.18,0.5,0.0,0.12,0.02,0.02,0.4,155150,station,27.25,83.74,90.0,0.01,20191003.0
1.0,0.0,0.61,10.19,0.51,0.0,0.13,0.03,0.02,0.41,155200,station,27.44,83.84,90.0,0.01,20191003.0
0.0,0.0,0.78,9.09,1.91,12.49,1.22,0.22,0.19,1.93,155710,station,27.5,72.57,90.0,0.04,20191003.0
0.0,0.0,0.77,9.78,1.66,183.04,1.01,0.18,0.16,1.65,155720,station,27.38,78.71,90.0,0.03,20191003.0
0.0,0.0,0.73,10.1,1.33,270.3,0.76,0.14,0.12,1.3,155730,station,27.5,81.8,90.0,0.02,20191003.0
0.0,0.0,0.71,9.65,1.13,28.36,0.61,0.11,0.1,1.08,155740,station,27.5,78.41,90.0,0.02,20191003.0
0.0,0.0,0.71,9.27,1.07,12.49,0.57,0.11,0.09,1.02,155750,station,27.5,75.32,90.0,0.02,20191003.0
0.0,0.0,0.7,8.69,0.98,12.49,0.52,0.1,0.08,0.94,155800,station,27.56,70.63,90.0,0.02,20191003.0
0.0,0.0,0.68,8.72,0.91,12.49,0.47,0.09,0.07,0.87,155810,station,27.44,71.0,90.0,0.02,20191003.0
0.0,0.0,0.66,8.96,0.84,30.34,0.41,0.08,0.06,0.78,155820,station,27.38,73.12,90.0,0.01,20191003.0
0.0,0.0,0.63,9.44,0.76,28.36,0.34,0.06,0.05,0.69,155830,station,27.5,77.24,90.0,0.01,20191003.0
0.0,0.0,0.64,9.11,0.66,36.29,0.27,0.05,0.04,0.58,155840,station,27.56,74.61,90.0,0.01,20191003.0
0.0,0.0,0.64,9.45,0.66,44.22,0.26,0.05,0.04,0.58,155850,station,27.44,77.49,90.0,0.01,20191003.0
0.0,0.0,0.61,9.71,0.63,36.29,0.23,0.04,0.04,0.55,155900,station,27.44,79.69,90.0,0.01,20191003.0
0.0,0.0,0.59,8.91,0.34,0.0,0.03,0.01,0.0,0.25,160230,station,27.44,73.48,90.0,0.0,20191003.0
0.0,0.0,0.59,9.08,0.36,71.99,0.04,0.01,0.01,0.27,160250,station,27.44,74.8,90.0,0.0,20191003.0
0.0,0.0,0.59,8.94,0.36,16.46,0.05,0.01,0.01,0.27,160300,station,27.38,73.63,90.0,0.0,20191003.0
0.0,0.0,0.6,8.6,0.36,6.54,0.05,0.01,0.01,0.27,160310,station,27.44,70.83,90.0,0.0,20191003.0
0.0,0.0,0.59,8.2,0.34,4.56,0.05,0.01,0.01,0.25,160320,station,27.56,67.54,90.0,0.0,20191003.0
0.0,0.0,0.59,8.63,0.36,4.56,0.05,0.01,0.01,0.27,160330,station,27.5,71.11,90.0,0.0,20191003.0
0.0,0.0,0.53,11.31,0.38,0.6,0.0,0.0,0.0,0.26,160500,station,27.38,93.33,90.0,0.0,20191003.0
0.0,0.0,0.52,9.54,0.32,0.0,0.0,0.0,0.0,0.22,160600,station,27.56,78.74,90.0,0.0,20191003.0
0.0,0.0,0.62,9.75,1.82,2.58,1.13,0.21,0.18,1.83,161300,station,27.56,78.19,90.0,0.03,20191003.0
0.0,0.0,0.41,5.47,0.18,52.16,0.0,0.0,0.0,0.12,170400,station,0.0,45.11,90.0,0.0,20191003.0
0.0,1.33,0.43,5.17,0.17,44.22,0.0,0.0,0.0,0.12,170500,station,0.0,42.62,90.0,0.0,20191003.0
0.0,2.66,0.45,5.46,0.18,44.22,0.0,0.0,0.0,0.12,170600,station,0.0,45.05,180.0,0.0,20191003.0
0.0,5.32,0.46,4.67,0.16,44.22,0.0,0.0,0.0,0.11,170700,station,0.0,38.5,180.0,0.0,20191003.0
0.0,2.66,0.48,5.41,0.18,40.26,0.0,0.0,0.0,0.12,170800,station,0.0,44.61,225.0,0.0,20191003.0
0.0,7.98,0.46,6.15,0.2,34.31,0.0,0.0,0.0,0.14,170900,station,0.0,50.74,180.0,0.0,20191003.0
0.0,5.32,0.47,4.77,0.16,42.24,0.0,0.0,0.0,0.11,171100,station,29.69,39.36,180.0,0.0,20191003.0
0.0,6.65,0.46,4.92,0.16,32.33,0.0,0.0,0.0,0.11,171200,station,29.62,40.63,180.0,0.0,20191003.0
0.0,7.98,0.45,4.82,0.16,208.83,0.0,0.0,0.0,0.11,171300,station,29.56,39.74,180.0,0.0,20191003.0
0.75,7.98,0.43,5.13,0.17,30.34,0.0,0.0,0.0,0.12,171400,station,29.5,42.31,135.0,0.0,20191003.0
0.75,6.65,0.45,5.36,0.18,18.44,0.0,0.0,0.0,0.12,171500,station,29.62,44.2,180.0,0.0,20191003.0
