rainfall,vento_vel,tamanho_medio,massaPM1,massaPM2,irr,massaPM4,numPM4,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.0,5.32,0.44,7.79,0.26,0.0,0.0,0.0,0.0,0.18,000100,station,24.06,64.24,45.0,0.0,20191018.0
0.0,2.66,0.45,7.64,0.25,0.0,0.0,0.0,0.0,0.17,000200,station,23.94,63.0,90.0,0.0,20191018.0
0.0,7.98,0.45,8.58,0.29,0.0,0.0,0.0,0.0,0.19,000300,station,23.62,70.76,45.0,0.0,20191018.0
0.0,3.99,0.45,7.95,0.26,0.0,0.0,0.0,0.0,0.18,000400,station,23.62,65.6,45.0,0.0,20191018.0
0.0,5.32,0.43,7.72,0.26,0.0,0.0,0.0,0.0,0.18,000500,station,23.69,63.71,45.0,0.0,20191018.0
0.0,5.32,0.43,7.88,0.26,0.0,0.0,0.0,0.0,0.18,000600,station,23.5,65.05,45.0,0.0,20191018.0
0.0,15.96,0.44,7.13,0.24,0.0,0.0,0.0,0.0,0.16,000700,station,23.81,58.79,45.0,0.0,20191018.0
0.0,9.31,0.47,8.38,0.28,0.0,0.0,0.0,0.0,0.19,000800,station,24.0,69.11,45.0,0.0,20191018.0
0.0,5.32,0.48,7.57,0.25,0.0,0.0,0.0,0.0,0.17,000900,station,23.69,62.42,90.0,0.0,20191018.0
0.0,7.98,0.44,8.13,0.27,0.0,0.0,0.0,0.0,0.18,001000,station,23.56,67.07,45.0,0.0,20191018.0
0.0,2.66,0.45,7.67,0.26,0.0,0.0,0.0,0.0,0.17,001100,station,23.5,63.29,45.0,0.0,20191018.0
0.0,5.32,0.44,8.55,0.28,0.0,0.0,0.0,0.0,0.19,001200,station,23.38,70.54,45.0,0.0,20191018.0
0.0,5.32,0.44,7.96,0.27,0.0,0.0,0.0,0.0,0.18,001300,station,23.38,65.71,90.0,0.0,20191018.0
0.0,3.99,0.44,8.18,0.27,0.0,0.0,0.0,0.0,0.19,001400,station,23.81,67.51,45.0,0.0,20191018.0
0.0,5.32,0.43,7.66,0.25,0.0,0.0,0.0,0.0,0.17,001500,station,23.69,63.2,90.0,0.0,20191018.0
0.0,7.98,0.46,8.82,0.29,0.0,0.0,0.0,0.0,0.2,001600,station,23.69,72.79,45.0,0.0,20191018.0
0.0,13.3,0.44,8.0,0.27,2.58,0.0,0.0,0.0,0.18,001700,station,23.94,66.04,90.0,0.0,20191018.0
0.0,15.96,0.46,8.38,0.28,0.0,0.0,0.0,0.0,0.19,001800,station,24.31,69.1,45.0,0.0,20191018.0
0.0,7.98,0.44,7.63,0.25,0.0,0.0,0.0,0.0,0.17,001900,station,24.44,62.93,45.0,0.0,20191018.0
0.0,9.31,0.42,8.06,0.27,0.0,0.0,0.0,0.0,0.18,002000,station,24.38,66.51,45.0,0.0,20191018.0
0.0,9.31,0.44,7.97,0.27,0.0,0.0,0.0,0.0,0.18,002100,station,24.38,65.76,45.0,0.0,20191018.0
0.0,7.98,0.45,7.85,0.26,0.0,0.0,0.0,0.0,0.18,002200,station,24.25,64.73,45.0,0.0,20191018.0
0.0,7.98,0.47,7.36,0.24,0.0,0.0,0.0,0.0,0.17,002300,station,24.12,60.7,45.0,0.0,20191018.0
0.0,10.64,0.47,7.47,0.25,0.0,0.0,0.0,0.0,0.17,002400,station,24.31,61.63,90.0,0.0,20191018.0
0.0,15.96,0.44,8.08,0.27,0.0,0.0,0.0,0.0,0.18,002500,station,24.5,66.66,45.0,0.0,20191018.0
0.0,7.98,0.45,8.49,0.28,0.0,0.0,0.0,0.0,0.19,002600,station,24.5,70.01,45.0,0.0,20191018.0
0.0,15.96,0.43,7.75,0.26,0.0,0.0,0.0,0.0,0.18,002700,station,24.62,63.96,45.0,0.0,20191018.0
0.0,5.32,0.46,8.36,0.28,0.0,0.0,0.0,0.0,0.19,002800,station,24.56,68.99,45.0,0.0,20191018.0
0.0,10.64,0.47,7.96,0.26,0.0,0.0,0.0,0.0,0.18,002900,station,24.5,65.63,45.0,0.0,20191018.0
0.0,10.64,0.47,8.28,0.28,0.0,0.0,0.0,0.0,0.19,003000,station,24.44,68.33,45.0,0.0,20191018.0
0.0,10.64,0.47,7.98,0.27,0.0,0.0,0.0,0.0,0.18,003100,station,24.44,65.8,45.0,0.0,20191018.0
0.0,11.97,0.45,8.32,0.28,0.0,0.0,0.0,0.0,0.19,003200,station,24.5,68.63,45.0,0.0,20191018.0
0.0,13.3,0.46,7.61,0.25,0.0,0.0,0.0,0.0,0.17,003300,station,24.69,62.78,45.0,0.0,20191018.0
0.0,5.32,0.45,8.33,0.28,0.0,0.0,0.0,0.0,0.19,003400,station,24.44,68.76,45.0,0.0,20191018.0
0.0,3.99,0.44,7.62,0.25,0.0,0.0,0.0,0.0,0.17,003500,station,24.62,62.83,90.0,0.0,20191018.0
0.0,5.32,0.46,7.63,0.25,0.6,0.0,0.0,0.0,0.17,003600,station,24.69,62.98,90.0,0.0,20191018.0
0.0,7.98,0.47,6.93,0.23,0.0,0.0,0.0,0.0,0.16,003700,station,24.62,57.19,45.0,0.0,20191018.0
0.0,6.65,0.46,7.6,0.25,0.0,0.0,0.0,0.0,0.17,003800,station,24.62,62.7,90.0,0.0,20191018.0
0.0,5.32,0.47,7.35,0.24,0.0,0.0,0.0,0.0,0.17,003900,station,24.38,60.68,45.0,0.0,20191018.0
0.0,5.32,0.44,7.43,0.25,2.58,0.0,0.0,0.0,0.17,004000,station,24.44,61.32,45.0,0.0,20191018.0
0.0,7.98,0.45,7.53,0.25,0.0,0.0,0.0,0.0,0.17,004100,station,24.62,62.12,45.0,0.0,20191018.0
0.0,10.64,0.43,7.89,0.26,0.0,0.0,0.0,0.0,0.18,004200,station,24.62,65.09,45.0,0.0,20191018.0
0.0,11.97,0.42,7.11,0.24,0.0,0.0,0.0,0.0,0.16,004300,station,24.62,58.67,45.0,0.0,20191018.0
0.0,18.62,0.43,7.18,0.24,0.0,0.0,0.0,0.0,0.16,004400,station,24.44,59.2,90.0,0.0,20191018.0
0.0,7.98,0.43,7.31,0.24,0.0,0.0,0.0,0.0,0.17,004500,station,24.81,60.29,45.0,0.0,20191018.0
0.0,14.63,0.43,7.78,0.26,0.0,0.0,0.0,0.0,0.18,004600,station,24.75,64.15,45.0,0.0,20191018.0
0.0,10.64,0.42,8.04,0.27,0.0,0.0,0.0,0.0,0.18,004700,station,24.88,66.32,0.0,0.0,20191018.0
0.0,14.63,0.42,6.92,0.23,0.0,0.0,0.0,0.0,0.16,004800,station,24.75,57.06,45.0,0.0,20191018.0
0.0,7.98,0.43,6.63,0.22,0.0,0.0,0.0,0.0,0.15,004900,station,25.0,54.74,45.0,0.0,20191018.0
0.0,18.62,0.44,6.99,0.23,0.0,0.0,0.0,0.0,0.16,005000,station,25.06,57.69,45.0,0.0,20191018.0
0.0,7.98,0.43,6.8,0.23,0.0,0.0,0.0,0.0,0.15,005100,station,25.06,56.13,90.0,0.0,20191018.0
0.0,13.3,0.43,7.42,0.25,0.6,0.0,0.0,0.0,0.17,005200,station,25.06,61.25,45.0,0.0,20191018.0
0.0,10.64,0.43,7.93,0.26,0.0,0.0,0.0,0.0,0.18,005300,station,24.81,65.46,45.0,0.0,20191018.0
0.0,14.63,0.43,7.24,0.24,0.0,0.0,0.0,0.0,0.16,005400,station,24.75,59.74,0.0,0.0,20191018.0
0.0,6.65,0.43,7.8,0.26,0.0,0.0,0.0,0.0,0.18,005500,station,24.75,64.35,45.0,0.0,20191018.0
0.0,9.31,0.43,7.2,0.24,0.0,0.0,0.0,0.0,0.16,005600,station,25.0,59.38,45.0,0.0,20191018.0
0.0,13.3,0.42,7.39,0.25,0.0,0.0,0.0,0.0,0.17,005700,station,24.88,60.95,90.0,0.0,20191018.0
0.0,7.98,0.44,7.51,0.25,0.0,0.0,0.0,0.0,0.17,005800,station,25.0,61.94,90.0,0.0,20191018.0
0.0,15.96,0.43,7.36,0.24,0.0,0.0,0.0,0.0,0.17,005900,station,25.06,60.72,45.0,0.0,20191018.0
0.0,7.98,0.45,7.24,0.24,0.0,0.0,0.0,0.0,0.16,010000,station,25.06,59.77,45.0,0.0,20191018.0
0.0,10.64,0.45,6.98,0.23,0.0,0.0,0.0,0.0,0.16,010100,station,24.88,57.6,45.0,0.0,20191018.0
0.0,15.96,0.47,7.27,0.24,0.0,0.0,0.0,0.0,0.16,010200,station,24.75,59.97,45.0,0.0,20191018.0
0.0,11.97,0.47,7.08,0.24,0.0,0.0,0.0,0.0,0.16,010300,station,24.88,58.42,45.0,0.0,20191018.0
0.0,11.97,0.44,7.52,0.25,4.56,0.0,0.0,0.0,0.17,010400,station,24.81,62.05,45.0,0.0,20191018.0
0.0,10.64,0.46,7.92,0.26,0.0,0.0,0.0,0.0,0.18,010500,station,25.06,65.35,45.0,0.0,20191018.0
0.0,17.29,0.45,6.76,0.22,0.0,0.0,0.0,0.0,0.15,010600,station,24.94,55.77,45.0,0.0,20191018.0
0.0,15.96,0.43,7.06,0.24,0.0,0.0,0.0,0.0,0.16,010700,station,25.44,58.28,0.0,0.0,20191018.0
0.0,3.99,0.42,7.35,0.24,2.58,0.0,0.0,0.0,0.17,010800,station,25.19,60.65,180.0,0.0,20191018.0
0.0,7.98,0.42,7.77,0.26,0.0,0.0,0.0,0.0,0.18,010900,station,25.19,64.07,45.0,0.0,20191018.0
0.0,7.98,0.41,6.52,0.22,0.0,0.0,0.0,0.0,0.15,011000,station,25.12,53.83,45.0,0.0,20191018.0
0.0,2.66,0.41,7.73,0.26,0.0,0.0,0.0,0.0,0.18,011100,station,25.0,63.73,0.0,0.0,20191018.0
0.0,7.98,0.43,7.24,0.24,0.0,0.0,0.0,0.0,0.16,011200,station,24.81,59.71,45.0,0.0,20191018.0
0.0,13.3,0.43,7.26,0.24,4.56,0.0,0.0,0.0,0.16,011300,station,25.0,59.92,45.0,0.0,20191018.0
0.0,9.31,0.44,7.33,0.24,0.0,0.0,0.0,0.0,0.17,011400,station,25.06,60.47,45.0,0.0,20191018.0
0.0,10.64,0.44,7.62,0.25,0.0,0.0,0.0,0.0,0.17,011500,station,25.44,62.87,0.0,0.0,20191018.0
0.0,7.98,0.44,6.71,0.22,0.0,0.0,0.0,0.0,0.15,011600,station,25.25,55.39,45.0,0.0,20191018.0
0.0,14.63,0.45,6.7,0.22,0.0,0.0,0.0,0.0,0.15,011700,station,25.31,55.3,0.0,0.0,20191018.0
0.0,6.65,0.44,7.6,0.25,0.0,0.0,0.0,0.0,0.17,011800,station,25.31,62.72,45.0,0.0,20191018.0
0.0,7.98,0.46,7.03,0.23,0.0,0.0,0.0,0.0,0.16,011900,station,25.19,57.98,90.0,0.0,20191018.0
0.0,10.64,0.45,7.0,0.23,0.0,0.0,0.0,0.0,0.16,012000,station,25.25,57.78,45.0,0.0,20191018.0
0.0,13.3,0.43,7.07,0.24,0.0,0.0,0.0,0.0,0.16,012100,station,25.19,58.34,45.0,0.0,20191018.0
0.0,13.3,0.44,7.38,0.25,0.0,0.0,0.0,0.0,0.17,012200,station,25.69,60.85,45.0,0.0,20191018.0
