vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.0,0.53,0.97,0.0,0.03,0.0,0.0,-14.48,0.0,0.02,173000,station,0.0,8.04,315.0,0.0,20191022.0
0.0,0.54,1.19,0.0,0.04,0.0,0.0,-20.35,0.0,0.03,173100,station,0.0,9.79,315.0,0.0,20191022.0
2.66,0.54,0.9,0.0,0.04,0.01,0.0,-12.52,0.0,0.03,173200,station,0.0,7.43,315.0,0.0,20191022.0
2.66,0.54,1.0,0.0,0.13,0.07,0.01,-10.57,0.01,0.12,173300,station,0.0,8.09,315.0,0.0,20191022.0
0.0,0.53,0.98,0.0,0.03,0.0,0.0,-18.4,0.0,0.02,173400,station,0.0,8.05,315.0,0.0,20191022.0
0.0,0.54,0.72,0.0,0.08,0.04,0.01,-26.22,0.01,0.07,173500,station,0.0,5.9,315.0,0.0,20191022.0
0.0,0.53,0.74,0.0,0.02,0.0,0.0,-22.31,0.0,0.02,173600,station,0.0,6.14,315.0,0.0,20191022.0
0.0,0.53,0.8,0.0,0.03,0.0,0.0,-26.22,0.0,0.02,173700,station,0.0,6.64,315.0,0.0,20191022.0
0.0,0.54,1.11,0.0,0.17,0.1,0.02,-18.4,0.02,0.17,174000,station,0.0,8.96,315.0,0.0,20191022.0
0.0,0.54,1.42,0.0,0.23,0.14,0.03,-20.35,0.02,0.23,174100,station,0.0,11.46,315.0,0.0,20191022.0
0.0,0.54,1.27,0.0,0.21,0.13,0.02,-10.57,0.02,0.21,174200,station,0.0,10.18,315.0,0.0,20191022.0
0.0,0.54,0.98,0.0,0.17,0.11,0.02,-10.57,0.02,0.17,174300,station,0.0,7.83,315.0,0.0,20191022.0
0.0,0.55,0.81,0.0,0.13,0.08,0.01,-22.31,0.01,0.13,174400,station,0.0,6.56,315.0,0.0,20191022.0
0.0,0.54,0.93,0.0,0.17,0.1,0.02,0.0,0.02,0.17,174500,station,21.12,7.46,315.0,0.0,20191022.0
0.0,0.54,1.33,0.0,0.27,0.17,0.03,0.0,0.03,0.27,174600,station,0.0,10.6,315.0,0.01,20191022.0
0.0,0.53,1.15,0.0,0.06,0.01,0.0,0.0,0.0,0.04,174700,station,0.0,9.45,315.0,0.0,20191022.0
0.0,0.54,1.37,0.0,0.23,0.14,0.03,0.0,0.02,0.23,174800,station,0.0,10.99,315.0,0.0,20191022.0
1.33,0.55,1.43,0.0,0.3,0.19,0.03,0.0,0.03,0.31,174900,station,0.0,11.4,315.0,0.01,20191022.0
0.0,0.55,1.52,0.0,0.34,0.22,0.04,0.0,0.03,0.34,175000,station,0.0,12.11,315.0,0.01,20191022.0
1.33,0.56,1.49,0.0,0.35,0.22,0.04,0.0,0.04,0.35,175100,station,0.0,11.85,315.0,0.01,20191022.0
0.0,0.76,3.85,0.0,2.27,1.62,0.29,0.0,0.26,2.38,175400,station,20.81,28.5,315.0,0.05,20191022.0
0.0,0.75,3.36,0.0,2.07,1.48,0.27,0.0,0.24,2.17,175500,station,0.0,24.73,315.0,0.04,20191022.0
1.33,0.78,4.22,0.0,2.87,2.06,0.37,0.0,0.33,3.02,175600,station,0.0,30.71,315.0,0.06,20191022.0
0.0,0.76,3.48,0.0,2.3,1.65,0.3,0.0,0.26,2.42,175700,station,0.0,25.38,315.0,0.05,20191022.0
0.0,0.71,2.96,0.0,1.64,1.17,0.21,0.0,0.19,1.72,175900,station,20.94,22.1,315.0,0.03,20191022.0
0.0,0.65,2.83,0.0,1.23,0.86,0.15,0.0,0.14,1.28,180000,station,-127.0,21.64,315.0,0.03,20191022.0
0.0,0.63,2.82,0.0,1.02,0.7,0.13,0.0,0.11,1.06,180100,station,-127.0,21.85,315.0,0.02,20191022.0
0.0,0.59,3.28,0.0,0.92,0.61,0.11,0.0,0.1,0.94,180200,station,-127.0,25.81,315.0,0.02,20191022.0
0.0,0.57,2.26,0.0,0.51,0.33,0.06,0.0,0.05,0.51,180300,station,-127.0,18.03,315.0,0.01,20191022.0
0.0,0.53,3.22,0.0,0.11,0.0,0.0,3.13,0.0,0.07,180400,station,20.81,26.58,315.0,0.0,20191022.0
0.0,0.51,3.87,0.0,0.13,0.0,0.0,0.0,0.0,0.09,180600,station,20.75,31.95,315.0,0.0,20191022.0
