data,hora,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,rainfall,hum,n
20190905,135336,NA,15.17,15.68,15.68,15.68,125.16,125505,125.50999999999999,125.50999999999999,0.53,23.03,135,0,NA,NA,2
20190905,135551,NA,13.54,14,14,14,111.75,112.06,112.06,112.06,0.54,22.81,135,0,NA,NA,1
20190905,135658,NA,14.92,15.41,15.41,15.41,123.06,123.4,123.4,123.41,0.53,22.75,90,0,NA,NA,1
20190905,135805,NA,14.32,14.8,14.8,14.8,118.15,118.47,118.48,118.48,0.56,22.88,135,0,NA,NA,1
20190905,135912,NA,14.89,15.39,15.39,15.39,122.83,123.17,123.17,123.18,0.54,22.75,135,0,NA,NA,1
20190905,140019,NA,14.084999999999999,14557,14559,14559,116186,116509,116513,116518,536,22787,139.5,0,NA,NA,10
20190905,141220,NA,13975,14445,14445,14445,115.32,115.63499999999999,115.64,115.64,505,22.84,135,0,NA,NA,2
20190905,141331,NA,14.021666666666667,14.491666666666667,14.491666666666667,14.491666666666667,115.68833333333333,116.00833333333334,116.01,116.01666666666667,0.5283333333333333,22.833333333333332,127.5,0,NA,NA,6
20190905,142549,NA,13594,14392,14652,14692,111638,112316,112366,112374,548,22.926000000000002,117,0,NA,NA,5
20190905,141722,NA,13742,14276,14336,14344,113248,113642,113.66,113664,538,22862,135,0,NA,NA,5
20190905,140859,NA,13.916666666666668,14.386666666666667,14.386666666666667,14.386666666666667,114.84,115.15666666666667,115.16,115.16333333333334,0.5266666666666667,22.76,135,0,NA,NA,6
20190905,142912,NA,13.566666666666666,14.02,14.02,14.023333333333333,111.93333333333334,112.24333333333334,112.24333333333334,112.24666666666667,0.5233333333333333,22.73,105,0,NA,NA,3
20190905,150057,NA,14.807142857142857,15.302857142857142,15.302857142857142,15.302857142857142,122.17142857142856,122.51,122.51285714285714,122.51714285714286,0.5214285714285715,22.99142857142857,122.14285714285714,0,NA,NA,7
20190905,150205,NA,14446,14926,14926,14926,119166,119496,119498,119504,528,22974,126,0,NA,NA,5
20190905,150312,NA,14.448571428571428,14.93,14.93,14.93,119.20428571428572,119.53142857142856,119.53571428571428,119.54142857142857,0.5328571428571429,22.89142857142857,141.42857142857142,0,NA,NA,7
20190905,150526,NA,14.53,15.0175,15.0175,15.0175,119.8875,120215,120.22,120225,0.5225,22.9375,146.25,0,NA,NA,4
20190905,150633,NA,14.831666666666667,15.33,15.33,15.33,122.37833333333333,122.71666666666667,122.72,122.72333333333333,0.5266666666666667,22885,127.5,0,NA,NA,6
20190905,150848,NA,14.602500000000001,15.0875,15.0875,15.0875,120.4725,120805,120.8125,120.8125,0.5375000000000001,22.92,135,0,NA,NA,4
20190905,150955,NA,14.416666666666666,14.9,14.9,14.9,118.94,119.26666666666667,119.27,119.27333333333334,0.52,23.016666666666666,120,0,NA,NA,3
20190905,160026,NA,13.52,13975,13975,13975,111.56375,111.86875,111.8725,111875,525,23.14875,135,0,NA,NA,8
20190905,161248,NA,13.629999999999999,14.0875,14.0875,14.0875,112475,112.7825,112.7875,112.79249999999999,515,17.3425,123.75,0,NA,NA,4
20190905,160347,NA,13.15,13588,13588,13588,108.49,108.78999999999999,108792,108794,528,23122,117,0,NA,NA,5
20190905,160454,NA,13425,13.8725,13.8725,13.8725,110.75,111.05,111055,111.06,525,23.060000000000002,123.75,0,NA,NA,4
20190905,160601,NA,13.091666666666667,13.530000000000001,13.530000000000001,13.530000000000001,108015,108.30666666666667,108315,108315,525,23.133333333333333,120,0,NA,NA,6
20190905,160816,NA,13.24,13684,13684,13684,109244,109544,109548,109.55199999999999,538,23.16,126,0,NA,NA,5
20190905,160923,NA,13.372499999999999,13.8325,13.84,13.84,110.3275,110.6375,110.6425,110.65,0.5275000000000001,23155,135,0,NA,NA,4
20190905,170008,NA,12.047777777777778,12.467777777777778,12.482222222222223,12.484444444444446,99.3711111111111,99.66333333333333,99.67111111111112,99.67555555555556,0.5422222222222223,23.235555555555557,115,0,NA,NA,9
20190905,171253,NA,11925,12325,12325,12325,98.39,98.6625,98.66499999999999,98.67,0.53,23.232499999999998,123.75,0,NA,NA,4
20190905,171401,NA,12.122857142857143,12.534285714285714,12.538571428571428,12.54,100.01,100.29285714285714,100.2942857142857,100.29857142857142,0.5314285714285715,23.214285714285715,128.57142857142858,0,NA,NA,7
20190905,171508,NA,12122,12526,12526,12526,99998,100276,100.27799999999999,100.28,538,23226,126,0,NA,NA,5
20190905,171615,NA,11.95,12.356666666666666,12.36,12.36,98.60666666666667,98.88166666666666,98.88499999999999,98.89,0.54,23.196666666666665,135,0,NA,NA,6
20190905,171829,NA,12.106666666666667,12.513333333333334,12.513333333333334,12.513333333333334,99.89,100.16666666666667,100.17333333333333,100.17666666666666,0.5333333333333333,23.27,135,0,NA,NA,3
20190905,170916,NA,12138,12542,12542,12542,100.13,100404,100.41,100412,524,23226,135,0,NA,NA,5
20190905,180054,NA,12.956666666666667,13.41,13.426666666666666,13.43,106.86,107.17666666666666,107.18333333333334,107.18666666666667,0.56,23.25,105,0,NA,NA,3
20190905,180201,NA,10.96,11.33,11.33,11.33,90.43,90.68,90.68,90.68,0.55,23.25,90,0,NA,NA,1
20190905,180308,NA,12.156666666666666,12.586666666666666,12.6,12.603333333333333,100.28,100.57666666666667,100.58,100.58333333333333,0.55,23.23,135,0,NA,NA,3
20190905,180523,NA,12435,12.86,12.86,12.86,102625,102.91,102.91499999999999,102.91499999999999,0.55,23155,135,0,NA,NA,2
20190905,180630,NA,12794,13236,13244,13246,105556,105.86,105864,105.86800000000001,558,23.16,126,0,NA,NA,5
20190905,180844,NA,12.83,13.273333333333333,13.28,13.283333333333333,105.85666666666667,106.16333333333334,106.16666666666667,106.17,0.54,23.186666666666667,105,0,NA,NA,3
20190905,180954,NA,12185,12.59,12.59,12.59,100515,100795,100795,100.8,535,23215,112.5,0,NA,NA,2
20190905,200113,NA,11.954545454545455,12.377272727272727,12.396363636363636,12.399090909090908,98.59181818181818,98.89090909090909,98.89727272727272,98.89818181818181,0.5572727272727273,23.266363636363636,130.9090909090909,0,NA,NA,11
20190905,200220,NA,12.213333333333333,12.623333333333333,12.623333333333333,12.623333333333333,100775,101.05,101055,101.05666666666667,0.5466666666666667,23.281666666666666,135,0,NA,NA,6
20190905,200328,NA,12.32857142857143,12.752857142857144,12.76142857142857,12.762857142857143,101.70285714285714,101.99428571428571,102.00142857142858,102.00428571428571,0.5485714285714286,23.268571428571427,115.71428571428571,0,NA,NA,7
20190905,200542,NA,11.758571428571429,12.178571428571429,12.198571428571428,12.201428571428572,96.97,97.26428571428572,97.27,97.27428571428571,0.5571428571428572,23.294285714285714,115.71428571428571,0,NA,NA,7
20190905,200652,NA,11.663333333333334,12.072222222222223,12.084444444444445,12.084444444444445,96.21666666666667,96.5,96.50333333333333,96.50777777777778,0.5477777777777778,23.29222222222222,105,0,NA,NA,9
20190905,200800,NA,11.986666666666666,12415,12.436666666666667,12.438333333333333,98.85666666666667,99.15833333333333,99.16333333333333,99.16666666666666,0.54,23.27,127.5,0,NA,NA,6
20190905,200907,NA,11.678333333333335,12.08,12.09,12.09,96.35,96.62833333333333,96.63166666666666,96.63333333333333,0.5466666666666666,23.283333333333335,127.5,0,NA,NA,6
20190905,210041,NA,10.98,11.347999999999999,11352,11352,90568,90824,90824,90828,546,23526,117,0,NA,NA,5
20190905,210255,NA,10.723333333333333,11.076666666666666,11.076666666666666,11.076666666666666,88.44333333333333,88.69,88.69333333333333,88.69333333333333,0.5433333333333333,23.5,105,0,NA,NA,3
20190905,210403,NA,10966,11366,11392,11396,90418,90702,90.71000000000001,90712,532,23562,126,0,NA,NA,5
20190905,210511,NA,10575,10945,10955,10.96,87215,87465,87475,87.47999999999999,545,23.5,112.5,0,NA,NA,2
20190905,210618,NA,10.53,10.885000000000002,10.89,10.89,86845,87.09,87.09,87.1,535,23.439999999999998,135,0,NA,NA,2
20190905,212846,NA,10.22,10.56,10.56,10.56,84.28,84.51,84.52,84.52,0.53,23.56,135,0,NA,NA,1
20190905,210907,NA,11.170000000000002,11545,11.55,11.55,92.17,92.42,92.43,92.43,545,23.5,135,0,NA,NA,2
20190906,102102,NA,3964,4.15,4188,4196,32.614000000000004,32.757999999999996,32.766000000000005,32772,0.58,22.5,126,0,NA,NA,5
20190906,105214,NA,3.89,4.17,4.29,4.31,31.83,32.09,32.11,32.12,0.6,22.44,135,0,NA,NA,1
20190906,105430,NA,4.2,4.46,4.54,4.56,34.47,34.69,34.7,34.71,0.58,22.5,135,0,NA,NA,1
20190906,105537,NA,4.18,4.43,4.51,4.53,34.3,34.51,34.53,34.53,0.57,22.56,135,0,NA,NA,1
20190906,102610,NA,3965,4.13,4.154999999999999,4.16,32.667500000000004,32.7925,32.7975,32.8,555,22.53,123.75,0,NA,NA,4
20190906,102844,NA,3.8525,4.0225,4.05,4055,31.7075,31.84,31.8475,31.85,575,22.5925,146.25,0,NA,NA,4
20190906,110006,NA,4.18,4399,4458,4468,34383,34.56,34572,34575,578,22736,198,0,NA,NA,10
20190906,111226,NA,4108,4.3100000000000005,4356,4366,33786,33946,33956,33958,568,22762,243,0,NA,NA,5
20190906,110328,NA,4.1755555555555555,4.361111111111111,4.395555555555555,4.4,34.382222222222225,34.526666666666664,34.534444444444446,34.53666666666667,0.5577777777777778,22.77777777777778,210,0,NA,NA,9
20190906,110543,NA,4.123333333333333,4.321666666666667,4.366666666666667,4375,33945,34105,34.11333333333334,34.11333333333334,0.5616666666666666,22.791666666666668,232.5,0,NA,NA,6
20190906,110650,NA,4.3125,4545,4.60875,4.62,35.45875,35.65,35.6625,35665,0.5775,22.79625,208125,0,NA,NA,8
20190906,110757,NA,4255,4.4525,4495,4.5,35.0075,35.1625,35.1725,35.1725,0.5675,22.78,180,0,NA,NA,4
20190906,110905,NA,4116,4366,4454,4466,33.79,34006,34022,34028,584,22738,234,0,NA,NA,5
20190906,125121,NA,4.72,4.97,5.03,5.04,38.81,39.01,39.02,39.03,0.59,22.94,315,0,NA,NA,1
20190906,125228,NA,4.35,4.49,4.49,4.49,35.86,35.96,35.96,35.96,0.55,23.06,225,0,NA,NA,1
20190906,125335,NA,4425,4575,4575,4575,36525,36625,36625,36625,0.56,23.03,157.5,0,NA,NA,2
20190906,125550,NA,4.21,4.38,4.41,4.42,34.66,34.79,34.8,34.8,0.58,23,225,0,NA,NA,1
20190906,125657,NA,3.64,3.82,3.86,3.87,29.96,30.11,30.11,30.12,0.57,23.06,225,0,NA,NA,1
20190906,125804,NA,4.3,4.5,4.54,4.54,35.38,35.54,35.55,35.55,0.57,23.12,270,0,NA,NA,1
20190906,124907,NA,4.13,4.34,4.39,4.4,33.97,34.13,34.15,34.15,0.56,22.88,225,0,NA,NA,1
20190906,130143,NA,4.3185714285714285,4.47,4.477142857142857,4.478571428571429,35.605714285714285,35.714285714285715,35.71714285714286,35.71714285714286,0.5642857142857143,23.205714285714286,244.28571428571428,0,NA,NA,7
20190906,130250,NA,4162,4302,4304,4304,34334,34432,34432,34434,546,18.522000000000002,252,0,NA,NA,5
20190906,130357,NA,4.112857142857143,4.25,4.25,4.25,33.93857142857143,34.03,34.034285714285716,34.035714285714285,0.5414285714285715,23.134285714285713,212.14285714285714,0,NA,NA,7
20190906,130505,NA,4.15,4.2925,4.2925,4.2925,34.2275,34325,34.3275,34.3275,0.5425,23.060000000000002,225,0,NA,NA,4
20190906,130612,NA,4.2,4.341428571428572,4.341428571428572,4.341428571428572,34.645714285714284,34.744285714285716,34.744285714285716,34.745714285714286,0.5342857142857144,23.035714285714285,250.71428571428572,0,NA,NA,7
20190906,131833,NA,4.16,4.303333333333333,4.31,4.31,34.3,34.4,34.403333333333336,34.406666666666666,0.5566666666666666,23.04,225,0,NA,NA,3
20190906,130934,NA,4094,4.2379999999999995,4242,4244,33774,33874,33874,33.88,542,18538,252,0,NA,NA,5
20190906,140042,NA,4.2,4.34,4.343333333333334,4.343333333333334,34.656666666666666,34.75333333333333,34.75666666666667,34.75666666666667,0.5366666666666667,23.166666666666668,240,0,NA,NA,3
20190906,140256,NA,4.41,4.5649999999999995,4.5649999999999995,4.5649999999999995,36.394999999999996,36.504999999999995,36.504999999999995,36.504999999999995,0.55,23.19,225,0,NA,NA,2
20190906,143518,NA,4.01,4.14,4.14,4.14,33.06,33.15,33.15,33.16,0.56,23.31,270,0,NA,NA,1
20190906,143625,NA,4.5125,4.6674999999999995,4.6674999999999995,4.6674999999999995,37.24,37.34,37.3425,37345,0.5525,23515,213.75,0,NA,NA,4
20190906,143841,NA,4335,4475,4475,4475,35.745000000000005,35.849999999999994,35.849999999999994,35.849999999999994,545,23.5,270,0,NA,NA,2
20190906,143948,NA,4.66,4.86,4.89,4.89,38.43,38.58,38.58,38.58,0.57,23.5,180,0,NA,NA,1
20190906,150034,NA,4.5633333333333335,4.713333333333333,4.713333333333333,4.713333333333333,37.653333333333336,37.75333333333334,37.75666666666667,37.75666666666667,0.5466666666666667,23.583333333333332,210,0,NA,NA,3
20190906,150249,NA,4.58,4755,4775,4775,37735,37.864999999999995,37.870000000000005,37.870000000000005,0.5549999999999999,23.62,247.5,0,NA,NA,2
20190906,150356,NA,4.566666666666666,4.72,4.72,4.72,37.67666666666667,37.78333333333333,37.78333333333333,37.78333333333333,0.5433333333333333,23.64666666666667,225,0,NA,NA,3
20190906,150503,NA,4.71,4.87,4.87,4.87,38.864999999999995,38975,38975,38975,0.53,23655,247.5,0,NA,NA,2
20190906,150615,NA,4.576666666666666,4.743333333333333,4.75,4.753333333333334,37.75,37.86333333333334,37.87,37.87,0.5566666666666666,23.60666666666667,225,0,NA,NA,3
20190906,152807,NA,4.79,4.95,4.95,4.95,39.54,39.65,39.65,39.65,0.54,23.69,315,0,NA,NA,1
20190906,152914,NA,4.79,4.97,4.98,4.98,39.5,39.63,39.63,39.64,0.56,23.62,315,0,NA,NA,1
20190906,161017,NA,4925,5.09,5.09,5.09,40.620000000000005,40.74,40.74,40.74,0.51,23875,315,0,NA,NA,2
20190906,160225,NA,4.56,4.72,4.72,4.72,37.65,37.76,37.76,37.76,0.53,24.5,315,0,NA,NA,1
