dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,n
20191115,000100,0,20.66,0,5.36,0.18,0,0,44.18,0.12,0,0,0.45,176.79,0,14
20191115,001500,0,20.81,0,4.21,0.14,0,0,34.73,0.09,0,0,0.46,180,0,15
20191115,003000,0,20.45,0,3.49,0.12,0,0,28.78,0.08,0,0,0.47,180,0,15
20191115,004500,0,20.16,0,2.92,0.1,0,0,24.1,0.07,0,0,0.46,183,0,15
20191115,010000,0,19.84,0,2.71,0.09,0,0,22.37,0.06,0,0,0.47,180,0,15
20191115,011500,0.21,19.53,0,3.1,0.1,0,0,25.54,0.07,0,0,0.46,180,0,15
20191115,013000,0,19.2,0,3.07,0.1,0,0,25.32,0.07,0,0,0.46,180,0,15
20191115,014500,0.08,19.17,0,3.16,0.11,0,0,26.03,0.07,0,0,0.47,180,0,15
20191115,020000,0,19.23,0,2.58,0.09,0,0,21.24,0.06,0,0,0.45,180,0,15
20191115,021500,0,19.03,0,2.53,0.08,0,0,20.84,0.06,0,0,0.45,180,0,15
20191115,023000,0,18.82,0,3.04,0.1,0,0,25.08,0.07,0,0,0.47,183,0,15
20191115,024500,0,18.78,0,2.49,0.08,0,0,20.53,0.06,0,0,0.46,180,0,15
20191115,030000,0,19.49,0,1.73,0.06,0,0,14.3,0.04,0,0,0.43,180,0,15
20191115,031500,0.08,19.79,0,1.72,0.06,0,0,14.23,0.04,0,0,0.44,180,0,15
20191115,033000,0,19.96,0,1.39,0.05,0,0,11.47,0.03,0,0,0.43,180,0,15
20191115,034500,0,20.17,0,1.15,0.04,0,0,9.47,0.03,0,0,0.43,180,0,15
20191115,040000,0,20.24,0,1.21,0.04,0,0,9.95,0.03,0,0,0.43,189,0,15
20191115,041500,0.08,20.2,0,1.04,0.03,0,0,8.58,0.02,0,0,0.47,180,0,15
20191115,043000,0,20.18,0,1.07,0.04,0,0,8.78,0.02,0,0,0.47,180,0,15
20191115,044500,1.17,20.2,0,1.21,0.04,0,0,9.97,0.03,0,0,0.46,180,0,15
20191115,050000,6.52,20.35,0,1.33,0.04,0,0,10.97,0.03,0,0,0.44,180,0,15
20191115,051500,29.75,20.84,0,4.4,0.15,0,0,36.29,0.1,0,0,0.46,171,0,15
20191115,053000,48.92,21.6,0,16.05,0.53,0,0,132.43,0.37,0.01,0,0.5,159,0,15
20191115,054500,73.06,21.49,0,6.14,0.2,0,0,50.68,0.14,0,0,0.49,177,0.44,15
20191115,060000,78.28,21.56,0,2.93,0.1,0,0,24.19,0.07,0,0,0.46,168,0.98,15
20191115,061500,111.94,22.36,0,1.8,0.06,0,0,14.85,0.04,0,0,0.44,177,1.86,15
20191115,063000,241.49,23.73,0,1.37,0.05,0,0,11.27,0.03,0,0,0.43,171,5.5,15
