dia_mes_ano,hora_minuto,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n
20191118,000000,0,0.09,212.1,0,0,39.63,15
20191118,001500,0,0.09,212.1,0,0,40.67,15
20191118,003000,0,0.09,212.1,0,0,40.22,15
20191118,004500,0,0.09,212.1,0,0,40.55,14
20191118,045000,7.5,0.18,217.06,32,0.13,474.61,10
20191118,050000,18,0.55,217.15,116.13,0.28,511.15,15
20191118,051500,30.6,1.03,218.59,221.8,0.47,531.63,15
20191118,053000,54.47,1.96,218.71,426.87,0.82,554.19,15
20191118,054500,94.07,3.66,217.91,794.6,1.45,565.92,15
20191118,060000,146.67,5.95,217.85,1294.07,2.33,567.22,15
20191118,061500,207.47,8.57,218.84,1873.73,3.34,571.24,15
20191118,063000,271.93,11.36,219.88,2498.47,4.42,573.67,15
20191118,064500,339.8,14.2,220.11,3125.13,5.55,571.86,15
20191118,070000,409.2,17.1,218.97,3741.47,6.68,566.98,15
20191118,071500,477.33,19.98,217.85,4351,7.85,561.53,15
20191118,073000,541.27,22.47,217.82,4892.47,8.91,555.87,15
20191118,074500,604,25.16,215,5408.53,9.95,551.6,15
20191118,080000,662.73,27.43,214.25,5877.27,10.95,544.77,15
20191118,081500,719.93,29.59,213.51,6259.87,11.88,540.47,15
20191118,083000,771.8,31.4,214.04,6720.27,12.76,535.53,15
20191118,084500,802,32.51,214.13,6964,13.26,535.57,3
20191118,090800,876.14,34.15,217.33,7424.57,14.48,523.1,7
20191118,091500,890.6,34.99,215.62,7546.8,14.71,521.52,5
20191118,094600,974.64,36.31,220.5,8007.93,16.04,508.54,14
20191118,100000,1001.2,36.96,219.22,8104.2,16.5,500.31,15
20191118,101500,1025.47,37.67,218.81,8243.47,16.58,505.99,15
20191118,103000,1050.93,37.65,219.41,8264.07,16.13,521.14,15
20191118,104500,1095.47,37.76,218.8,8264.87,15.94,527.71,15
20191118,110000,1139.87,37.76,218.84,8266.53,16,525.77,15
20191118,111500,1043.13,34.95,218.99,7669.13,14.96,521.49,15
20191118,113000,1139.73,37.28,221.57,8262.6,15.9,529.03,15
20191118,114500,1149,37.25,221.75,8263.13,16.19,519.93,15
20191118,120000,1162.07,37.08,222.79,8263.93,16.33,515.41,15
20191118,121500,784.33,25.47,218.71,5615.07,11.07,509.15,15
20191118,123000,885.2,28.92,219.74,6378.47,11.75,544.32,15
20191118,124500,1141.4,36.91,222.15,8200.27,16.11,518.71,15
20191118,130000,585.13,20.01,215.89,4400.2,8.57,505.22,15
20191118,131500,551.27,20.05,215.61,4448.73,8.08,532.73,15
20191118,133000,819.07,30.87,217.21,6734.73,13.33,515.93,15
20191118,134500,527.53,19.7,214.8,4278.27,8.53,506.65,15
20191118,140000,563.13,21.51,215.29,4661.2,9.55,497.5,15
20191118,141500,854.4,30.5,216.57,6552.87,14.04,482.77,15
20191118,143000,394.6,14.3,214.02,3098.93,6.34,492.75,15
20191118,144500,86.73,3.24,211.41,683.93,1.41,498.49,15
20191118,150000,141.93,5.54,211.88,1170.27,2.33,513.46,15
20191118,151500,182.67,6.95,210.55,1463.27,2.94,514.81,15
20191118,153000,416,16.88,214.73,3623.93,7.36,499.86,15
20191118,154500,253.47,8.69,212.51,1833.93,3.83,501.07,15
20191118,160000,305.6,8.41,212.49,1785.93,3.76,483.82,15
20191118,161500,235.14,6.58,213.12,1404.29,2.96,486.05,14
20191118,163000,138.6,4.45,214.12,949.4,1.82,536.35,15
20191118,164500,171.07,4.69,213.86,1000.8,1.81,565.28,15
20191118,170000,112.33,3.32,214.66,710.13,1.36,538.92,15
20191118,171500,49.2,1.58,214.23,336.33,0.7,511.45,15
20191118,173000,15.6,0.54,215.07,112.2,0.29,486.14,15
20191118,174500,1.87,0.11,214.87,11.6,0.07,435.39,15
20191118,180000,0,0.1,214.6,0,0,419.93,15
20191118,181500,0,0.1,214.6,0,0,86.39,15
20191118,183000,0,0.1,214.6,0,0,42.75,15
20191118,184500,0,0.1,214.6,0,0,40.78,15
20191118,190000,0,0.1,214.6,0,0,40.8,15
20191118,191500,0,0.1,214.6,0,0,40.23,15
20191118,193000,0,0.1,214.6,0,0,40.58,15
20191118,194500,0,0.1,214.6,0,0,40.33,15
20191118,200000,0,0.1,214.6,0,0,39.95,15
20191118,201500,0,0.1,214.6,0,0,40.07,15
20191118,203000,0,0.1,214.6,0,0,39.99,15
20191118,204500,0,0.1,214.6,0,0,39.85,15
20191118,210000,0,0.1,214.6,0,0,40.87,15
20191118,211500,0,0.1,214.6,0,0,41.41,15
20191118,213000,0,0.1,214.6,0,0,40.74,15
20191118,214500,0,0.1,214.6,0,0,40.95,15
20191118,220000,0,0.1,214.6,0,0,39.79,15
20191118,221500,0,0.1,214.6,0,0,39.75,15
20191118,223000,0,0.1,214.6,0,0,40.3,15
20191118,224500,0,0.1,214.6,0,0,41.11,15
20191118,230000,0,0.1,214.6,0,0,40.23,15
20191118,231500,0,0.1,214.6,0,0,40.62,15
20191118,233000,0,0.1,214.6,0,0,41.21,15
20191118,234500,0,0.1,214.6,0,0,41.15,15
