dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191108,001500,0,20.77,0,4.27,0.14,0,0,35.25,0.1,0,0,0.48,135,0,0,0.09,216.6,0,0,45.59,0
20191108,003000,0.08,20.87,0,4.19,0.14,0,0,34.6,0.1,0,0,0.47,207,0,0,0.09,216.6,0,0,46.29,0
20191108,004500,0,20.96,0,3.83,0.13,0,0,31.63,0.09,0,0,0.46,225,0,0,0.09,216.6,0,0,45.94,0
20191108,051500,1.04,21.07,0,8.28,0.27,0,0,68.32,0.19,0,0,0.45,192,10.02,9.2,0.2,218.43,38.27,0.14,479.19,67.09
20191108,053000,7.51,20.93,0,7.69,0.26,0,0,63.46,0.17,0,0,0.46,162,6.03,18,0.53,217.45,111,0.27,504.95,136.34
20191108,054500,31.44,21.29,0,7.37,0.24,0,0,60.78,0.17,0,0,0.46,207,2.48,45.07,1.58,217.92,342.6,0.69,530.84,366.28
20191108,060000,75.54,21.72,0,7.31,0.24,0,0,60.29,0.17,0,0,0.47,225,2.13,90.93,3.47,218.05,753.33,1.41,551.47,777.57
20191108,061500,54.27,21.94,0,6.64,0.22,0,0,54.81,0.15,0,0,0.46,225,4.43,70.87,2.67,216.79,576.93,1.11,542.41,602.08
20191108,063000,84.54,21.98,0,7.29,0.24,0,0,60.13,0.17,0,0,0.46,198,4.7,104.27,4.03,217.95,877,1.64,549.12,900.56
20191108,064500,175.6,23.1,0,7.06,0.23,0,0,58.23,0.16,0,0,0.47,189,6.03,195.33,7.82,218.39,1706.8,3.1,561.95,1742.05
20191108,070000,273.19,23.87,0,5.28,0.18,0,0,43.56,0.12,0,0,0.46,180,6.3,281.53,11.47,218.75,2514.8,4.48,568.88,2548.58
20191108,071500,107.37,23.13,0,5.6,0.19,0,0,46.18,0.13,0,0,0.46,180,4.88,126.07,4.9,217.28,1063.27,2,543.83,1087.66
20191108,073000,293.8,24.17,0,5.02,0.17,0,0,41.39,0.11,0,0,0.45,180,1.15,318.8,13.15,217.75,2866.2,5.14,567.52,2917.05
20191108,074500,511.42,25.18,0,5,0.17,0,0,41.22,0.11,0,0,0.45,180,4.61,520.6,21.17,219.39,4587.2,8.46,557.2,4713.91
20191108,080000,416.05,25.32,0,4.93,0.17,0,0,40.7,0.11,0,0,0.46,180,4.17,430.4,17.56,216.97,3811.73,6.99,552.07,3858.97
20191108,083000,634.96,26.92,0,6.03,0.2,0,0,49.71,0.14,0,0,0.45,210,8.51,637.6,25.52,217.25,5563.33,10.44,542.31,5661.72
20191108,084500,206.39,25.97,0,4.79,0.16,0,0,39.54,0.11,0,0,0.44,138,4.79,225.07,8.92,215.64,1925,3.64,538.93,1961.71
20191108,090000,155.35,25.83,0,5.01,0.17,0,0,41.34,0.11,0,0,0.44,205.71,3.9,178.33,7.33,214.49,1570.53,2.96,541.75,1603.58
20191108,091500,130.07,24.77,0,5.16,0.17,0,0,42.6,0.12,0,0,0.44,39,6.47,147.93,5.98,215.2,1285.33,2.42,542.97,1313.99
20191108,093000,276.71,25.35,0,5.89,0.2,0,0,48.56,0.13,0,0,0.45,0,8.25,307.13,12.66,217.71,2733.27,5.03,558.3,2808.25
20191108,094500,381.47,16.21,0,6.44,0.21,0,0,53.12,0.15,0,0,0.45,155,7.09,419.73,17.13,218.11,3736.13,6.87,551.61,3789.56
20191108,100000,484.8,16.44,0,4.68,0.16,0,0,38.62,0.11,0,0,0.45,52.33,8.87,525.73,21.27,219.02,4653.87,8.5,558.07,4743.6
20191108,101500,768.3,28.54,0,4.2,0.14,0,0,34.69,0.09,0,0,0.44,140.33,8.78,813.4,31,220.54,6847,12.7,548.34,6963.92
20191108,103000,750.82,29.13,0,4.34,0.15,0,0,35.82,0.1,0,0,0.44,129.67,8.25,762.87,28.85,219.78,6355.2,12.37,523.97,6481.51
20191108,104500,807.83,29.37,0,4.26,0.14,0,0,35.16,0.1,0,0,0.44,128.67,8.6,840.93,32,221.16,7079.33,13.76,522.88,7194.83
20191108,110000,691.32,29.57,0,4.09,0.13,0,0,33.74,0.09,0,0,0.43,45,7.36,734.47,27.99,220.57,6177.53,11.8,531.85,6275.83
20191108,111500,595.69,18.77,0,3.59,0.12,0,0,29.64,0.08,0,0,0.42,77.67,9.4,623.27,23.99,218.5,5258.67,10.05,534.97,5376.45
20191108,113000,377.3,29.06,0,3.49,0.12,0,0,28.82,0.08,0,0,0.44,79.33,4.79,400.73,15.92,216.41,3447.87,6.47,539.38,3489.79
20191108,114500,487.67,29.03,0,3.32,0.11,0,0,27.37,0.07,0,0,0.44,192.33,8.87,555,22.12,217.99,4822.87,8.93,549.71,4908.91
20191108,121500,579.91,29.53,0,2.93,0.1,0,0,24.17,0.07,0,0,0.42,179.33,10.11,598.93,23.32,218.82,5109.07,9.69,534.96,5183.76
20191108,123000,579.78,29.85,0,2.96,0.1,0,0,24.43,0.07,0,0,0.44,134.67,8.87,645.87,24.06,219.35,5297.33,9.87,541.43,5343.91
20191108,124500,703.59,29.41,0,2.76,0.09,0,0,22.79,0.06,0,0,0.45,125.33,12.95,715.33,27.4,220.78,6048.8,11.39,539.83,6148.66
20191108,130000,552.51,29.42,0,2.88,0.1,0,0,23.79,0.06,0,0,0.43,207.67,9.93,570.2,22.32,217.63,4860.73,9.17,536.45,4919.25
20191108,131500,423.75,18.01,0,3.06,0.1,0,0,25.28,0.07,0,0,0.44,97,8.96,453.2,18.01,216.77,3902.47,7.37,536.49,3953.93
20191108,134500,444.62,28.33,0,3.24,0.11,0,0,26.7,0.07,0,0,0.45,144.67,11.08,471.47,18.71,218.23,4082.73,7.65,540.85,4137.5
20191108,140000,473.45,29.28,0,2.98,0.1,0,0,24.62,0.07,0,0,0.45,133.33,7.54,514,20.4,215.88,4427.87,8.23,542.26,4462.8
20191108,141500,498.24,29.02,0,2.97,0.1,0,0,24.54,0.07,0,0,0.45,73,7.71,510.6,20.03,215.91,4334.67,8.23,533.6,4391.53
20191108,143000,742.99,30.73,0,2.91,0.1,0,0,23.97,0.07,0,0,0.44,194.67,7.89,787.53,29.85,219.31,6588.13,12.53,529.11,6629.75
20191108,144500,620.48,30.61,0,2.6,0.09,0,0,21.46,0.06,0,0,0.43,191.67,8.07,609.33,23.31,218.55,5105.8,9.99,521.69,5211.68
20191108,150000,381.94,30.76,0,2.4,0.08,0,0,19.82,0.05,0,0,0.42,228.93,6.75,359,13.82,215.15,2988.47,5.9,518.59,3059.68
20191108,151500,262.36,29.34,0,2.7,0.09,0,0,22.26,0.06,0,0,0.44,189.67,7.63,274.87,10.64,214.63,2314.2,4.35,530.07,2305.8
20191108,153000,228.83,29.04,0,2.5,0.08,0,0,20.65,0.06,0,0,0.44,142.33,4.97,239.93,9.59,215.55,2067.27,3.9,538.63,2100.66
20191108,154500,154.47,29.03,0,2.81,0.09,0,0,23.17,0.06,0,0,0.43,212.67,5.14,170.33,6.86,214.83,1471.6,2.78,540.13,1501.56
20191108,160000,109.72,28.24,0,2.87,0.09,0,0,23.67,0.07,0,0,0.43,247.33,6.3,128.8,5.23,212.8,1112.27,2.1,541.17,1136.46
20191108,161500,96.15,27.92,0,2.84,0.09,0,0,23.45,0.07,0,0,0.44,234,5.5,111.2,4.51,212.26,955.2,1.82,537.31,977.9
20191108,163000,69.67,27.76,0,2.99,0.1,0,0,24.62,0.07,0,0,0.45,228,4.97,84.8,3.36,213.56,716.67,1.4,529.53,741.34
20191108,164500,38.36,27.6,0,2.9,0.1,0,0,23.91,0.07,0,0,0.45,225,2.57,53.87,2.06,215.13,441.53,0.89,526.45,468.54
20191108,170000,24,27.11,0,2.65,0.09,0,0,21.84,0.06,0,0,0.44,225,2.66,38,1.38,214.93,298.47,0.62,507.63,314.73
20191108,171500,7.85,26.61,0,2.7,0.09,0,0,22.29,0.06,0,0,0.43,222,0,22.47,0.77,214.81,162.4,0.37,501.16,185.43
20191108,173000,0.89,25.97,0,2.75,0.09,0,0,22.66,0.06,0,0,0.45,216,0,3.93,0.13,215.55,16.33,0.08,437.93,35.03
20191108,174500,0,25.96,0,3.13,0.11,0,0,25.83,0.07,0,0,0.45,135,0,0,0.1,215.67,0,0,458.74,0
20191108,180000,0,25.6,0,2.87,0.1,0,0,23.67,0.06,0,0,0.45,132,0.62,0,0.1,215.7,0,0,266.41,0
20191108,181500,0,24.87,0,3.04,0.1,0,0,25.09,0.07,0,0,0.45,135,0,0,0.1,215.7,0,0,49.82,0
20191108,183000,0,24.14,0,3.43,0.11,0,0,28.33,0.08,0,0,0.45,135,0,0,0.1,215.7,0,0,45.25,0
