dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191017,001500,0,23.96,0,3.22,0.11,0,0,26.58,0.07,0,0,0.45,132,0.62,0,1.87,1.87,0,0,44.27,0
20191017,003000,0.48,23.87,0,3.2,0.11,0,0,26.43,0.07,0,0,0.43,153,0.44,0,1.87,1.87,0,0,45.71,0
20191017,004500,0.04,23.1,0,3.84,0.13,0,0,31.67,0.09,0,0,0.45,180,1.33,0,1.87,1.87,0,0,44.55,0
20191017,010000,0.08,22.77,0,5.55,0.18,0,0,45.81,0.13,0,0,0.47,180,0.35,0,1.87,1.87,0,0,44.85,0
20191017,011500,0,22.14,0,4.57,0.15,0,0,37.74,0.1,0,0,0.48,180,0.44,0,1.87,1.87,0,0,45.32,0
20191017,013000,0.04,22.5,0,4.69,0.16,0,0,38.73,0.11,0,0,0.47,180,2.48,0,1.87,1.87,0,0,43.64,0
20191017,014500,0.61,22.59,0,6.03,0.2,0,0,49.78,0.14,0,0,0.45,180,2.04,0,1.87,1.87,0,0,43.97,0
20191017,020000,0.38,21.89,0,5.67,0.19,0,0,46.74,0.13,0,0,0.45,180,1.51,0,1.87,1.87,0,0,45.24,0
20191017,021500,0.48,22.39,0,4.2,0.14,0,0,34.64,0.1,0,0,0.44,165,0.09,0,1.87,1.87,0,0,45.33,0
20191017,023000,0.3,22.39,0,4.18,0.14,0,0,34.49,0.09,0,0,0.45,135,0,0,1.87,1.87,0,0,45.8,0
20191017,024500,0.65,22.41,0,4.72,0.16,0,0,38.98,0.11,0,0,0.44,105,3.1,0,1.87,1.87,0,0,45.13,0
20191017,030000,0.08,23.3,0,3.99,0.13,0,0,32.92,0.09,0,0,0.45,144,2.31,0,1.87,1.87,0,0,44.33,0
20191017,031500,1.14,23.75,0,3.44,0.12,0,0,28.4,0.08,0,0,0.43,123,1.86,0,1.87,1.87,0,0,45.28,0
20191017,033000,0.3,23.55,0,3.79,0.13,0,0,31.26,0.09,0,0,0.45,111,3.64,0,1.87,1.87,0,0,45.33,0
20191017,034500,0,23.29,0,3.66,0.12,0,0,30.18,0.08,0,0,0.44,180,2.85,0,1.87,1.87,0,0,45.97,0
20191017,040000,0.61,23.87,0,3.67,0.12,0,0,30.27,0.08,0,0,0.47,153,4.43,0,1.87,1.87,0,0,46.45,0
20191017,041500,0,23.89,0,3.7,0.12,0,0,30.48,0.08,0,0,0.45,135,1.06,0,1.87,1.87,0,0,45.59,0
20191017,043000,0,22.84,0,3.75,0.12,0,0,30.96,0.09,0,0,0.45,135,0.53,0,1.87,1.87,0,0,49.12,0
20191017,044500,0.04,21.91,0,3.76,0.12,0,0,31,0.09,0,0,0.45,135,1.06,0,1.87,1.87,0,0,271.13,0
20191017,050000,1.42,22.03,0,3.87,0.13,0,0,31.94,0.09,0,0,0.44,135,0,2.47,1.29,73.69,6.87,0.04,505.63,20.23
20191017,051500,12.63,22.55,0,4.11,0.14,0,0,33.95,0.09,0,0,0.45,138,0.27,15.87,0.56,218.28,117.4,0.29,505.8,146.68
20191017,053000,44.36,24.23,0,4.08,0.13,0,0,33.67,0.09,0,0,0.45,153,1.68,35.73,1.42,217.6,306.8,0.63,531.14,334.62
20191017,054500,22.15,24.36,0,4.29,0.14,0,0,35.36,0.1,0,0,0.44,126,5.76,22.73,0.86,216.43,183.6,0.41,509.77,209.01
20191017,060000,8.22,24.06,0,4.66,0.15,0,0,38.45,0.11,0,0,0.44,33,3.46,15.47,0.52,216.86,108.93,0.27,498.41,134.57
20191017,061500,18.05,24.54,0,4.85,0.16,0,0,40.03,0.11,0,0,0.45,63,9.31,22.6,0.88,216.07,187.6,0.42,509.11,213.83
20191017,063000,24.13,24.7,0,4.9,0.16,0,0,40.43,0.11,0,0,0.44,153,2.93,32.4,1.35,215.57,288.13,0.6,521.52,312.91
20191017,064500,31.4,24.9,0,5,0.17,0,0,41.27,0.11,0,0,0.44,159,3.01,37.13,1.53,216.67,329.13,0.68,525.01,357.01
20191017,070000,37.22,24.95,0,5.61,0.19,0,0,46.3,0.13,0,0,0.44,135,1.86,44.47,1.86,214.51,392.93,0.79,529.35,418.19
20191017,071500,49.91,25.26,0,5.61,0.19,0,0,46.3,0.13,0,0,0.44,111,2.22,57.8,2.49,212.13,525.33,1.03,536.93,553.04
20191017,073000,91.82,25.86,0,7.06,0.24,0,0,58.26,0.16,0,0,0.44,102,7.89,94.4,4.26,213.66,909.07,1.71,546.48,934.48
20191017,074500,151.31,26.05,0,6.68,0.22,0,0,55.15,0.15,0,0,0.44,86.79,16.15,154.4,7.2,213.07,1531.93,2.78,560.69,1558.72
20191017,080000,178.42,26.32,0,7.09,0.24,0,0,58.46,0.16,0,0,0.45,72,23.32,175.47,8.13,212.72,1729,3.14,560.9,1761.23
20191017,081500,158.85,26.46,0,7.69,0.26,0,0,63.41,0.17,0,0,0.45,69,21.28,155.27,7.18,212.97,1527.73,2.8,554.94,1553.83
20191017,083000,132.94,26.2,0,7.48,0.25,0,0,61.74,0.17,0,0,0.44,78,19.77,135.53,6.23,213.07,1325.67,2.45,552.87,1354.53
20191017,084500,141.13,26.1,0,8.17,0.27,0,0,67.44,0.19,0,0,0.44,96,15.25,139.87,6.44,212.42,1361.33,2.53,551.67,1395.73
20191017,090000,145.89,25.96,0,8.19,0.27,0,0,67.57,0.19,0,0,0.45,87,16.49,138.27,6.45,214.17,1379.6,2.55,552.37,1408.54
20191017,091500,116.15,26.11,0,8.09,0.27,0,0,66.77,0.18,0,0,0.45,87,10.55,110.73,5.16,215.77,1112.53,2.06,550.64,1134.32
20191017,093000,134.26,26.5,0,7.69,0.26,0,0,63.45,0.18,0,0,0.45,126,4.43,122.73,5.81,214.49,1245,2.3,552.19,1270.04
20191017,094500,164.14,27.79,0,8.15,0.27,0,0,67.28,0.19,0,0,0.45,225,4.61,155.8,7.12,215.2,1529.6,2.82,552.95,1559.32
20191017,100000,163.34,27.69,0,10.92,0.36,0,0,90.09,0.25,0,0,0.46,198,3.99,160.07,7.25,215.53,1560.47,2.9,549.91,1594.74
20191017,101500,146.55,27.2,0,8.07,0.27,0,0,66.6,0.18,0,0,0.45,195,4.52,144.93,6.53,215.01,1403.6,2.63,544.85,1432.96
20191017,103000,129.5,27.57,0,8.45,0.28,0,0,69.72,0.19,0,0,0.46,165,3.37,130.73,5.91,214.53,1267,2.37,545.13,1291.96
20191017,104500,103.32,27.07,0,10,0.33,0,0,82.5,0.23,0,0,0.46,141,2.04,105.6,4.77,215.91,1028.6,1.94,543.64,1054.66
20191017,110000,149.6,27.72,0,10.03,0.33,0,0,82.71,0.23,0,0,0.46,150,1.86,165.67,7.42,215.89,1599.4,2.96,552.24,1634.63
20191017,111500,271.36,28.18,0,9.54,0.32,0,0,78.69,0.22,0,0,0.45,150,3.37,280.8,12.54,217.29,2724.07,4.97,556.49,2765.76
20191017,113000,383.08,29.23,0,9.07,0.3,0,0,74.83,0.21,0,0,0.46,147,4.08,378.07,16.7,219.11,3659.33,6.7,554.09,3712.4
20191017,114500,496.12,29.97,0,9,0.3,0,0,74.29,0.2,0,0,0.44,171,6.12,471.67,20.68,219.81,4544.73,8.42,549.51,4626.87
20191017,120000,867.1,32.1,0,9.48,0.32,0,0,78.2,0.21,0,0,0.44,219,7.98,854.6,31.99,222.57,7104.07,13.23,545.33,7214.72
20191017,121500,584.43,31.61,0,8.96,0.3,0,0,73.88,0.2,0,0,0.44,156,5.94,567.8,23.53,221.4,5203.93,10.11,522.42,5281.67
20191017,123000,339.05,31.03,0,9.07,0.3,0,0,74.8,0.21,0,0,0.44,195,5.94,311,13.85,218.47,3028.27,5.71,537.37,3068.38
20191017,124500,275.85,30.37,0,8.66,0.29,0,0,71.45,0.2,0,0,0.44,165,3.9,244.53,11.45,217.35,2486.27,4.61,546.58,2519.73
20191017,130000,249.28,30.53,0,8.45,0.28,0,0,69.71,0.19,0,0,0.44,165,4.26,231.6,10.73,216.57,2324,4.33,546.36,2365.74
