tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.1,000000
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.1,000100
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.2,000200
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.2,000300
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.3,000400
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.3,000500
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.2,000600
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.2,000700
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.2,000800
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.4,000900
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.4,001000
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.4,001100
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.4,001200
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.6,001300
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.6,001400
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.7,001500
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.7,001600
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.7,001700
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.7,001800
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.7,001900
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.7,002000
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.7,002100
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.7,002200
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.5,002300
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.5,002400
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.6,002500
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.6,002600
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.8,002700
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.8,002800
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.9,002900
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.9,003000
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.4,003100
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.4,003200
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.4,003300
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.4,003400
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.5,003500
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.5,003600
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.6,003700
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.6,003800
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.6,003900
inverter,0.0,0.0,0.0,0.11,215.9,20191022.0,46.6,004000
