dia,Vd1,Pd,Nloss,Vd2,m,x_gauss,SR
20191004,0.015320115777504036,1e-6,1.5e-8,0.015326528216962758,0.008501094665107558,0.0029929052203629997,0.883928323175702
20191005,0.02039166463895174,2e-6,3e-8,0.020398077078410463,0.021595492176634343,0.00659408864955784,0.7442691758560314
20191006,0.02217990516924061,3e-6,4.5e-8,0.022186317608699335,0.028695548355662234,0.008389868834165164,0.6746284525787776
20191007,0.020385087078572676,4e-6,6e-8,0.0203914995180314,0.036785857582906256,0.010355005534597372,0.5984224697279819
20191008,0.020746178658552338,4e-6,6e-8,0.020752591098011062,0.043926730245346754,0.012034639874107864,0.533290410837389
20191009,0.023184614828427402,5e-6,7.500000000000001e-8,0.023191027267886126,0.05549011863363449,0.014669754448844533,0.43111264161692675
20191010,0.02738168780135222,7e-6,1.05e-7,0.027388100240810943,0.07482160130159367,0.0188978325840683,0.2671840867005991
20191011,0.02815825666147434,8e-6,1.2e-7,0.028164669100933064,0.08756539125362844,0.021591720128748017,0.1627515576870482
20191012,0.02761094818081577,9e-6,1.35e-7,0.027617360620274492,0.09653591649940606,0.02345178190669332,0.09065051453431006
20191013,0.027428280138108656,1e-5,1.5000000000000002e-7,0.02743469257756738,0.10838722611288697,0.02586937087063305,-0.003052320533184716
20191014,0.02652642670329246,1.1e-5,1.6499999999999998e-7,0.026532839142751185,0.11456802034355618,0.027113984765320506,-0.05128755442731325
20191015,0.026336100877382165,1.2e-5,1.8e-7,0.02634251331684089,0.12694737827584862,0.02957667254298019,-0.14671972241779563
20191016,0.025997410342590295,1.3e-5,1.9499999999999999e-7,0.02600382278204902,0.1330038996304742,0.03076799567972178,-0.19288003573234058
20191017,0.02521502592847931,1.4e-5,2.1e-7,0.025221438367938033,0.1446262595833541,0.03303135087252946,-0.2805690497923947
20191018,0.024429404186870673,1.5e-5,2.25e-7,0.024435816626329397,0.16003195464165743,0.0359892889752264,-0.39514834038805713
20191023,0.02413525064907819,1.6e-5,2.4e-7,0.024141663088536915,0.16495644796875136,0.03692546101101758,-0.43140710356847367
20191024,0.02450594954534094,1.7e-5,2.55e-7,0.024512361984799665,0.17532380578443274,0.03888260083702119,-0.5072006712279977
