dia_mes_ano,hora_minuto,irr_est,irr_inv,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC,massaPM1,numPM1,massaPM2,numPM2,massaPM4,numPM4,massaPM10,numPM10,tamanho_medio,temp,vento_vel,vento_dir,rainfall
20191011,000000,0.13,0,1.87,1.87,0,0,43.14,0,3.86,31.82,0.13,0.09,0,0,0,0,0.45,24.12,12.38,72.46,0
20191011,010000,0,0,1.87,1.87,0,0,44.14,0,3.56,29.39,0.12,0.08,0,0,0,0,0.45,23.61,7.91,63,0
20191011,020000,0.03,0,1.87,1.87,0,0,45.09,0,3.67,30.27,0.12,0.08,0,0,0,0,0.45,22.84,5.67,76.5,0
20191011,030000,0.09,0,1.87,1.87,0,0,44.93,0,3.65,30.15,0.12,0.08,0,0,0,0,0.46,22.28,3.61,66.75,0
20191011,040000,0.31,0,1.87,1.87,0,0,62.29,0,3.74,30.83,0.12,0.09,0,0,0,0,0.45,21.97,4.19,80.25,0
20191011,050000,33.12,25.68,1.21,170.94,170.41,0.36,523.27,193.89,3.85,31.76,0.13,0.09,0,0,0,0,0.45,23.38,1.33,125.25,0
20191011,060000,221.42,204.61,7.83,218.42,1707.66,3.13,547.52,1738.08,4.01,33.08,0.13,0.09,0,0,0,0,0.46,27.26,10.48,49.5,0
20191011,070000,461.91,477.88,19.24,218.95,4198.82,7.69,555.85,4262.97,3.23,26.68,0.11,0.07,0,0,0,0,0.45,30.61,14.47,55.5,0
20191011,080000,678.14,718.85,27.89,219.18,6116.85,11.75,528.12,6201.22,2.5,20.65,0.08,0.06,0,0,0,0,0.44,34.16,11.53,94.5,0
20191011,090000,849.91,898.14,33.84,220.4,7441.16,14.8,513.23,7591.4,2.41,19.9,0.08,0.06,0,0,0,0,0.44,35.09,14.5,119.25,0
20191011,100000,964.77,1015.1,37.24,220.23,8204.57,16.06,519.24,8335.45,2.52,20.76,0.08,0.06,0,0,0,0,0.43,34.99,19.22,79.5,0
20191011,110000,1020.23,1027.4,35.75,219.29,7853.77,14.66,541.37,7979.43,2.62,21.65,0.09,0.06,0,0,0,0,0.44,35.31,18.22,98.25,0
20191011,120000,781.89,852,30.34,220.05,6603.32,12.55,538.44,6800.05,3.49,28.77,0.12,0.08,0,0,0,0,0.43,35.34,15.32,101.25,0
20191011,130000,643.93,666.78,25.52,219.53,5645.98,11,521.3,5745.04,3.16,26.08,0.11,0.07,0,0,0,0,0.43,35.46,15.45,117.75,0
20191011,140000,454.6,150.86,17.67,217.42,3858.02,7.39,530.44,3940.42,3.02,24.91,0.1,0.07,0,0,0,0,0.44,34.38,14.34,75,0
20191011,150000,474.27,175.73,18.04,217.46,3925.63,7.62,521.17,3973.39,2.11,17.44,0.07,0.05,0,0,0,0,0.44,35,15.27,135,0
20191011,160000,169.89,144.85,6.3,214.36,1350.41,2.86,472.82,1380.98,2.22,18.27,0.07,0.05,0,0,0,0,0.44,33.45,11.97,136.5,0
20191011,170000,9.72,9.58,0.47,214.51,91.28,0.22,451.85,108.52,7.26,59.92,0.24,0.16,0,0,0,0,0.44,31.16,10.11,107.25,0
20191011,180000,0.07,0,0.09,215.4,0,0,45.15,0,11.95,98.6,0.4,0.27,0,0,0,0,0.44,29.79,7.05,116.25,0
20191011,190000,0.14,0,0.09,215.4,0,0,40.82,0,9.3,76.71,0.31,0.21,0,0,0,0,0.46,28.87,6.81,85.5,0
20191011,200000,0.02,0,0.09,215.4,0,0,41.53,0,8.36,68.97,0.28,0.19,0,0,0,0,0.46,27.99,6.41,72.75,0
20191011,210000,0,0,0.09,215.4,0,0,41.45,0,6.15,50.72,0.2,0.14,0,0,0,0,0.46,27.25,6.92,42.75,0
20191011,220000,0.1,0,0.09,215.4,0,0,41.45,0,4.91,40.51,0.16,0.11,0,0,0,0,0.46,26.35,6.69,45,0
20191011,230000,0.04,0,0.09,215.4,0,0,41.94,0,3.38,27.9,0.11,0.08,0,0,0,0,0.45,25.66,5.14,44.24,0
