dia_mes_ano,hora_minuto,irr_est,irr_inv,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC,massaPM1,numPM1,massaPM2,numPM2,massaPM4,numPM4,massaPM10,numPM10,tamanho_medio,temp,vento_vel,vento_dir,rainfall,DVr1,DVr2,IDV1,IDV2
20191109,000000,0.09,0,0.1,215.7,0,0,44.45,0,6.1,50.33,0.2,0.14,0,0,0,0,0.46,21.65,3.72,122.03,0,-1.011767,-1.011767,0.152229,0.152229
20191109,010000,0,0,0,0,0,0,0,0,4.84,39.95,0.16,0.11,0,0,0,0,0.46,21.66,7.51,90.75,0,-1.557706,-1.557706,8.6e-5,8.6e-5
20191109,020000,0,0,0,0,0,0,0,0,3.81,31.46,0.13,0.09,0,0,0,0,0.45,21.84,8.91,57.75,0,1.007928,-2.133665,1.845728,0.154272
20191109,030000,0.09,0,0,0,0,0,0,0,4.38,36.14,0.15,0.1,0,0,0,0,0.46,21.92,8.03,54.92,0,0.958535,-2.183058,1.81835,0.18165
20191109,040000,0,0,0,0,0,0,0,0,5.1,42.05,0.17,0.12,0,0,0,0,0.47,21.97,6.47,51,0,0.890118,-2.251475,1.777146,0.222854
20191109,050000,7.79,21.69,0.69,219.32,147,0.34,502.2,176.21,4.64,38.29,0.16,0.1,0,0,0,0,0.45,22.23,6.49,58.97,0,1.029221,-2.112372,1.856898,0.143102
20191109,060000,72.98,93.4,3.63,219.24,794.17,1.5,547.05,823.29,4.04,33.32,0.13,0.09,0,0,0,0,0.45,23.32,9.29,51.86,0,0.905128,-2.236465,1.786504,0.213496
20191109,070000,200.26,227.02,9.17,219.17,2012.85,3.62,565.67,2044.85,4.03,33.26,0.13,0.09,0,0,0,0,0.44,25.15,10.35,49.5,0,0.863938,-2.277655,1.760406,0.239594
20191109,080000,205.9,233.47,9.38,218.54,2048.48,3.72,559.02,2084.04,3.9,32.18,0.13,0.09,0,0,0,0,0.44,23.35,10.42,55.5,0,0.968658,-2.172935,1.824126,0.175874
20191109,090000,196.28,218.53,8.63,219.2,1892.92,3.49,551.32,1926.16,3.76,31,0.12,0.09,0,0,0,0,0.44,26.06,9.13,36.75,0,0.641409,-2.500184,1.598325,0.401675
20191109,100000,330.55,361.63,14.44,219.93,3181.7,5.86,550.96,3226.59,3.61,29.8,0.12,0.08,0,0,0,0,0.44,27.86,7.34,76.81,0,1.340587,-1.801005,1.973619,0.026381
20191109,110000,126.22,149.12,5.95,217.62,1298,2.43,544.2,1326.99,3.83,31.57,0.13,0.09,0,0,0,0,0.43,27.37,3.77,196.42,0,0.286583,0.286583,1.282676,1.282676
20191109,120000,181.69,223.6,9.07,219.38,1991.84,3.61,560.72,2026,8.04,66.3,0.27,0.18,0,0,0,0,0.45,27.28,4.83,202.02,0,0.384322,0.384322,1.37493,1.37493
20191109,130000,337.64,381.45,15.06,220.61,3329.28,6.11,555.32,3384.83,7.68,63.33,0.25,0.17,0,0,0,0,0.45,29.09,1.8,222.71,0,0.74543,0.74543,1.678288,1.678288
20191109,140000,474.92,477.58,18.09,220.49,4003.48,7.64,533.04,4075.04,4.35,35.92,0.15,0.1,0,0,0,0,0.44,30.38,7.91,148.25,0,-0.554142,-0.554142,0.473786,0.473786
20191109,150000,514.96,507.2,18.99,220.32,4190.82,8.11,523.71,4255.01,2.18,18.02,0.07,0.05,0,0,0,0,0.44,24.8,11.7,85.76,0,1.496794,-1.644798,1.997263,0.002737
20191109,160000,283.92,248,6.41,217.27,1394.02,2.85,509.48,1424.68,2.25,18.58,0.07,0.05,0,0,0,0,0.43,24.47,12.28,56.5,0,0.986111,-2.155482,1.833886,0.166114
20191109,170000,19.05,23.43,0.67,215.67,139.9,0.32,482.2,162.85,3.3,27.27,0.11,0.07,0,0,0,0,0.44,22.57,11.26,31.75,0,0.554142,-2.587451,1.526214,0.473786
20191109,180000,0,0,0.1,214.6,0,0,101.26,0,2.75,22.72,0.09,0.06,0,0,0,0,0.46,24.95,10.48,66.36,0,1.1582,-1.983392,1.916083,0.083917
20191109,190000,0.05,0,0.1,214.6,0,0,42.54,0,2.33,19.26,0.08,0.05,0,0,0,0,0.45,23.84,11.24,45,0,0.785398,-2.356194,1.707107,0.292893
20191109,200000,0.08,0,0.1,214.6,0,0,43.76,0,2.86,23.61,0.1,0.06,0,0,0,0,0.46,23.89,6.74,26.25,0,0.458149,-2.683444,1.442289,0.557711
20191109,210000,0,0,0.1,214.6,0,0,44.12,0,4.44,36.6,0.15,0.1,0,0,0,0,0.46,24.49,6.18,22.83,0,0.398459,-2.743134,1.387998,0.612002
20191109,220000,0.05,0,0.1,214.6,0,0,44.69,0,3.02,24.93,0.1,0.07,0,0,0,0,0.45,24.13,5.88,68.73,0,1.199565,-1.942028,1.931881,0.068119
20191109,230000,0,0,0.1,214.6,0,0,43.96,0,2.78,22.91,0.09,0.06,0,0,0,0,0.46,24.18,7.42,23.14,0,0.403869,-2.737723,1.392979,0.607021
