Dia,RL_Res_Min,RL_Res_1Q,RL_Res_Mdn,RL_Res_3Q,RegLin_Max,CoefEst_Intercept,CoefEst_irr_est,CoefEst_temp,CoefEst_numPM1,CoefEst_massaPM1,CoefEst_numPM2,CoefEst_massaPM2,CoefStdError_Intercept,CoefStdError_irr_est,CoefStdError_temp,CoefStdError_numPM1,CoefStdError_massaPM1,CoefStdError_numPM2,CoefStdError_massaPM2,CoefPValue_Intercept,CoefPValue_irr_est,CoefPValue_temp,CoefPValue_numPM1,CoefPValue_massaPM1,CoefPValue_numPM2,CoefPValue_massaPM2,R2,R2_ajust,Graus_Lib,Err_res_pad
20191004,-188.04789493444818,-51.53932740392386,-2.320897488119021,19.332390153261134,342.16588041124135,72679514.71923558,8.302454210102958,-44.08455093065342,-697.6402183173471,5534.453030946397,-3205.083006629501,10227.66010770359,563370382.8855771,0.6325382786802162,53.56277409108967,2742.6342669291676,22785.364702595012,14478.539162185572,11192.034134589705,0.8996796130349998,4.6048878570048434e-8,0.4279652373220031,0.803903196655845,0.8125564016369868,0.8288617271250303,0.38039854060600875,0.9982698374442621,0.9963823873834572,11,154.6577414308969
20191005,-359.834530067844,-54.85198894091698,-5.140625139978616,27.459749492339526,475.85964387943363,-9286.080301406913,7.733864616849778,31.231009571497328,-483.6027391232485,3828.588321013661,5933.326539695077,994.6462046163274,9458.785585032403,0.2586412725568965,13.833859686607802,1064.1183298327642,8778.316308933876,7919.962541149122,7617.591113895217,0.33296530349158493,1.639042021107832e-26,0.03031464466596789,0.6523015213342531,0.6654125515585507,0.4587659645649399,0.8968612877322948,0.9963254801175029,0.9950656447292181,35,147.08522672204927
20191006,-480.00925853933757,-64.08274920076535,-17.089237079988397,28.919761363027572,414.37308905905314,-11478.500160997053,7.947967031413321,25.23226413018984,26.605080574593607,-479.62204735953577,3068.238736464054,5195.368064714856,9628.553414400347,0.20279770325001015,10.06851518773789,821.9279698676046,6763.775384855116,6431.869488091908,6383.141732302387,0.23798269495192312,6.045420412427413e-44,0.014986108732776837,0.9742869485510127,0.943708880245818,0.6350981692198463,0.41896351982839164,0.994208524812533,0.99303059765576,59,151.24930904873437
20191007,-838.3992621796156,-78.24547243257878,-18.125170487602794,60.297068896012355,1178.0206126183969,-23495.398252475145,8.808021437922795,-1.5918628585455112,1348.894589410299,-11505.107415966111,12937.73027576827,2528.785462886653,14161.518260473622,0.21937937686208192,9.22186297629164,975.8750425433991,8089.647491975327,5481.993526468792,5929.689866046516,0.10086962694748965,3.8276052661938473e-56,0.8633716546978156,0.17060614430609827,0.15871502574886476,0.02061947792148271,0.6708755215160503,0.985988224560179,0.9839624257014097,83,225.57397363103075
20191008,-880.0670896118163,-82.65287394906065,-19.209984608444394,66.37165649191982,1162.2687755999423,692.1320956575215,8.798466672790441,0.8821477373378638,994.0941276646953,-8534.158271485927,14868.621129179797,-434.67386333452976,10159.353360044886,0.19535684152909583,8.086890581113474,881.8263170200918,7310.668969152096,4838.083383530084,5205.506652757521,0.9458112279758454,2.1974542797374374e-71,0.9133404347342591,0.26213189150194033,0.24566118971276327,0.0026863696159232357,0.933607851657879,0.9851140431673613,0.9834445900646355,107,222.3041989926409
20191009,-1291.6896807395606,-148.91871456141078,-48.84291713701458,95.63044778430992,1783.9567115494965,16952.03908670277,7.771037364740964,32.89983423065661,1593.8825262508126,-13708.628935045244,-314.57260603579203,16444.724936236787,13871.719329020585,0.23861429081099778,10.498614761617318,1332.8567814467442,11045.923300677969,7499.042119320505,7999.940091128823,0.22388024614237143,1.1515931012446219e-64,0.0021302826062647084,0.23391936797187426,0.21680223139442228,0.9666037237252625,0.04180708171068392,0.9669431684362474,0.9639150617281174,131,373.66175437605443
20191010,-1366.8705515468712,-219.52934926393038,-30.340458095918976,121.77407632379101,3943.5419333389004,11936.848715214694,7.196048814932257,46.863177105822736,-351.00678019056403,2428.815300735375,-2754.0829855449283,15953.607858927287,7006.512838923992,0.256009648076343,12.974812798931499,1722.4503288440376,14277.04678782767,10159.887566008938,10888.900377163445,0.09044510199609458,9.909091972150107e-63,4.1013515116706064e-4,0.8387900721162076,0.8651373843808614,0.7866946583269714,0.14491210805798202,0.9450013224937989,0.9407433603642865,155,521.6367398570326
20191011,-1073.632639512796,-236.23079292785994,-43.288194414948094,141.5165132451952,4189.451231482797,2637.1892487478426,7.102243336381726,49.37619638219103,638.6848185331797,-5755.096205209381,742.3194926170493,13609.523624658483,6468.773429632223,0.23028009053946194,12.044995691500906,1698.6276255251503,14073.398009241675,10042.176008162,10649.905817730305,0.6839958268067965,1.528822436492693e-73,6.276840554648469e-5,0.7073617810707187,0.6830766695804122,0.9411564355485373,0.20293912111784276,0.9464282481937869,0.9428368458380632,179,547.0967500263014
20191012,-999.3938091088231,-272.3482992663125,-36.91524748618098,142.53550708906968,4166.897676094895,341.9880266168463,6.955756844141725,60.66062552437398,2041.9732170650293,-17001.401177688367,-3827.857515219509,6598.060240588335,6336.7345775969,0.2147455407669631,11.217232038100885,1636.4372257483406,13573.940563310185,9559.384797908302,10162.913764304656,0.9570128373373205,3.838302193120603e-82,1.783932231023654e-7,0.21353574523388638,0.211827629763508,0.6892614532606028,0.516924113223241,0.9507446258875178,0.9478329781567307,203,556.7900738120645
20191013,-898.2867643734455,-243.1329016599002,-48.06275691806343,112.31768821918503,4355.329171744908,-3194.912708182737,6.971608957021477,57.91669258813434,1805.0366384235074,-15006.043079312587,-1214.217578955635,3642.8488096020437,4961.094739515779,0.20296166274404626,10.586268939013195,1534.6055603512154,12725.410794667527,8719.638648577857,9190.688723044052,0.5202297993665901,6.966853109810662e-92,1.1794844506197844e-7,0.24073825182963754,0.23954554041825926,0.8893753468941868,0.6922096022139512,0.9534791663024238,0.951019915181847,227,548.9368372065962
