dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,n
20191004,000100,0,23.9,0,11.53,0.38,0,0,95.08,0.26,0,0,0.48,135,0,14
20191004,001500,0.48,23.78,0,10.02,0.33,0,0,82.71,0.23,0,0,0.48,126,1.6,15
20191004,003000,0.38,23.93,0,8.7,0.29,0,0,71.8,0.2,0,0,0.48,135,0,15
20191004,004500,0.3,23.57,0,7.69,0.26,0,0,63.46,0.17,0,0,0.47,135,0,15
20191004,010000,0.44,22.99,0,7.49,0.25,0,0,61.8,0.17,0,0,0.46,135,0,15
20191004,011500,0.21,22.65,0,7.08,0.24,0,0,58.38,0.16,0,0,0.47,135,0.8,15
20191004,013000,0,22.42,0,7.6,0.25,0,0,62.72,0.17,0,0,0.49,135,0,15
20191004,014500,0.04,23.18,0,8.91,0.3,0,0,73.49,0.2,0,0,0.5,135,0,15
20191004,020000,0.29,22.97,0,7.24,0.24,0,0,59.74,0.16,0,0,0.49,135,0.53,15
20191004,021500,0.12,22.62,0,6.93,0.23,0,0,57.14,0.16,0,0,0.46,135,0,15
20191004,023000,0.04,22.55,0,6.82,0.23,0,0,56.28,0.15,0,0,0.48,135,0,15
20191004,024500,0.04,22.27,0,6.34,0.21,0,0,52.28,0.14,0,0,0.47,135,0,15
20191004,030000,0.44,22.13,0,5.85,0.2,0,0,48.3,0.13,0,0,0.46,120,2.39,15
20191004,031500,0.04,22.46,0,5.25,0.17,0,0,43.34,0.12,0,0,0.46,90,1.52,14
20191004,033000,0.65,22.47,0,5.21,0.17,0,0,42.94,0.12,0,0,0.46,90,0,15
20191004,034500,0.3,22.07,0,5.08,0.17,0,0,41.95,0.12,0,0,0.47,90,0,15
20191004,040000,0,21.8,0,5.21,0.17,0,0,43.01,0.12,0,0,0.45,90,0.18,15
20191004,041500,0,21.99,0,6.06,0.2,0,0,49.98,0.14,0,0,0.46,90,0,14
20191004,043000,0,21.48,0,6.66,0.22,0,0,54.95,0.15,0,0,0.46,90,0,15
20191004,044500,0,21.46,0,7.01,0.23,0,0,57.82,0.16,0,0,0.46,90,0,15
20191004,050000,0.3,21.17,0,6.67,0.22,0,0,55.03,0.15,0,0,0.48,90,0.71,15
20191004,051500,1.03,21.4,0,7.45,0.25,0,0,61.43,0.17,0,0,0.47,90,0.18,15
20191004,053000,22.28,22.79,0,7.74,0.26,0,0,63.9,0.17,0,0,0.48,102,0,15
20191004,054500,60.22,27.71,0,6.3,0.21,0,0,51.97,0.14,0,0,0.48,180,0,15
20191004,060000,99.22,30.55,0,9.25,0.31,0,0,76.27,0.21,0,0,0.48,180,0,15
20191004,061500,150.12,30.01,0,18,0.6,0,0,148.47,0.41,0,0,0.49,180,1.06,15
20191004,063000,208.03,29.35,0,9.7,0.32,0,0,80.04,0.22,0,0,0.49,156,3.28,15
20191004,064500,264.09,29.55,0,11.91,0.4,0,0,98.26,0.27,0,0,0.49,123,4.7,15
20191004,070000,327.42,29.7,0,5.78,0.19,0,0,47.69,0.13,0,0,0.45,96,12.15,15
20191004,071500,386.25,30.24,0,5.21,0.17,0,0,42.95,0.12,0,0,0.45,96,14.19,15
20191004,073000,446.8,31.61,0,5.6,0.19,0,0,46.23,0.13,0,0,0.45,96,12.24,15
20191004,074500,507.09,32.23,0,5.72,0.19,0,0,47.16,0.13,0,0,0.45,93,13.3,15
20191004,080000,559.18,32.45,0,6.1,0.2,0,0,50.34,0.14,0,0,0.46,57,12.41,15
