dia_mes_ano,hora_minuto,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n
20191023,000000,0,1.79,0.48,0,0,48.77,15
20191023,001500,0,1.79,0.48,0,0,49.33,15
20191023,003000,0,1.79,0.48,0,0,49.7,15
20191023,004500,0,1.79,0.48,0,0,49,15
20191023,010000,0,1.79,0.48,0,0,49.85,15
20191023,011500,0,1.79,0.48,0,0,49.88,15
20191023,013000,0,1.79,0.48,0,0,48.99,15
20191023,014500,0,1.79,0.48,0,0,48.35,15
20191023,020000,0,1.79,0.48,0,0,48.55,15
20191023,021500,0,1.79,0.48,0,0,48.39,15
20191023,023000,0,1.79,0.48,0,0,48.96,15
20191023,024500,0,1.79,0.48,0,0,50.63,15
20191023,030000,0,1.79,0.48,0,0,50.34,15
20191023,031500,0,1.79,0.48,0,0,51.15,15
20191023,033000,0,1.79,0.48,0,0,50.49,15
20191023,034500,0,1.79,0.48,0,0,50.81,15
20191023,040000,0,1.79,0.48,0,0,49.38,15
20191023,041500,0,1.79,0.48,0,0,50.21,15
20191023,043000,0,1.79,0.48,0,0,74.83,15
20191023,044500,0.27,1.79,0.48,0,0,464.64,15
20191023,050000,8.6,0.57,176.26,40.47,0.13,514.38,15
20191023,051500,25.6,0.93,220.63,202.13,0.42,537.93,15
20191023,053000,51.13,2.15,219.76,471,0.87,567.57,15
20191023,054500,96.07,4.13,221.39,915.53,1.64,572.13,15
20191023,060000,166.67,6.83,219.85,1517.2,2.68,565.89,15
20191023,061500,181.2,7.31,220.07,1622.33,2.88,571.23,15
20191023,063000,189.13,7.82,220.26,1722.53,3.12,569.01,15
20191023,064500,279.53,11.91,220.55,2562.07,4.62,576.99,15
20191023,070000,326.87,13.16,221.39,2894.4,5.3,567.45,15
20191023,071500,447.73,18.55,220.96,4102.47,7.3,565.59,15
20191023,073000,443.6,18.67,218.92,4147.87,7.27,566.35,15
20191023,074500,604.6,24.91,219.51,5466.8,10.05,552.99,15
20191023,080000,670.57,27.52,219.18,6031.14,11.09,552.04,14
20191023,081500,725.67,29.36,220.26,6466.93,12.07,544.73,15
20191023,083000,775.67,31.11,220.79,6870,12.94,539.09,15
20191023,084500,832.2,32.87,221.27,7274.4,13.9,531.61,15
20191023,090000,864,32.84,222.37,7241.67,14.02,532.33,15
20191023,091500,873.13,29.8,221.4,6680.47,12.26,547.43,15
20191023,093000,778.53,29.01,220.1,6364.8,11.89,541.83,15
20191023,094500,947.67,31.69,220.99,6965.33,12.85,559.5,15
20191023,100000,375.53,14.89,218.02,3218.53,6.26,528.59,15
20191023,101500,550.47,19.69,218.09,4330.53,7.69,556.79,15
20191023,103000,1114.11,37.2,222.38,8275.33,15.17,554.59,9
20191023,104500,1104.87,36.93,223.92,8271.67,15.62,538.8,15
20191023,110000,1049.53,35.86,223.67,8038.87,15.42,533.91,15
20191023,111500,1090.73,36.95,223.91,8276.2,15.69,536.9,15
20191023,113000,1097.53,37.01,223.58,8276.53,15.55,541.3,15
20191023,114500,987.21,34.43,223.04,7630.57,14.71,534.79,14
20191023,120000,1076,36.95,223.91,8276,15.67,537.33,15
20191023,121500,1052,36.75,225.11,8276.2,15.83,532.23,15
20191023,123000,1032.47,36.96,223.89,8277.2,15.78,533.28,15
20191023,124500,1004.13,36.83,223.41,8229.93,16.6,505.28,15
20191023,130000,970.67,36.15,222.32,7953.87,16.25,504.55,15
20191023,131500,935.13,35.4,221.05,7827,15.68,507.09,15
20191023,133000,897.4,34.2,220.8,7553.67,15.1,508.99,15
20191023,134500,839.93,32.08,218.39,6958.2,13.98,512.48,15
20191023,140000,738.8,29.68,218.11,6468,12.7,518.12,15
20191023,141500,102.13,29.55,217.95,6443.33,12.6,517.73,15
20191023,143000,158.87,27.47,217.69,5983,11.64,522.65,15
20191023,144500,159.07,25.15,216.59,5397.33,10.63,522.29,15
20191023,150000,135.13,22.74,216.61,4926,9.48,526.04,15
20191023,151500,115.87,20.19,215.47,4352.2,8.36,526.92,15
20191023,153000,93.13,17.56,214.65,3771.13,7.34,519.73,15
20191023,154500,352.4,14.58,214.77,3132.53,6.13,517.63,15
20191023,160000,208.2,11.57,213.84,2474,4.89,511.88,15
20191023,161500,0,10.04,211.7,2122,4.25,505.1,1
20191023,164700,88.31,2.69,214.02,575.31,1.39,429.13,13
20191023,170200,56.5,0.96,213.77,203.67,0.44,521.32,12
20191023,171500,18.2,0.55,213.93,115.67,0.29,491.35,15
20191023,173000,7.27,0.22,213.73,35.73,0.13,473.64,15
20191023,174500,0.07,0.09,215.52,0,0.01,438.75,15
20191023,180000,0,0.09,215.7,0,0,147.89,15
20191023,181500,0,0.09,215.7,0,0,45.51,15
20191023,183000,0,0.09,215.7,0,0,43.59,15
20191023,184500,0,0.09,215.7,0,0,43.63,15
20191023,190000,0,0.09,215.7,0,0,43.09,15
20191023,191500,0,0.09,215.7,0,0,43.83,15
20191023,193000,0,0.09,215.7,0,0,43.67,15
20191023,194500,0,0.09,215.7,0,0,44.12,15
20191023,200000,0,0.09,215.7,0,0,44.72,15
20191023,201500,0,0.09,215.7,0,0,44.33,15
20191023,203000,0,0.09,215.7,0,0,43.86,15
20191023,204500,0,0.09,215.7,0,0,44.21,15
20191023,210000,0,0.09,215.7,0,0,43.47,15
20191023,211500,0,0.09,215.7,0,0,42.76,15
20191023,213000,0,0.09,215.7,0,0,43.86,15
20191023,214500,0,0.09,215.7,0,0,43.99,15
20191023,220000,0,0.09,215.7,0,0,43.87,15
20191023,221500,0,0.09,215.7,0,0,43.95,15
20191023,223000,0,0.09,215.7,0,0,42.59,15
20191023,224500,0,0.09,215.7,0,0,42.97,15
20191023,230000,0,0.09,216.2,0,0,47.09,15
20191023,231500,0,0.09,216.2,0,0,47.65,15
20191023,233000,0,0.09,216.2,0,0,47.82,15
20191023,234500,0,0.09,216.2,0,0,48.57,15
