dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191107,001500,0,20.28,0,9.62,0.32,0,0,79.38,0.22,0,0,0.46,84,3.28,0,0.1,213.5,0,0,41.26,0
20191107,003000,0,20.09,0,7.1,0.23,0,0,58.54,0.16,0,0,0.46,111,2.84,0,0.1,213.5,0,0,35.88,0
20191107,004500,0,20.25,0,6.86,0.23,0,0,56.56,0.15,0,0,0.46,123,0,0,0.22,199.39,0,0,40.69,0
20191107,010000,0,20.37,0,5.58,0.19,0,0,46,0.13,0,0,0.46,99,0.35,0,1.92,1.79,0,0,41.15,0
20191107,011500,0,20.28,0,4.63,0.15,0,0,38.17,0.1,0,0,0.47,117,0.09,0,1.92,1.79,0,0,40,0
20191107,013000,0,20.19,0,4.26,0.14,0,0,35.11,0.1,0,0,0.45,90,0.71,0,1.92,1.79,0,0,40.19,0
20191107,014500,0,20.14,0,4.05,0.13,0,0,33.42,0.09,0,0,0.46,99,1.68,0,1.92,1.79,0,0,40.69,0
20191107,020000,0,20.37,0,3.44,0.11,0,0,28.34,0.08,0,0,0.45,96,2.13,0,1.92,1.79,0,0,40.4,0
20191107,021500,0,20.63,0,2.77,0.09,0,0,22.81,0.06,0,0,0.45,61.07,2.28,0,1.92,1.79,0,0,41.67,0
20191107,023000,0,20.8,0,2.63,0.09,0,0,21.66,0.06,0,0,0.45,69,1.68,0,1.92,1.79,0,0,41.09,0
20191107,024500,0,21.07,0,3.55,0.12,0,0,29.25,0.08,0,0,0.47,90,0.53,0,1.92,1.79,0,0,41.99,0
20191107,030000,0,21.17,0,2.67,0.09,0,0,22.02,0.06,0,0,0.46,87,0.27,0,1.92,1.79,0,0,41.62,0
20191107,031500,0.21,21.14,0,3,0.1,0,0,24.72,0.07,0,0,0.45,63,3.01,0,1.92,1.79,0,0,41.07,0
20191107,033000,0.08,21.18,0,2.47,0.08,0,0,20.33,0.06,0,0,0.44,69,4.34,0,1.92,1.79,0,0,42.09,0
20191107,040000,0.47,21.3,0,2.93,0.1,0,0,24.14,0.07,0,0,0.46,60,8.25,0,1.92,1.79,0,0,41.89,0
20191107,041500,0,21.26,0,2.96,0.1,0,0,24.45,0.07,0,0,0.45,63,8.96,0,1.92,1.79,0,0,41.5,0
20191107,043000,0,21.27,0,2.87,0.1,0,0,23.7,0.07,0,0,0.44,51,9.04,0,1.92,1.79,0,0,76.91,0
20191107,044500,0.08,21.19,0,2.85,0.09,0,0,23.51,0.07,0,0,0.47,81,3.1,0,1.92,1.79,0,0,457.61,0
