dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191106,001500,0,22.71,0,8.33,0.28,0,0,68.72,0.19,0,0,0.46,66,15.78,0,0.08,209,0,0,37.06,0
20191106,003000,0,22.72,0,7.2,0.24,0,0,59.36,0.16,0,0,0.46,69,11.88,0,0.08,209,0,0,37.67,0
20191106,053000,17.87,23.57,0,7.82,0.26,0,0,64.53,0.18,0,0,0.45,91,3.99,32.67,1.12,215.52,238.8,0.5,527.91,263.95
20191106,054500,25.44,23.47,0,9.22,0.31,0,0,76.05,0.21,0,0,0.44,33,6.21,44.73,1.61,214.46,342.73,0.69,534.99,369.14
20191106,061500,77.63,23.85,0,7.92,0.26,0,0,65.31,0.18,0,0,0.45,37.33,12.59,100.4,3.9,215.43,838.87,1.6,539.77,863.63
20191106,063000,96.41,24.08,0,7.15,0.24,0,0,59.01,0.16,0,0,0.45,15,13.92,118.67,4.61,214.77,999.93,1.86,547.53,1018.41
20191106,070000,137.51,24.3,0,7.44,0.25,0,0,61.41,0.17,0,0,0.44,30,18,160.73,6.4,214.88,1373,2.5,562.39,1405.97
20191106,071500,172.86,24.75,0,7.54,0.25,0,0,62.23,0.17,0,0,0.45,9,20.04,196.4,7.94,214.34,1700.13,3.15,550.15,1732.97
20191106,073000,209.52,25.09,0,8.62,0.29,0,0,71.12,0.2,0,0,0.46,15,24.74,239.13,9.84,211.44,2079.73,3.76,561.21,2110.15
20191106,074500,256.88,25.65,0,9.66,0.32,0,0,79.7,0.22,0,0,0.47,3,20.48,282.73,11.66,211.12,2460.33,4.35,573.17,2493.29
20191106,080000,309.46,26.17,0,9.25,0.31,0,0,76.34,0.21,0,0,0.44,0,19.51,334.87,13.79,212.32,2927.13,5.22,566.81,2958.75
20191106,081500,355.12,26.92,0,9.02,0.3,0,0,74.38,0.2,0,0,0.44,44.67,19.77,382.67,15.68,213.06,3365.8,6.07,559.07,3393.55
20191106,083000,381.08,27.23,0,9.25,0.31,0,0,76.35,0.21,0,0,0.44,0,17.02,407.43,16.84,214.23,3607.86,6.54,558.49,3652.52
20191106,084500,499.02,28.08,0,9.48,0.31,0,0,78.21,0.22,0,0,0.44,6,14.36,529.27,21.95,213.93,4685.53,8.62,553.07,4767.46
20191106,090000,539.99,28.89,0,9.78,0.33,0,0,80.71,0.22,0,0,0.43,18,15.16,562.86,23.03,213.57,4920.07,9.19,542.55,4986.03
20191106,091500,580.04,29.42,0,9.51,0.32,0,0,78.44,0.22,0,0,0.45,25.33,14.28,618.4,25.08,215.39,5402.4,10.18,539.03,5487.33
20191106,093000,885.84,31.87,0,9.06,0.3,0,0,74.76,0.21,0,0,0.43,119.67,12.59,931.2,35.57,218.71,7785.67,15.13,524.74,7939.32
20191106,094500,822.05,31.98,0,9.31,0.31,0,0,76.81,0.21,0,0,0.43,71.67,15.69,852.13,31.71,219.03,6953.67,13.6,520.63,7080.57
20191106,100000,756.16,31.39,0,9.61,0.32,0,0,79.27,0.22,0,0,0.43,47.67,12.5,791.67,30.3,219.18,6640.87,12.85,525.13,6747.92
20191106,101500,729.94,32.23,0,9.87,0.33,0,0,81.42,0.22,0,0,0.43,95.67,11.97,758.8,29.25,215.45,6308.2,12.27,522.57,6411.93
20191106,104500,626.61,31.53,0,11.44,0.38,0,0,94.37,0.26,0,0,0.44,33,14.45,681,26.8,215.43,5788.2,10.94,536.57,5870.08
20191106,110000,596.22,31.94,0,12.37,0.41,0,0,102.09,0.28,0,0,0.45,70.33,12.86,607.33,23.45,214.67,5047.53,9.73,526.97,5127.42
