tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,42.7,000000
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,42.8,000100
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,42.9,000200
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.0,000300
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.1,000400
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.1,000500
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.2,000600
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.3,000700
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.3,000800
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.4,000900
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.4,001000
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.4,001100
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.5,001200
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.6,001300
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.6,001400
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.8,001500
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.8,001600
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.8,001700
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.8,001800
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.9,001900
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.9,002000
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,44.1,002100
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,44.1,002200
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,44.2,002300
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,44.2,002400
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,44.8,002500
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,44.8,002600
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.2,002700
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.2,002800
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.2,002900
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.2,003000
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.4,003100
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.4,003200
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.8,003300
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.8,003400
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.9,003500
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.9,003600
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.9,003700
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.9,003800
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.7,003900
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.5,004000
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,45.3,004100
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,44.9,004200
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,44.3,004300
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.9,004400
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.6,004500
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.4,004600
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.3,004700
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.0,004800
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,42.8,004900
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,42.6,005000
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,42.5,005100
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,42.5,005200
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,42.7,005300
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.0,005400
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.0,005500
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.5,005600
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.5,005700
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.5,005800
inverter,0.0,0.0,0.0,0.1,212.1,20191021.0,43.5,005900
inverter,15.0,0.09,6.0,0.12,216.8,20191021.0,467.9,061000
inverter,24.0,0.11,7.0,0.15,216.9,20191021.0,469.0,061100
inverter,33.0,0.13,7.0,0.18,216.7,20191021.0,489.8,061200
inverter,42.0,0.15,9.0,0.22,216.9,20191021.0,486.6,061300
inverter,54.0,0.17,10.0,0.26,217.0,20191021.0,494.9,061400
inverter,63.0,0.18,10.0,0.3,217.0,20191021.0,501.6,061500
inverter,72.0,0.2,12.0,0.34,217.0,20191021.0,505.1,061600
inverter,78.0,0.21,12.0,0.38,216.8,20191021.0,501.6,061700
inverter,87.0,0.23,13.0,0.42,216.8,20191021.0,502.0,061800
inverter,95.0,0.25,13.0,0.45,218.2,20191021.0,499.8,061900
inverter,105.0,0.26,15.0,0.49,218.6,20191021.0,510.8,062000
inverter,111.0,0.28,16.0,0.52,218.4,20191021.0,498.1,062100
inverter,117.0,0.29,16.0,0.55,218.6,20191021.0,506.5,062200
inverter,126.0,0.3,16.0,0.59,218.5,20191021.0,507.5,062300
inverter,138.0,0.32,18.0,0.64,218.5,20191021.0,510.9,062400
inverter,150.0,0.34,19.0,0.71,218.4,20191021.0,513.4,062500
inverter,165.0,0.37,21.0,0.76,218.4,20191021.0,521.4,062600
inverter,174.0,0.39,21.0,0.82,218.2,20191021.0,521.5,062700
inverter,187.0,0.41,22.0,0.87,218.4,20191021.0,526.5,062800
inverter,207.0,0.45,24.0,0.96,218.4,20191021.0,526.5,062900
inverter,231.0,0.49,25.0,1.08,218.5,20191021.0,530.3,063000
inverter,264.0,0.55,30.0,1.22,218.5,20191021.0,535.7,063100
inverter,296.0,0.59,33.0,1.36,218.5,20191021.0,542.8,063200
inverter,317.0,0.64,35.0,1.46,218.4,20191021.0,544.0,063300
inverter,338.0,0.68,36.0,1.56,218.3,20191021.0,536.8,063400
inverter,372.0,0.74,39.0,1.71,218.5,20191021.0,546.2,063500
inverter,423.0,0.82,45.0,1.95,218.4,20191021.0,549.0,063600
inverter,480.0,0.92,51.0,2.21,218.5,20191021.0,551.8,063700
inverter,542.0,1.02,57.0,2.5,217.3,20191021.0,557.3,063800
inverter,600.0,1.12,63.0,2.79,217.6,20191021.0,563.2,063900
inverter,669.0,1.23,71.0,3.08,217.6,20191021.0,567.6,064000
inverter,730.0,1.33,77.0,3.38,217.5,20191021.0,568.7,064100
inverter,798.0,1.44,85.0,3.69,217.6,20191021.0,571.5,064200
inverter,861.0,1.55,91.0,3.96,217.8,20191021.0,573.5,064300
inverter,920.0,1.65,97.0,4.23,218.0,20191021.0,573.3,064400
inverter,969.0,1.76,103.0,4.46,218.0,20191021.0,571.5,064500
inverter,1017.0,1.83,108.0,4.68,218.0,20191021.0,574.7,064600
inverter,1074.0,1.93,115.0,4.94,217.9,20191021.0,570.6,064700
inverter,1111.0,2.0,120.0,5.11,218.0,20191021.0,574.5,064800
inverter,1131.0,2.02,124.0,5.2,217.8,20191021.0,571.4,064900
inverter,1128.0,2.03,124.0,5.19,217.7,20191021.0,573.6,065000
inverter,1122.0,2.01,124.0,5.16,217.8,20191021.0,575.1,065100
inverter,1131.0,2.03,127.0,5.19,217.9,20191021.0,574.3,065200
inverter,1142.0,2.03,129.0,5.25,217.8,20191021.0,580.8,065300
inverter,1164.0,2.12,132.0,5.37,217.8,20191021.0,562.8,065400
inverter,1170.0,2.13,133.0,5.37,217.8,20191021.0,567.1,065500
inverter,1151.0,2.1,132.0,5.3,217.8,20191021.0,561.4,065600
inverter,1113.0,2.03,127.0,5.09,217.8,20191021.0,558.0,065700
inverter,1080.0,1.95,123.0,4.98,217.8,20191021.0,567.7,065800
inverter,1107.0,1.97,129.0,5.08,217.6,20191021.0,573.8,065900
inverter,1143.0,2.1,133.0,5.27,217.3,20191021.0,553.6,070000
inverter,1140.0,2.11,133.0,5.25,217.4,20191021.0,552.8,070100
inverter,1104.0,2.05,133.0,5.07,218.3,20191021.0,562.4,070200
inverter,960.0,1.78,114.0,4.41,218.1,20191021.0,551.3,070300
inverter,693.0,1.3,77.0,3.16,217.7,20191021.0,547.8,070400
inverter,663.0,1.26,74.0,3.07,217.6,20191021.0,552.3,070500
inverter,675.0,1.28,74.0,3.11,217.4,20191021.0,547.5,070600
inverter,784.0,1.45,89.0,3.61,217.3,20191021.0,557.4,070700
inverter,945.0,1.76,111.0,4.35,217.4,20191021.0,553.0,070800
inverter,924.0,1.75,109.0,4.24,217.5,20191021.0,540.4,070900
inverter,966.0,1.85,114.0,4.45,217.5,20191021.0,538.4,071000
inverter,1048.0,1.99,123.0,4.84,217.8,20191021.0,547.9,071100
inverter,897.0,1.65,105.0,4.18,217.8,20191021.0,564.7,071200
inverter,798.0,1.47,92.0,3.67,217.4,20191021.0,557.6,071300
inverter,779.0,1.43,88.0,3.59,217.2,20191021.0,562.0,071400
inverter,848.0,1.56,95.0,3.91,217.3,20191021.0,562.5,071500
inverter,984.0,1.79,114.0,4.55,217.3,20191021.0,570.4,071600
inverter,1095.0,1.96,127.0,5.03,217.2,20191021.0,577.0,071700
inverter,1119.0,2.03,129.0,5.18,217.5,20191021.0,576.7,071800
inverter,1449.0,2.7,162.0,6.64,218.2,20191021.0,552.1,071900
inverter,1695.0,3.14,193.0,7.74,218.5,20191021.0,552.1,072000
inverter,1422.0,2.77,161.0,5.87,218.1,20191021.0,489.4,072100
inverter,1779.0,3.3,202.0,8.17,217.4,20191021.0,551.4,072200
inverter,1311.0,2.39,141.0,6.05,216.9,20191021.0,570.7,072300
inverter,1374.0,2.45,149.0,6.34,216.9,20191021.0,576.7,072400
inverter,1224.0,2.23,127.0,5.65,216.7,20191021.0,561.5,072500
inverter,1401.0,2.55,146.0,6.47,216.7,20191021.0,565.9,072600
inverter,2331.0,4.22,255.0,10.72,217.8,20191021.0,565.2,072700
inverter,2346.0,4.25,257.0,10.77,218.0,20191021.0,558.4,072800
inverter,2399.0,4.34,263.0,11.02,218.1,20191021.0,563.4,072900
inverter,2496.0,4.41,269.0,11.44,218.3,20191021.0,577.1,073000
inverter,2568.0,4.55,277.0,11.77,218.2,20191021.0,572.5,073100
inverter,2634.0,4.73,284.0,12.06,218.5,20191021.0,563.6,073200
inverter,2694.0,4.8,290.0,12.34,218.3,20191021.0,568.2,073300
inverter,2745.0,4.89,295.0,12.59,218.3,20191021.0,572.3,073400
inverter,2814.0,5.01,302.0,12.91,218.4,20191021.0,567.9,073500
inverter,2892.0,5.14,312.0,13.26,218.5,20191021.0,568.0,073600
inverter,2985.0,5.29,321.0,13.67,218.9,20191021.0,569.1,073700
inverter,3111.0,5.6,336.0,14.23,218.8,20191021.0,569.4,073800
inverter,3153.0,5.68,339.0,14.41,218.9,20191021.0,567.7,073900
inverter,3264.0,5.85,348.0,14.91,219.0,20191021.0,563.3,074000
inverter,3429.0,6.18,366.0,15.63,219.3,20191021.0,565.4,074100
inverter,3075.0,5.51,325.0,14.06,218.9,20191021.0,566.0,074200
inverter,3174.0,5.66,339.0,14.49,219.1,20191021.0,567.0,074300
inverter,3093.0,5.64,330.0,14.17,218.9,20191021.0,561.3,074400
inverter,3366.0,6.02,362.0,15.32,219.2,20191021.0,562.6,074500
inverter,3408.0,6.12,366.0,15.54,219.3,20191021.0,561.8,074600
inverter,3375.0,6.08,363.0,15.4,219.3,20191021.0,562.9,074700
inverter,3225.0,5.82,348.0,14.73,219.0,20191021.0,562.7,074800
inverter,2976.0,5.45,322.0,13.61,218.6,20191021.0,554.8,074900
inverter,2682.0,4.89,290.0,12.23,218.2,20191021.0,552.6,075000
inverter,2232.0,4.06,240.0,10.11,219.0,20191021.0,548.3,075100
inverter,1851.0,3.54,207.0,8.82,218.5,20191021.0,549.5,075200
inverter,1809.0,3.36,193.0,8.28,218.4,20191021.0,549.2,075300
inverter,1806.0,3.33,193.0,8.28,218.5,20191021.0,548.2,075400
inverter,1752.0,3.24,187.0,8.04,218.3,20191021.0,552.7,075500
inverter,1761.0,3.26,187.0,8.07,218.3,20191021.0,547.6,075600
inverter,1800.0,3.33,191.0,8.25,218.4,20191021.0,548.5,075700
inverter,1755.0,3.25,187.0,8.03,218.3,20191021.0,551.3,075800
inverter,1667.0,3.07,178.0,7.65,218.1,20191021.0,549.4,075900
inverter,1641.0,3.05,175.0,7.52,218.2,20191021.0,549.6,080000
inverter,1605.0,2.96,172.0,7.37,218.0,20191021.0,551.9,080100
inverter,1591.0,2.94,170.0,7.3,218.2,20191021.0,552.2,080200
inverter,1561.0,2.88,167.0,7.15,217.9,20191021.0,555.2,080300
inverter,1481.0,2.73,158.0,6.81,217.8,20191021.0,550.5,080400
inverter,1420.0,2.64,152.0,6.52,217.5,20191021.0,553.5,080500
inverter,1374.0,2.53,147.0,6.34,217.1,20191021.0,552.6,080600
inverter,1314.0,2.46,141.0,6.07,217.0,20191021.0,545.0,080700
inverter,1269.0,2.38,135.0,5.86,216.6,20191021.0,549.4,080800
inverter,1227.0,2.3,132.0,5.65,216.6,20191021.0,548.2,080900
inverter,1187.0,2.22,127.0,5.48,216.6,20191021.0,547.7,081000
inverter,1148.0,2.15,123.0,5.32,215.4,20191021.0,546.2,081100
inverter,1110.0,2.07,118.0,5.16,215.3,20191021.0,549.2,081200
inverter,1074.0,2.01,115.0,5.0,215.2,20191021.0,549.5,081300
inverter,1042.0,1.95,111.0,4.84,215.3,20191021.0,545.4,081400
inverter,1011.0,1.9,108.0,4.7,215.3,20191021.0,549.9,081500
inverter,978.0,1.85,105.0,4.53,215.9,20191021.0,545.2,081600
inverter,948.0,1.8,101.0,4.42,215.7,20191021.0,544.5,081700
inverter,942.0,1.79,98.0,4.36,215.8,20191021.0,545.1,081800
inverter,947.0,1.79,100.0,4.39,215.7,20191021.0,545.1,081900
inverter,958.0,1.8,101.0,4.45,215.6,20191021.0,549.9,082000
inverter,971.0,1.82,103.0,4.51,215.5,20191021.0,545.0,082100
inverter,979.0,1.85,105.0,4.55,215.4,20191021.0,549.7,082200
inverter,984.0,1.84,105.0,4.57,215.4,20191021.0,545.9,082300
inverter,981.0,1.85,105.0,4.57,215.2,20191021.0,548.1,082400
inverter,969.0,1.81,103.0,4.5,215.1,20191021.0,548.6,082500
inverter,948.0,1.77,100.0,4.43,215.1,20191021.0,549.2,082600
inverter,927.0,1.74,98.0,4.32,215.2,20191021.0,550.0,082700
inverter,909.0,1.73,97.0,4.22,215.4,20191021.0,542.6,082800
inverter,882.0,1.67,95.0,4.09,216.3,20191021.0,543.4,082900
inverter,843.0,1.61,91.0,3.9,216.2,20191021.0,540.5,083000
inverter,795.0,1.51,86.0,3.68,216.1,20191021.0,544.9,083100
inverter,732.0,1.41,82.0,3.39,215.9,20191021.0,537.3,083200
inverter,651.0,1.25,73.0,3.02,215.6,20191021.0,538.9,083300
inverter,594.0,1.16,66.0,2.76,215.4,20191021.0,535.1,083400
inverter,570.0,1.12,63.0,2.65,215.3,20191021.0,534.8,083500
inverter,573.0,1.12,63.0,2.67,215.3,20191021.0,530.6,083600
inverter,603.0,1.17,65.0,2.81,215.3,20191021.0,538.9,083700
inverter,660.0,1.28,71.0,3.09,215.3,20191021.0,539.6,083800
inverter,705.0,1.36,76.0,3.29,215.3,20191021.0,539.7,083900
inverter,675.0,1.29,73.0,3.11,216.4,20191021.0,535.8,084000
inverter,588.0,1.15,63.0,2.71,216.3,20191021.0,531.0,084100
inverter,495.0,0.98,56.0,2.3,216.4,20191021.0,534.7,084200
inverter,426.0,0.86,48.0,1.98,216.3,20191021.0,520.5,084300
inverter,327.0,0.68,41.0,1.53,216.0,20191021.0,524.0,084400
inverter,204.0,0.46,28.0,0.96,215.9,20191021.0,504.1,084500
inverter,114.0,0.28,16.0,0.53,215.9,20191021.0,493.0,084600
inverter,54.0,0.16,10.0,0.25,215.8,20191021.0,475.6,084700
inverter,15.0,0.09,6.0,0.11,215.8,20191021.0,459.7,084800
inverter,4.0,0.07,4.0,0.08,215.4,20191021.0,444.6,084900
inverter,3.0,0.07,3.0,0.09,215.4,20191021.0,436.9,085000
inverter,18.0,0.11,6.0,0.13,215.3,20191021.0,449.4,085100
inverter,21.0,0.11,6.0,0.13,215.4,20191021.0,465.5,085200
inverter,22.0,0.11,6.0,0.14,215.8,20191021.0,465.0,085300
inverter,15.0,0.1,6.0,0.11,215.8,20191021.0,441.1,085400
inverter,9.0,0.09,4.0,0.1,215.8,20191021.0,429.3,085500
inverter,18.0,0.1,6.0,0.12,215.1,20191021.0,468.4,085600
inverter,30.0,0.13,7.0,0.16,215.3,20191021.0,467.4,085700
inverter,52.0,0.17,9.0,0.26,215.4,20191021.0,486.1,085800
inverter,102.0,0.27,15.0,0.52,214.1,20191021.0,499.6,085900
inverter,196.0,0.43,22.0,0.92,214.4,20191021.0,514.9,090000
inverter,283.0,0.6,33.0,1.34,215.3,20191021.0,520.1,090100
inverter,297.0,0.6,33.0,1.38,215.0,20191021.0,524.2,090200
inverter,290.0,0.6,33.0,1.36,214.9,20191021.0,520.0,090300
inverter,279.0,0.59,33.0,1.2,214.8,20191021.0,492.6,090400
inverter,198.0,0.41,24.0,0.92,215.0,20191021.0,520.0,090500
inverter,150.0,0.35,19.0,0.71,215.1,20191021.0,510.1,090600
inverter,156.0,0.36,21.0,0.74,215.2,20191021.0,510.4,090700
inverter,162.0,0.37,21.0,0.77,215.1,20191021.0,510.4,090800
inverter,189.0,0.41,22.0,0.88,215.2,20191021.0,510.7,090900
inverter,210.0,0.46,25.0,0.99,213.6,20191021.0,510.1,091000
inverter,213.0,0.45,25.0,0.99,213.4,20191021.0,522.7,091100
inverter,189.0,0.4,24.0,0.88,213.5,20191021.0,520.1,091200
inverter,147.0,0.34,19.0,0.7,213.4,20191021.0,513.9,091300
inverter,146.0,0.32,18.0,0.64,213.5,20191021.0,500.4,091510
inverter,230.0,0.49,25.0,1.09,213.6,20191021.0,534.3,091600
inverter,391.0,0.8,44.0,1.86,213.8,20191021.0,536.0,091700
inverter,327.0,0.65,38.0,1.52,213.6,20191021.0,533.3,091910
inverter,279.0,0.57,33.0,1.31,213.7,20191021.0,531.4,092000
inverter,249.0,0.52,30.0,1.16,216.4,20191021.0,529.0,092100
inverter,192.0,0.42,24.0,0.9,216.4,20191021.0,517.5,092200
inverter,144.0,0.34,19.0,0.68,216.4,20191021.0,506.2,092300
inverter,123.0,0.3,16.0,0.59,214.7,20191021.0,505.1,092400
inverter,105.0,0.26,15.0,0.49,214.6,20191021.0,500.0,092500
inverter,72.0,0.2,12.0,0.35,214.6,20191021.0,495.0,092600
inverter,39.0,0.14,7.0,0.2,214.6,20191021.0,480.4,092700
inverter,24.0,0.11,7.0,0.14,216.3,20191021.0,469.3,092800
inverter,30.0,0.12,7.0,0.16,216.1,20191021.0,467.6,092900
inverter,39.0,0.14,9.0,0.22,215.9,20191021.0,480.1,093000
inverter,57.0,0.17,10.0,0.27,216.0,20191021.0,486.0,093100
inverter,57.0,0.17,10.0,0.29,214.5,20191021.0,500.1,093200
inverter,42.0,0.14,9.0,0.22,214.4,20191021.0,482.7,093300
inverter,59.0,0.18,10.0,0.3,214.5,20191021.0,490.1,093400
inverter,54.0,0.18,10.0,0.28,216.1,20191021.0,479.8,093500
inverter,57.0,0.17,10.0,0.29,216.5,20191021.0,495.0,093600
inverter,69.0,0.2,12.0,0.34,216.4,20191021.0,496.9,093700
inverter,96.0,0.25,13.0,0.46,216.4,20191021.0,505.0,093800
inverter,138.0,0.32,18.0,0.65,215.0,20191021.0,510.8,093900
inverter,171.0,0.38,21.0,0.81,215.2,20191021.0,522.7,094000
inverter,186.0,0.4,24.0,0.87,214.2,20191021.0,521.7,094100
inverter,177.0,0.4,21.0,0.84,215.7,20191021.0,520.4,094200
inverter,177.0,0.39,21.0,0.83,215.6,20191021.0,525.0,094300
inverter,184.0,0.4,22.0,0.87,215.6,20191021.0,520.3,094400
inverter,180.0,0.39,22.0,0.85,213.9,20191021.0,519.8,094500
inverter,159.0,0.35,19.0,0.76,213.8,20191021.0,524.0,094600
inverter,144.0,0.33,19.0,0.69,213.8,20191021.0,513.1,094700
inverter,138.0,0.32,18.0,0.66,215.4,20191021.0,519.4,094800
inverter,151.0,0.34,19.0,0.72,215.4,20191021.0,524.4,094900
inverter,183.0,0.4,22.0,0.86,215.3,20191021.0,526.5,095000
inverter,215.0,0.46,25.0,1.2,214.2,20191021.0,525.0,095100
