dia,Vd1,Pd,Nloss,Vd2,m,x_gauss,SR
20191004,0.015320115777504036,1e-6,1.5e-8,0.015326528216962758,0.008501094665107558,0.0029929052203629997,0.883928323175702
20191005,0.02039166463895174,2e-6,3e-8,0.020398077078410463,0.021595492176634343,0.00659408864955784,0.7442691758560314
20191006,0.02217990516924061,3e-6,4.5e-8,0.022186317608699335,0.028695548355662234,0.008389868834165164,0.6746284525787776
20191007,0.020385087078572676,4e-6,6e-8,0.0203914995180314,0.036785857582906256,0.010355005534597372,0.5984224697279819
20191008,0.020746178658552338,4e-6,6e-8,0.020752591098011062,0.043926730245346754,0.012034639874107864,0.533290410837389
20191009,0.023184614828427402,5e-6,7.500000000000001e-8,0.023191027267886126,0.05549011863363449,0.014669754448844533,0.43111264161692675
20191010,0.02738168780135222,7e-6,1.05e-7,0.027388100240810943,0.07482160130159367,0.0188978325840683,0.2671840867005991
20191011,0.02815825666147434,8e-6,1.2e-7,0.028164669100933064,0.08756539125362844,0.021591720128748017,0.1627515576870482
20191012,0.02761094818081577,9e-6,1.35e-7,0.027617360620274492,0.09653591649940606,0.02345178190669332,0.09065051453431006
20191013,0.027428280138108656,1e-5,1.5000000000000002e-7,0.02743469257756738,0.10838722611288697,0.02586937087063305,-0.003052320533184716
