amostra,dia,hora_inicio,hora_final,qtd_amostras
1,20191003,092100,235900,461
2,20191004,000100,235900,1435
3,20191005,000100,235900,1435
4,20191006,000100,235900,1439
5,20191007,000100,235900,1439
6,20191008,000100,235900,1439
7,20191009,000100,235900,1439
8,20191010,000200,235900,1438
9,20191011,000100,235800,1438
10,20191012,000100,235900,1439
11,20191013,000100,235900,1438
12,20191014,000100,235900,1414
13,20191015,000100,235900,1373
14,20191016,000100,235900,1377
15,20191017,000100,235900,1433
16,20191018,000100,235900,1423
17,20191019,000100,135100,811
18,NA,NA,NA,000000
19,NA,NA,NA,000000
20,20191022,173000,235900,380
21,20191023,000100,235900,1426
22,20191024,000100,235900,1424
23,20191025,000100,235900,1428
24,20191026,000100,235900,1431
25,20191027,000100,235900,1430
26,20191028,000100,235900,1430
27,20191029,000100,235900,1431
28,20191030,000100,235900,1428
29,20191031,000100,235900,1434
30,20191101,000100,235900,1430
31,20191102,000100,235900,1433
32,20191103,000100,235900,1434
33,20191104,000100,235900,1363
34,20191105,000100,235900,1426
35,20191106,000100,235900,1425
36,20191107,000100,235900,1393
37,20191108,000100,235900,1431
38,20191109,000100,235900,1425
39,20191110,000100,235900,1425
40,20191111,000100,235900,1425
41,20191112,000100,235900,1432
42,20191113,000100,235900,1434
43,20191114,000100,235900,1434
44,20191115,000100,235900,1438
45,20191116,000100,235900,1437
46,20191117,000100,235900,1438
47,20191118,000100,235900,1410
48,20191119,000100,235900,1438
49,20191120,000100,235900,1438
50,20191121,000100,204800,1246
51,20191122,060600,235900,1068
52,20191123,000100,235900,1431
53,20191124,000100,235900,1429
54,20191125,000100,235900,1433
55,20191126,000100,235900,1434
56,20191127,000100,235900,1433
57,20191128,000100,235900,1430
58,20191129,000100,235900,1243
59,20191130,000100,235900,1094
60,20191201,000100,024200,161
61,NA,NA,NA,000000
62,20191203,082100,235900,672
63,20191204,000100,378500,1014
64,NA,NA,NA,000000
65,NA,NA,NA,000000
66,20191207,045200,378500,830
67,20191208,010000,235900,458
68,20191209,000100,235900,1433
69,20191210,000100,235900,383
70,20191211,000200,378500,634
71,NA,NA,NA,000000
72,NA,NA,NA,000000
73,NA,NA,NA,000000
74,NA,NA,NA,000000
75,NA,NA,NA,000000
76,NA,NA,NA,000000
77,20191218,160800,235900,461
78,20191219,000100,235900,1432
79,20191220,000100,235900,1430
80,20191221,000100,235900,1428
81,20191222,000100,235900,1428
82,20191223,000100,235900,1434
83,20191224,000100,235900,1432
84,20191225,000100,163200,987
85,20191226,010000,115900,659
86,NA,NA,NA,000000
87,NA,NA,NA,000000
88,NA,NA,NA,000000
89,NA,NA,NA,000000
90,NA,NA,NA,000000
91,NA,NA,NA,000000
92,NA,NA,NA,000000
93,NA,NA,NA,000000
94,NA,NA,NA,000000
95,NA,NA,NA,000000
96,20200106,101700,235900,711
97,20200107,000100,235900,1433
98,20200108,000100,084000,518
99,20200109,092400,114300,111
100,20200110,074900,235900,671
101,20200111,000100,235900,1433
102,20200112,000100,235900,1414
103,20200113,000100,235900,1432
104,20200114,000100,235900,1432
105,20200115,000100,235900,1426
106,20200116,000100,235900,1320
107,20200117,000100,235900,1418
108,NA,NA,NA,000000
109,NA,NA,NA,000000
110,NA,NA,NA,000000
111,NA,NA,NA,000000
112,NA,NA,NA,000000
113,20200123,124700,235900,673
114,20200124,000100,235900,1222
115,20200125,000100,235900,1435
116,20200126,000100,235900,1438
117,20200127,000100,235900,1437
118,20200128,000100,235900,1438
119,20200129,000100,235900,1438
120,20200130,000100,235900,1438
121,20200131,000100,235900,1412
122,20200201,000100,235900,1438
123,20200202,000100,235900,1438
124,20200203,000100,235900,1438
