dia_estacao,amostras_estacao,dia_inversor,amostras_inversor
20200403,1438,20200403,1125
20200404,1438,20200404,1091
20200405,1438,20200405,1091
20200406,1429,20200406,1086
20200407,1433,20200407,1079
20200408,1431,20200408,1319
20200409,1434,20200409,1091
20200410,459,20200410,548
20200411,545,20200411,1419
20200412,1433,20200412,1226
20200413,1433,20200413,1090
20200414,72,NA,0
20200415,1419,20200415,1086
20200416,912,20200416,592
20200417,1409,20200417,1072
20200418,1431,20200418,1083
20200419,1426,20200419,1084
20200420,1428,20200420,1087
20200421,1401,20200421,871
20200422,1427,20200422,1085
20200423,786,20200423,436
20200424,929,20200424,964
20200425,1430,20200425,1085
20200426,1430,20200426,1081
20200427,1426,20200427,1082
NA,0,20200428,1084
20200429,681,20200429,1081
20200430,1430,20200430,1077
20200501,1429,20200501,1081
20200502,751,20200502,400
