"","dia","hora","hora_1","amostras","linha","diferenca"
"amostras_faltantes_aux",20191004,32500,32700,1437,205,200
"amostras_faltantes_aux",20191004,42700,42900,1437,266,200
"amostras_faltantes_aux",20191005,10600,10800,1436,66,200
"amostras_faltantes_aux",20191005,22400,22600,1436,143,200
"amostras_faltantes_aux",20191005,43900,44100,1436,277,200
"amostras_faltantes_aux",20191014,105000,110700,1421,650,5700
"amostras_faltantes_aux",20191014,170000,170300,1421,1004,300
"amostras_faltantes_aux",20191015,300,500,1384,3,200
"amostras_faltantes_aux",20191015,4900,5200,1384,48,300
"amostras_faltantes_aux",20191015,30400,30600,1384,181,200
"amostras_faltantes_aux",20191015,83400,83600,1384,510,200
"amostras_faltantes_aux",20191015,90400,90700,1384,539,300
"amostras_faltantes_aux",20191015,91900,92200,1384,552,300
"amostras_faltantes_aux",20191015,110000,114300,1384,651,4300
"amostras_faltantes_aux",20191015,124700,124900,1384,716,200
"amostras_faltantes_aux",20191015,153800,154100,1384,886,300
"amostras_faltantes_aux",20191015,155100,155300,1384,897,200
"amostras_faltantes_aux",20191016,400,700,1385,4,300
"amostras_faltantes_aux",20191016,101000,101200,1385,610,200
"amostras_faltantes_aux",20191016,110600,113000,1385,665,2400
"amostras_faltantes_aux",20191016,152700,152900,1385,903,200
"amostras_faltantes_aux",20191016,152900,153100,1385,904,200
"amostras_faltantes_aux",20191016,153100,153500,1385,905,400
"amostras_faltantes_aux",20191016,155800,160400,1385,929,4600
"amostras_faltantes_aux",20191016,165400,170000,1385,980,4600
"amostras_faltantes_aux",20191016,171000,172000,1385,991,1000
"amostras_faltantes_aux",20191016,172200,172900,1385,994,700
"amostras_faltantes_aux",20191018,100300,100500,1431,604,200
"amostras_faltantes_aux",20191018,122300,123100,1431,743,800
"amostras_faltantes_aux",20191018,130100,130300,1431,774,200
"amostras_faltantes_aux",20191020,143900,144100,1379,820,200
"amostras_faltantes_aux",20191021,5900,61000,1128,60,55100
"amostras_faltantes_aux",20191021,91300,91500,1128,244,200
"amostras_faltantes_aux",20191021,91700,91900,1128,247,200
"amostras_faltantes_aux",20191024,30400,30600,1438,184,200
"amostras_faltantes_aux",20191025,44500,44900,1437,286,400
"amostras_faltantes_aux",20191029,172100,172300,1438,1041,200
"amostras_faltantes_aux",20191031,30600,30800,1437,186,200
"amostras_faltantes_aux",20191031,175900,180100,1437,1078,4200
"amostras_faltantes_aux",20191101,4400,4600,1437,44,200
"amostras_faltantes_aux",20191101,34400,34600,1437,223,200
"amostras_faltantes_aux",20191104,25900,30100,1438,180,4200
"amostras_faltantes_aux",20191104,31200,31400,1438,192,200
"amostras_faltantes_aux",20191105,44200,44400,1439,283,200
"amostras_faltantes_aux",20191106,21400,21600,1437,135,200
"amostras_faltantes_aux",20191106,22700,22900,1437,147,200
"amostras_faltantes_aux",20191106,34400,34600,1437,223,200
"amostras_faltantes_aux",20191107,154200,161200,1411,943,7000
"amostras_faltantes_aux",20191108,31200,31400,1439,193,200
"amostras_faltantes_aux",20191109,35700,35900,1438,238,200
"amostras_faltantes_aux",20191109,122000,122200,1438,740,200
"amostras_faltantes_aux",20191111,14200,14400,1438,103,200
"amostras_faltantes_aux",20191111,25900,30100,1438,179,4200
"amostras_faltantes_aux",20191114,25900,30100,1439,180,4200
"amostras_faltantes_aux",20191118,85600,90800,1412,537,5200
"amostras_faltantes_aux",20191118,92800,94600,1412,558,1800
"amostras_faltantes_aux",20191121,10100,10300,1248,62,200
"amostras_faltantes_aux",20191124,50000,50200,1439,301,200
"amostras_faltantes_aux",20191125,11500,11700,1438,76,200
"amostras_faltantes_aux",20191125,41500,41700,1438,255,200
"amostras_faltantes_aux",20191126,33000,33200,1439,211,200
"amostras_faltantes_aux",20191127,32100,32300,1438,202,200
"amostras_faltantes_aux",20191127,41500,41700,1438,255,200
"amostras_faltantes_aux",20191128,15100,15400,1437,112,300
"amostras_faltantes_aux",20191128,41500,41700,1437,254,200
"amostras_faltantes_aux",20191129,110300,110500,1418,664,200
"amostras_faltantes_aux",20191129,154300,160200,1418,943,5900
"amostras_faltantes_aux",20191129,160200,160400,1418,944,200
"amostras_faltantes_aux",20191129,194900,195100,1418,1170,200
"amostras_faltantes_aux",20191129,220300,220500,1418,1303,200
"amostras_faltantes_aux",20191130,14800,15000,1100,108,200
"amostras_faltantes_aux",20191130,31200,31400,1100,191,200
"amostras_faltantes_aux",20191130,44500,44700,1100,283,200
"amostras_faltantes_aux",20191130,72100,125800,1100,438,53700
"amostras_faltantes_aux",20191201,11200,11400,1308,73,200
"amostras_faltantes_aux",20191201,24200,45400,1308,162,21200
"amostras_faltantes_aux",20191202,5700,45000,1199,58,39300
"amostras_faltantes_aux",20191202,92500,92800,1199,334,300
"amostras_faltantes_aux",20191202,172100,172900,1199,808,800
"amostras_faltantes_aux",20191204,235900,307800,1463,1440,71900
"amostras_faltantes_aux",20191204,307900,314000,1463,1442,6100
"amostras_faltantes_aux",20191204,315900,378500,1463,1462,62600
"amostras_faltantes_aux",20191206,5700,51800,1180,58,46100
"amostras_faltantes_aux",20191207,5700,45000,1231,58,39300
"amostras_faltantes_aux",20191207,235900,307800,1231,1208,71900
"amostras_faltantes_aux",20191207,307900,314000,1231,1210,6100
"amostras_faltantes_aux",20191207,315900,378500,1231,1230,62600
"amostras_faltantes_aux",20191208,5700,10000,1218,58,4300
"amostras_faltantes_aux",20191208,11100,45200,1218,70,34100
"amostras_faltantes_aux",20191209,10000,10200,1438,61,200
"amostras_faltantes_aux",20191209,42600,42800,1438,266,200
"amostras_faltantes_aux",20191210,10000,115800,783,61,105800
"amostras_faltantes_aux",20191211,100300,100500,1448,604,200
"amostras_faltantes_aux",20191211,184200,184800,1448,1122,600
"amostras_faltantes_aux",20191211,190600,191100,1448,1141,500
"amostras_faltantes_aux",20191211,192400,193000,1448,1155,600
"amostras_faltantes_aux",20191211,235900,307800,1448,1425,71900
"amostras_faltantes_aux",20191211,307900,314000,1448,1427,6100
