dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20200425,000200,0,3.12,0.1,0,0,25.73,0.07,0,0,0.45,23.44,135,14.63,0
20200425,000300,0,2.71,0.09,0,0,22.32,0.06,0,0,0.44,23.31,0,15.96,0
20200425,000400,0,3.29,0.11,0,0,27.12,0.07,0,0,0.45,23.31,90,13.3,0
20200425,000500,0,3.08,0.1,0,0,25.38,0.07,0,0,0.43,23.44,90,7.98,0
20200425,000600,0,3.17,0.11,0,0,26.18,0.07,0,0,0.45,23.31,90,21.28,0
20200425,000700,0,3.15,0.1,0,0,26,0.07,0,0,0.44,23.31,90,25.27,0
20200425,000800,0,3.04,0.1,0,0,25.11,0.07,0,0,0.42,23.38,135,7.98,0
20200425,000900,0,3.35,0.11,0,0,27.64,0.08,0,0,0.43,23.38,90,38.57,0
20200425,001000,0,2.9,0.1,0,0,23.91,0.07,0,0,0.44,23.5,90,11.97,0
20200425,001100,0,3.33,0.11,0,0,27.43,0.08,0,0,0.43,23.44,90,15.96,0
20200425,001200,0,2.96,0.1,0,0,24.4,0.07,0,0,0.44,23.5,45,13.3,0
20200425,001300,0,3.23,0.11,0,0,26.64,0.07,0,0,0.43,23.56,135,19.95,0
20200425,001400,0,2.9,0.1,0,0,23.96,0.07,0,0,0.44,23.38,135,11.97,0
20200425,001500,0,2.93,0.1,0,0,24.17,0.07,0,0,0.43,23.38,90,13.3,0
20200425,001600,0,3.58,0.12,0,0,29.51,0.08,0,0,0.47,23.44,0,18.62,0
20200425,001700,0,3.81,0.13,0,0,31.42,0.09,0,0,0.48,23.31,90,21.28,0
20200425,001800,0,3.07,0.1,0,0,25.35,0.07,0,0,0.48,23.31,90,5.32,0
20200425,001900,0,3.32,0.11,0,0,27.43,0.08,0,0,0.47,23.56,135,19.95,0
20200425,002000,0,3.91,0.13,0,0,32.24,0.09,0,0,0.46,23.56,135,5.32,0
