dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200402,054500,6,0.09,0.08,218.7,461.1,7
20200402,054600,9,0.09,0.09,218.6,463.7,6
20200402,054700,15,0.11,0.09,218.6,487.1,6
20200402,054800,23,0.13,0.1,218.7,478.1,7
20200402,054900,27,0.15,0.12,218.4,469.3,7
20200402,055000,33,0.18,0.12,218.6,499.4,9
20200402,055100,39,0.2,0.14,218.6,482.4,9
20200402,055200,47,0.23,0.15,218.6,480,9
20200402,055300,51,0.25,0.16,218.6,508.4,12
20200402,055400,57,0.28,0.17,218.8,496.5,12
20200402,055500,57,0.28,0.19,218.8,494.4,12
20200402,055600,72,0.34,0.2,218.9,494.5,13
20200402,055700,78,0.37,0.21,218.6,499.4,13
20200402,055800,86,0.41,0.23,218.6,504.3,15
20200402,055900,96,0.44,0.24,218.7,506,16
20200402,060000,102,0.48,0.26,218.7,504.1,16
20200402,060100,108,0.52,0.27,218.6,519.3,18
20200402,060200,120,0.56,0.29,218.8,521.3,18
20200402,060300,132,0.61,0.3,218.7,518.5,19
20200402,060400,144,0.67,0.32,218.7,519.4,21
20200402,060500,153,0.71,0.34,218.5,526.6,22
20200402,060600,158,0.74,0.35,218.8,528.4,24
20200402,060700,167,0.78,0.36,218.8,528.3,25
20200402,060800,173,0.81,0.37,218.7,534.4,25
20200402,060900,180,0.84,0.39,218.5,532.2,25
20200402,061000,186,0.86,0.39,218.6,532.9,27
20200402,061100,189,0.88,0.41,218.7,534.1,25
20200402,061200,198,0.91,0.41,218.7,537,28
20200402,061300,207,0.96,0.43,218.4,537.4,30
20200402,061400,219,1.01,0.45,218.8,549.4,25
20200402,061500,231,1.06,0.46,218.7,559.2,30
20200402,061600,240,1.11,0.47,218.8,571.5,30
20200402,061700,261,1.2,0.49,218.5,585.1,30
20200402,061800,291,1.35,0.52,218.6,605.7,31
20200402,061900,405,1.86,0.86,218.7,547,35
20200402,062000,543,2.49,1.12,218.8,514.2,51
20200402,062100,577,2.66,1.17,218.5,523.4,71
20200402,062200,606,2.78,1.22,218.9,522.1,79
20200402,062300,629,2.88,1.25,219.1,522,82
20200402,062400,663,3.03,1.39,219.1,497.8,86
20200402,062500,702,3.23,1.43,218.9,510.9,89
20200402,062600,726,3.35,1.49,219.1,507.7,95
20200402,062700,759,3.48,1.56,218.9,509.6,97
20200402,062800,795,3.64,1.57,218.9,520.6,100
20200402,062900,834,3.83,1.66,218.6,524.8,105
20200402,063000,864,3.97,1.72,218.6,523.1,109
20200402,063100,903,4.14,1.77,218.9,530.6,114
20200402,063200,945,4.32,1.82,219.1,535.2,115
20200402,063300,975,4.48,1.89,219.2,530.7,124
20200402,063400,1010,4.62,1.98,219,527.3,126
20200402,063500,1047,4.77,2.04,219.2,529.5,129
20200402,063600,1088,4.96,2.07,219.1,540.7,133
20200402,063700,1119,5.12,2.12,219,540.5,138
20200402,063800,1122,5.14,2.13,218.9,538.4,138
20200402,063900,1104,5.06,2.12,218.9,536,135
20200402,064000,1170,5.38,2.24,219,540.4,143
20200402,064100,1248,5.71,2.29,219.2,556.1,150
20200402,064200,1304,5.97,2.39,218.9,561.7,158
20200402,064300,1347,6.15,2.47,219.1,558.7,164
20200402,064400,1389,6.34,2.57,219.1,550.3,168
20200402,064500,1416,6.46,2.58,219.3,558.2,173
20200402,064600,1404,6.41,2.58,219,556.8,170
20200402,064700,1521,6.95,2.75,219.3,566.9,184
20200402,064800,1562,7.14,2.8,219.3,576.3,188
20200402,064900,1606,7.36,2.91,219.2,565.6,193
20200402,065000,1653,7.57,2.96,219,567.9,197
20200402,065100,1701,7.77,3.07,219.5,564.5,203
20200402,065200,1744,7.96,3.14,219.5,568.8,208
20200402,065300,1799,8.22,3.26,219.6,562.4,216
20200402,065400,1878,8.57,3.35,219.4,569.7,220
20200402,065500,1938,8.83,3.45,219.7,573.6,228
20200402,065600,1971,9,3.56,219.6,565.2,231
20200402,065700,2009,9.16,3.6,219.6,567.6,234
20200402,065800,1992,9.05,3.55,219.6,568.3,234
20200402,065900,1926,8.79,3.45,219.3,561,226
20200402,070000,1887,8.61,3.43,219.4,559.4,220
20200402,070100,1845,8.43,3.33,219,563.4,214
20200402,070200,1871,8.58,3.41,219.2,559.4,219
20200402,070300,2049,9.37,3.72,219.4,563.7,240
20200402,070400,1782,8.16,3.21,219.2,568.5,208
20200402,070500,2004,9.2,3.63,219,564.3,231
20200402,070600,2127,9.72,3.81,219.2,568.7,246
20200402,070700,2147,9.79,3.96,219.4,568.2,248
20200402,070800,2268,10.37,4.09,219.4,565,261
20200402,070900,2391,10.89,4.26,219.4,570.2,277
20200402,071000,2403,10.98,4.31,219.8,565.7,278
20200402,071100,2529,11.51,4.54,219.9,569.9,292
20200402,071200,2596,11.84,4.63,219.7,565.8,299
20200402,071300,2709,12.35,4.89,219.5,568,312
20200402,071400,2782,12.67,5.02,219.7,560.5,321
20200402,071500,2819,12.84,5.05,219.6,560.8,324
20200402,071600,2890,13.16,5.18,219.5,561.5,333
20200402,071700,2923,13.34,5.25,219.4,562.3,337
20200402,071800,2943,13.4,5.36,219.6,559.1,337
20200402,071900,2991,13.62,5.47,219.8,555.2,345
20200402,072000,2971,13.49,5.45,219.8,550.1,342
20200402,072100,2901,13.2,5.32,219.6,554.4,334
20200402,072200,2775,12.62,5.09,219.8,554.1,318
20200402,072300,2779,12.65,5.09,219.7,552,318
20200402,072400,2934,13.36,5.41,219.7,552.7,336
20200402,072500,2971,13.53,5.58,219.7,542,344
20200402,072600,2961,13.48,5.46,219.8,551.5,336
20200402,072700,3027,13.79,5.54,219.7,554.8,347
20200402,072800,2976,13.51,5.44,219.8,550.1,341
20200402,072900,2905,13.22,5.34,219.5,554.1,334
20200402,073000,2931,13.35,5.43,219.7,550.6,339
20200402,073100,2976,13.55,5.51,219.6,545.6,341
20200402,073200,3037,13.83,5.61,219.6,549.7,347
20200402,073300,2976,13.56,5.49,219.3,545.8,341
20200402,073400,2922,13.32,5.42,219.4,548.7,336
20200402,073500,2808,12.8,5.17,219,547.9,322
20200402,073600,2894,13.19,5.37,219.1,546.2,331
20200402,073700,2898,13.25,5.4,219,545.9,333
20200402,073800,2541,13.24,5.49,219.2,538.4,336
20200402,073900,2772,12.66,5.11,219,547.8,319
20200402,074000,2964,13.53,5.51,219.2,546,339
20200402,074100,3218,14.69,5.93,219.2,550.1,368
20200402,074200,3318,15.11,6.15,219.5,545.1,380
20200402,074300,3399,15.52,6.31,219.5,549.8,389
20200402,074400,3561,16.24,6.58,219.6,545.2,409
20200402,074500,3643,16.62,6.78,219.5,549.1,420
20200402,074600,3675,16.73,6.77,219.6,547.3,424
20200402,074700,3762,17.13,6.93,219.6,549,432
20200402,074800,3900,17.74,7.25,219.8,544.8,449
20200402,074900,3945,17.97,7.3,219.6,549.4,455
20200402,075000,4038,18.36,7.53,220,542,465
20200402,075100,3989,18.11,7.63,220.1,530.7,470
20200402,075200,3989,18.14,7.58,220.1,534.6,470
20200402,075300,4144,18.87,7.76,219.9,544.3,481
20200402,075400,4155,18.88,7.78,220.1,543.6,481
20200402,075500,4182,18.99,7.87,220.3,543.5,487
20200402,075600,4140,18.82,7.83,220,531.4,487
20200402,075700,4144,18.85,7.98,219.9,529.2,491
20200402,075800,4221,19.16,7.94,220.1,535.1,491
20200402,075900,4179,18.96,8.03,220.1,529.8,494
20200402,080000,4061,18.44,7.97,220.1,519.5,494
20200402,080100,4131,18.76,7.99,220,526.2,497
20200402,080200,4089,18.59,8.04,220,515.4,497
20200402,080300,4121,18.73,8.34,220,504.8,511
20200402,080400,4086,18.55,8.18,220.1,504,509
20200402,080500,4194,19.08,8.5,219.8,501.6,522
20200402,080600,4235,19.25,8.53,220,508.6,526
20200402,080700,4383,19.93,8.73,220.2,506.7,548
20200402,080800,4359,19.82,8.86,220,502.6,549
20200402,080900,4428,20.13,8.92,219.9,504.1,552
20200402,081000,4428,19.98,8.84,219.9,503.5,552
20200402,081100,4396,19.98,8.71,220.1,510.4,549
20200402,081200,4461,20.27,8.96,220.2,502.1,557
20200402,081300,4438,20.16,8.8,220.2,511.5,555
20200402,081400,4396,20.02,9.03,219.8,493.3,558
