dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200321,000100,0,3.98,0.13,0,0,32.82,0.09,0,0,0.4,22.12,180,0,0,0,0,0,0,0,0,0
20200321,000400,0,4.03,0.13,0,0,33.29,0.09,0,0,0.4,22.19,180,0,0,0,0,0,0,0,0,0
20200321,000500,0,3.75,0.12,0,0,30.95,0.09,0,0,0.4,22,135,0,0,0,0,0,0,0,0,0
20200321,000600,0,3.68,0.12,0,0,30.39,0.08,0,0,0.4,22,135,0,0,0,0,0,0,0,0,0
20200321,000700,0,3.64,0.12,0,0,30.07,0.08,0,0,0.41,21.81,180,0,0,0,0,0,0,0,0,0
20200321,000800,0,4,0.13,0,0,32.98,0.09,0,0,0.42,21.69,180,0,0,0,0,0,0,0,0,0
20200321,000900,0,4.16,0.14,0,0,34.29,0.09,0,0,0.43,21.44,180,0,0,0,0,0,0,0,0,0
20200321,001000,0,4.42,0.15,0,0,36.45,0.1,0,0,0.42,21.5,180,0,0,0,0,0,0,0,0,0
20200321,001100,0,4.18,0.14,0,0,34.47,0.09,0,0,0.42,21.5,180,0,0,0,0,0,0,0,0,0
20200321,001200,0,3.9,0.13,0,0,32.15,0.09,0,0,0.43,21.56,180,0,0,0,0,0,0,0,0,0
20200321,001300,0,3.63,0.12,0,0,29.93,0.08,0,0,0.41,21.56,180,0,0,0,0,0,0,0,0,0
20200321,001400,0,3.7,0.12,0,0,30.53,0.08,0,0,0.42,21.56,180,0,0,0,0,0,0,0,0,0
20200321,001500,0,4.04,0.13,0,0,33.31,0.09,0,0,0.43,21.44,135,0,0,0,0,0,0,0,0,0
20200321,001600,0,3.45,0.11,0,0,28.5,0.08,0,0,0.42,21.38,180,0,0,0,0,0,0,0,0,0
20200321,001700,0,4.19,0.14,0,0,34.53,0.09,0,0,0.43,21.56,180,0,0,0,0,0,0,0,0,0
20200321,001800,0,3.59,0.12,0,0,29.58,0.08,0,0,0.44,21.56,180,0,0,0,0,0,0,0,0,0
20200321,001900,0,4.01,0.13,0,0,33.11,0.09,0,0,0.43,21.44,180,0,0,0,0,0,0,0,0,0
20200321,002000,0,3.86,0.13,0,0,31.82,0.09,0,0,0.43,21.69,180,0,0,0,0,0,0,0,0,0
20200321,002100,0,3.96,0.13,0,0,32.67,0.09,0,0,0.43,21.81,180,0,0,0,0,0,0,0,0,0
20200321,002200,0,4.07,0.14,0,0,33.55,0.09,0,0,0.45,21.69,180,0,0,0,0,0,0,0,0,0
20200321,002300,0,3.73,0.12,0,0,30.77,0.08,0,0,0.45,21.69,135,0,0,0,0,0,0,0,0,0
20200321,002400,0,4.23,0.14,0,0,34.87,0.1,0,0,0.42,21.62,180,0,0,0,0,0,0,0,0,0
20200321,002500,0,4.29,0.14,0,0,35.38,0.1,0,0,0.41,21.62,180,0,0,0,0,0,0,0,0,0
20200321,002600,0,4.14,0.14,0,0,34.19,0.09,0,0,0.41,21.69,180,0,0,0,0,0,0,0,0,0
20200321,002700,0,4.28,0.14,0,0,35.32,0.1,0,0,0.43,21.69,180,0,0,0,0,0,0,0,0,0
20200321,002800,0,4.03,0.13,0,0,33.27,0.09,0,0,0.41,21.75,180,0,0,0,0,0,0,0,0,0
20200321,002900,0,3.94,0.13,0,0,32.5,0.09,0,0,0.42,21.88,180,0,0,0,0,0,0,0,0,0
20200321,003000,0,4.28,0.14,0,0,35.33,0.1,0,0,0.43,21.88,180,0,0,0,0,0,0,0,0,0
20200321,003100,0,4.51,0.15,0,0,37.2,0.1,0,0,0.41,21.75,180,0,0,0,0,0,0,0,0,0
20200321,003200,0,3.84,0.13,0,0,31.68,0.09,0,0,0.42,21.94,180,0,0,0,0,0,0,0,0,0
20200321,003300,0,4.24,0.14,0,0,35.02,0.1,0,0,0.43,21.94,180,0,0,0,0,0,0,0,0,0
20200321,003400,0,3.63,0.12,0,0,29.93,0.08,0,0,0.41,22,135,0,0,0,0,0,0,0,0,0
20200321,003500,0,4.2,0.14,0,0,34.68,0.1,0,0,0.41,22.12,180,0,0,0,0,0,0,0,0,0
20200321,003600,0,4.85,0.16,0,0,40.01,0.11,0,0,0.41,22.12,180,0,0,0,0,0,0,0,0,0
20200321,003700,0,4.13,0.14,0,0,34.07,0.09,0,0,0.43,22.12,180,0,0,0,0,0,0,0,0,0
20200321,003800,0,4.47,0.15,0,0,36.91,0.1,0,0,0.43,22.06,180,0,0,0,0,0,0,0,0,0
20200321,003900,0,4.81,0.16,0,0,39.67,0.11,0,0,0.44,22,180,1.33,0,0,0,0,0,0,0,0
20200321,004000,0,3.89,0.13,0,0,32.1,0.09,0,0,0.44,22.12,180,0,0,0,0,0,0,0,0,0
20200321,004100,0,4.77,0.16,0,0,39.35,0.11,0,0,0.44,22.06,180,0,0,0,0,0,0,0,0,0
20200321,004200,0,4.01,0.13,0,0,33.06,0.09,0,0,0.43,22.06,180,0,0,0,0,0,0,0,0,0
20200321,004300,0,4.41,0.15,0,0,36.38,0.1,0,0,0.44,21.94,180,0,0,0,0,0,0,0,0,0
20200321,004400,0,5.03,0.17,0,0,41.48,0.11,0,0,0.44,22.12,180,0,0,0,0,0,0,0,0,0
20200321,004500,0,4.8,0.16,0,0,39.57,0.11,0,0,0.45,22.06,180,0,0,0,0,0,0,0,0,0
20200321,004600,0,4.45,0.15,0,0,36.74,0.1,0,0,0.46,22.25,135,0,0,0,0,0,0,0,0,0
20200321,004700,0,4.63,0.15,0,0,38.21,0.1,0,0,0.44,22.06,180,0,0,0,0,0,0,0,0,0
20200321,004800,0,4.43,0.15,0,0,36.53,0.1,0,0,0.44,22.12,180,0,0,0,0,0,0,0,0,0
20200321,004900,0,4.5,0.15,0,0,37.14,0.1,0,0,0.45,22,180,0,0,0,0,0,0,0,0,0
20200321,005000,0,4.65,0.15,0,0,38.4,0.11,0,0,0.45,22.06,180,0,0,0,0,0,0,0,0,0
20200321,005100,0,4.95,0.16,0,0,40.83,0.11,0,0,0.45,22.25,180,3.99,0,0,0,0,0,0,0,0
20200321,005200,0,5.22,0.17,0,0,43.1,0.12,0,0,0.44,22.31,180,3.99,0,0,0,0,0,0,0,0
20200321,005300,0,4.64,0.15,0,0,38.32,0.11,0,0,0.44,22.31,180,0,0,0,0,0,0,0,0,0
20200321,005400,0,4.22,0.14,0,0,34.8,0.1,0,0,0.43,22.44,90,7.98,0,0,0,0,0,0,0,0
20200321,005500,0,4.64,0.15,0,0,38.27,0.11,0,0,0.44,22.38,135,2.66,0,0,0,0,0,0,0,0
20200321,005600,0,5.29,0.18,0,0,43.63,0.12,0,0,0.44,22.31,135,3.99,0,0,0,0,0,0,0,0
20200321,005700,0,5.53,0.18,0,0,45.63,0.13,0,0,0.45,22.38,135,1.33,0,0,0,0,0,0,0,0
20200321,005800,0,5.36,0.18,0,0,44.18,0.12,0,0,0.44,22.56,135,2.66,0,0,0,0,0,0,0,0
20200321,005900,0,4.93,0.16,0,0,40.67,0.11,0,0,0.44,22.56,135,1.33,0,0,0,0,0,0,0,0
20200321,010000,0,4.98,0.17,0,0,41.08,0.11,0,0,0.44,22.56,135,0,0,0,0,0,0,0,0,0
20200321,010100,0,5.29,0.18,0,0,43.61,0.12,0,0,0.45,22.56,135,0,0,0,0,0,0,0,0,0
20200321,010200,0,5.78,0.19,0,0,47.67,0.13,0,0,0.44,22.62,135,0,0,0,0,0,0,0,0,0
20200321,010300,0,5,0.17,0,0,41.27,0.11,0,0,0.46,22.56,180,0,0,0,0,0,0,0,0,0
20200321,010400,0,5.18,0.17,0,0,42.7,0.12,0,0,0.45,22.44,180,0,0,0,0,0,0,0,0,0
20200321,010500,0,5.04,0.17,0,0,41.54,0.11,0,0,0.47,22.5,180,0,0,0,0,0,0,0,0,0
20200321,010600,0,5.79,0.19,0,0,47.77,0.13,0,0,0.47,22.44,180,3.99,0,0,0,0,0,0,0,0
20200321,010700,0,5.72,0.19,0,0,47.23,0.13,0,0,0.45,22.44,135,5.32,0,0,0,0,0,0,0,0
20200321,010800,0,5.89,0.2,0,0,48.6,0.13,0,0,0.44,22.44,225,5.32,0,0,0,0,0,0,0,0
20200321,010900,0,5.85,0.19,0,0,48.3,0.13,0,0,0.45,22.25,225,3.99,0,0,0,0,0,0,0,0
20200321,011000,0,6.43,0.21,0,0,53.03,0.15,0,0,0.46,22.12,225,2.66,0,0,0,0,0,0,0,0
20200321,011100,0,5.39,0.18,0,0,44.49,0.12,0,0,0.47,22.19,225,0,0,0,0,0,0,0,0,0
20200321,011200,0,6.06,0.2,0,0,49.97,0.14,0,0,0.46,22.06,225,0,0,0,0,0,0,0,0,0
20200321,011300,0,6.2,0.21,0,0,51.13,0.14,0,0,0.48,22.12,225,3.99,0,0,0,0,0,0,0,0
20200321,011400,0,5.42,0.18,0,0,44.72,0.12,0,0,0.47,22.31,225,7.98,0,0,0,0,0,0,0,0
20200321,011500,0,5.55,0.18,0,0,45.8,0.13,0,0,0.48,22.25,180,2.66,0,0,0,0,0,0,0,0
20200321,011600,0,6.04,0.2,0,0,49.83,0.14,0,0,0.45,22.19,225,6.65,0,0,0,0,0,0,0,0
20200321,011700,0,5.39,0.18,0,0,44.46,0.12,0,0,0.44,22.25,225,9.31,0,0,0,0,0,0,0,0
20200321,011800,0,4.78,0.16,0,0,39.44,0.11,0,0,0.45,22.25,225,10.64,0,0,0,0,0,0,0,0
20200321,011900,0,4.98,0.17,0,0,41.09,0.11,0,0,0.45,22.25,180,3.99,0,0,0,0,0,0,0,0
20200321,012000,0,5.46,0.18,0,0,45.04,0.12,0,0,0.44,22.06,225,3.99,0,0,0,0,0,0,0,0
20200321,012100,0,5.13,0.17,0,0,42.28,0.12,0,0,0.44,22.12,225,6.65,0,0,0,0,0,0,0,0
20200321,012200,0,6.08,0.2,0,0,50.2,0.14,0,0,0.44,22.06,225,7.98,0,0,0,0,0,0,0,0
20200321,012300,0,5.9,0.2,0,0,48.71,0.13,0,0,0.44,22.06,180,7.98,0,0,0,0,0,0,0,0
20200321,012400,0,6.07,0.2,0,0,50.08,0.14,0,0,0.42,22.06,225,7.98,0,0,0,0,0,0,0,0
20200321,012500,0,5.35,0.18,0,0,44.14,0.12,0,0,0.42,22,225,2.66,0,0,0,0,0,0,0,0
20200321,012600,0,5.61,0.19,0,0,46.27,0.13,0,0,0.42,21.94,135,6.65,0,0,0,0,0,0,0,0
20200321,012700,0,5.78,0.19,0,0,47.7,0.13,0,0,0.43,21.94,225,3.99,0,0,0,0,0,0,0,0
20200321,012800,0,5.61,0.19,0,0,46.32,0.13,0,0,0.42,22,225,6.65,0,0,0,0,0,0,0,0
20200321,012900,0,6.07,0.2,0,0,50.06,0.14,0,0,0.43,21.88,225,2.66,0,0,0,0,0,0,0,0
20200321,013000,0,5.92,0.2,0,0,48.87,0.13,0,0,0.45,22,180,2.66,0,0,0,0,0,0,0,0
20200321,013100,0,5.23,0.17,0,0,43.18,0.12,0,0,0.43,21.75,225,2.66,0,0,0,0,0,0,0,0
20200321,013200,0,5.27,0.18,0,0,43.48,0.12,0,0,0.44,21.81,225,5.32,0,0,0,0,0,0,0,0
20200321,013300,0,6.7,0.22,0,0,55.29,0.15,0,0,0.44,21.75,225,7.98,0,0,0,0,0,0,0,0
20200321,013400,0,6.12,0.2,0,0,50.48,0.14,0,0,0.45,21.75,225,3.99,0,0,0,0,0,0,0,0
20200321,013500,0,5.8,0.19,0,0,47.82,0.13,0,0,0.43,21.75,180,7.98,0,0,0,0,0,0,0,0
20200321,013600,0,5.35,0.18,0,0,44.18,0.12,0,0,0.44,21.88,225,5.32,0,0,0,0,0,0,0,0
20200321,013700,0,5.98,0.2,0,0,49.3,0.14,0,0,0.44,21.81,225,3.99,0,0,0,0,0,0,0,0
20200321,013800,0,5.89,0.2,0,0,48.61,0.13,0,0,0.42,21.81,225,0,0,0,0,0,0,0,0,0
20200321,013900,0,5.41,0.18,0,0,44.67,0.12,0,0,0.43,21.75,225,0,0,0,0,0,0,0,0,0
20200321,014000,0,5.55,0.18,0,0,45.75,0.13,0,0,0.43,21.81,225,0,0,0,0,0,0,0,0,0
20200321,014100,0,5.36,0.18,0,0,44.2,0.12,0,0,0.43,21.81,225,0,0,0,0,0,0,0,0,0
20200321,014200,0,5.95,0.2,0,0,49.1,0.13,0,0,0.43,21.75,225,0,0,0,0,0,0,0,0,0
20200321,014300,0,5.57,0.19,0,0,45.99,0.13,0,0,0.43,21.81,225,0,0,0,0,0,0,0,0,0
20200321,014400,0,5.85,0.19,0,0,48.3,0.13,0,0,0.43,21.75,225,0,0,0,0,0,0,0,0,0
20200321,014500,0,5.36,0.18,0,0,44.21,0.12,0,0,0.44,21.81,180,0,0,0,0,0,0,0,0,0
20200321,014600,0,5.22,0.17,0,0,43.07,0.12,0,0,0.43,21.81,180,0,0,0,0,0,0,0,0,0
20200321,014700,0,5.18,0.17,0,0,42.73,0.12,0,0,0.44,21.75,180,0,0,0,0,0,0,0,0,0
20200321,014800,0,5.82,0.19,0,0,48.01,0.13,0,0,0.44,21.62,180,0,0,0,0,0,0,0,0,0
20200321,014900,0,5.52,0.18,0,0,45.58,0.13,0,0,0.43,21.81,180,0,0,0,0,0,0,0,0,0
20200321,015000,0,5.95,0.2,0,0,49.11,0.13,0,0,0.43,21.88,225,1.33,0,0,0,0,0,0,0,0
20200321,015100,0,5.83,0.19,0,0,48.13,0.13,0,0,0.47,21.88,225,2.66,0,0,0,0,0,0,0,0
20200321,015200,0,5.72,0.19,0,0,47.17,0.13,0,0,0.46,21.88,180,2.66,0,0,0,0,0,0,0,0
20200321,015300,0,5.99,0.2,0,0,49.4,0.14,0,0,0.46,22,180,5.32,0,0,0,0,0,0,0,0
20200321,015400,0,5.35,0.18,0,0,44.15,0.12,0,0,0.47,21.94,135,2.66,0,0,0,0,0,0,0,0
20200321,015500,0,5.5,0.18,0,0,45.34,0.12,0,0,0.45,21.94,180,3.99,0,0,0,0,0,0,0,0
20200321,015600,0,6.02,0.2,0,0,49.64,0.14,0,0,0.43,21.88,225,5.32,0,0,0,0,0,0,0,0
20200321,015700,0,5.6,0.19,0,0,46.19,0.13,0,0,0.44,21.88,180,2.66,0,0,0,0,0,0,0,0
