"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","massaPM4","massaPM10","numPM1","numPM2","numPM4","numPM10","tamanho_medio","temp","vento_dir","vento_vel","rainfall"
"1",20200202,100,0,0.67,0.02,0,0,5.57,0.02,0,0,0.5,21.69,335,10.64,0
"2",20200202,200,0,0.64,0.02,0,0,5.28,0.01,0,0,0.5,21.88,0,5.32,0
"3",20200202,300,0,0.52,0.02,0,0,4.25,0.01,0,0,0.5,21.88,0,10.64,0
"4",20200202,400,0,0.57,0.02,0,0,4.74,0.01,0,0,0.5,21.88,0,6.65,0
"5",20200202,500,0,0.69,0.02,0,0,5.66,0.02,0,0,0.49,21.81,335,2.66,0
"6",20200202,600,0,0.55,0.02,0,0,4.5,0.01,0,0,0.49,21.56,45,9.31,0
"7",20200202,700,0,0.7,0.02,0,0,5.77,0.02,0,0,0.49,21.75,90,5.32,0
"8",20200202,800,0,0.73,0.02,0,0,6.02,0.02,0,0,0.5,21.81,0,11.97,0
"9",20200202,900,0,0.57,0.02,0,0,4.72,0.01,0,0,0.51,21.94,180,7.98,0
"10",20200202,1000,0,0.61,0.02,0,0,5.03,0.01,0,0,0.51,21.88,0,7.98,0
"11",20200202,1100,0,0.6,0.02,0,0,4.94,0.01,0,0,0.5,21.81,45,5.32,0
"12",20200202,1200,0,0.65,0.02,0,0,5.39,0.01,0,0,0.5,21.88,335,9.31,0
"13",20200202,1300,0,0.71,0.02,0,0,5.83,0.02,0,0,0.5,21.81,335,6.65,0
"14",20200202,1400,0,0.73,0.02,0,0,6.04,0.02,0,0,0.49,21.88,335,7.98,0
"15",20200202,1500,0,0.46,0.02,0,0,3.76,0.01,0,0,0.49,21.81,0,10.64,0
"16",20200202,1600,0,0.57,0.02,0,0,4.67,0.01,0,0,0.5,21.81,335,10.64,0
"17",20200202,1700,0,0.6,0.02,0,0,4.98,0.01,0,0,0.5,21.75,45,10.64,0
"18",20200202,1800,0,0.57,0.02,0,0,4.72,0.01,0,0,0.5,21.88,0,7.98,0
"19",20200202,1900,0,0.62,0.02,0,0,5.1,0.01,0,0,0.49,21.75,0,10.64,0
"20",20200202,2000,0,0.66,0.02,0,0,5.47,0.02,0,0,0.49,21.81,0,7.98,0
"21",20200202,2100,0,0.78,0.03,0,0,6.4,0.02,0,0,0.5,21.75,45,7.98,0
"22",20200202,2200,0,0.71,0.02,0,0,5.85,0.02,0,0,0.5,21.75,0,6.65,0
"23",20200202,2300,0,0.57,0.02,0,0,4.73,0.01,0,0,0.49,21.62,45,6.65,0
"24",20200202,2400,0,0.82,0.03,0,0,6.74,0.02,0,0,0.48,21.69,270,2.66,0
"25",20200202,2500,0,1.21,0.04,0,0,9.98,0.03,0,0,0.48,21.69,0,6.65,0
"26",20200202,2600,0,0.88,0.03,0,0,7.26,0.02,0,0,0.48,21.75,0,11.97,0
"27",20200202,2700,0,1.07,0.04,0,0,8.8,0.02,0,0,0.47,21.75,335,2.66,0
"28",20200202,2800,0,0.86,0.03,0,0,7.09,0.02,0,0,0.46,21.75,0,7.98,0
"29",20200202,2900,0,1.14,0.04,0,0,9.42,0.03,0,0,0.46,21.56,0,10.64,0
"30",20200202,3000,0,1.57,0.05,0,0,12.95,0.04,0,0,0.46,21.62,0,13.3,0
"31",20200202,3100,0,1.24,0.04,0,0,10.23,0.03,0,0,0.46,21.75,0,5.32,0
"32",20200202,3200,0,1.04,0.03,0,0,8.61,0.02,0,0,0.47,21.62,0,10.64,0
"33",20200202,3300,0,1.05,0.04,0,0,8.68,0.02,0,0,0.47,21.75,270,5.32,0
"34",20200202,3400,0,1.12,0.04,0,0,9.28,0.03,0,0,0.47,21.75,335,2.66,0
"35",20200202,3500,0,1.35,0.04,0,0,11.15,0.03,0,0,0.47,21.62,335,3.99,0
"36",20200202,3600,0,0.97,0.03,0,0,7.99,0.02,0,0,0.48,21.5,0,2.66,0
"37",20200202,3700,0,0.8,0.03,0,0,6.63,0.02,0,0,0.47,21.56,0,18.62,0
"38",20200202,3800,0,1.21,0.04,0,0,9.97,0.03,0,0,0.47,21.81,45,6.65,0
"39",20200202,3900,0,1.18,0.04,0,0,9.74,0.03,0,0,0.48,21.62,0,10.64,0
"40",20200202,4000,0,0.71,0.02,0,0,5.84,0.02,0,0,0.49,21.75,45,3.99,0
"41",20200202,4100,0,1,0.03,0,0,8.22,0.02,0,0,0.47,21.81,270,2.66,0
"42",20200202,4200,0,0.99,0.03,0,0,8.18,0.02,0,0,0.48,21.62,270,0,0
"43",20200202,4300,0,1.05,0.03,0,0,8.66,0.02,0,0,0.48,21.56,335,5.32,0
"44",20200202,4400,0,0.8,0.03,0,0,6.59,0.02,0,0,0.48,21.62,0,5.32,0
"45",20200202,4500,0,1.04,0.03,0,0,8.57,0.02,0,0,0.48,21.62,0,3.99,0
"46",20200202,4600,0,0.85,0.03,0,0,6.99,0.02,0,0,0.49,21.81,335,7.98,0
"47",20200202,4700,0,0.8,0.03,0,0,6.6,0.02,0,0,0.48,21.75,0,9.31,0
"48",20200202,4800,0,0.98,0.03,0,0,8.08,0.02,0,0,0.48,21.75,0,5.32,0
"49",20200202,4900,0,0.91,0.03,0,0,7.54,0.02,0,0,0.48,21.62,180,2.66,0
"50",20200202,5000,0,0.81,0.03,0,0,6.69,0.02,0,0,0.47,21.62,0,6.65,0
"51",20200202,5100,0,0.83,0.03,0,0,6.81,0.02,0,0,0.47,21.69,45,5.32,0
"52",20200202,5200,0,0.87,0.03,0,0,7.18,0.02,0,0,0.47,21.81,270,5.32,0
"53",20200202,5300,0,0.9,0.03,0,0,7.4,0.02,0,0,0.48,21.62,180,2.66,0
"54",20200202,5400,0,1.14,0.04,0,0,9.38,0.03,0,0,0.49,21.56,335,3.99,0
"55",20200202,5500,0,0.93,0.03,0,0,7.65,0.02,0,0,0.49,21.56,0,3.99,0
"56",20200202,5600,0,0.89,0.03,0,0,7.36,0.02,0,0,0.48,21.56,45,6.65,0
"57",20200202,5700,0,0.82,0.03,0,0,6.8,0.02,0,0,0.48,21.75,0,6.65,0
"58",20200202,5800,0,0.87,0.03,0,0,7.21,0.02,0,0,0.47,21.75,135,2.66,0
"59",20200202,5900,0,0.86,0.03,0,0,7.07,0.02,0,0,0.47,21.75,0,2.66,0
"60",20200202,10000,0,0.96,0.03,0,0,7.91,0.02,0,0,0.46,21.69,90,5.32,0
"61",20200202,10100,0,0.87,0.03,0,0,7.14,0.02,0,0,0.47,21.75,0,9.31,0
"62",20200202,10200,0,0.71,0.02,0,0,5.87,0.02,0,0,0.47,21.69,45,7.98,0
"63",20200202,10300,0,0.79,0.03,0,0,6.55,0.02,0,0,0.47,21.62,0,9.31,0
"64",20200202,10400,0,0.94,0.03,0,0,7.76,0.02,0,0,0.47,21.69,45,10.64,0
"65",20200202,10500,0,0.76,0.03,0,0,6.3,0.02,0,0,0.46,21.75,0,7.98,0
"66",20200202,10600,0,1.01,0.03,0,0,8.3,0.02,0,0,0.46,21.75,0,10.64,0
"67",20200202,10700,0,0.68,0.02,0,0,5.63,0.02,0,0,0.45,21.69,335,6.65,0
"68",20200202,10800,0,0.89,0.03,0,0,7.34,0.02,0,0,0.44,21.75,45,7.98,0
"69",20200202,10900,0,0.94,0.03,0,0,7.74,0.02,0,0,0.44,21.69,45,9.31,0
