"","dia_mes_ano","hora_minuto","P_AC","I_AC","I_DC","V_AC","V_DC","IRR"
"1",20191116,0,0,0.09,0,215.3,45.6,0
"2",20191116,100,0,0.09,0,215.3,45.5,0
"3",20191116,200,0,0.09,0,215.3,45.4,0
"4",20191116,300,0,0.09,0,215.3,45.4,0
"5",20191116,400,0,0.09,0,215.3,45.3,0
"6",20191116,500,0,0.09,0,215.3,45.2,0
"7",20191116,600,0,0.09,0,215.3,45.2,0
"8",20191116,700,0,0.09,0,215.3,45.2,0
"9",20191116,800,0,0.09,0,215.3,45.3,0
"10",20191116,900,0,0.09,0,215.3,45.3,0
"11",20191116,1000,0,0.09,0,215.3,45.1,0
"12",20191116,1100,0,0.09,0,215.3,45.1,0
"13",20191116,1200,0,0.09,0,215.3,44.3,0
"14",20191116,1300,0,0.09,0,215.3,44.3,0
"15",20191116,1400,0,0.09,0,215.3,44.4,0
"16",20191116,1500,0,0.09,0,215.3,44.4,0
"17",20191116,1600,0,0.09,0,215.3,44.9,0
"18",20191116,1700,0,0.09,0,215.3,44.9,0
"19",20191116,1800,0,0.09,0,215.3,45.3,0
"20",20191116,1900,0,0.09,0,215.3,45.3,0
"21",20191116,2000,0,0.09,0,215.3,45.8,0
"22",20191116,2100,0,0.09,0,215.3,45.8,0
"23",20191116,2200,0,0.09,0,215.3,46,0
"24",20191116,2300,0,0.09,0,215.3,46,0
"25",20191116,2400,0,0.09,0,215.3,46,0
"26",20191116,2500,0,0.09,0,215.3,46,0
"27",20191116,2600,0,0.09,0,215.3,46,0
"28",20191116,2700,0,0.09,0,215.3,46,0
"29",20191116,2800,0,0.09,0,215.3,46,0
"30",20191116,2900,0,0.09,0,215.3,46,0
"31",20191116,3000,0,0.09,0,215.3,46.2,0
"32",20191116,3100,0,0.09,0,215.3,46.2,0
"33",20191116,3200,0,0.09,0,215.3,46.3,0
"34",20191116,3300,0,0.09,0,215.3,46.4,0
"35",20191116,3400,0,0.09,0,215.3,46.4,0
"36",20191116,3500,0,0.09,0,215.3,46.5,0
"37",20191116,3600,0,0.09,0,215.3,46.6,0
"38",20191116,3700,0,0.09,0,215.3,46.4,0
"39",20191116,3800,0,0.09,0,215.3,46.2,0
"40",20191116,3900,0,0.09,0,215.3,46.1,0
"41",20191116,4000,0,0.09,0,215.3,46,0
"42",20191116,4100,0,0.09,0,215.3,46,0
"43",20191116,4200,0,0.09,0,215.3,46,0
"44",20191116,4300,0,0.09,0,215.3,46,0
"45",20191116,4400,0,0.09,0,215.3,46,0
"46",20191116,4500,0,0.09,0,215.3,46.1,0
"47",20191116,4600,0,0.09,0,215.3,46.1,0
"48",20191116,4700,0,0.09,0,215.3,46.1,0
"49",20191116,4800,0,0.09,0,215.3,46.1,0
"50",20191116,4900,0,0.09,0,215.3,46.1,0
"51",20191116,5000,0,0.09,0,215.3,46.1,0
"52",20191116,5100,0,0.09,0,215.3,46.3,0
"53",20191116,5200,0,0.09,0,215.3,46.3,0
"54",20191116,5300,0,0.09,0,215.3,46.5,0
"55",20191116,5400,0,0.09,0,215.3,46.5,0
"56",20191116,5500,0,0.09,0,215.3,46.6,0
"57",20191116,5600,0,0.09,0,215.3,46.6,0
"58",20191116,5700,0,0.09,0,215.3,47,0
"59",20191116,5800,0,0.09,0,215.3,47,0
"60",20191116,45000,6,0.11,0.07,219.3,471.4,6
"61",20191116,45100,12,0.11,0.08,219.1,476.3,6
"62",20191116,45200,16,0.12,0.09,219.3,497.8,7
"63",20191116,45300,22,0.15,0.11,219.4,475.9,7
"64",20191116,45400,30,0.16,0.11,219.6,495,9
"65",20191116,45500,35,0.19,0.13,219.7,503.3,9
"66",20191116,45600,39,0.2,0.14,219.8,486,9
"67",20191116,45700,48,0.23,0.15,221.1,506.1,10
"68",20191116,45800,54,0.26,0.16,221.1,509.9,10
"69",20191116,45900,58,0.28,0.18,221,505.2,13
"70",20191116,50000,66,0.31,0.18,221,519.4,12
"71",20191116,50100,72,0.34,0.19,221.1,515.6,13
"72",20191116,50200,81,0.37,0.21,221.2,520,13
"73",20191116,50300,86,0.4,0.22,221.3,520.1,15
"74",20191116,50400,93,0.43,0.23,220.9,521.4,15
"75",20191116,50500,99,0.47,0.25,220.8,524.3,16
"76",20191116,50600,105,0.5,0.26,221,533,18
"77",20191116,50700,114,0.53,0.27,221.1,515.6,18
"78",20191116,50800,123,0.56,0.28,221.1,531,19
"79",20191116,50900,129,0.6,0.29,221.1,536.2,19
"80",20191116,51000,138,0.64,0.31,219.1,529.2,21
"81",20191116,51100,144,0.67,0.32,219.1,538.8,21
"82",20191116,51200,150,0.7,0.33,218.8,539.2,22
"83",20191116,51300,156,0.73,0.34,218.7,540,24
"84",20191116,51400,165,0.76,0.35,218.8,540.3,24
"85",20191116,51500,171,0.79,0.36,218.9,546.1,25
"86",20191116,51600,177,0.82,0.37,217.6,545.3,25
"87",20191116,51700,181,0.85,0.38,217.7,547.4,27
"88",20191116,51800,189,0.87,0.39,217.7,549.7,27
"89",20191116,51900,195,0.9,0.41,217.9,544.1,27
"90",20191116,52000,198,0.93,0.42,217.8,543,28
"91",20191116,52100,204,0.95,0.42,217.8,551.4,28
"92",20191116,52200,213,0.99,0.43,217.7,550.6,30
"93",20191116,52300,220,1.02,0.44,217.8,555.2,33
"94",20191116,52400,229,1.06,0.47,217.9,547.1,30
"95",20191116,52500,237,1.09,0.48,218,556.4,33
"96",20191116,52600,252,1.17,0.5,218,560.3,38
"97",20191116,52700,276,1.28,0.53,217.9,565.1,39
"98",20191116,52800,297,1.38,0.56,218,580.3,39
"99",20191116,52900,312,1.45,0.59,218.1,579.5,41
"100",20191116,53000,330,1.53,0.61,218.2,578.8,42
"101",20191116,53100,345,1.59,0.63,218.3,589.8,42
"102",20191116,53200,363,1.67,0.7,218.1,561.6,44
"103",20191116,53300,381,1.75,0.71,219.3,575.2,45
"104",20191116,53400,402,1.84,0.73,219.3,586.7,48
"105",20191116,53500,420,1.92,0.75,219.3,594.7,50
"106",20191116,53600,438,2.02,0.78,219.4,591,53
"107",20191116,53700,462,2.1,0.83,219.5,593.9,54
"108",20191116,53800,483,2.21,0.86,219.4,592.2,56
"109",20191116,53900,504,2.31,0.9,219.3,592.3,59
"110",20191116,54000,528,2.41,0.93,219.3,594.1,60
"111",20191116,54100,550,2.51,0.97,219.3,587,62
"112",20191116,54200,574,2.62,1.01,219.6,590.5,65
"113",20191116,54300,600,2.74,1.06,219.5,594.2,68
"114",20191116,54400,627,2.86,1.09,219.6,591.6,71
"115",20191116,54500,651,2.98,1.15,219.6,593,73
"116",20191116,54600,679,3.1,1.19,219.6,593.3,76
"117",20191116,54700,699,3.2,1.24,219.6,599.1,82
"118",20191116,54800,732,3.34,1.28,219.5,587.1,82
"119",20191116,54900,759,3.47,1.33,219.5,590.4,86
"120",20191116,55000,786,3.59,1.37,219.5,590.5,88
"121",20191116,55100,813,3.72,1.42,219.6,593.8,91
"122",20191116,55200,840,3.83,1.45,219.6,591.4,94
"123",20191116,55300,870,3.99,1.51,218.4,592.3,97
"124",20191116,55400,900,4.14,1.57,218.3,593.6,100
"125",20191116,55500,933,4.29,1.64,218.4,588,103
"126",20191116,55600,966,4.44,1.68,218.4,586.9,108
"127",20191116,55700,999,4.58,1.74,218.4,587.8,112
"128",20191116,55800,1029,4.72,1.79,218.4,588.5,115
"129",20191116,55900,1056,4.86,1.86,218.4,584.3,118
"130",20191116,60000,1086,4.98,1.9,218.3,589.3,121
"131",20191116,60100,1119,5.13,1.96,218.2,589.3,126
"132",20191116,60200,1149,5.28,1.99,218.2,590.3,129
"133",20191116,60300,1185,5.43,2.06,218.4,587.1,132
"134",20191116,60400,1218,5.58,2.11,218.6,588.6,137
"135",20191116,60500,1255,5.75,2.2,218.5,586,141
"136",20191116,60600,1290,5.92,2.24,218.5,589.9,144
"137",20191116,60700,1326,6.1,2.31,218.4,590.2,150
"138",20191116,60800,1364,6.26,2.38,218.3,590,153
"139",20191116,60900,1404,6.43,2.43,218.3,589.4,158
"140",20191116,61000,1443,6.61,2.5,218.3,586.7,161
"141",20191116,61100,1479,6.78,2.56,218.2,587.7,165
"142",20191116,61200,1512,6.94,2.59,218.1,596.7,168
"143",20191116,61300,1554,7.09,2.64,219.4,599.8,173
"144",20191116,61400,1596,7.28,2.72,219.6,595.7,178
"145",20191116,61500,1629,7.45,2.78,219.4,599.8,182
"146",20191116,61600,1666,7.59,2.83,219.6,596.4,187
"147",20191116,61700,1702,7.76,2.91,219.6,597.2,190
"148",20191116,61800,1743,7.94,2.98,219.8,597.8,194
"149",20191116,61900,1785,8.13,3.05,219.9,597.3,200
"150",20191116,62000,1827,8.3,3.12,220.1,596.7,203
"151",20191116,62100,1875,8.53,3.18,220,600,208
"152",20191116,62200,1614,7.49,3.13,219.8,539.6,213
"153",20191116,62300,1950,8.87,3.4,220.1,585.5,216
"154",20191116,62400,2001,9.11,3.41,220.2,593.3,220
"155",20191116,62500,2039,9.23,3.56,220.1,584.4,225
"156",20191116,62600,2088,9.48,3.55,220.2,595,228
"157",20191116,62700,2136,9.72,3.64,220.1,595.4,234
"158",20191116,62800,2175,9.91,3.74,220.2,592.5,239
"159",20191116,62900,2208,10.03,3.82,220.2,588.5,243
"160",20191116,63000,2262,10.27,3.92,220.4,587.7,248
"161",20191116,63100,2295,10.41,3.94,220.5,590.5,251
"162",20191116,63200,2337,10.65,4.02,219.3,591.2,257
"163",20191116,63300,2376,10.86,4.14,219.1,587.1,261
"164",20191116,63400,2406,11,4.17,219,587.2,264
"165",20191116,63500,2464,11.23,4.26,219.3,583,270
"166",20191116,63600,2499,11.39,4.32,219.4,584.5,274
"167",20191116,63700,2547,11.62,4.46,219.3,582.2,278
"168",20191116,63800,2580,11.78,4.54,219.3,582.2,283
"169",20191116,63900,2625,11.97,4.58,219.2,578.6,287
"170",20191116,64000,2664,12.12,4.62,219.5,580.2,292
"171",20191116,64100,2702,12.32,4.71,219.6,578.4,295
"172",20191116,64200,2741,12.49,4.78,219.6,582.2,301
"173",20191116,64300,2781,12.68,4.87,219.5,582.9,305
"174",20191116,64400,2829,12.9,4.98,219.6,575.9,310
"175",20191116,64500,2871,13.09,5.04,219.4,577.2,315
"176",20191116,64600,2922,13.33,5.15,219.6,578,322
"177",20191116,64700,2967,13.51,5.24,219.8,577.3,325
"178",20191116,64800,3009,13.73,5.31,219.8,573.6,330
"179",20191116,64900,3048,13.89,5.41,219.8,574.3,334
"180",20191116,65000,3094,14.07,5.49,220,573.1,339
"181",20191116,65100,3142,14.28,5.6,220.1,572.7,345
"182",20191116,65200,3189,14.47,5.68,220.3,571.8,348
"183",20191116,65300,3177,14.43,5.44,220.2,587.3,353
"184",20191116,65400,3267,14.85,5.8,220.4,569,357
"185",20191116,65500,3315,15.01,5.89,220.8,569.9,362
"186",20191116,65600,3354,15.14,5.93,221.6,570.5,366
"187",20191116,65700,3401,15.35,6.07,221.6,570.9,369
"188",20191116,65800,3455,15.59,6.15,221.5,571.1,374
"189",20191116,65900,3492,15.79,6.17,221.3,572.8,380
"190",20191116,70000,3553,16.05,6.27,221.4,573,386
"191",20191116,70100,3590,16.22,6.38,221.4,569.9,391
"192",20191116,70200,3635,16.43,6.46,221.5,574.2,395
"193",20191116,70300,3679,16.6,6.55,221.5,573.6,400
"194",20191116,70400,3710,16.84,6.66,221.6,571.3,404
"195",20191116,70500,3766,17.01,6.67,221.5,570.4,409
"196",20191116,70600,3813,17.21,6.74,221.5,572.2,414
"197",20191116,70700,3846,17.36,6.87,221.6,568.5,420
"198",20191116,70800,3888,17.59,6.93,221.5,568.2,423
"199",20191116,70900,3939,17.77,7.01,221.6,572.8,427
"200",20191116,71000,3971,17.94,7.04,221.7,568.2,432
"201",20191116,71100,4020,18.12,7.18,221.9,572.3,436
"202",20191116,71200,4062,18.31,7.27,221.9,570.9,443
"203",20191116,71300,4095,18.47,7.34,221.7,572.7,447
"204",20191116,71400,4143,18.68,7.34,221.9,567.3,450
"205",20191116,71500,4192,19.02,7.42,220.4,570.7,456
"206",20191116,71600,4233,19.19,7.57,220.5,567.4,459
"207",20191116,71700,4272,19.34,7.64,220.6,562.5,465
"208",20191116,71800,4305,19.53,7.77,220.6,566,470
"209",20191116,71900,4347,19.74,7.78,220.1,563.8,473
"210",20191116,72000,4383,19.9,7.9,220.3,563.8,478
"211",20191116,72100,4431,20.1,7.92,220.5,562.8,484
"212",20191116,72200,4470,20.27,8,220.5,566.7,488
"213",20191116,72300,4498,20.44,8.09,220.6,562.4,491
"214",20191116,72400,4556,20.68,8.17,220.3,564,497
"215",20191116,72500,4584,20.78,8.28,220.5,561.1,500
"216",20191116,72600,4614,20.94,8.32,220.6,565.3,505
"217",20191116,72700,4653,21.09,8.38,220.7,560.9,509
"218",20191116,72800,4681,21.21,8.47,220.6,564.6,514
"219",20191116,72900,4710,21.37,8.45,220.7,562.1,517
"220",20191116,73000,4749,21.53,8.5,220.6,562.5,522
"221",20191116,73100,4787,21.69,8.67,220.8,562.1,526
"222",20191116,73200,4824,21.85,8.66,220.7,564.4,531
"223",20191116,73300,4870,22.08,8.78,220.6,560.9,535
"224",20191116,73400,4902,22,9.03,221,547.4,540
"225",20191116,73500,4944,22.38,8.91,220.9,559,545
"226",20191116,73600,4983,22.54,9.07,220.9,559.8,548
"227",20191116,73700,5016,22.7,9.12,220.9,560.7,552
"228",20191116,73800,5049,22.86,9.1,220.8,561.2,555
"229",20191116,73900,5094,23.06,9.26,220.8,559.2,560
"230",20191116,74000,5127,23.08,9.24,222.1,562.6,566
"231",20191116,74100,5163,23.23,9.33,222.3,558.3,569
"232",20191116,74200,5199,23.4,9.53,222.1,554.2,575
"233",20191116,74300,5228,23.54,9.52,222.3,557.3,578
"234",20191116,74400,5250,23.63,9.6,222.4,553.5,583
"235",20191116,74500,5277,23.72,9.6,222.4,559.8,586
"236",20191116,74600,5308,23.86,9.72,222.5,554.6,589
"237",20191116,74700,5356,24.06,9.81,222.5,554.6,595
"238",20191116,74800,5378,24.16,9.89,222.7,550.1,596
"239",20191116,74900,5414,24.34,9.97,222.6,554.9,602
"240",20191116,75000,5448,24.45,9.96,222.6,550.8,605
"241",20191116,75100,5487,24.66,10.14,222.6,553.1,610
"242",20191116,75200,5523,24.85,10.1,222.3,552.8,615
"243",20191116,75300,5568,25.03,10.17,222.4,554,619
"244",20191116,75400,5604,25.2,10.33,222.3,550.4,622
"245",20191116,75500,5645,25.39,10.31,222.3,553.8,627
"246",20191116,75600,5673,25.51,10.44,222.2,553.3,633
"247",20191116,75700,5703,25.61,10.51,222.6,552.3,634
"248",20191116,75800,5727,25.67,10.62,223.1,550,639
"249",20191116,75900,5754,25.79,10.6,223,549,640
"250",20191116,80000,5793,25.96,10.77,223.1,550.1,648
"251",20191116,80100,5829,26.12,10.84,223.1,547.2,651
"252",20191116,80200,5853,26.41,10.81,221.6,551.2,654
"253",20191116,80300,5886,26.56,10.88,221.6,546.9,662
"254",20191116,80400,5918,26.69,10.99,221.7,550.7,663
"255",20191116,80500,5221,21.85,9.61,220.5,504.9,668
"256",20191116,80600,5982,26.94,11.12,221.8,543.5,672
"257",20191116,80700,6007,27.1,11.2,221.8,547.7,675
"258",20191116,80800,6033,27.19,11.17,221.9,547,680
"259",20191116,80900,6061,27.29,11.24,222.1,545,683
"260",20191116,81000,6096,27.45,11.4,222,545.8,688
"261",20191116,81100,6111,27.52,11.33,222,546.7,691
"262",20191116,81200,6131,27.62,11.56,222,542.6,694
"263",20191116,81300,6165,27.75,11.63,222.1,541.2,698
"264",20191116,81400,6189,27.86,11.57,222.1,541.1,703
"265",20191116,81500,6219,28,11.74,222.1,539.5,706
"266",20191116,81600,6245,28.12,11.67,222.1,540.9,709
