dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,numPM1,numPM2,tamanho_medio,temp,vento_dir,vento_vel,massaPM4,massaPM10,numPM4,numPM10,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200319,000100,0,4.49,0.15,37.04,0.1,0.5,24.06,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,000200,0,4.09,0.14,33.77,0.09,0.49,24,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,000300,0,4.94,0.16,40.72,0.11,0.49,23.94,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,000400,0,4.65,0.15,38.38,0.11,0.47,23.81,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,000500,0,4.53,0.15,37.4,0.1,0.47,23.75,90,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,000600,0,4.51,0.15,37.21,0.1,0.46,23.81,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,000700,0,4.94,0.16,40.78,0.11,0.47,23.88,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,000800,0,5.11,0.17,42.14,0.12,0.46,23.94,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,000900,0,4.53,0.15,37.35,0.1,0.47,24.06,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,001000,0,4.38,0.15,36.12,0.1,0.47,24,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,001100,0,4.64,0.15,38.31,0.11,0.48,24.12,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,001200,0,4.54,0.15,37.45,0.1,0.5,24.25,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,001300,0,4.49,0.15,37.07,0.1,0.48,24.25,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,001400,0,4.4,0.15,36.34,0.1,0.48,24.25,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
