dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_AC,P_DC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est
20200303,000900,0,0.84,6.92,0.03,0.02,0.53,21.39,22.61,135,0,0,0.09,216,0,41.01,0,0,0,0,0,0
20200303,001900,0,0.67,5.55,0.02,0.01,0.52,21.27,20.22,135,0,0,0.09,216,0,40.8,0,0,0,0,0,0
20200303,002900,0,0.66,5.48,0.02,0.01,0.52,21.11,21.81,103.5,0,0,0.09,216,0,40.2,0,0,0,0,0,0
20200303,003900,0,0.64,5.32,0.02,0.01,0.52,20.82,21.28,99,0,0,0.09,216,0,41.05,0,0,0,0,0,0
20200303,004900,0,0.62,5.14,0.02,0.01,0.52,20.54,17.82,117,0,0,0.09,216,0,41.57,0,0,0,0,0,0
20200303,005900,0,0.58,4.74,0.02,0.01,0.51,20.24,26.2,117,0,0,0.09,216,0,41.1,0,0,0,0,0,0
20200303,010900,0,0.57,4.71,0.02,0.01,0.5,20.08,22.88,121.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,011900,0,0.66,5.48,0.02,0.02,0.5,20.08,26.33,121.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,012900,0,0.68,5.58,0.02,0.01,0.5,20.07,26.73,112.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,013900,0,0.78,6.38,0.03,0.02,0.51,20.01,31.12,112.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,014900,0,0.68,5.56,0.03,0.02,0.53,19.78,29.53,121.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,015900,0,0.69,5.59,0.07,0.07,0.54,19.66,26.33,99,0,0,0,0,0,0,0.04,0.01,0.01,0,0,0
20200303,020900,0,0.73,5.93,0.09,0.09,0.54,19.69,34.05,99,0,0,0,0,0,0,0.05,0.01,0.01,0,0,0
20200303,021900,0,0.72,5.84,0.1,0.1,0.55,19.51,31.65,103.5,0,0,0,0,0,0,0.06,0.01,0.01,0,0,0
20200303,022900,0,0.64,5.23,0.05,0.04,0.52,19.41,28.73,85.5,0,0,0,0,0,0,0.02,0,0,0,0,0
20200303,023900,0,0.72,5.9,0.03,0.02,0.49,19.29,22.74,121.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,024900,0,0.72,5.93,0.02,0.02,0.48,19.28,34.45,99,0,0,0,0,0,0,0,0,0,0,0,0
20200303,025900,0,0.74,6.13,0.02,0.02,0.48,19.14,36.04,90,0,0,0,0,0,0,0,0,0,0,0,0
20200303,030900,0,0.66,5.42,0.02,0.01,0.5,19.12,33.65,112.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,031900,0,0.69,5.68,0.02,0.02,0.51,19,28.06,101.25,0,0,0,0,0,0,0,0,0,0,0,0
20200303,032900,0,0.75,6.19,0.02,0.02,0.51,18.89,31.52,117,0,0,0,0,0,0,0,0,0,0,0,0
20200303,033900,0,0.7,5.78,0.02,0.02,0.52,18.88,31.65,94.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,034900,0,0.65,5.37,0.02,0.01,0.51,18.7,25.27,121.5,0,0,0,0,0,0,0,0,0,0,0,0
20200303,035900,0,0.8,6.63,0.03,0.02,0.49,18.71,28.99,112.5,0,0,0,0,0,0,0,0,0,0,0,0
