"","dia_mes_ano","hora_minuto","Vd1","Pd","Nloss","Vd2","m","x_gauss","SR"
"75791",20200113,"900",0.0267510603178212,5.403e-05,8.1045e-07,0.0267574727572799,0.539150497321345,0.100722573347995,-2.89309270216908
"75801",20200113,"1900",0.0267534673915846,5.403e-05,8.1045e-07,0.0267598798310434,0.539213282363533,0.100732511516096,-2.89347423732517
"758110",20200113,"2900",0.0267550999769939,5.403e-05,8.1045e-07,0.0267615124164527,0.539260665199485,0.100740011570675,-2.89376217061817
"758210",20200113,"3900",0.0267597068323946,5.403e-05,8.1045e-07,0.0267661192718533,0.539368667300426,0.100757106449358,-2.89441845551114
"758310",20200113,"4900",0.0267616947495106,5.403e-05,8.1045e-07,0.0267681071889693,0.539420888824961,0.100765372032814,-2.89473577649331
"75849",20200113,"5900",0.0267630279881029,5.402e-05,8.103e-07,0.0267694404275616,0.539457467750217,0.100771161644703,-2.89495804304455
"75851",20200113,"10900",0.0267671560210337,5.403e-05,8.1045e-07,0.0267735684604924,0.539548103873229,0.100785507023198,-2.89550876931013
"75861",20200113,"11900",0.0267726502471649,5.403e-05,8.1045e-07,0.0267790626866236,0.539666678082139,0.100804273730048,-2.89622923018143
"75871",20200113,"12900",0.0267795701412533,5.404e-05,8.106e-07,0.026785982580712,0.539814514605919,0.100827670893424,-2.89712745218696
"75881",20200113,"13900",0.0267852993672994,5.404e-05,8.106e-07,0.0267917118067581,0.53993643432291,0.10084696562945,-2.89786817795831
"75891",20200113,"14900",0.0267957220393627,5.406e-05,8.109e-07,0.0268021344788214,0.540151298956408,0.100880967996494,-2.89917352332003
"75901",20200113,"15900",0.0268044169738086,5.407e-05,8.1105e-07,0.0268108294132673,0.540330539425364,0.100909331252971,-2.90026237729028
"759110",20200113,"20900",0.0268210720610482,5.41e-05,8.115e-07,0.0268274845005069,0.54066919755441,0.100962917056421,-2.90231949764771
"759210",20200113,"21900",0.0268321376965923,5.411e-05,8.1165e-07,0.026838550136051,0.540895195904799,0.100998673875675,-2.90369216377595
"759310",20200113,"22900",0.0268446261276768,5.413e-05,8.1195e-07,0.0268510385671356,0.541150587260037,0.101039078427401,-2.90524323946188
"75949",20200113,"23900",0.0268501632716012,5.413e-05,8.1195e-07,0.0268565757110599,0.541266181950427,0.101057365292132,-2.90594524311872
"75951",20200113,"24900",0.0268619330911084,5.415e-05,8.1225e-07,0.0268683455305671,0.541507921711105,0.101095606144624,-2.90741324024784
"75961",20200113,"25900",0.0268690686993602,5.416e-05,8.124e-07,0.0268754811388189,0.541657122870616,0.10111920699957,-2.90831922869881
"75971",20200113,"30900",0.026873115807372,5.416e-05,8.124e-07,0.0268795282468307,0.541745980179435,0.101133262105384,-2.90885877335043
"75981",20200113,"31900",0.0268748470218615,5.416e-05,8.124e-07,0.0268812594613202,0.541787835998889,0.101139882575232,-2.90911291812003
"75991",20200113,"32900",0.0268784174973656,5.416e-05,8.124e-07,0.0268848299368243,0.541867074852417,0.101152415826175,-2.90959404016658
"76001",20200113,"33900",0.026886674382965,5.417e-05,8.1255e-07,0.0268930868224237,0.542042626820862,0.101180181976148,-2.91065991305961
"760110",20200113,"34900",0.0268942763023564,5.418e-05,8.127e-07,0.0269006887418151,0.542203876106458,0.101205684734593,-2.91163889474936
"760210",20200113,"35900",0.026906384342733,5.42e-05,8.13e-07,0.0269127967821917,0.542455206898345,0.101245432235508,-2.91316468337008
"760310",20200113,"40900",0.0269155829574552,5.421e-05,8.1315e-07,0.0269219953969139,0.542648010198384,0.101275921815519,-2.91433507955492
"76049",20200113,"41900",0.0269205094940319,5.421e-05,8.1315e-07,0.0269269219334906,0.542753958988178,0.10129267566939,-2.9149782026425
"76051",20200113,"42900",0.0269216400612919,5.421e-05,8.1315e-07,0.0269280525007507,0.542784051077113,0.101297434089125,-2.91516086168604
"76061",20200113,"43900",0.0269199245214291,5.42e-05,8.13e-07,0.0269263369608878,0.542755931836648,0.10129298763438,-2.91499017788966
"76071",20200113,"44900",0.0269204621485221,5.419e-05,8.1285e-07,0.0269268745879808,0.542771700196393,0.101295481066587,-2.91508589202232
"76081",20200113,"45900",0.0269229554746545,5.419e-05,8.1285e-07,0.0269293679141132,0.542826734551962,0.101304183497926,-2.91541994751447
"76091",20200113,"50900",0.0269264555598501,5.419e-05,8.1285e-07,0.0269328679993088,0.542902485086978,0.101316161501428,-2.91587973964797
"761010",20200113,"51900",0.0269341613993048,5.42e-05,8.13e-07,0.0269405738387635,0.54306339050096,0.101341603717405,-2.91685637038696
"761110",20200113,"52900",0.0269448858335625,5.421e-05,8.1315e-07,0.0269512982730213,0.543284913739359,0.101376628884844,-2.91820084626015
"761210",20200113,"53900",0.026953178802669,5.422e-05,8.133e-07,0.0269595912421277,0.543457130347609,0.101403856645747,-2.91924600433563
"761310",20200113,"54900",0.02696703677896,5.425e-05,8.1375e-07,0.0269734492184187,0.543740671898224,0.101448682213717,-2.9209666548949
"761410",20200113,"55900",0.0269816602474736,5.427e-05,8.1405e-07,0.0269880726869324,0.544039273559226,0.101495884801686,-2.92277853157137
"761510",20200113,"60900",0.026993319603948,5.428e-05,8.142e-07,0.0269997320434068,0.544278126861283,0.10153363959372,-2.92422774103664
"761610",20200113,"61900",0.0270079350119378,5.431e-05,8.1465e-07,0.0270143474513965,0.544576417321285,0.101580785878387,-2.92603742529958
"76178",20200113,"62900",0.0270142608885489,5.431e-05,8.1465e-07,0.0270206733280076,0.544708527680745,0.101601665314967,-2.92683886547644
"76181",20200113,"63900",0.0270230705259241,5.432e-05,8.148e-07,0.0270294829653828,0.544891243243821,0.101630541397718,-2.92794724480383
"76191",20200113,"64900",0.0270343023779848,5.434e-05,8.151e-07,0.0270407148174435,0.545122729693667,0.101667123032268,-2.92935138462803
"76201",20200113,"65900",0.0270427508823625,5.435e-05,8.1525e-07,0.0270491633218212,0.545298736459078,0.101694935665351,-2.93041893042106
"762110",20200113,"70900",0.027051374490582,5.436e-05,8.154e-07,0.0270577869300407,0.545478276829299,0.101723305267224,-2.93150784839595
"762210",20200113,"71900",0.0270559158721378,5.436e-05,8.154e-07,0.0270623283115965,0.545575397818638,0.101738650991969,-2.93209686481155
"762310",20200113,"72900",0.027059982897176,5.437e-05,8.1555e-07,0.0270663953366347,0.545663522284907,0.10175257484874,-2.93263130394171
"762410",20200113,"73900",0.0270624533730364,5.436e-05,8.154e-07,0.0270688658124951,0.54571980664073,0.101761467719321,-2.93297263803197
"76252",20200113,"74900",0.027063859137549,5.436e-05,8.154e-07,0.0270702715770077,0.545755160308996,0.101767053491086,-2.93318703578999
"76261",20200113,"75900",0.0270638447831689,5.435e-05,8.1525e-07,0.0270702572226277,0.545764503786728,0.101768529722842,-2.93324369770968
"76271",20200113,"80900",0.0270631224196385,5.435e-05,8.1525e-07,0.0270695348590972,0.54576496957682,0.101768603315694,-2.93324652240956
"76281",20200113,"81900",0.0270634638425683,5.434e-05,8.151e-07,0.027069876282027,0.545786380754184,0.10177198618027,-2.93337636618413
"76291",20200113,"82900",0.0270632142861216,5.434e-05,8.151e-07,0.0270696267255804,0.54579512353664,0.101773367492647,-2.93342938477885
"76301",20200113,"83900",0.0270655652731089,5.433e-05,8.1495e-07,0.0270719777125676,0.545855956034325,0.101782978604969,-2.93379828547607
"763110",20200113,"84900",0.0270684496457634,5.433e-05,8.1495e-07,0.0270748620852222,0.545922869824011,0.101793550330312,-2.93420405628672
"763210",20200113,"85900",0.0270748145775791,5.434e-05,8.151e-07,0.0270812270170378,0.546059794070751,0.101815182407538,-2.93503434996653
"763310",20200113,"90900",0.0270795231059047,5.434e-05,8.151e-07,0.0270859355453634,0.546163416665922,0.101831552748387,-2.93566268250299
"763410",20200113,"91900",0.0270851105464032,5.435e-05,8.1525e-07,0.0270915229858619,0.546284670824465,0.101850707928808,-2.93639790113225
"76351",20200113,"92900",0.0270904042035481,5.435e-05,8.1525e-07,0.0270968166430069,0.546404291685249,0.101869604452111,-2.93712318911239
"76361",20200113,"93900",0.0270942197314271,5.436e-05,8.154e-07,0.0271006321708858,0.546501476827137,0.101884956336819,-2.93771242441384
"76371",20200113,"94900",0.0270969144274553,5.436e-05,8.154e-07,0.0271033268669141,0.546567880739094,0.10189544561411,-2.93811502229104
"76381",20200113,"95900",0.0271000223520506,5.436e-05,8.154e-07,0.0271064347915093,0.546641913498733,0.101907139728023,-2.93856386301327
"76391",20200113,"100900",0.0271012429269055,5.435e-05,8.1525e-07,0.0271076553663642,0.546678153910453,0.101912864125946,-2.93878357511427
"76401",20200113,"101900",0.0271037004149521,5.435e-05,8.1525e-07,0.0271101128544108,0.546741430311157,0.101922858887188,-2.93916719038759
"764110",20200113,"102900",0.0271071004277358,5.435e-05,8.1525e-07,0.0271135128671946,0.546821580906737,0.101935518741617,-2.93965309517162
