dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_DC,I_DC,V_DC,m
20200405,000900,0,10.77,88.89,0.36,0.25,0.48,19.76,0,175,0,0,0,134.380308178273
20200405,001900,0,9.44,77.85,0.31,0.22,0.47,19.29,0.4,175.5,0,0,0,134.394486669063
20200405,002900,0,8.58,70.78,0.28,0.2,0.47,19.47,0,175.5,0,0,0,134.406134814269
20200405,003900,0,8.79,72.56,0.29,0.2,0.47,19.57,0,180,0,0,0,134.418309299735
20200405,004900,0,7.92,65.36,0.26,0.18,0.48,19.48,0,180,0,0,0,134.428344314668
20200405,005900,0,8.03,66.29,0.27,0.18,0.49,19.39,0,180,0,0,0,134.438652951886
20200405,010900,0,10.1,83.33,0.34,0.23,0.46,19.62,0,180,0,0,0,134.454024489748
20200405,011900,0,7.62,62.9,0.26,0.17,0.48,19.49,0,175.5,0,0,0,134.463325884758
20200405,012900,0,7.09,58.53,0.24,0.16,0.47,19.53,0,175.5,0,0,0,134.471325558402
20200405,013900,0,7.07,58.33,0.24,0.16,0.47,19.29,0,175.5,0,0,0,134.479263784407
20200405,014900,0,6.84,56.42,0.23,0.16,0.48,19.21,0,180,0,0,0,134.486638148877
20200405,015900,0,6.37,52.57,0.21,0.14,0.48,19.16,0,175.5,0,0,0,134.492861604665
20200405,020900,0,5.43,44.81,0.18,0.12,0.46,19.1,0,180,0,0,0,134.496778985424
20200405,021900,0,6.29,51.86,0.21,0.14,0.47,19.06,0,180,0,0,0,134.502792112884
20200405,022900,0,7.2,59.36,0.24,0.16,0.47,19.04,0,175.5,0,0,0,134.511035898176
20200405,023900,0,7.9,65.21,0.26,0.18,0.46,19.09,0,180,0,0,0,134.52101244247
20200405,024900,0,8.73,72.04,0.29,0.2,0.47,19.1,0,180,0,0,0,134.533011668864
20200405,025900,0,9.26,76.37,0.31,0.21,0.49,19.15,0,180,0,0,0,134.546296890363
20200405,030900,0,8.6,70.91,0.29,0.2,0.48,19.05,0,175.5,0,0,0,134.557961803619
20200405,031900,0,7.37,60.77,0.24,0.17,0.46,18.99,0,180,0,0,0,134.566610362315
20200405,032900,0,7.15,58.97,0.24,0.16,0.48,18.95,0,180,0,0,0,134.574731666004
20200405,033900,0,7,57.8,0.23,0.16,0.46,19,0,171,0,0,0,134.582495007955
20200405,034900,0,6.75,55.64,0.22,0.15,0.46,19.23,0,171,0,0,0,134.58962427831
20200405,035900,0,6.45,53.21,0.22,0.15,0.47,19.32,0,175.5,0,0,0,134.596035120658
20200405,040900,0,6.52,53.77,0.22,0.15,0.47,19.16,0,135,0,0,0,134.602600748217
20200405,041900,0,6.09,50.23,0.2,0.14,0.47,18.73,0,135,0,0,0,134.608109981835
20200405,042900,0,5.77,47.62,0.19,0.13,0.47,19.06,0,135,0,0,0,134.612860193924
20200405,043900,0,5.7,47.04,0.19,0.13,0.48,18.66,0,135,0,0,0,134.617430045771
20200405,044900,0,5.78,47.65,0.19,0.13,0.47,18.89,0,130.5,0,0,0,134.622184686155
20200405,045900,0,5.66,46.74,0.19,0.13,0.46,18.83,0,135,0,0,0,134.626660157331
20200405,050900,0,5.7,47.04,0.19,0.13,0.47,18.91,0,135,0,0,0,134.631226587033
20200405,051900,0,5.95,49.04,0.2,0.14,0.46,19.11,0,135,0,0,0,134.63639307637
20200405,052900,0,5.8,47.81,0.19,0.13,0.47,18.9,0,135,0,0,0,134.641181907785
20200405,053900,0,5.89,48.62,0.2,0.13,0.47,18.87,0,130.5,0,0,0,134.646216080593
20200405,054900,7.33,5.9,48.7,0.2,0.14,0.46,18.96,0,130.5,46.43,0.1,480.87,134.651274579085
20200405,055900,11.8,6.02,49.65,0.2,0.14,0.46,19.26,0,121.5,81.09,0.16,496.6,134.656614354092
20200405,060900,19.5,5.9,48.69,0.2,0.13,0.46,20.11,0,126,149.19,0.28,524.2,134.661675880453
20200405,061900,28.7,5.72,47.19,0.19,0.13,0.47,22.75,0,130.5,274.49,0.54,526.74,134.666315637923
20200405,062900,84.7,5.34,44.08,0.18,0.12,0.47,24.05,0,130.5,648.21,1.28,506.82,134.670012770958
20200405,063900,120.7,4.88,40.25,0.16,0.11,0.47,25.21,0.8,126,1000.28,1.84,541.87,134.673436105602
20200405,064900,161.7,4.35,35.85,0.15,0.1,0.46,25.9,3.06,58.5,1356.82,2.41,562.28,134.678004010432
20200405,065900,205.1,4.2,34.64,0.14,0.1,0.45,26.87,2.39,121.5,1753.78,3,584.37,134.681497049277
20200405,070900,250,4.58,37.8,0.15,0.1,0.45,26.18,4.26,121.5,2170.46,3.73,581.67,134.687924838587
20200405,071900,295.7,4.37,36.07,0.14,0.1,0.46,27.64,5.85,117,2585.65,4.54,569.08,134.695587415363
20200405,072900,341.1,4.03,33.27,0.13,0.09,0.45,28.57,4.66,135,3015.91,5.36,562.83,134.701115491915
20200405,073900,386.4,3.52,29.09,0.12,0.08,0.44,29.45,5.85,117,3411.93,6.14,555.4,134.706699990127
20200405,074900,431.2,3.21,26.52,0.11,0.07,0.44,30.05,7.58,45,3809.8,6.92,550.79,134.713399997564
20200405,075900,474.7,2.97,24.5,0.1,0.07,0.45,29.69,8.51,40.5,4183.92,7.65,546.67,134.720498407966
20200405,080900,516.7,2.83,23.36,0.1,0.06,0.45,30.25,8.64,117,4528.82,8.34,543.06,134.727416065346
20200405,081900,558.7,2.83,23.32,0.09,0.06,0.44,30.37,11.57,105.5,4764.57,8.94,531.85,134.737482396242
20200405,082900,600,2.94,24.25,0.1,0.07,0.43,29.73,12.64,54,5220.2,9.74,535.87,134.748974056456
20200405,083900,637.8,2.92,24.1,0.1,0.07,0.45,30.26,9.31,49.5,5508.47,10.35,532.09,134.75683193144
20200405,084900,674,2.62,21.58,0.09,0.06,0.43,29.93,13.3,116.5,5778.15,10.89,530.53,134.768254792352
20200405,085900,711.2,2.98,24.62,0.1,0.07,0.44,30.06,12.24,90,6064.22,11.54,525.58,134.779427095814
20200405,090900,742.2,3.04,25.1,0.1,0.07,0.45,30.39,11.44,54,6289.34,12.04,522.52,134.789883891638
20200405,091900,774,2.87,23.73,0.1,0.07,0.44,30.62,13.03,63,6529.17,12.59,518.81,134.801652024886
20200405,092900,802.8,3.01,24.86,0.1,0.07,0.44,31.16,11.84,63,6698.7,12.96,516.74,134.812460640835
20200405,093900,838.5,2.89,23.83,0.1,0.07,0.43,30.97,11.3,87.5,6962.62,13.52,515.06,134.82238800416
20200405,094900,891,2.72,22.46,0.09,0.06,0.42,30.99,10.24,170.5,7356.8,14.35,512.63,134.830762744223
20200405,095900,774.5,2.43,20.01,0.08,0.05,0.42,31.72,13.17,40.5,5776.66,11.43,505.81,134.841584469145
20200405,100900,695.4,2.42,19.97,0.08,0.06,0.42,31.39,11.44,45,5381.55,10.49,513.97,134.850508247736
20200405,101900,486.6,2.15,17.78,0.07,0.05,0.42,30.93,8.11,182,3846.97,7.42,517.45,134.855179484958
20200405,102900,907.2,2.23,18.4,0.08,0.05,0.44,31.64,7.85,117,7622.72,14.59,520.93,134.859761382092
20200405,103900,955,1.72,14.21,0.06,0.04,0.43,31.74,10.77,105.5,7748.94,15.12,512.96,134.866265239218
20200405,104900,1004.2,1.74,14.37,0.06,0.04,0.43,31.64,12.63,161.5,8054.72,16.09,500.63,134.874826199792
20200405,105900,1028.3,1.73,14.28,0.06,0.04,0.44,32.81,11.17,96.5,8171.48,16.52,494.67,134.881795936193
20200405,110900,1029.6,1.49,12.32,0.05,0.03,0.43,32.3,14.9,145.5,8150.48,16.49,494.44,134.89218953915
20200405,111900,1037.8,1.74,14.33,0.06,0.04,0.42,31.97,12.1,180,8218.47,16.65,493.68,134.900158562327
20200405,112900,1037.2,1.78,14.71,0.06,0.04,0.42,32.96,10.51,110,8123.14,16.56,490.41,134.906535322069
20200405,113900,1053.2,1.73,14.26,0.06,0.04,0.42,33.62,10.51,141.5,8241.07,16.83,489.73,134.912768384623
20200405,114900,1070,1.53,12.61,0.05,0.03,0.42,33.24,13.3,137,8387.95,16.98,494.16,134.921525766436
20200405,115900,1051.5,1.5,12.38,0.05,0.03,0.43,32.97,12.77,139.5,8307.56,16.73,496.56,134.929639290236
20200405,120900,1042.9,1.69,13.9,0.06,0.04,0.43,33.05,10.64,114.75,8232.47,16.77,490.86,134.935902247966
20200405,121900,1036.4,1.51,12.43,0.05,0.03,0.42,33.76,16.62,211,8214.2,16.63,494.12,134.948212790427
20200405,122900,1023.3,1.46,12.07,0.05,0.03,0.44,33.44,17.16,114.5,8049.65,16.28,494.37,134.96097987472
20200405,123900,1013.8,1.79,14.8,0.06,0.04,0.45,33.89,12.9,166,7998.38,16.14,495.55,134.969964321765
20200405,124900,1003,1.53,12.62,0.05,0.03,0.45,34.13,15.29,193,7961.49,15.94,499.42,134.980893632856
20200405,125900,985.4,1.63,13.44,0.05,0.04,0.45,34.21,19.42,171,7885.16,15.67,503.14,134.996523515817
20200405,130900,974.1,1.68,13.9,0.06,0.04,0.44,35.16,15.29,161.5,7772.72,15.45,503.02,135.007836531375
20200405,131900,955,1.54,12.74,0.05,0.03,0.43,35.27,11.97,191,7650.46,15.13,505.71,135.01518889677
20200405,132900,936.4,1.65,13.62,0.06,0.04,0.43,35.69,15.96,146,7485.13,14.83,504.83,135.02713161505
20200405,133900,931.2,1.77,14.62,0.06,0.04,0.43,34.7,15.96,58.5,7485.73,14.79,506.31,135.039350743103
20200405,134900,922.1,1.66,13.69,0.05,0.04,0.42,34.24,12.64,164,7385.75,14.55,507.46,135.047696840934
20200405,135900,898.5,1.48,12.18,0.05,0.03,0.42,35.14,21.01,74,7201.99,14.13,509.83,135.064682894576
20200405,140900,857,1.56,12.84,0.05,0.04,0.41,35.35,14.9,114.5,6925.4,13.48,513.88,135.075234324265
20200405,141900,821,1.68,13.88,0.06,0.04,0.42,36.29,19.68,101,6825.95,13.31,512.74,135.091286370128
20200405,142900,788.8,1.68,13.86,0.06,0.04,0.44,36.98,10.51,128,6386.11,12.37,516.3,135.097402707596
20200405,143900,796.7,1.71,14.09,0.06,0.04,0.43,36.9,11.84,126,6423.96,12.46,515.55,135.105008264805
20200405,144900,790.1,1.7,14.03,0.06,0.04,0.42,35.68,14.63,251.5,6398.15,12.34,518.49,135.115601177727
20200405,145900,712.9,1.7,14.01,0.06,0.04,0.43,36.55,13.17,155,5787.68,11.1,521.52,135.124637737631
20200405,150900,639.7,1.52,12.51,0.05,0.03,0.43,36.29,17.02,135,5206.49,9.88,526.99,135.137388573331
20200405,151900,589.6,1.45,11.98,0.05,0.03,0.43,36.19,13.7,101,4746.23,9.04,525,135.146383847625
20200405,152900,540.5,1.38,11.43,0.05,0.03,0.42,36.76,14.1,112.5,4347.08,8.26,526.24,135.155654889387
20200405,153900,487.2,1.47,12.14,0.05,0.03,0.44,35.28,14.23,137,3886.22,7.29,533.25,135.165255836475
