"","dia","hora","hora_1","amostras","linha","diferenca"
"1",20191004,32500,32700,1435,205,200
"2",20191004,42700,42900,1435,266,200
"3",20191004,142400,142600,1435,862,200
"4",20191004,235700,235900,1435,1434,200
"5",20191005,10600,10800,1435,66,200
"6",20191005,22400,22600,1435,143,200
"7",20191005,43900,44100,1435,277,200
"8",20191005,73900,74100,1435,456,200
"9",20191013,182900,183100,1438,1109,200
"10",20191014,104800,105000,1414,648,200
"11",20191014,105000,110700,1414,649,5700
"12",20191014,111200,111400,1414,655,200
"13",20191014,111400,111600,1414,656,200
"14",20191014,120800,121000,1414,709,200
"15",20191014,165900,170300,1414,999,4400
"16",20191014,170300,170500,1414,1000,200
"17",20191014,214900,215100,1414,1285,200
"18",20191015,300,500,1373,3,200
"19",20191015,4900,5200,1373,48,300
"20",20191015,30400,30600,1373,181,200
"21",20191015,83400,83600,1373,510,200
"22",20191015,90300,90700,1373,538,400
"23",20191015,91800,92200,1373,550,400
"24",20191015,105500,105700,1373,644,200
"25",20191015,105900,114300,1373,647,8400
"26",20191015,124700,124900,1373,712,200
"27",20191015,133300,133500,1373,757,200
"28",20191015,153700,154100,1373,880,400
"29",20191015,155100,155300,1373,891,200
"30",20191015,160000,160200,1373,899,200
"31",20191015,163600,163800,1373,934,200
"32",20191015,164900,165100,1373,946,200
"33",20191015,210300,210600,1373,1199,300
"34",20191016,400,700,1377,4,300
"35",20191016,94900,95100,1377,587,200
"36",20191016,101000,101200,1377,607,200
"37",20191016,110600,113000,1377,662,2400
"38",20191016,130900,131100,1377,762,200
"39",20191016,152700,152900,1377,899,200
"40",20191016,152900,153100,1377,900,200
"41",20191016,153100,153500,1377,901,400
"42",20191016,155700,160400,1377,924,4700
"43",20191016,164300,164500,1377,964,200
"44",20191016,165300,170000,1377,973,4700
"45",20191016,170900,172000,1377,983,1100
"46",20191016,172200,172900,1377,986,700
"47",20191017,34800,35000,1433,228,200
"48",20191017,75500,75700,1433,474,200
"49",20191017,141800,142000,1433,856,200
"50",20191017,145400,145600,1433,891,200
"51",20191017,152500,152700,1433,921,200
"52",20191017,171900,172100,1433,1034,200
"53",20191018,90300,90500,1423,543,200
"54",20191018,100300,100500,1423,602,200
"55",20191018,100600,100800,1423,604,200
"56",20191018,122300,123100,1423,740,800
"57",20191018,123300,123500,1423,743,200
"58",20191018,130000,130300,1423,769,300
"59",20191018,171900,172100,1423,1026,200
"60",20191018,193400,193600,1423,1160,200
"61",20191018,223400,223600,1423,1339,200
"62",20191023,90300,90500,1426,543,200
"63",20191023,91500,92300,1426,554,800
"64",20191023,115900,120100,1426,711,4200
"65",20191023,192500,192700,1426,1156,200
"66",20191023,193300,193500,1426,1163,200
"67",20191023,231000,231200,1426,1379,200
"68",20191023,231900,232100,1426,1387,200
"69",20191024,30400,30600,1424,184,200
"70",20191024,74500,74700,1424,464,200
"71",20191024,85200,85400,1424,530,200
"72",20191024,94900,95100,1424,586,200
"73",20191024,115900,120100,1424,715,4200
"74",20191024,145200,145400,1424,887,200
"75",20191024,162500,162700,1424,979,200
"76",20191024,171000,171200,1424,1023,200
"77",20191024,193400,193600,1424,1166,200
"78",20191024,200700,200900,1424,1198,200
"79",20191024,201000,201200,1424,1200,200
"80",20191024,205800,210000,1424,1247,4200
"81",20191024,210400,210600,1424,1252,200
"82",20191024,223400,223600,1424,1341,200
"83",20191024,235500,235700,1424,1421,200
"84",20191025,12500,12700,1428,85,200
"85",20191025,34900,35100,1428,228,200
"86",20191025,44500,44900,1428,283,400
"87",20191025,55200,55400,1428,347,200
"88",20191025,73400,73600,1428,448,200
"89",20191025,85500,85700,1428,528,200
"90",20191025,103400,103600,1428,626,200
"91",20191025,115900,120100,1428,710,4200
"92",20191025,184900,185100,1428,1119,200
"93",20191026,34900,35100,1431,229,200
"94",20191026,81900,82100,1431,498,200
"95",20191026,94900,95100,1431,587,200
"96",20191026,115900,120100,1431,716,4200
"97",20191026,154000,154200,1431,936,200
"98",20191026,180400,180600,1431,1079,200
"99",20191026,222500,222700,1431,1339,200
"100",20191026,231900,232100,1431,1392,200
"101",20191027,21000,21200,1430,130,200
"102",20191027,51900,52100,1430,318,200
"103",20191027,85500,85700,1430,533,200
"104",20191027,115900,120100,1430,716,4200
"105",20191027,124900,125100,1430,765,200
"106",20191027,175500,175700,1430,1070,200
"107",20191027,192500,192700,1430,1159,200
"108",20191027,223400,223600,1430,1347,200
"109",20191027,235200,235400,1430,1424,200
"110",20191028,4000,4200,1430,40,200
"111",20191028,111000,111200,1430,669,200
"112",20191028,115900,120100,1430,717,4200
"113",20191028,123700,123900,1430,754,200
"114",20191028,162500,162700,1430,981,200
"115",20191028,175500,175700,1430,1070,200
"116",20191028,192500,192700,1430,1159,200
"117",20191028,201000,201200,1430,1203,200
"118",20191028,223400,223600,1430,1346,200
"119",20191029,60400,60600,1431,364,200
"120",20191029,81900,82100,1431,498,200
"121",20191029,115900,120100,1431,717,4200
"122",20191029,131000,131200,1431,787,200
"123",20191029,172100,172300,1431,1037,200
"124",20191029,185100,185300,1431,1126,200
"125",20191029,202100,202300,1431,1215,200
"126",20191029,232100,232300,1431,1394,200
"127",20191030,13600,13800,1428,96,200
"128",20191030,22100,22300,1428,140,200
"129",20191030,73600,73800,1428,454,200
"130",20191030,82100,82300,1428,498,200
"131",20191030,90600,90800,1428,542,200
"132",20191030,115900,120100,1428,714,4200
"133",20191030,163600,163800,1428,990,200
"134",20191030,172100,172300,1428,1034,200
"135",20191030,210600,210800,1428,1258,200
"136",20191030,223600,223800,1428,1347,200
"137",20191030,232100,232300,1428,1391,200
"138",20191031,30600,30800,1434,186,200
"139",20191031,115900,120100,1434,718,4200
"140",20191031,145900,150100,1434,897,4200
"141",20191031,162900,163100,1434,986,200
"142",20191031,175900,180100,1434,1075,4200
"143",20191101,4400,4600,1430,44,200
"144",20191101,34400,34600,1430,223,200
"145",20191101,55900,60100,1430,357,4200
"146",20191101,115900,120100,1430,716,4200
"147",20191101,132900,133100,1430,805,200
"148",20191101,154400,154600,1430,939,200
"149",20191101,164200,164400,1430,996,200
"150",20191101,174700,175000,1430,1060,300
"151",20191102,52700,52900,1433,327,200
"152",20191102,55900,60100,1433,358,4200
"153",20191102,115900,120100,1433,717,4200
"154",20191102,175900,180100,1433,1076,4200
"155",20191102,184400,184600,1433,1120,200
"156",20191102,194200,194400,1433,1177,200
"157",20191103,61200,61400,1434,372,200
"158",20191103,104200,104400,1434,641,200
"159",20191103,115900,120100,1434,717,4200
"160",20191103,141400,141600,1434,851,200
"161",20191103,214400,214600,1434,1300,200
"162",20191104,4400,4600,1363,44,200
"163",20191104,25900,30100,1363,178,4200
"164",20191104,31200,31400,1363,190,200
"165",20191104,80700,80900,1363,484,200
"166",20191104,81400,81600,1363,490,200
"167",20191104,95700,95900,1363,592,200
"168",20191104,103100,103500,1363,625,400
"169",20191104,104700,110700,1363,638,6000
"170",20191104,115500,115800,1363,687,300
"171",20191104,115900,120100,1363,689,4200
"172",20191104,145900,150100,1363,868,4200
"173",20191104,170900,171100,1363,997,200
"174",20191104,171100,175500,1363,998,4400
"175",20191105,4400,4600,1426,44,200
"176",20191105,44200,44400,1426,281,200
"177",20191105,61200,61400,1426,370,200
"178",20191105,102900,103100,1426,626,200
"179",20191105,104900,105100,1426,645,200
"180",20191105,112700,112900,1426,682,200
"181",20191105,115900,120100,1426,713,4200
"182",20191105,125700,125900,1426,770,200
"183",20191105,133800,134000,1426,810,200
"184",20191105,141400,141600,1426,845,200
"185",20191105,214400,214600,1426,1294,200
"186",20191105,215700,215900,1426,1306,200
"187",20191105,224200,224400,1426,1350,200
"188",20191106,4400,4600,1425,44,200
"189",20191106,21400,21600,1425,133,200
"190",20191106,22700,22900,1425,145,200
"191",20191106,34400,34600,1425,221,200
"192",20191106,51400,51600,1425,310,200
"193",20191106,55900,60100,1425,354,4200
"194",20191106,64400,64600,1425,398,200
"195",20191106,102900,103100,1425,622,200
"196",20191106,111400,111600,1425,666,200
"197",20191106,115900,120100,1425,710,4200
"198",20191106,145900,150100,1425,889,4200
"199",20191106,171400,171600,1425,1023,200
"200",20191106,205900,210100,1425,1247,4200
"201",20191106,231400,231600,1425,1381,200
"202",20191107,22700,22900,1393,147,200
"203",20191107,34400,34600,1393,223,200
"204",20191107,35700,35900,1393,235,200
"205",20191107,51400,51600,1393,311,200
