"","dia","hora","hora_1","amostras","linha","diferenca"
"1",20191004,"032500","032700",1435,205,2
"2",20191004,"042700","042900",1435,266,2
"3",20191004,"142400","142600",1435,862,2
"4",20191004,"235700","235900",1435,1434,2
"5",20191005,"010600","010800",1435,66,2
"6",20191005,"022400","022600",1435,143,2
"7",20191005,"043900","044100",1435,277,2
"8",20191005,"073900","074100",1435,456,2
"9",20191013,"182900","183100",1438,1109,2
"10",20191014,"104800","105000",1414,648,2
"11",20191014,"105000","110700",1414,649,17
"12",20191014,"111200","111400",1414,655,2
"13",20191014,"111400","111600",1414,656,2
"14",20191014,"120800","121000",1414,709,2
"15",20191014,"165900","170300",1414,999,4
"16",20191014,"170300","170500",1414,1000,2
"17",20191014,"214900","215100",1414,1285,2
"18",20191015,"000300","000500",1373,3,2
"19",20191015,"004900","005200",1373,48,3
"20",20191015,"030400","030600",1373,181,2
"21",20191015,"083400","083600",1373,510,2
"22",20191015,"090300","090700",1373,538,4
"23",20191015,"091800","092200",1373,550,4
"24",20191015,"105500","105700",1373,644,2
"25",20191015,"105900","114300",1373,647,44
"26",20191015,"124700","124900",1373,712,2
"27",20191015,"133300","133500",1373,757,2
"28",20191015,"153700","154100",1373,880,4
"29",20191015,"155100","155300",1373,891,2
"30",20191015,"160000","160200",1373,899,2
"31",20191015,"163600","163800",1373,934,2
"32",20191015,"164900","165100",1373,946,2
"33",20191015,"210300","210600",1373,1199,3
"34",20191016,"000400","000700",1377,4,3
"35",20191016,"094900","095100",1377,587,2
"36",20191016,"101000","101200",1377,607,2
"37",20191016,"110600","113000",1377,662,24
"38",20191016,"130900","131100",1377,762,2
"39",20191016,"152700","152900",1377,899,2
"40",20191016,"152900","153100",1377,900,2
"41",20191016,"153100","153500",1377,901,4
"42",20191016,"155700","160400",1377,924,7
"43",20191016,"164300","164500",1377,964,2
"44",20191016,"165300","170000",1377,973,7
"45",20191016,"170900","172000",1377,983,11
"46",20191016,"172200","172900",1377,986,7
"47",20191017,"034800","035000",1433,228,2
"48",20191017,"075500","075700",1433,474,2
"49",20191017,"141800","142000",1433,856,2
"50",20191017,"145400","145600",1433,891,2
"51",20191017,"152500","152700",1433,921,2
"52",20191017,"171900","172100",1433,1034,2
"53",20191018,"090300","090500",1423,543,2
"54",20191018,"100300","100500",1423,602,2
"55",20191018,"100600","100800",1423,604,2
"56",20191018,"122300","123100",1423,740,8
"57",20191018,"123300","123500",1423,743,2
"58",20191018,"130000","130300",1423,769,3
"59",20191018,"171900","172100",1423,1026,2
"60",20191018,"193400","193600",1423,1160,2
"61",20191018,"223400","223600",1423,1339,2
"62",20191023,"090300","090500",1426,543,2
"63",20191023,"091500","092300",1426,554,8
"64",20191023,"115900","120100",1426,711,2
"65",20191023,"192500","192700",1426,1156,2
"66",20191023,"193300","193500",1426,1163,2
"67",20191023,"231000","231200",1426,1379,2
"68",20191023,"231900","232100",1426,1387,2
"69",20191024,"030400","030600",1424,184,2
"70",20191024,"074500","074700",1424,464,2
"71",20191024,"085200","085400",1424,530,2
"72",20191024,"094900","095100",1424,586,2
"73",20191024,"115900","120100",1424,715,2
"74",20191024,"145200","145400",1424,887,2
"75",20191024,"162500","162700",1424,979,2
"76",20191024,"171000","171200",1424,1023,2
"77",20191024,"193400","193600",1424,1166,2
"78",20191024,"200700","200900",1424,1198,2
"79",20191024,"201000","201200",1424,1200,2
"80",20191024,"205800","210000",1424,1247,2
"81",20191024,"210400","210600",1424,1252,2
"82",20191024,"223400","223600",1424,1341,2
"83",20191024,"235500","235700",1424,1421,2
"84",20191025,"012500","012700",1428,85,2
"85",20191025,"034900","035100",1428,228,2
"86",20191025,"044500","044900",1428,283,4
"87",20191025,"055200","055400",1428,347,2
"88",20191025,"073400","073600",1428,448,2
"89",20191025,"085500","085700",1428,528,2
"90",20191025,"103400","103600",1428,626,2
"91",20191025,"115900","120100",1428,710,2
"92",20191025,"184900","185100",1428,1119,2
"93",20191026,"034900","035100",1431,229,2
"94",20191026,"081900","082100",1431,498,2
"95",20191026,"094900","095100",1431,587,2
"96",20191026,"115900","120100",1431,716,2
"97",20191026,"154000","154200",1431,936,2
"98",20191026,"180400","180600",1431,1079,2
"99",20191026,"222500","222700",1431,1339,2
"100",20191026,"231900","232100",1431,1392,2
"101",20191027,"021000","021200",1430,130,2
"102",20191027,"051900","052100",1430,318,2
"103",20191027,"085500","085700",1430,533,2
"104",20191027,"115900","120100",1430,716,2
"105",20191027,"124900","125100",1430,765,2
"106",20191027,"175500","175700",1430,1070,2
"107",20191027,"192500","192700",1430,1159,2
"108",20191027,"223400","223600",1430,1347,2
"109",20191027,"235200","235400",1430,1424,2
"110",20191028,"004000","004200",1430,40,2
"111",20191028,"111000","111200",1430,669,2
"112",20191028,"115900","120100",1430,717,2
"113",20191028,"123700","123900",1430,754,2
"114",20191028,"162500","162700",1430,981,2
"115",20191028,"175500","175700",1430,1070,2
"116",20191028,"192500","192700",1430,1159,2
"117",20191028,"201000","201200",1430,1203,2
"118",20191028,"223400","223600",1430,1346,2
"119",20191029,"060400","060600",1431,364,2
"120",20191029,"081900","082100",1431,498,2
"121",20191029,"115900","120100",1431,717,2
"122",20191029,"131000","131200",1431,787,2
"123",20191029,"172100","172300",1431,1037,2
"124",20191029,"185100","185300",1431,1126,2
"125",20191029,"202100","202300",1431,1215,2
"126",20191029,"232100","232300",1431,1394,2
"127",20191030,"013600","013800",1428,96,2
"128",20191030,"022100","022300",1428,140,2
"129",20191030,"073600","073800",1428,454,2
"130",20191030,"082100","082300",1428,498,2
"131",20191030,"090600","090800",1428,542,2
"132",20191030,"115900","120100",1428,714,2
"133",20191030,"163600","163800",1428,990,2
"134",20191030,"172100","172300",1428,1034,2
"135",20191030,"210600","210800",1428,1258,2
"136",20191030,"223600","223800",1428,1347,2
"137",20191030,"232100","232300",1428,1391,2
"138",20191031,"030600","030800",1434,186,2
"139",20191031,"115900","120100",1434,718,2
"140",20191031,"145900","150100",1434,897,2
"141",20191031,"162900","163100",1434,986,2
"142",20191031,"175900","180100",1434,1075,2
"143",20191101,"004400","004600",1430,44,2
"144",20191101,"034400","034600",1430,223,2
"145",20191101,"055900","060100",1430,357,2
"146",20191101,"115900","120100",1430,716,2
"147",20191101,"132900","133100",1430,805,2
"148",20191101,"154400","154600",1430,939,2
"149",20191101,"164200","164400",1430,996,2
"150",20191101,"174700","175000",1430,1060,3
"151",20191102,"052700","052900",1433,327,2
"152",20191102,"055900","060100",1433,358,2
"153",20191102,"115900","120100",1433,717,2
"154",20191102,"175900","180100",1433,1076,2
"155",20191102,"184400","184600",1433,1120,2
"156",20191102,"194200","194400",1433,1177,2
"157",20191103,"061200","061400",1434,372,2
"158",20191103,"104200","104400",1434,641,2
"159",20191103,"115900","120100",1434,717,2
