"","dia","hora","hora_1","amostras","linha","diferenca"
"1",20191014,"105000","110700",1420,650,17
"2",20191014,"165900","170300",1420,1003,4
"3",20191015,"004900","005200",1383,49,3
"4",20191015,"090300","090700",1383,541,4
"5",20191015,"091800","092200",1383,553,4
"6",20191015,"105900","114300",1383,651,44
"7",20191015,"153700","154100",1383,886,4
"8",20191015,"210300","210600",1383,1209,3
"9",20191016,"000400","000700",1383,4,3
"10",20191016,"110600","113000",1383,664,24
"11",20191016,"153100","153500",1383,906,4
"12",20191016,"155700","160400",1383,929,7
"13",20191016,"165300","170000",1383,979,7
"14",20191016,"170900","172000",1383,989,11
"15",20191016,"172200","172900",1383,992,7
"16",20191018,"122300","123100",1430,743,8
"17",20191018,"130000","130300",1430,773,3
"18",20191023,"091500","092300",1431,555,8
"19",20191023,"115900","120100",1431,712,2
"20",20191024,"115900","120100",1437,719,2
"21",20191024,"205800","210000",1437,1257,2
"22",20191025,"044500","044900",1435,285,4
"23",20191025,"115900","120100",1435,716,2
"24",20191026,"115900","120100",1438,719,2
"25",20191027,"115900","120100",1438,719,2
"26",20191028,"115900","120100",1438,719,2
"27",20191029,"115900","120100",1438,719,2
"28",20191030,"115900","120100",1438,719,2
"29",20191031,"115900","120100",1436,719,2
"30",20191031,"145900","150100",1436,898,2
"31",20191031,"175900","180100",1436,1077,2
"32",20191101,"055900","060100",1435,359,2
"33",20191101,"115900","120100",1435,718,2
"34",20191101,"174700","175000",1435,1065,3
"35",20191102,"055900","060100",1436,359,2
"36",20191102,"115900","120100",1436,718,2
"37",20191102,"175900","180100",1436,1077,2
"38",20191103,"115900","120100",1438,719,2
"39",20191104,"025900","030100",1369,179,2
"40",20191104,"103100","103500",1369,630,4
"41",20191104,"104700","110700",1369,643,20
"42",20191104,"115500","115800",1369,692,3
"43",20191104,"115900","120100",1369,694,2
"44",20191104,"145900","150100",1369,873,2
"45",20191104,"171100","175500",1369,1004,44
"46",20191105,"115900","120100",1438,719,2
"47",20191106,"055900","060100",1435,359,2
"48",20191106,"115900","120100",1435,718,2
"49",20191106,"145900","150100",1435,897,2
"50",20191106,"205900","210100",1435,1256,2
"51",20191107,"115900","120100",1402,719,2
"52",20191107,"145900","150100",1402,898,2
"53",20191107,"154200","161400",1402,940,32
"54",20191107,"171400","171700",1402,1001,3
"55",20191107,"184400","184700",1402,1089,3
"56",20191108,"115900","120100",1438,719,2
"57",20191109,"055900","060100",1433,359,2
"58",20191109,"102900","103200",1433,628,3
"59",20191109,"115900","120100",1433,716,2
"60",20191109,"122000","122300",1433,736,3
"61",20191110,"025900","030100",1437,179,2
"62",20191110,"115900","120100",1437,718,2
"63",20191111,"025900","030100",1434,179,2
"64",20191111,"085900","090100",1434,538,2
"65",20191111,"115900","120100",1434,717,2
"66",20191111,"175900","180100",1434,1076,2
"67",20191111,"205900","210100",1434,1255,2
"68",20191112,"055900","060100",1436,359,2
"69",20191112,"085900","090100",1436,538,2
"70",20191112,"115900","120100",1436,717,2
"71",20191113,"115900","120100",1438,719,2
"72",20191114,"025900","030100",1437,179,2
"73",20191114,"115900","120100",1437,718,2
"74",20191115,"115900","120100",1438,719,2
"75",20191116,"115900","120100",1437,719,2
"76",20191116,"125800","130000",1437,777,2
"77",20191117,"115900","120100",1438,719,2
"78",20191118,"085600","090800",1410,536,12
"79",20191118,"092800","094600",1410,557,18
"80",20191118,"115900","120100",1410,691,2
"81",20191119,"115900","120100",1438,719,2
"82",20191120,"115900","120100",1438,719,2
"83",20191121,"115900","120100",1247,719,2
"84",20191122,"115900","120100",1073,354,2
"85",20191123,"115900","120100",1438,719,2
"86",20191124,"115900","120100",1438,719,2
"87",20191125,"115900","120100",1438,719,2
"88",20191126,"115900","120100",1438,719,2
"89",20191127,"115900","120100",1438,719,2
"90",20191128,"015100","015400",1436,111,3
"91",20191128,"115900","120100",1436,717,2
"92",20191129,"094700","102400",1250,587,37
"93",20191129,"102500","103600",1250,589,11
"94",20191129,"105000","111000",1250,604,20
"95",20191129,"111200","111500",1250,607,3
"96",20191129,"115900","120100",1250,652,2
"97",20191129,"143700","144100",1250,809,4
"98",20191129,"145500","154100",1250,824,46
"99",20191130,"072100","125900",1100,441,5.63333333333333
"100",20191130,"165800","170000",1100,681,2
"101",20191130,"195800","200000",1100,860,2
"102",20191209,"115900","120100",1438,719,2
"103",20191219,"115900","120100",1438,719,2
"104",20191220,"115900","120100",1436,719,2
"105",20191220,"144200","144500",1436,881,3
"106",20191221,"115900","120100",1438,719,2
"107",20191222,"115900","120100",1438,719,2
"108",20191223,"115900","120100",1438,719,2
"109",20191224,"115900","120100",1437,719,2
"110",20191224,"225800","230000",1437,1377,2
"111",20200107,"115900","120100",1438,719,2
"112",20200111,"115900","120100",1438,719,2
"113",20200112,"115900","120100",1421,719,2
"114",20200112,"231800","233600",1421,1397,18
"115",20200113,"115900","120100",1438,719,2
"116",20200114,"115900","120100",1438,719,2
"117",20200115,"115900","120100",1432,719,2
"118",20200115,"141100","141400",1432,850,3
"119",20200115,"141600","142100",1432,853,5
"120",20200117,"102800","104100",1424,628,13
"121",20200117,"115900","120100",1424,707,2
"122",20200117,"193100","193400",1424,1158,3
"123",20200124,"115900","120100",1223,719,2
"124",20200124,"135000","172600",1223,829,3.6
"125",20200125,"115900","120100",1438,719,2
"126",20200126,"115900","120100",1438,719,2
"127",20200127,"115900","120100",1437,719,2
"128",20200127,"125900","130100",1437,778,2
"129",20200128,"115900","120100",1438,719,2
"130",20200129,"115900","120100",1438,719,2
"131",20200130,"115900","120100",1438,719,2
"132",20200131,"115900","120100",1412,719,2
"133",20200131,"140800","143500",1412,847,27
"134",20200201,"115900","120100",1438,719,2
"135",20200202,"115900","120100",1438,719,2
"136",20200203,"115900","120100",1438,719,2
"137",20200204,"115900","120100",1438,719,2
"138",20200205,"115900","120100",1438,719,2
"139",20200206,"115900","120100",1438,719,2
"140",20200207,"115900","120100",1438,719,2
"141",20200211,"115900","120100",1328,609,2
"142",20200212,"115900","120100",1371,656,2
"143",20200212,"131000","131500",1371,726,5
