"","dia","hora","hora_1","amostras","linha","diferenca"
"1",20191014,105000,110700,1420,650,5700
"2",20191014,165900,170300,1420,1003,4400
"3",20191015,4900,5200,1383,49,300
"4",20191015,90300,90700,1383,541,400
"5",20191015,91800,92200,1383,553,400
"6",20191015,105900,114300,1383,651,8400
"7",20191015,153700,154100,1383,886,400
"8",20191015,210300,210600,1383,1209,300
"9",20191016,400,700,1383,4,300
"10",20191016,110600,113000,1383,664,2400
"11",20191016,153100,153500,1383,906,400
"12",20191016,155700,160400,1383,929,4700
"13",20191016,165300,170000,1383,979,4700
"14",20191016,170900,172000,1383,989,1100
"15",20191016,172200,172900,1383,992,700
"16",20191018,122300,123100,1430,743,800
"17",20191018,130000,130300,1430,773,300
"18",20191023,91500,92300,1431,555,800
"19",20191023,115900,120100,1431,712,4200
"20",20191024,115900,120100,1437,719,4200
"21",20191024,205800,210000,1437,1257,4200
"22",20191025,44500,44900,1435,285,400
"23",20191025,115900,120100,1435,716,4200
"24",20191026,115900,120100,1438,719,4200
"25",20191027,115900,120100,1438,719,4200
"26",20191028,115900,120100,1438,719,4200
"27",20191029,115900,120100,1438,719,4200
"28",20191030,115900,120100,1438,719,4200
"29",20191031,115900,120100,1436,719,4200
"30",20191031,145900,150100,1436,898,4200
"31",20191031,175900,180100,1436,1077,4200
"32",20191101,55900,60100,1435,359,4200
"33",20191101,115900,120100,1435,718,4200
"34",20191101,174700,175000,1435,1065,300
"35",20191102,55900,60100,1436,359,4200
"36",20191102,115900,120100,1436,718,4200
"37",20191102,175900,180100,1436,1077,4200
"38",20191103,115900,120100,1438,719,4200
"39",20191104,25900,30100,1369,179,4200
"40",20191104,103100,103500,1369,630,400
"41",20191104,104700,110700,1369,643,6000
"42",20191104,115500,115800,1369,692,300
"43",20191104,115900,120100,1369,694,4200
"44",20191104,145900,150100,1369,873,4200
"45",20191104,171100,175500,1369,1004,4400
"46",20191105,115900,120100,1438,719,4200
"47",20191106,55900,60100,1435,359,4200
"48",20191106,115900,120100,1435,718,4200
"49",20191106,145900,150100,1435,897,4200
"50",20191106,205900,210100,1435,1256,4200
"51",20191107,115900,120100,1402,719,4200
"52",20191107,145900,150100,1402,898,4200
"53",20191107,154200,161400,1402,940,7200
"54",20191107,171400,171700,1402,1001,300
"55",20191107,184400,184700,1402,1089,300
"56",20191108,115900,120100,1438,719,4200
"57",20191109,55900,60100,1433,359,4200
"58",20191109,102900,103200,1433,628,300
"59",20191109,115900,120100,1433,716,4200
"60",20191109,122000,122300,1433,736,300
"61",20191110,25900,30100,1437,179,4200
"62",20191110,115900,120100,1437,718,4200
"63",20191111,25900,30100,1434,179,4200
"64",20191111,85900,90100,1434,538,4200
"65",20191111,115900,120100,1434,717,4200
"66",20191111,175900,180100,1434,1076,4200
"67",20191111,205900,210100,1434,1255,4200
"68",20191112,55900,60100,1436,359,4200
"69",20191112,85900,90100,1436,538,4200
"70",20191112,115900,120100,1436,717,4200
"71",20191113,115900,120100,1438,719,4200
"72",20191114,25900,30100,1437,179,4200
"73",20191114,115900,120100,1437,718,4200
"74",20191115,115900,120100,1438,719,4200
"75",20191116,115900,120100,1437,719,4200
"76",20191116,125800,130000,1437,777,4200
"77",20191117,115900,120100,1438,719,4200
"78",20191118,85600,90800,1410,536,5200
"79",20191118,92800,94600,1410,557,1800
"80",20191118,115900,120100,1410,691,4200
"81",20191119,115900,120100,1438,719,4200
"82",20191120,115900,120100,1438,719,4200
"83",20191121,115900,120100,1247,719,4200
"84",20191122,115900,120100,1073,354,4200
"85",20191123,115900,120100,1438,719,4200
"86",20191124,115900,120100,1438,719,4200
"87",20191125,115900,120100,1438,719,4200
"88",20191126,115900,120100,1438,719,4200
"89",20191127,115900,120100,1438,719,4200
"90",20191128,15100,15400,1436,111,300
"91",20191128,115900,120100,1436,717,4200
"92",20191129,94700,102400,1250,587,7700
"93",20191129,102500,103600,1250,589,1100
"94",20191129,105000,111000,1250,604,6000
"95",20191129,111200,111500,1250,607,300
"96",20191129,115900,120100,1250,652,4200
"97",20191129,143700,144100,1250,809,400
"98",20191129,145500,154100,1250,824,8600
"99",20191129,154100,165500,1250,825,11400
"100",20191130,72100,125900,1100,441,53800
"101",20191130,165800,170000,1100,681,4200
"102",20191130,195800,2e+05,1100,860,4200
"103",20191209,115900,120100,1438,719,4200
"104",20191219,115900,120100,1438,719,4200
"105",20191220,115900,120100,1436,719,4200
"106",20191220,144200,144500,1436,881,300
"107",20191221,115900,120100,1438,719,4200
"108",20191222,115900,120100,1438,719,4200
"109",20191223,115900,120100,1438,719,4200
"110",20191224,115900,120100,1437,719,4200
"111",20191224,225800,230000,1437,1377,4200
"112",20200107,115900,120100,1438,719,4200
"113",20200111,115900,120100,1438,719,4200
"114",20200112,115900,120100,1421,719,4200
"115",20200112,231800,233600,1421,1397,1800
"116",20200113,115900,120100,1438,719,4200
"117",20200114,115900,120100,1438,719,4200
"118",20200115,115900,120100,1432,719,4200
"119",20200115,141100,141400,1432,850,300
"120",20200115,141600,142100,1432,853,500
"121",20200116,112300,132100,1322,683,19800
"122",20200117,102800,104100,1424,628,1300
"123",20200117,115900,120100,1424,707,4200
"124",20200117,193100,193400,1424,1158,300
"125",20200124,115900,120100,1223,719,4200
"126",20200124,135000,172600,1223,829,37600
"127",20200125,115900,120100,1438,719,4200
"128",20200126,115900,120100,1438,719,4200
"129",20200127,115900,120100,1437,719,4200
"130",20200127,125900,130100,1437,778,4200
"131",20200128,115900,120100,1438,719,4200
"132",20200129,115900,120100,1438,719,4200
"133",20200130,115900,120100,1438,719,4200
"134",20200131,115900,120100,1412,719,4200
"135",20200131,140800,143500,1412,847,2700
"136",20200201,115900,120100,1438,719,4200
"137",20200202,115900,120100,1438,719,4200
"138",20200203,115900,120100,1438,719,4200
"139",20200204,115900,120100,1438,719,4200
"140",20200205,115900,120100,1438,719,4200
"141",20200206,115900,120100,1438,719,4200
"142",20200207,115900,120100,1438,719,4200
"143",20200211,82600,101700,1328,506,19100
"144",20200211,115900,120100,1328,609,4200
"145",20200212,101800,112200,1371,618,10400
"146",20200212,115900,120100,1371,656,4200
"147",20200212,131000,131500,1371,726,500
"148",20200213,84600,100900,1356,526,16300
"149",20200213,115900,120100,1356,637,4200
"150",20200214,115900,120100,1435,719,4200
"151",20200214,150400,150800,1435,903,400
"152",20200218,111900,113700,1408,679,1800
"153",20200218,115900,120100,1408,702,4200
"154",20200218,171000,172200,1408,1012,1200
"155",20200218,180200,180500,1408,1053,300
"156",20200222,115900,120100,1438,719,4200
"157",20200223,115900,120100,1438,719,4200
"158",20200224,115900,120100,1438,719,4200
"159",20200225,115900,120100,1438,719,4200
"160",20200226,75500,80200,1427,475,4700
"161",20200226,80200,80800,1427,476,600
"162",20200226,115900,120100,1427,708,4200
"163",20200227,115900,120100,1437,719,4200
"164",20200227,195900,200100,1437,1198,4200
"165",20200228,115900,120100,1437,719,4200
"166",20200228,195900,200100,1437,1198,4200
"167",20200229,75900,80100,1288,479,4200
"168",20200229,115900,120100,1288,718,4200
"169",20200303,115900,120100,1438,719,4200
"170",20200304,115900,120100,1438,719,4200
"171",20200305,53200,80600,1285,332,27400
"172",20200305,115900,120100,1285,566,4200
"173",20200306,115900,120100,1438,719,4200
"174",20200307,115900,120100,1438,719,4200
"175",20200308,115900,120100,1438,719,4200
"176",20200309,115900,120100,1438,719,4200
"177",20200310,115900,120100,1438,719,4200
"178",20200311,115900,120100,1438,719,4200
"179",20200312,20500,20800,1436,125,300
"180",20200312,115900,120100,1436,717,4200
"181",20200314,115900,120100,1438,719,4200
"182",20200315,115900,120100,1438,719,4200
"183",20200316,75900,80100,1437,479,4200
"184",20200316,115900,120100,1437,718,4200
"185",20200317,115900,120100,1436,719,4200
"186",20200317,163000,163300,1436,989,300
"187",20200318,115900,120200,1437,719,4300
