"","dia","hora","hora_1","amostras","linha","diferenca"
"1",20191014,"104800",105000,1414,648,2
"2",20191014,"105000",110700,1414,649,17
"3",20191014,"111200",111400,1414,655,2
"4",20191014,"111400",111600,1414,656,2
"5",20191014,"120800",121000,1414,709,2
"6",20191014,"165900",170300,1414,999,4
"7",20191014,"170300",170500,1414,1000,2
"8",20191014,"214900",215100,1414,1285,2
"9",20191015,"000300",500,1373,3,2
"10",20191015,"004900",5200,1373,48,3
"11",20191015,"030400",30600,1373,181,2
"12",20191015,"083400",83600,1373,510,2
"13",20191015,"090300",90700,1373,538,4
"14",20191015,"091800",92200,1373,550,4
"15",20191015,"105500",105700,1373,644,2
"16",20191015,"105900",114300,1373,647,44
"17",20191015,"124700",124900,1373,712,2
"18",20191015,"133300",133500,1373,757,2
"19",20191015,"153700",154100,1373,880,4
"20",20191015,"155100",155300,1373,891,2
"21",20191015,"160000",160200,1373,899,2
"22",20191015,"163600",163800,1373,934,2
"23",20191015,"164900",165100,1373,946,2
"24",20191015,"210300",210600,1373,1199,3
"25",20191016,"000400",700,1377,4,3
"26",20191016,"094900",95100,1377,587,2
"27",20191016,"101000",101200,1377,607,2
"28",20191016,"110600",113000,1377,662,24
"29",20191016,"130900",131100,1377,762,2
"30",20191016,"152700",152900,1377,899,2
"31",20191016,"152900",153100,1377,900,2
"32",20191016,"153100",153500,1377,901,4
"33",20191016,"155700",160400,1377,924,7
"34",20191016,"164300",164500,1377,964,2
"35",20191016,"165300",170000,1377,973,7
"36",20191016,"170900",172000,1377,983,11
"37",20191016,"172200",172900,1377,986,7
"38",20191019,"073300",73500,811,453,2
"39",20191019,"090300",90500,811,542,2
"40",20191019,"103400",103600,811,632,2
"41",20191019,"124000",124600,811,757,6
"42",20191019,"130100",131400,811,773,13
"43",20191022,"173700",174000,380,8,3
"44",20191022,"175100",175400,380,20,3
"45",20191022,"175700",175900,380,24,2
"46",20191022,"180400",180600,380,30,2
"47",20191022,"211400",211900,380,219,5
"48",20191023,"090300",90500,1426,543,2
"49",20191023,"091500",92300,1426,554,8
"50",20191023,"115900",120100,1426,711,2
"51",20191023,"192500",192700,1426,1156,2
"52",20191023,"193300",193500,1426,1163,2
"53",20191023,"231000",231200,1426,1379,2
"54",20191023,"231900",232100,1426,1387,2
"55",20191104,"004400",4600,1363,44,2
"56",20191104,"025900",30100,1363,178,2
"57",20191104,"031200",31400,1363,190,2
"58",20191104,"080700",80900,1363,484,2
"59",20191104,"081400",81600,1363,490,2
"60",20191104,"095700",95900,1363,592,2
"61",20191104,"103100",103500,1363,625,4
"62",20191104,"104700",110700,1363,638,20
"63",20191104,"115500",115800,1363,687,3
"64",20191104,"115900",120100,1363,689,2
"65",20191104,"145900",150100,1363,868,2
"66",20191104,"170900",171100,1363,997,2
"67",20191104,"171100",175500,1363,998,44
"68",20191107,"022700",22900,1393,147,2
"69",20191107,"034400",34600,1393,223,2
"70",20191107,"035700",35900,1393,235,2
"71",20191107,"051400",51600,1393,311,2
"72",20191107,"102900",103100,1393,625,2
"73",20191107,"115900",120100,1393,714,2
"74",20191107,"141400",141600,1393,848,2
"75",20191107,"145900",150100,1393,892,2
"76",20191107,"154200",161400,1393,934,32
"77",20191107,"161400",161600,1393,935,2
"78",20191107,"171400",171700,1393,994,3
"79",20191107,"184400",184700,1393,1082,3
"80",20191107,"194200",194400,1393,1138,2
"81",20191107,"232700",232900,1393,1362,2
"82",20191118,"085600",90800,1410,536,12
"83",20191118,"092800",94600,1410,557,18
"84",20191118,"115900",120100,1410,691,2
"85",20191129,"050000",50200,1243,300,2
"86",20191129,"094700",102400,1243,586,37
"87",20191129,"102500",103600,1243,588,11
"88",20191129,"105000",111000,1243,603,20
"89",20191129,"111200",111500,1243,606,3
"90",20191129,"115900",120100,1243,651,2
"91",20191129,"131500",131700,1243,726,2
"92",20191129,"133700",133900,1243,747,2
"93",20191129,"143700",144100,1243,806,4
"94",20191129,"145500",154100,1243,821,46
"95",20191129,"181800",182000,1243,906,2
"96",20191129,"185700",185900,1243,944,2
"97",20191129,"194900",195100,1243,995,2
"98",20191129,"220300",220500,1243,1128,2
"99",20191130,"014800",15000,1094,108,2
"100",20191130,"031200",31400,1094,191,2
"101",20191130,"044500",44700,1094,283,2
"102",20191130,"053300",53500,1094,330,2
"103",20191130,"072100",125900,1094,437,5.63333333333333
"104",20191130,"152700",152900,1094,586,2
"105",20191130,"161300",161500,1094,631,2
"106",20191130,"165800",170000,1094,675,2
"107",20191130,"195800",200000,1094,854,2
"108",20191201,"011200",11400,161,72,2
"109",20191203,"110900",112200,672,94,13
"110",20191203,"124500",131000,672,115,25
"111",20191203,"131000",132100,672,116,11
"112",20191203,"132100",134200,672,117,21
"113",20191203,"143500",145700,672,171,22
"114",20191203,"145800",150200,672,173,4
"115",20191203,"150200",153900,672,174,37
"116",20191203,"162500",162700,672,221,2
"117",20191203,"162800",163000,672,223,2
"118",20191203,"214000",214200,672,534,2
"119",20191204,"002800",3000,991,28,2
"120",20191204,"004000",4200,991,39,2
"121",20191204,"025500",25700,991,173,2
"122",20191204,"063400",63600,991,391,2
"123",20191204,"081000",81200,991,486,2
"124",20191204,"081500",81700,991,490,2
"125",20191204,"082900",83100,991,503,2
"126",20191204,"083200",83400,991,505,2
"127",20191204,"084800",85000,991,520,2
"128",20191204,"093700",120100,991,568,2.4
"129",20191207,"052900",53100,807,38,2
"130",20191207,"062300",120100,807,91,5.63333333333333
"131",20191207,"143100",143300,807,242,2
"132",20191207,"151600",151800,807,286,2
"133",20191207,"224600",224800,807,735,2
"134",20191208,"011100",102700,458,12,9.26666666666667
"135",20191208,"113500",120100,458,19,26
"136",20191208,"125900",173800,458,78,4.65
"137",20191208,"184100",184300,458,142,2
"138",20191208,"214100",214300,458,321,2
"139",20191210,"000400",600,383,4,2
"140",20191210,"010000",183000,383,59,17.5
"141",20191210,"183700",184200,383,67,5
"142",20191210,"214100",214300,383,247,2
"143",20191210,"220500",220700,383,270,2
"144",20191211,"021100",21300,611,130,2
"145",20191211,"032000",32200,611,198,2
"146",20191211,"045000",45200,611,287,2
"147",20191211,"055600",55800,611,352,2
"148",20191211,"072600",72800,611,441,2
"149",20191211,"073100",120100,611,445,4.5
"150",20191218,"164700",165900,461,40,12
"151",20191225,"032700",32900,987,207,2
"152",20191225,"101300",101500,987,612,2
"153",20191225,"115900",120100,987,717,2
"154",20191225,"122800",123000,987,745,2
"155",20191225,"144300",144500,987,879,2
