"","dia","hora","hora_1","amostras","linha","diferenca"
"1",20191105,"010100","045900",1203,122,3.96666666666667
"2",20191106,"005800","050500",1194,59,4.11666666666667
"3",20191108,"005800","050500",1194,59,4.11666666666667
"4",20191109,"005800","050900",1190,59,4.18333333333333
"5",20191111,"005800","045200",1207,59,3.9
"6",20191112,"005800","045400",1205,59,3.93333333333333
"7",20191114,"005800","050200",1197,59,4.06666666666667
"8",20191115,"005800","045300",1206,59,3.91666666666667
"9",20191116,"005800","045000",1209,59,3.86666666666667
"10",20191117,"005800","045000",1209,59,3.86666666666667
"11",20191119,"005800","045000",1209,59,3.86666666666667
"12",20191121,"005800","045000",1017,59,3.86666666666667
"13",20191123,"005700","045100",1207,58,3.9
"14",20191124,"005700","050400",1194,58,4.11666666666667
"15",20191125,"005700","045000",1208,58,3.88333333333333
"16",20191126,"005700","045500",1203,58,3.96666666666667
"17",20191127,"005700","045600",1202,58,3.98333333333333
"18",20191128,"005700","045400",1204,58,3.95
"19",20191220,"005700","045600",1202,58,3.98333333333333
"20",20191221,"005700","045400",1204,58,3.95
"21",20191222,"005700","045900",1199,58,4.03333333333333
"22",20191223,"005700","045900",1199,58,4.03333333333333
"23",20200113,"005600","052900",1168,57,4.55
"24",20200114,"005600","051200",1185,57,4.26666666666667
"25",20200125,"005600","051600",1181,57,4.33333333333333
"26",20200126,"005600","051500",1182,57,4.31666666666667
"27",20200127,"005600","051700",1180,57,4.35
"28",20200128,"005500","051800",1178,56,4.38333333333333
"29",20200129,"005500","051700",1179,56,4.36666666666667
"30",20200130,"005500","052500",1171,56,4.5
"31",20200201,"005500","061100",1125,56,5.26666666666667
"32",20200202,"005500","053100",1165,56,4.6
"33",20200203,"005500","054500",1151,56,4.83333333333333
"34",20200205,"005500","052600",1170,56,4.51666666666667
"35",20200206,"005500","052300",1173,56,4.46666666666667
"36",20200207,"005500","052300",1173,56,4.46666666666667
"37",20200222,"005800","054100",1158,59,4.71666666666667
"38",20200223,"005800","053700",1162,59,4.65
"39",20200224,"005800","054200",1157,59,4.73333333333333
"40",20200225,"005800","054100",1158,59,4.71666666666667
"41",20200226,"005800","053900",1160,59,4.68333333333333
"42",20200227,"005800","053600",1163,59,4.63333333333333
"43",20200228,"005800","053600",1163,59,4.63333333333333
"44",20200229,"005800","053700",1162,59,4.65
"45",20200303,"005800","053800",1161,59,4.66666666666667
"46",20200304,"005800","053800",1161,59,4.66666666666667
"47",20200306,"005800","053900",1160,59,4.68333333333333
"48",20200307,"005800","053900",1160,59,4.68333333333333
"49",20200308,"005800","054000",1158,59,4.7
"50",20200412,"021800","055000",1227,139,3.53333333333333
