dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20200324,175700,0,6.25,0.21,0,0,51.58,0.14,0,0,0.46,-127,180,0,0
20200324,175800,0,5.21,0.17,0,0,42.98,0.12,0,0,0.48,26.06,180,2.66,0
20200324,175900,0,5.45,0.18,0,0,45,0.12,0,0,0.48,26.06,180,3.99,0
20200324,180000,0,6.18,0.21,0,0,51.01,0.14,0,0,0.48,26.19,180,2.66,0
20200324,180100,0,6.55,0.22,0,0,54.03,0.15,0,0,0.49,26.19,135,3.99,0
20200324,180200,0,7.22,0.24,0,0,59.55,0.16,0,0,0.5,26.12,135,2.66,0
20200324,180300,0,7.44,0.25,0,0,61.38,0.17,0,0,0.47,26.06,135,7.98,0
20200324,180400,0,7.7,0.26,0,0,63.55,0.17,0,0,0.45,26,135,2.66,0
20200324,180500,0,7.39,0.25,0,0,60.94,0.17,0,0,0.46,25.81,135,0,0
20200324,180600,0,6.98,0.23,0,0,57.61,0.16,0,0,0.45,25.75,135,0,0
20200324,180700,0,7.09,0.24,0,0,58.49,0.16,0,0,0.45,25.56,135,2.66,0
20200324,180800,0,8.15,0.27,0,0,67.22,0.18,0,0,0.45,25.56,135,3.99,0
20200324,180900,0,8.97,0.3,0,0,74,0.2,0,0,0.44,25.44,135,2.66,0
20200324,181000,0,7.3,0.24,0,0,60.22,0.17,0,0,0.45,26.19,135,6.65,0
20200324,181100,0,8.22,0.27,0,0,67.78,0.19,0,0,0.47,25.88,135,2.66,0
20200324,181200,0,7.06,0.24,0,0,58.29,0.16,0,0,0.47,25.81,135,2.66,0
20200324,181300,0,6.71,0.22,0,0,55.35,0.15,0,0,0.47,25.62,135,2.66,0
20200324,181400,0,7.53,0.25,0,0,62.14,0.17,0,0,0.48,25.44,135,2.66,0
20200324,181500,0,7.23,0.24,0,0,59.63,0.16,0,0,0.49,25.19,135,0,0
20200324,181600,0,7.22,0.24,0,0,59.55,0.16,0,0,0.49,25.31,135,3.99,0
20200324,181700,0,7.91,0.26,0,0,65.23,0.18,0,0,0.5,25.31,135,2.66,0
20200324,181800,0,9.8,0.33,0,0,80.86,0.22,0,0,0.48,25.56,135,6.65,0
20200324,181900,0,14.55,0.48,0,0,120.05,0.33,0,0,0.49,25.5,135,2.66,0
20200324,182000,0,30.22,1.13,0.09,0.01,249.13,0.82,0.03,0.01,0.55,25.62,135,3.99,0
20200324,182100,0,28.13,1,0.05,0.01,231.96,0.71,0.02,0.01,0.54,25.44,135,2.66,0
20200324,182200,0,31.21,1.25,0.16,0.03,257.13,0.93,0.04,0.01,0.55,25.56,135,2.66,0
20200324,182300,0,31.36,1.1,0.04,0.01,258.65,0.77,0.02,0.01,0.54,25.44,135,6.65,0
20200324,182400,0,39.07,1.6,0.23,0.04,321.85,1.21,0.05,0.01,0.57,25.44,135,3.99,0
20200324,182500,0,43.35,2.22,0.59,0.09,356.45,1.82,0.12,0.03,0.57,25.31,135,5.32,0
20200324,182600,0,44.85,1.75,0.19,0.03,369.6,1.29,0.05,0.02,0.54,25.5,45,10.64,0
20200324,182700,0,41.74,1.61,0.17,0.03,344.02,1.18,0.04,0.01,0.56,26,90,10.64,0
20200324,182800,0,41.6,1.38,0,0,343.19,0.94,0.01,0.01,0.52,25.75,180,10.64,0
20200324,182900,0,42.34,1.43,0.01,0,349.31,0.98,0.02,0.01,0.53,25.94,135,10.64,0
20200324,183000,0,46.61,1.64,0.07,0.01,384.41,1.15,0.03,0.01,0.53,25.81,90,5.32,0
20200324,183100,0,40.22,1.42,0.06,0.01,331.72,1,0.02,0.01,0.55,25.69,180,2.66,0
20200324,183200,0,42.1,1.43,0.02,0,347.29,0.98,0.02,0.01,0.54,25.94,180,10.64,0
20200324,183300,0,40.89,1.52,0.12,0.02,337.07,1.1,0.04,0.01,0.55,25.81,135,10.64,0
20200324,183400,0,37.3,1.24,0,0,307.76,0.85,0.01,0.01,0.53,25.75,135,10.64,0
20200324,183500,0,34.23,1.14,0,0,282.37,0.78,0.01,0.01,0.53,25.69,135,7.98,0
20200324,183600,0,39.58,1.35,0.02,0,326.46,0.93,0.02,0.01,0.53,25.56,135,6.65,0
20200324,183700,0,43.05,1.43,0,0,355.21,0.98,0.01,0.01,0.51,25.69,135,7.98,0
20200324,183800,0,43.1,1.43,0,0,355.59,0.98,0.01,0.01,0.49,25.69,135,13.3,0
20200324,183900,0,40.66,1.35,0,0,335.43,0.92,0.01,0.01,0.53,25.69,135,3.99,0
20200324,184000,0,37.75,1.26,0,0,311.42,0.86,0.01,0.01,0.53,25.56,180,3.99,0
20200324,184100,0,38.9,1.5,0.16,0.03,320.64,1.11,0.04,0.01,0.54,25.31,180,2.66,0
20200324,184200,0,35.31,1.19,0.01,0,291.34,0.81,0.01,0.01,0.53,25.38,180,1.33,0
20200324,184300,0,35.81,1.22,0.02,0,295.36,0.85,0.02,0.01,0.54,25.19,180,3.99,0
20200324,184400,0,34.65,1.15,0,0,285.86,0.79,0.01,0.01,0.52,25.06,180,3.99,0
20200324,184500,0,27.83,0.93,0,0,229.6,0.63,0.01,0.01,0.52,25,180,5.32,0
20200324,184600,0,27.79,0.92,0,0,229.27,0.63,0.01,0.01,0.52,24.94,180,0,0
20200324,184700,0,24.74,0.82,0,0,204.14,0.56,0.01,0.01,0.51,24.69,180,3.99,0
20200324,184800,0,20.61,0.7,0.01,0,169.99,0.49,0.01,0,0.53,24.94,135,5.32,0
20200324,184900,0,19.46,0.65,0,0,160.59,0.44,0.01,0,0.53,24.81,135,5.32,0
20200324,185000,0,15.05,0.5,0,0,124.15,0.34,0,0,0.52,25.25,135,5.32,0
20200324,185100,0,14.88,0.5,0,0,122.77,0.34,0,0,0.53,25,135,3.99,0
20200324,185200,0,10.76,0.36,0,0,88.78,0.24,0,0,0.52,25.06,135,5.32,0
20200324,185300,0,7.21,0.24,0,0,59.48,0.16,0,0,0.52,25.31,135,2.66,0
20200324,185400,0,6.3,0.21,0,0,51.95,0.14,0,0,0.5,25.56,135,3.99,0
20200324,185500,0,6.32,0.21,0,0,52.13,0.14,0,0,0.51,25.12,135,11.97,0
20200324,185600,0,6.62,0.22,0,0,54.64,0.15,0,0,0.53,25.12,135,9.31,0
20200324,185700,0,6.67,0.22,0,0,55.02,0.15,0,0,0.53,25.06,135,6.65,0
20200324,185800,0,6.82,0.23,0,0,56.28,0.16,0,0,0.53,25.12,135,3.99,0
20200324,185900,0,6.46,0.22,0,0,53.33,0.15,0,0,0.5,24.94,180,2.66,0
20200324,190000,0,5.59,0.19,0,0,46.11,0.13,0,0,0.52,24.81,135,7.98,0
20200324,190100,0,6.17,0.21,0,0,50.88,0.14,0,0,0.53,24.75,135,0,0
20200324,190200,0,6.17,0.21,0,0,50.94,0.14,0,0,0.51,24.69,135,3.99,0
20200324,190300,0,6.14,0.2,0,0,50.67,0.14,0,0,0.5,24.56,135,2.66,0
20200324,190400,0,6.12,0.2,0,0,50.48,0.14,0,0,0.47,24.25,135,3.99,0
20200324,190500,0,6.1,0.2,0,0,50.33,0.14,0,0,0.49,24.44,135,2.66,0
20200324,190600,0,6.43,0.21,0,0,53.09,0.15,0,0,0.49,24.06,135,5.32,0
20200324,190700,0,6.34,0.21,0,0,52.34,0.14,0,0,0.49,24.31,135,2.66,0
20200324,190800,0,5.85,0.19,0,0,48.26,0.13,0,0,0.51,24.19,135,0,0
20200324,190900,0,6.08,0.2,0,0,50.18,0.14,0,0,0.51,23.94,135,0,0
20200324,191000,0,5.81,0.19,0,0,47.93,0.13,0,0,0.5,23.94,135,0,0
20200324,191100,0,6.17,0.21,0,0,50.93,0.14,0,0,0.49,24,135,0,0
20200324,191200,0,5.39,0.18,0,0,44.47,0.12,0,0,0.5,24.12,135,0,0
20200324,191300,0,5.33,0.18,0,0,43.97,0.12,0,0,0.48,23.94,135,3.99,0
20200324,191400,0,5.3,0.18,0,0,43.69,0.12,0,0,0.47,23.88,135,6.65,0
20200324,191500,0,5.04,0.17,0,0,41.59,0.11,0,0,0.49,23.75,135,5.32,0
20200324,191600,0,5.8,0.19,0,0,47.88,0.13,0,0,0.49,23.94,135,3.99,0
20200324,191700,0,4.94,0.16,0,0,40.75,0.11,0,0,0.5,23.75,135,2.66,0
20200324,191800,0,5.21,0.17,0,0,42.96,0.12,0,0,0.5,23.62,135,3.99,0
20200324,191900,0,4.38,0.15,0,0,36.15,0.1,0,0,0.49,23.75,135,2.66,0
20200324,192000,0,4.87,0.16,0,0,40.2,0.11,0,0,0.48,23.69,135,2.66,0
20200324,192100,0,4.76,0.16,0,0,39.25,0.11,0,0,0.49,23.56,135,1.33,0
20200324,192200,0,4.33,0.14,0,0,35.69,0.1,0,0,0.51,23.81,135,2.66,0
20200324,192300,0,4.69,0.16,0,0,38.7,0.11,0,0,0.52,23.62,135,2.66,0
