dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200428,054900,0,0.09,0.07,220.6,453.6,4
20200428,055000,1,0.08,0.07,220.6,463.4,6
20200428,055100,1,0.09,0.07,220.6,457.5,6
20200428,055200,3,0.08,0.07,220.5,484,4
20200428,055300,6,0.09,0.07,220.4,464.1,6
20200428,055400,10,0.1,0.09,220.4,433.8,7
20200428,055500,18,0.12,0.1,220.5,489.2,7
20200428,055600,27,0.15,0.12,220.5,489.3,7
20200428,055700,35,0.18,0.13,220.5,484.7,1
20200428,055800,42,0.22,0.15,220.5,486.2,10
20200428,055900,54,0.26,0.17,220.4,496.9,12
20200428,060000,63,0.3,0.18,220.4,495.6,12
20200428,060100,72,0.34,0.2,220.4,507.6,13
20200428,060200,81,0.38,0.22,220.2,506.9,15
20200428,060300,90,0.42,0.23,220.3,509.8,16
20200428,060400,102,0.48,0.25,220.3,526.4,18
20200428,060500,126,0.59,0.29,220.3,536.7,19
20200428,060600,147,0.68,0.31,220.5,564.7,21
20200428,060700,157,0.73,0.33,220.2,575.2,19
20200428,060800,171,0.79,0.35,220.1,562.6,27
20200428,060900,180,0.83,0.36,220.1,567.9,35
20200428,061000,189,0.88,0.42,220.1,526.6,38
20200428,061100,204,0.94,0.42,220.1,556.4,39
20200428,061200,205,0.96,0.42,220,557.5,38
20200428,061300,219,1.01,0.48,220.1,524.9,36
20200428,061400,231,1.06,0.47,220.1,547.2,42
20200428,061500,226,1.04,0.49,220.2,520.9,39
20200428,061600,198,0.9,0.41,220.2,541.1,31
20200428,061700,186,0.85,0.4,220.3,528.9,28
20200428,061800,219,1,0.47,220.3,528.6,35
20200428,061900,189,0.95,0.44,220.3,530.7,33
20200428,062000,201,0.93,0.42,220.2,543,30
20200428,062100,252,1.17,0.53,220.2,541.5,39
20200428,062200,414,1.92,0.81,220.3,555.3,65
20200428,062300,530,2.41,1.04,220.2,532.6,82
20200428,062400,420,1.92,0.84,220.2,529.1,63
20200428,062500,266,1.21,0.52,220.1,549.7,39
20200428,062600,231,1.07,0.48,220,540.8,33
20200428,062700,333,1.55,0.66,220,553.7,48
20200428,062800,483,2.21,0.89,220.6,574.4,74
20200428,062900,574,2.63,1.05,221,575.6,89
20200428,063000,702,3.21,1.38,221.1,538.3,101
20200428,063100,703,3.19,1.35,221,537.4,101
20200428,063200,609,2.74,1.14,221,547.8,86
20200428,063300,513,2.34,1,220.6,538.5,73
20200428,063400,549,2.55,1.1,220.6,539.2,77
20200428,063500,825,3.74,1.56,220.8,544.8,114
20200428,063600,828,3.8,1.59,220.9,549.6,115
20200428,063700,1050,4.77,1.94,221.1,555.4,141
20200428,063800,1091,4.95,1.99,221.1,564.5,146
20200428,063900,1058,4.8,1.93,221.1,564.7,141
20200428,064000,1002,4.54,1.86,221,555.6,133
20200428,064100,904,4.08,1.67,220.9,555.1,121
20200428,064200,718,3.25,1.36,220.6,549.7,95
20200428,064300,840,3.86,1.58,220.6,561.5,111
20200428,064400,1161,5.3,2.11,221.1,570.5,150
20200428,064500,1326,5.99,2.36,221.5,578.4,170
20200428,064600,1343,6.07,2.37,221.5,577.6,172
20200428,064700,1386,6.27,2.47,221.5,578.1,178
20200428,064800,1209,5.47,2.15,221.2,570.4,155
20200428,064900,1320,6.03,2.38,221.3,575,170
20200428,065000,1560,7.09,2.83,221.3,567.3,197
20200428,065100,1642,7.46,2.88,221.6,587,210
20200428,065200,1705,7.68,2.93,221.7,592.1,213
20200428,065300,1692,7.63,2.94,221.9,585.5,213
20200428,065400,1785,8.05,3.14,222,585,225
20200428,065500,1827,8.24,3.22,222.1,581.6,226
20200428,065600,1851,8.34,3.26,222.1,581.1,231
20200428,065700,1909,8.62,3.33,222,587.4,235
20200428,065800,1959,8.83,3.39,222,583.6,240
20200428,065900,1984,8.96,3.47,221.9,586.4,245
20200428,070000,2034,9.17,3.52,222,584.7,249
20200428,070100,2082,9.37,3.6,222,585.5,255
20200428,070200,2121,9.56,3.68,221.9,586.3,260
20200428,070300,2157,9.73,3.75,221.7,588.2,263
20200428,070400,2202,9.94,3.79,221.7,587.9,269
20200428,070500,2247,10.13,3.92,221.7,580,272
20200428,070600,2292,10.33,3.99,222,581.1,278
20200428,070700,2341,10.54,4.09,222,583,284
20200428,070800,2379,10.73,4.14,222,582.9,287
20200428,070900,2379,10.73,4.13,221.9,589.6,287
20200428,071000,2439,10.99,4.19,222,589,293
20200428,071100,2418,10.92,4.21,221.6,587.4,292
20200428,071200,2484,11.2,4.32,221.8,580,299
20200428,071300,2574,11.59,4.47,222.1,585.1,310
20200428,071400,2577,11.61,4.45,221.9,589.5,309
20200428,071500,2325,10.45,4,221.6,583.7,278
20200428,071600,2110,9.51,3.72,221.2,574.8,252
20200428,071700,1830,8.22,3.25,220.9,569.3,222
20200428,071800,1803,8.17,3.29,220.8,567.9,216
20200428,071900,2091,9.45,3.72,221.3,574.6,249
20200428,072000,1991,9.02,3.49,221,570.3,239
20200428,072100,1812,8.31,3.3,220.9,572.8,219
20200428,072200,2101,9.52,3.68,221,574.7,251
20200428,072300,2112,9.54,3.73,221.1,573.3,251
20200428,072400,2157,9.87,3.88,221,574.3,255
20200428,072500,2748,12.47,4.84,221.7,583.6,322
20200428,072600,3087,13.92,5.37,222.1,585.8,360
20200428,072700,3175,14.3,5.42,222.2,587.9,368
20200428,072800,3219,14.49,5.55,222.2,589.3,374
20200428,072900,3270,14.71,5.65,222.2,589,380
20200428,073000,3296,14.82,5.76,222.3,580.9,383
20200428,073100,3324,14.97,5.86,222.3,584.1,386
20200428,073200,3369,15.16,5.9,222.2,583.4,391
20200428,073300,3405,15.32,5.96,222.3,582.8,395
20200428,073400,3453,15.53,5.98,222.3,583.5,401
20200428,073500,3492,15.71,6.14,222.1,579.7,404
20200428,073600,3531,15.89,6.22,222.2,577.6,411
20200428,073700,3565,16.03,6.25,222.4,578.2,414
20200428,073800,3597,16.17,6.33,222.4,576.4,418
20200428,073900,3636,16.35,6.37,222.4,579.2,423
20200428,074000,3640,16.37,6.37,222.3,575,423
20200428,074100,2793,12.38,4.77,221,573.4,328
20200428,074200,2332,10.56,4.29,220.8,569.3,272
20200428,074300,2806,12.68,4.99,221.4,573,327
20200428,074400,3305,14.87,5.83,222,575.5,379
20200428,074500,3855,17.34,6.81,222.8,579.4,447
20200428,074600,3909,17.56,6.83,222.7,576.5,453
20200428,074700,3951,17.72,6.9,222.7,577.8,458
20200428,074800,3892,17.69,6.95,222.7,579.9,453
20200428,074900,4023,18.05,7.02,222.8,575.6,465
20200428,075000,4061,18.22,7.15,222.8,571.8,470
20200428,075100,4089,18.36,7.19,222.8,580,473
20200428,075200,4134,18.57,7.26,222.6,575.9,479
20200428,075300,4173,18.75,7.39,222.6,571.9,482
