"","dia","hora","hora_1","amostras","linha","diferenca"
"1",20191004,"032500",32700,1435,205,2
"2",20191004,"042700",42900,1435,266,2
"3",20191004,"142400",142600,1435,862,2
"4",20191004,"235700",235900,1435,1434,2
"5",20191005,"010600",10800,1435,66,2
"6",20191005,"022400",22600,1435,143,2
"7",20191005,"043900",44100,1435,277,2
"8",20191005,"073900",74100,1435,456,2
"9",20191013,"182900",183100,1438,1109,2
"10",20191017,"034800",35000,1433,228,2
"11",20191017,"075500",75700,1433,474,2
"12",20191017,"141800",142000,1433,856,2
"13",20191017,"145400",145600,1433,891,2
"14",20191017,"152500",152700,1433,921,2
"15",20191017,"171900",172100,1433,1034,2
"16",20191018,"090300",90500,1423,543,2
"17",20191018,"100300",100500,1423,602,2
"18",20191018,"100600",100800,1423,604,2
"19",20191018,"122300",123100,1423,740,8
"20",20191018,"123300",123500,1423,743,2
"21",20191018,"130000",130300,1423,769,3
"22",20191018,"171900",172100,1423,1026,2
"23",20191018,"193400",193600,1423,1160,2
"24",20191018,"223400",223600,1423,1339,2
"25",20191024,"030400",30600,1424,184,2
"26",20191024,"074500",74700,1424,464,2
"27",20191024,"085200",85400,1424,530,2
"28",20191024,"094900",95100,1424,586,2
"29",20191024,"115900",120100,1424,715,2
"30",20191024,"145200",145400,1424,887,2
"31",20191024,"162500",162700,1424,979,2
"32",20191024,"171000",171200,1424,1023,2
"33",20191024,"193400",193600,1424,1166,2
"34",20191024,"200700",200900,1424,1198,2
"35",20191024,"201000",201200,1424,1200,2
"36",20191024,"205800",210000,1424,1247,2
"37",20191024,"210400",210600,1424,1252,2
"38",20191024,"223400",223600,1424,1341,2
"39",20191024,"235500",235700,1424,1421,2
"40",20191025,"012500",12700,1428,85,2
"41",20191025,"034900",35100,1428,228,2
"42",20191025,"044500",44900,1428,283,4
"43",20191025,"055200",55400,1428,347,2
"44",20191025,"073400",73600,1428,448,2
"45",20191025,"085500",85700,1428,528,2
"46",20191025,"103400",103600,1428,626,2
"47",20191025,"115900",120100,1428,710,2
"48",20191025,"184900",185100,1428,1119,2
"49",20191026,"034900",35100,1431,229,2
"50",20191026,"081900",82100,1431,498,2
"51",20191026,"094900",95100,1431,587,2
"52",20191026,"115900",120100,1431,716,2
"53",20191026,"154000",154200,1431,936,2
"54",20191026,"180400",180600,1431,1079,2
"55",20191026,"222500",222700,1431,1339,2
"56",20191026,"231900",232100,1431,1392,2
"57",20191027,"021000",21200,1430,130,2
"58",20191027,"051900",52100,1430,318,2
"59",20191027,"085500",85700,1430,533,2
"60",20191027,"115900",120100,1430,716,2
"61",20191027,"124900",125100,1430,765,2
"62",20191027,"175500",175700,1430,1070,2
"63",20191027,"192500",192700,1430,1159,2
"64",20191027,"223400",223600,1430,1347,2
"65",20191027,"235200",235400,1430,1424,2
"66",20191028,"004000",4200,1430,40,2
"67",20191028,"111000",111200,1430,669,2
"68",20191028,"115900",120100,1430,717,2
"69",20191028,"123700",123900,1430,754,2
"70",20191028,"162500",162700,1430,981,2
