Data e horário,Energia por retificador alternado|Primo 8.2-1 (1) (# 1),Energia por retificador alternado por kWp|Primo 8.2-1 (1) (# 1),Instalação total,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
31.01.2020,36.95,4.51,36.95,
01.02.2020,45.12,5.50,45.12,
02.02.2020,38.37,4.68,38.37,
03.02.2020,57.96,7.07,57.96,
04.02.2020,35.84,4.37,35.84,
05.02.2020,53.08,6.47,53.08,
06.02.2020,46.09,5.62,46.09,
07.02.2020,51.44,6.27,51.44,
08.02.2020,34.86,4.25,34.86,
09.02.2020,44.40,5.41,44.40,
10.02.2020,44.62,5.44,44.62,
11.02.2020,40.77,4.97,40.77,
12.02.2020,39.10,4.77,39.10,
13.02.2020,50.09,6.11,50.09,
14.02.2020,41.00,5.00,41.00,
15.02.2020,55.57,6.78,55.57,
16.02.2020,55.95,6.82,55.95,
17.02.2020,59.02,7.20,59.02,
18.02.2020,43.72,5.33,43.72,
19.02.2020,29.39,3.58,29.39,
20.02.2020,35.74,4.36,35.74,
21.02.2020,60.70,7.40,60.70,
22.02.2020,40.81,4.98,40.81,
23.02.2020,51.07,6.23,51.07,
24.02.2020,40.48,4.94,40.48,
25.02.2020,23.02,2.81,23.02,
26.02.2020,60.53,7.38,60.53,
27.02.2020,51.55,6.29,51.55,
28.02.2020,63.85,7.79,63.85,
