,dia,hora,temp,linha
1,20200403,114300,-127,703
2,20200403,123500,-127,754
3,20200403,155300,-127,952
4,20200403,160600,-127,965
5,20200403,161400,-127,973
6,20200403,161500,-127,974
7,20200403,195000,-127,1189
8,20200404,200,-127,2
9,20200404,10100,-127,61
10,20200404,33100,-127,211
11,20200404,34900,-127,229
12,20200404,35900,-127,239
13,20200404,41900,-127,259
14,20200404,110300,-127,663
15,20200404,113400,-127,694
16,20200404,120100,-127,720
17,20200404,135400,-127,833
18,20200404,220500,-127,1324
19,20200405,20600,-127,126
20,20200405,21000,-127,130
21,20200405,43000,-127,270
22,20200405,80700,-127,487
23,20200405,82000,-127,500
24,20200405,85400,-127,534
25,20200405,164400,-127,1003
26,20200406,41500,-127,254
27,20200406,43200,-127,271
28,20200406,83800,-54,517
29,20200406,85000,-127,529
30,20200406,111400,-50.75,673
31,20200406,150900,-50.81,902
32,20200406,164400,-127,996
33,20200406,173300,-127,1045
34,20200406,173600,-127,1048
35,20200407,400,-127,4
36,20200407,15100,-127,111
37,20200407,21500,-127,135
38,20200407,50000,-127,300
39,20200407,124400,-127,761
40,20200407,144000,-127,877
41,20200407,152700,-127,924
42,20200408,12000,-127,80
43,20200408,61500,-127,374
44,20200408,62700,-127,386
45,20200408,125400,-127,769
46,20200408,125800,-127,773
47,20200408,133300,-127,808
48,20200408,135800,-52.69,833
49,20200408,145100,-127,885
50,20200408,210200,-127,1256
51,20200408,213000,-127,1284
52,20200408,213700,-127,1291
53,20200408,224400,-127,1356
54,20200408,230200,-127,1374
55,20200408,235700,-127,1429
56,20200409,1700,-127,17
57,20200409,3000,-127,30
58,20200409,13700,-127,97
59,20200409,63700,-127,396
60,20200409,102700,-127,625
61,20200409,130500,-53.81,782
62,20200409,200000,-127,1195
63,20200409,220900,-127,1324
64,20200409,230400,-127,1379
65,20200412,22100,-127,140
66,20200412,30800,-127,186
67,20200412,33700,-127,215
68,20200412,41700,-127,255
69,20200412,51400,-127,312
70,20200412,85700,-127,535
71,20200412,95500,-127,593
72,20200412,161900,-127,974
73,20200413,80900,-127,487
74,20200413,81900,-127,497
75,20200413,83100,-127,509
76,20200413,83300,-127,511
77,20200413,93500,-127,573
78,20200413,110100,-127,658
79,20200413,113700,-127,694
80,20200413,185700,-127,1131
81,20200415,1600,-127,15
82,20200415,12500,-127,83
83,20200415,34300,-127,219
84,20200415,62800,-127,383
85,20200415,72100,-127,436
86,20200415,75700,-127,472
87,20200415,192300,-127,1143
88,20200415,213100,-127,1271
89,20200417,12700,-127,81
90,20200417,14800,-127,102
91,20200417,65400,-127,407
92,20200417,73800,-127,451
93,20200417,123000,-127,724
94,20200417,124200,-127,736
95,20200417,154800,-127,922
96,20200417,231100,-127,1361
97,20200417,233000,-127,1380
98,20200418,4900,-127,45
99,20200418,62500,-127,381
100,20200418,62700,-127,383
101,20200418,62900,-127,385
102,20200418,182900,-127,1102
103,20200418,215700,-127,1309
104,20200418,225700,-127,1369
105,20200419,22700,-127,144
106,20200419,101100,-127,605
107,20200419,155800,-127,948
108,20200420,72400,-127,439
109,20200420,104200,-127,636
110,20200420,112700,-127,681
111,20200420,122300,-127,735
112,20200420,155500,-127,944
113,20200420,163100,-127,980
114,20200420,235000,-127,1419
115,20200421,112100,-127,675
116,20200421,230400,-127,1346
117,20200422,3200,-127,31
118,20200422,30700,-127,184
119,20200422,34900,-127,225
120,20200422,54500,-127,341
121,20200422,104600,-127,642
122,20200422,113900,-127,695
123,20200422,114000,-127,696
124,20200422,114800,-54.5,704
125,20200422,153900,-127,932
126,20200425,71900,-127,437
127,20200425,74100,-127,459
128,20200425,74400,-127,462
129,20200425,83500,-127,513
130,20200425,92000,-127,558
131,20200425,113300,-54.5,690
132,20200425,165400,-127,1007
133,20200425,165500,-127,1008
134,20200426,50300,-127,300
135,20200426,80500,-127,481
136,20200426,81200,-127,488
137,20200426,85700,-127,532
138,20200426,91000,-127,545
139,20200426,103600,-127,630
140,20200426,104700,-127,641
141,20200426,231000,-127,1381
142,20200427,14200,-127,102
143,20200427,30200,-127,182
144,20200427,62500,-127,382
145,20200427,113800,-127,693
146,20200427,121900,-127,731
147,20200427,135800,-52.69,830
148,20200427,135900,-53.88,831
149,20200427,145500,-52.31,887
150,20200430,91100,-127,548
151,20200430,94400,-127,581
152,20200430,95000,-127,587
153,20200430,102800,-127,623
154,20200430,121400,-127,726
155,20200501,73400,-127,449
156,20200501,74300,-127,458
157,20200501,84100,-127,516
158,20200501,84300,-127,518
159,20200501,85500,-127,530
160,20200501,95400,-127,589
161,20200501,111500,-127,669
162,20200501,140700,-53.44,839
163,20200502,4600,-127,45
164,20200502,35700,-127,236
165,20200502,40700,-127,246
166,20200502,83500,-127,514
167,20200502,91400,-127,552
168,20200502,94700,-127,585
169,20200502,111300,-127,671
