dia,Vd1,Pd,Nloss,Vd2,m,x_gauss
NA,NA,NA,NA,NA,NA,NA
20191004,0.01333441566499976,1.42e-6,2.13e-8,0.013340828104458483,0.007399695549545096,0.0026609322546149936
20191005,0.015418326476052806,2.35e-6,3.5249999999999995e-8,0.015424738915511528,0.01672067242261632,0.0053089888608191535
20191006,0.01659384649882664,2.75e-6,4.1249999999999995e-8,0.016600258938285362,0.02515182199232589,0.007503284555116884
20191007,0.01680745229450429,3.64e-6,5.46e-8,0.016813864733963013,0.03305843502038998,0.00945881662356268
20191008,0.01699463083746538,4.14e-6,6.210000000000001e-8,0.017001043276924102,0.04062363038982848,0.011263338626190767
20191009,0.01745452068808531,4.67e-6,7.005e-8,0.017460933127544032,0.04868577541910377,0.013130604290077645
20191010,0.018281520115231584,5.47e-6,8.205e-8,0.018287932554690307,0.058128934493965737,0.015258736383661606
20191011,0.018980250484041297,6.37e-6,9.554999999999999e-8,0.01898666292350002,0.06772869008036843,0.01736851187291785
20191012,0.019471413053121944,7.25e-6,1.0874999999999999e-7,0.019477825492580668,0.0770456779105865,0.019372726163714757
20191013,0.019848417233677692,8.27e-6,1.2405e-7,0.019854829673136416,0.08638105892304362,0.021344025763949833
20191014,0.02008847574908092,9.07e-6,1.3604999999999998e-7,0.020094888188539644,0.09531356857905995,0.023199932649727844
20191015,0.02027523762438711,1.015e-5,1.5224999999999998e-7,0.020281650063845833,0.10434436552082936,0.025049421887837754
20191016,0.020411637980870426,1.078e-5,1.617e-7,0.02041805042032915,0.11307948962154736,0.026815200508852378
20191017,0.02048240687517778,1.207e-5,1.8105e-7,0.020488819314636503,0.12186343677080018,0.028569949433486744
20191018,0.020500644469152524,1.373e-5,2.0595000000000001e-7,0.020507056908611248,0.13092539164567166,0.030360104099795403
20191019,0.020526249318046415,1.535e-5,2.3025e-7,0.02053266175750514,0.14050412353537775,0.03223189729501571
20191022,0.020506923769430137,1.749e-5,2.6235e-7,0.02051333620888886,0.1670830525646954,0.037328414577270146
20191023,0.020479553635184174,1.797e-5,2.6955e-7,0.020485966074642897,0.175804440152274,0.03897289831722017
20191024,0.020470777115955394,1.855e-5,2.7825e-7,0.020477189555414117,0.18452948232675334,0.040605647736683806
20191025,0.020484130129885498,1.92e-5,2.88e-7,0.02049054256934422,0.19335469902683114,0.04224519167973901
20191026,0.02048579289259534,2.01e-5,3.015e-7,0.020492205332054064,0.20210493575065946,0.04385955748199711
20191027,0.020503898102460144,2.064e-5,3.0959999999999997e-7,0.020510310541918868,0.21088255691430238,0.045468284785619144
20191028,0.02055135934705451,2.125e-5,3.1875e-7,0.020557771786513232,0.21987700117166134,0.04710617815813102
20191029,0.02060739646953143,2.198e-5,3.297e-7,0.020613808908990155,0.22894565284229834,0.04874725725532355
20191030,0.020652522601559566,2.283e-5,3.4245e-7,0.02065893504101829,0.23792914084381295,0.05036316369862152
20191031,0.020708832930333577,2.345e-5,3.5175e-7,0.0207152453697923,0.2469854642601156,0.05198276713688207
20191101,0.02076322108494168,2.42e-5,3.6299999999999995e-007,0.020769633524400404,0.2560209106465895,0.05358962277501107
20191102,0.02080404834586271,2.512e-5,3.768e-7,0.020810460785321432,0.26495080158699946,0.05516921790872552
20191103,0.020845863798503096,2.732e-5,4.098e-7,0.02085227623796182,0.2743957762190666,0.05683110639456994
20191104,0.020890521494268517,2.989e-5,4.4834999999999996e-7,0.02089693393372724,0.28447078384869934,0.05859425526107677
20191105,0.020947832287061686,3.395e-5,5.092499999999999e-7,0.02095424472652041,0.29576382229679155,0.06055927432334417
20191106,0.021008063722832912,3.567e-5,5.3505e-7,0.021014476162291636,0.30734741637819474,0.06256298380172393
20191107,0.021051547099444207,3.661e-5,5.4915e-7,0.02105795953890293,0.3186863166780138,0.06451322376112226
20191108,0.02108514049341186,3.744e-5,5.615999999999999e-7,0.021091552932870582,0.3298351391742208,0.06642046367404071
20191109,0.02111652749522163,3.818e-5,5.726999999999999e-7,0.021122939934680354,0.34088235071739187,0.06830063287160963
20191110,0.02114247408513709,3.865e-5,5.797499999999999e-7,0.021148886524595813,0.3517018234167981,0.07013304202517084
20191111,0.02116026131815402,3.919e-5,5.8785e-7,0.021166673757612744,0.36226963286828523,0.07191453497392913
20191112,0.02117952362813771,3.961e-5,5.9415e-7,0.021185936067596434,0.37271939035194895,0.07366833918655451
20191113,0.02120033116535257,4.023e-5,6.0345e-7,0.021206743604811295,0.38311115329611517,0.07540497853121274
20191114,0.021208310142737222,4.063e-5,6.0945e-7,0.021214722582195946,0.3931384372450884,0.07707389898063748
20191115,0.021209857376239087,4.11e-5,6.165e-7,0.02121626981569781,0.40292990927197825,0.07869730893217393
20191116,0.021204938964170174,4.192e-5,6.287999999999999e-7,0.021211351403628897,0.41256963526326385,0.08028968438901168
20191117,0.021200002832770754,4.265e-5,6.3975e-7,0.021206415272229478,0.4221597891120753,0.08186824271189232
20191118,0.021202406083866098,4.325e-5,6.4875e-7,0.021208818523324822,0.43181657166772897,0.08345224464984029
20191119,0.021204913998407574,4.385e-5,6.5775e-7,0.021211326437866298,0.4414033543280262,0.08501942235998378
20191120,0.021204748969700035,4.444e-5,6.666e-7,0.021211161409158758,0.45086403022167254,0.08656089711201906
20191121,0.021201267558290538,4.534e-5,6.801000000000001e-7,0.021207679997749262,0.4602523118865623,0.08808570084600378
20191122,0.02119969731503193,4.607e-5,6.910499999999999e-7,0.021206109754490655,0.4696424460095749,0.08960606163954961
20191123,0.021200177331781107,4.687e-5,7.030499999999999e-7,0.02120658977123983,0.47905607753665413,0.09112557449133306
20191124,0.02120262250582656,4.788e-5,7.182e-7,0.021209034945285282,0.4885355854147222,0.09265112024179492
20191125,0.021211849444592243,4.839e-5,7.2585e-7,0.021218261884050967,0.4980940996071463,0.09418481046927385
20191126,0.021226826014034507,4.867e-5,7.3005e-7,0.02123323845349323,0.5076688132645255,0.0957166006345041
20191127,0.021239789438446083,4.906e-5,7.359e-7,0.021246201877904807,0.5171063915856063,0.09722213983850508
20191128,0.02124641572082412,4.932e-5,7.398e-7,0.021252828160282844,0.5262782212918189,0.09868126958435923
20191129,0.02124739556979284,4.963e-5,7.444499999999999e-7,0.021253808009251564,0.5352110270870016,0.10009864498348425
20191130,0.02124470556795136,5.004e-5,7.506e-7,0.021251118007410082,0.5439699012675518,0.10148491886691983
20191201,0.021237579640386726,5.098e-5,7.647000000000001e-7,0.02124399207984545,0.5526334931461395,0.10285276301606029
20191203,0.02122720475214512,5.259e-5,7.8885e-7,0.021233617191603844,0.5705595068934238,0.10567267786032453
20191204,0.021213245323605388,5.327e-5,7.9905e-7,0.02121965776306411,0.5789908527740152,0.10699430325059382
20191207,0.021195248241081856,5.574e-5,8.360999999999999e-7,0.02120166068054058,0.6059395303271188,0.11119909567541134
20191208,0.0211743243086959,5.648e-5,8.472e-7,0.021180736748154624,0.6141041199789725,0.11246732801110623
20191209,0.021149355568924676,5.709e-5,8.5635e-7,0.0211557680083834,0.6221064297979287,0.11370785662800525
20191210,0.0211201982851633,5.857e-5,8.7855e-7,0.021126610724622023,0.6300821830153424,0.11494184612122771
20191211,0.021089555265701627,5.912e-5,8.868e-7,0.02109596770516035,0.6379547265358303,0.11615753020002245
20191218,0.021057296677370243,6.435e-5,9.6525e-7,0.021063709116828967,0.7010104526881428,0.12581467060422039
20191219,0.021027428107475342,6.435e-5,9.6525e-7,0.021033840546934066,0.7085329047050555,0.12695767768165178
20191220,0.021004478730935486,6.444e-5,9.666e-7,0.02101089117039421,0.716168587947689,0.1281159963121121
20191221,0.020981883859891075,6.484e-5,9.725999999999998e-7,0.0209882962993498,0.7237491106340683,0.12926408318385615
20191222,0.020957503807895336,6.503e-5,9.754500000000001e-7,0.02096391624735406,0.7311705025874995,0.1303862917864498
20191223,0.02093483161490458,6.533e-5,9.7995e-7,0.020941244054363303,0.7385733078728586,0.13150395835167938
20191224,0.020913402708194896,6.575e-5,9.862499999999999e-7,0.02091981514765362,0.7459614890050124,0.13261771268472225
20191225,0.02089919869689707,6.586e-5,9.878999999999999e-7,0.020905611136355792,0.7535055370059925,0.1337532269799352
20191226,0.02088873318083675,6.589e-5,9.883499999999998e-7,0.020895145620295475,0.7610762256857301,0.13489100729375886
20200106,0.020884133027932954,7.389e-5,1.10835e-6,0.020890545467391677,0.859242715402711,0.14949452535321878
20200107,0.020882389080122105,7.418e-5,1.1127e-6,0.020888801519580828,0.8668625481406468,0.15061705784753607
20200108,0.02087972436193645,7.446e-5,1.1169e-6,0.020886136801395172,0.8743844769191835,0.1517236905032531
20200109,0.020883790995820998,7.506e-5,1.1259e-6,0.02089020343527972,0.8821732400115418,0.15286804926913805
20200110,0.020888601749701044,7.627e-5,1.1440499999999999e-6,0.020895014189159768,0.8900629543481677,0.15402566838839385
20200111,0.020894366370271606,7.708e-5,1.1562e-6,0.02090077880973033,0.8980073451689529,0.15518972776575787
20200112,0.02089887557289764,7.738e-5,1.1607e-6,0.020905288012356363,0.9058462643015799,0.15633679241585322
20200113,0.020904719625882525,7.766e-5,1.1648999999999998e-6,0.02091113206534125,0.9136905764214377,0.15748312988571206
20200114,0.020911682807789562,7.801e-5,1.17015e-6,0.020918095247248285,0.9215401499669943,0.158628732875797
20200115,0.020919541023777813,7.848e-5,1.1772e-6,0.020925953463236537,0.9294034806902984,0.1597748506284651
20200116,0.02092583753699917,7.907e-5,1.18605e-6,0.020932249976457894,0.9371862815527067,0.16090777360333466
20200117,0.020931321289653467,7.955e-5,1.19325e-6,0.02093773372911219,0.9449089628406413,0.1620305259275224
20200123,0.02093642387269928,8.342e-5,1.2513e-6,0.020942836312158004,0.9970666805600265,0.16957738700098374
20200124,0.020940361968367984,8.393e-5,1.25895e-6,0.020946774407826708,1.004580438435863,0.17065954060505717
20200125,0.02094292774897349,8.443e-5,1.26645e-6,0.020949340188432215,1.0120097033282391,0.1717283107432348
20200126,0.020944570613899385,8.504e-5,1.2756e-6,0.02095098305335811,1.0193880558909723,0.17278857150155477
20200127,0.02094571663433356,8.562e-5,1.2843e-6,0.020952129073792285,1.0267338119999003,0.17384298471025747
20200128,0.020946361604146594,8.643e-5,1.2964499999999999e-6,0.020952774043605318,1.0340711300227323,0.17489503737361822
20200129,0.02094764879316469,8.696e-5,1.3044e-6,0.020954061232623413,1.0414251166827482,0.17594833688734315
20200130,0.020949270153904284,8.713e-5,1.30695e-6,0.020955682593363008,1.0487422543761593,0.17699523193035757
20200131,0.02094958700861889,8.762e-5,1.3143e-6,0.020955999448077613,1.0559756396312443,0.1780290484024442
20200201,0.02094936217817567,8.777e-5,1.31655e-6,0.020955774617634395,1.0631267224205514,0.17905003950778267
20200202,0.02094827454792079,8.785e-5,1.3177499999999998e-6,0.020954686987379515,1.0701722016450583,0.1800549280372955
20200203,0.020946539033106722,8.815e-5,1.32225e-6,0.020952951472565446,1.0771474723041647,0.1810488081030396
20200204,0.020944890283072636,8.833e-5,1.32495e-6,0.02095130272253136,1.0840778979640793,0.1820353255033645
20200205,0.020942748795671044,8.857e-5,1.32855e-6,0.020949161235129767,1.090941383941005,0.18301136562094525
20200206,0.020940371550523793,8.873e-5,1.33095e-6,0.020946783989982516,1.0977434073595764,0.18397774059872352
20200207,0.020936992812657578,8.93e-5,1.3395e-6,0.020943405252116302,1.104486543303763,0.184934847205165
20200208,0.020931684297517492,9.071e-5,1.36065e-6,0.020938096736976216,1.111205821248117,0.1858876803079084
20200210,0.020925930323137613,9.147e-5,1.37205e-6,0.020932342762596336,1.126508286627841,0.18805438761095786
20200211,0.020920011668384156,9.159e-5,1.37385e-6,0.02092642410784288,1.1330684298950437,0.18898187262841548
20200212,0.020914776504399206,9.17e-5,1.3755e-6,0.02092118894385793,1.1396137965744544,0.18990645164574932
20200213,0.020909237828352082,9.193e-5,1.37895e-6,0.020915650267810806,1.1461038434221567,0.19082241604564792
20200214,0.020903898298878586,9.222e-5,1.3833e-6,0.02091031073833731,1.1525788943702184,0.19173547506446054
20200217,0.020899121037759674,9.37e-5,1.4055e-6,0.020905533477218397,1.1762070211606541,0.19506071760337018
20200218,0.02089671829118762,9.387e-5,1.4080499999999998e-6,0.020903130730646344,1.182723816316833,0.19597603973446084
20200219,0.020895916561834697,9.396e-5,1.4094e-6,0.02090232900129342,1.1892828343317792,0.1968965150171384
20200221,0.02089551392364768,9.482e-5,1.4223e-6,0.020901926363106404,1.2043690365180553,0.19901074012120998
20200222,0.020896259686681535,9.544e-5,1.4315999999999998e-6,0.02090267212614026,1.2109686711260534,0.1999343587314963
20200223,0.020898250051527328,9.591e-5,1.4386499999999998e-6,0.02090466249098605,1.217629805052846,0.20086580509467067
20200224,0.02090123652358581,9.619e-5,1.4428499999999999e-6,0.020907648963044534,1.2243205937408865,0.20180061520875422
20200225,0.020906041127557496,9.628e-5,1.4442e-6,0.02091245356701622,1.2310743792541825,0.2027434361857948
20200226,0.0209123108785551,9.663e-5,1.44945e-6,0.020918723318013824,1.2378947895574803,0.20369475670634063
20200227,0.020918576917272756,9.757e-5,1.46355e-6,0.02092498935673148,1.244757330369921,0.20465114619130126
20200228,0.020926181136203613,9.798e-5,1.4696999999999999e-6,0.020932593575662337,1.2516849896885118,0.20561579455042053
20200229,0.020936084956695244,9.839e-5,1.47585e-6,0.020942497396153968,1.258736429638175,0.2065968419925189
