"","dia","Vd1","Pd","Nloss","Vd2","m","x_gauss"
"1",NA,NA,NA,NA,NA,NA,NA
"2",20191004,0.0133344156649998,1.42e-06,2.13e-08,0.0133408281044585,0.0073996955495451,0.00266093225461499
"3",20191005,0.0154183264760528,2.35e-06,3.525e-08,0.0154247389155115,0.0163302073637654,0.00530898886081915
"4",20191006,0.0165938464988266,2.75e-06,4.125e-08,0.0166002589382854,0.0214705991941988,0.00750328455511688
"5",20191007,0.0168074522945043,3.64e-06,5.46e-08,0.016813864733963,0.0303318759325987,0.00945881662356268
"6",20191008,0.0169946308374654,4.14e-06,6.21e-08,0.0170010432769241,0.0359858794639921,0.0112633386261908
"7",20191009,0.0174545206880853,4.67e-06,7.005e-08,0.017460933127544,0.0417794882258597,0.0131306042900776
"8",20191010,0.0182815201152316,5.47e-06,8.205e-08,0.0182879325546903,0.0499608365021431,0.0152587363836616
"9",20191011,0.0189802504840413,6.37e-06,9.555e-08,0.0189866629235,0.0590305024210298,0.0173685118729178
"10",20191012,0.0194714130531219,7.25e-06,1.0875e-07,0.0194778254925807,0.0680843387264894,0.0193727261637148
"11",20191013,0.0198484172336777,8.27e-06,1.2405e-07,0.0198548296731364,0.0784411892690723,0.0213440257639498
"12",20191014,0.0200884757490809,9.07e-06,1.3605e-07,0.0200948881885396,0.0867691371555313,0.0231999326497278
"13",20191015,0.0202752376243871,1.015e-05,1.5225e-07,0.0202816500638458,0.097739432508008,0.0250494218878378
"14",20191016,0.0204116379808704,1.078e-05,1.617e-07,0.0204180504203292,0.104433888485643,0.0268152005088524
"15",20191017,0.0204824068751778,1.207e-05,1.8105e-07,0.0204888193146365,0.117488196242374,0.0285699494334867
"16",20191018,0.0205006444691525,1.373e-05,2.0595e-07,0.0205070569086112,0.134302219204054,0.0303601040997954
"17",20191019,0.0205262493180464,1.535e-05,2.3025e-07,0.0205326617575051,0.150644161931589,0.0322318972950157
"18",20191022,0.0205069237694301,1.749e-05,2.6235e-07,0.0205133362088889,0.173346180529474,0.0373284145772701
"19",20191023,0.0204795536351842,1.797e-05,2.6955e-07,0.0204859660746429,0.178561981473775,0.0389728983172202
"20",20191024,0.0204707771159554,1.855e-05,2.7825e-07,0.0204771895554141,0.184779745434227,0.0406056477366838
"21",20191025,0.0204841301298855,1.92e-05,2.88e-07,0.0204905425693442,0.191683426011407,0.042245191679739
"22",20191026,0.0204857928925953,2.01e-05,3.015e-07,0.0204922053320541,0.201004600975035,0.0438595574819971
"23",20191027,0.0205038981024601,2.064e-05,3.096e-07,0.0205103105419189,0.206769146259587,0.0454682847856191
"24",20191028,0.0205513593470545,2.125e-05,3.1875e-07,0.0205577717865132,0.213262747120059,0.047106178158131
"25",20191029,0.0206073964695314,2.198e-05,3.297e-07,0.0206138089089902,0.220901378529444,0.0487472572553235
"26",20191030,0.0206525226015596,2.283e-05,3.4245e-07,0.0206589350410183,0.229707210963497,0.0503631636986215
"27",20191031,0.0207088329303336,2.345e-05,3.5175e-07,0.0207152453697923,0.236275137983188,0.0519827671368821
"28",20191101,0.0207632210849417,2.42e-05,3.63e-07,0.0207696335244004,0.24413667160177,0.0535896227750111
"29",20191102,0.0208040483458627,2.512e-05,3.768e-07,0.0208104607853214,0.253636844883823,0.0551692179087255
"30",20191103,0.0208458637985031,2.732e-05,4.098e-07,0.0208522762379618,0.276164172343737,0.0568311063945699
"31",20191104,0.0208905214942685,2.989e-05,4.4835e-07,0.0208969339337272,0.302361533419834,0.0585942552610768
"32",20191105,0.0209478322870617,3.395e-05,5.0925e-07,0.0209542447265204,0.343726980366829,0.0605592743233442
