dia_mes_ano,hora_minuto,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n
20191020,010000,0,1.87,4.6,0,0.12,42.86,15
20191020,011500,0,1.87,4.6,0,0,45.27,15
20191020,013000,0,1.87,4.6,0,0,45.98,15
20191020,014500,0,1.87,4.6,0,0,46.17,15
20191020,020000,0,1.87,4.6,0,0,46.29,15
20191020,021500,0,1.87,4.6,0,0,45.17,15
20191020,023000,0,1.87,4.6,0,0,44.55,15
20191020,024500,0,1.87,4.6,0,0,46.5,15
20191020,030000,0,1.87,4.6,0,0,46.87,15
20191020,031500,0,1.87,4.6,0,0,46.86,15
20191020,033000,0,1.87,4.6,0,0,46.32,15
20191020,034500,0,1.87,4.6,0,0,46.47,15
20191020,040000,0,1.87,4.6,0,0,47.85,15
20191020,041500,0,1.87,4.6,0,0,46.89,15
20191020,043000,0,1.87,4.6,0,0,47.69,15
20191020,044500,0,1.87,4.6,0,0,46.68,15
20191020,050000,0,1.87,4.6,0,0,46.36,15
20191020,051500,0,1.87,4.6,0,0,48.14,15
20191020,053000,0,1.87,4.6,0,0,52.13,15
20191020,054500,0,1.87,4.6,0,0,294.35,15
20191020,060000,4.93,1.09,104.61,15.53,0.06,514.92,15
20191020,061500,19.67,0.6,218.43,128.73,0.3,516.8,15
20191020,063000,44.8,1.39,217.63,299.93,0.59,552.07,15
20191020,064500,81.33,2.55,219.17,555.4,1.04,559.17,15
20191020,070000,128.27,4.38,218.4,952.6,1.79,549.65,15
20191020,071500,158.67,6.31,218.77,1377.93,2.54,556.27,15
20191020,073000,226.47,9.3,220.08,2050.8,3.63,573.69,15
20191020,074500,156,6.66,218.24,1454.33,2.63,561.93,15
20191020,080000,259.67,11.19,219.75,2468.2,4.4,566.43,15
20191020,081500,430.2,17.99,221.55,3968.6,7.14,564.05,15
20191020,083000,493.53,20.44,220.57,4508.53,8.2,557.93,15
20191020,084500,526.93,21.72,220.97,4800.93,8.75,555.2,15
20191020,090000,567.87,23.33,221.32,5157.27,9.49,552,15
20191020,091500,655.47,26.35,220.68,5844.33,10.79,546.55,15
20191020,093000,728.13,29.29,221.53,6488.33,12.2,539.78,15
20191020,094500,769.47,30.57,222.29,6795.67,12.88,537.13,15
20191020,100000,806.53,32.02,221.11,7078.73,13.55,531.93,15
20191020,101500,851.67,33.38,221.01,7381,14.31,525.55,15
20191020,103000,885.87,34.27,222.42,7619.8,14.82,523.04,15
20191020,104500,1016.4,37.03,221.89,8218.2,15.94,525.18,15
20191020,110000,797.13,30.74,220.11,6773.67,13.5,509.49,15
20191020,111500,741.2,30.07,219.49,6602.27,12.94,517.13,15
