tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,12,0.08,6,0.09,214.6,20191003,463.6,52300
inverter,15,0.09,6,0.11,214.6,20191003,469.5,52400
inverter,24,0.11,7,0.14,214.6,20191003,474.8,52500
inverter,33,0.12,6,0.17,214.9,20191003,489.5,52600
inverter,39,0.14,7,0.21,215.1,20191003,497.9,52700
inverter,48,0.15,9,0.24,215.3,20191003,508.5,52800
inverter,57,0.17,10,0.28,215.2,20191003,504.4,52900
inverter,66,0.19,10,0.31,215.3,20191003,495.5,53000
inverter,72,0.19,12,0.34,215.4,20191003,509.9,53100
inverter,72,0.2,12,0.36,215.3,20191003,501.9,53200
inverter,75,0.2,12,0.37,215.3,20191003,511.5,53300
inverter,81,0.21,12,0.39,215.3,20191003,513.4,53400
inverter,87,0.22,13,0.41,215,20191003,509.4,53500
inverter,93,0.24,13,0.45,215.2,20191003,511.3,53600
inverter,99,0.24,15,0.47,216.3,20191003,516.7,53700
inverter,105,0.25,15,0.51,216.3,20191003,517.7,53800
inverter,123,0.29,16,0.58,216.4,20191003,524.7,53900
inverter,144,0.32,19,0.68,216.4,20191003,531.6,54000
inverter,171,0.36,21,0.8,216.3,20191003,543,54100
inverter,192,0.4,24,0.89,216.4,20191003,542.3,54200
inverter,204,0.43,25,0.96,216.2,20191003,541.8,54300
inverter,210,0.43,25,0.98,216.4,20191003,540.1,54400
inverter,213,0.43,25,1,216.2,20191003,547.6,54500
inverter,243,0.48,28,1.13,216.3,20191003,565.2,54600
inverter,285,0.55,35,1.32,216.4,20191003,556.1,54700
inverter,307,0.59,38,1.44,216.4,20191003,563.2,54800
inverter,332,0.63,39,1.55,216.3,20191003,563.2,54900
inverter,348,0.67,42,1.62,216.3,20191003,561.2,55000
inverter,363,0.68,44,1.69,216.3,20191003,566.4,55100
inverter,376,0.71,45,1.75,216.4,20191003,567.7,55200
inverter,371,0.7,44,1.72,216.3,20191003,560.1,55300
inverter,372,0.71,44,1.72,216.6,20191003,560.3,55400
inverter,405,0.76,48,1.89,215.2,20191003,570,55500
inverter,414,0.77,50,1.94,215.1,20191003,565.1,55600
inverter,432,0.8,51,2.02,215.3,20191003,565.6,55700
inverter,486,0.89,59,2.26,215.6,20191003,575.5,55800
inverter,534,0.98,65,2.48,215.6,20191003,579.1,55900
inverter,555,1.01,68,2.59,215.6,20191003,574.7,60000
inverter,576,1.04,73,2.66,215.7,20191003,585.1,60100
inverter,612,1.12,76,2.85,215.6,20191003,571.1,60200
inverter,567,1.12,79,2.69,215.3,20191003,545.4,60300
inverter,660,1.19,82,3.08,215.3,20191003,573.5,60400
inverter,679,1.22,85,3.16,215.4,20191003,574.8,60500
inverter,699,1.26,88,3.24,215.6,20191003,575.7,60600
inverter,717,1.29,91,3.33,215.6,20191003,575.3,60700
inverter,735,1.34,94,3.43,215.6,20191003,568.5,60800
inverter,759,1.38,97,3.53,215.3,20191003,574.5,60900
inverter,777,1.43,100,3.62,215.3,20191003,562.4,61000
inverter,801,1.48,105,3.74,215.1,20191003,562.6,61100
inverter,833,1.54,106,3.87,215.1,20191003,554.1,61200
inverter,858,1.6,111,4,215.1,20191003,547.3,61300
inverter,882,1.75,114,4.11,215.2,20191003,518.7,61400
inverter,909,1.76,115,4.23,215.4,20191003,535.9,61500
inverter,924,1.8,117,4.3,215.2,20191003,530.3,61600
inverter,951,1.86,121,4.43,215.3,20191003,526.7,61700
inverter,983,1.91,124,4.54,216.6,20191003,531.4,61800
inverter,987,1.89,126,4.56,216.5,20191003,535.2,61900
inverter,1050,2.02,130,4.86,216.4,20191003,539.5,62000
inverter,1098,2.1,135,5.07,216.4,20191003,538.3,62100
inverter,1149,2.18,143,5.33,216.4,20191003,539.9,62200
inverter,1193,2.24,147,5.52,216.4,20191003,541.1,62300
inverter,1236,2.35,152,5.72,216.6,20191003,544.2,62400
inverter,1287,2.4,156,5.95,216.6,20191003,546.1,62500
inverter,1317,2.45,159,6.09,216.6,20191003,547,62600
inverter,1347,2.52,162,6.23,216.4,20191003,549.8,62700
inverter,1380,2.56,165,6.37,216.5,20191003,548.8,62800
inverter,1410,2.64,170,6.52,216.5,20191003,547.5,62900
inverter,1443,2.63,173,6.7,216.4,20191003,560.8,63000
inverter,1506,2.76,178,6.98,216.6,20191003,556.6,63100
inverter,1545,2.82,181,7.13,216.7,20191003,561.2,63200
inverter,1581,2.88,187,7.31,216.9,20191003,556.7,63300
inverter,1599,3.01,190,7.38,217.1,20191003,541.6,63400
inverter,1653,2.97,193,7.6,217.3,20191003,561.6,63500
inverter,1683,3.09,197,7.81,216.1,20191003,561.4,63600
inverter,1731,3.15,202,8.03,216,20191003,560.3,63700
inverter,1794,3.25,207,8.33,216.2,20191003,564.7,63800
inverter,1842,3.34,213,8.53,216.3,20191003,559.5,63900
inverter,1884,3.4,217,8.72,216.3,20191003,559.7,64000
inverter,1923,3.46,222,8.89,216.5,20191003,563.8,64100
inverter,1959,3.51,225,9.05,216.5,20191003,565,64200
inverter,1995,3.57,229,9.23,216.5,20191003,564.9,64300
inverter,2034,3.65,232,9.39,216.6,20191003,568.9,64400
inverter,2076,3.71,237,9.6,216.5,20191003,565,64500
inverter,2118,3.79,243,9.8,216.5,20191003,566.2,64600
inverter,2187,3.89,248,10.11,216.6,20191003,569.6,64700
inverter,2241,4,252,10.34,216.8,20191003,573.2,64800
inverter,2286,4.08,257,10.55,216.9,20191003,572.3,64900
inverter,2331,4.12,261,10.74,216.9,20191003,571.3,65000
inverter,2370,4.22,266,10.95,216.5,20191003,570.7,65100
inverter,2409,4.3,270,11.13,216.5,20191003,570.1,65200
inverter,2451,4.34,275,11.32,216.6,20191003,573.6,65300
inverter,2487,4.41,280,11.53,216.5,20191003,569.5,65400
inverter,2531,4.52,284,11.69,216.6,20191003,573.1,65500
inverter,2577,4.62,289,11.9,216.6,20191003,564.8,65600
inverter,2616,4.69,293,12.08,216.7,20191003,568.8,65700
inverter,2660,4.76,298,12.28,216.6,20191003,569.1,65800
inverter,2694,4.85,302,12.46,216.7,20191003,567.8,65900
inverter,2736,4.88,307,12.63,216.8,20191003,566,70000
inverter,2778,5,312,12.83,216.8,20191003,566.3,70100
inverter,2826,5.04,316,13.06,216.8,20191003,567.5,70200
inverter,2871,5.15,321,13.29,216.1,20191003,564.8,70300
inverter,2922,5.23,327,13.55,215.9,20191003,568.7,70400
inverter,2961,5.32,331,13.73,215.9,20191003,563.4,70500
inverter,3014,5.41,334,13.94,216.1,20191003,567.9,70600
inverter,3048,5.49,339,14.09,216.7,20191003,566.6,70700
inverter,3088,5.61,345,14.31,215.8,20191003,556,70800
inverter,3149,5.62,350,14.57,216.5,20191003,567,70900
inverter,3195,5.74,354,14.75,216.6,20191003,563.5,71000
inverter,3229,5.8,359,14.85,217.8,20191003,563.4,71100
inverter,3267,5.84,363,15.12,216.3,20191003,563.3,71200
inverter,3314,5.95,368,15.34,216.1,20191003,563.4,71300
inverter,3354,6.04,372,15.53,216,20191003,567.6,71400
inverter,3394,6.04,377,15.72,216.1,20191003,565.6,71500
inverter,3438,6.2,382,15.93,215.9,20191003,564,71600
inverter,3459,6.27,386,16.13,215.6,20191003,563,71700
inverter,3521,6.29,392,16.18,217.4,20191003,567.2,71800
inverter,3546,6.44,395,16.31,217.3,20191003,559.7,71900
inverter,3569,6.44,398,16.47,217.1,20191003,560.7,72000
inverter,3614,6.57,403,16.77,215.5,20191003,561.6,72100
inverter,3653,6.6,407,16.97,215.1,20191003,557.6,72200
inverter,3679,6.66,411,17.1,215.1,20191003,557.9,72300
inverter,3723,6.76,415,17.17,216.9,20191003,561.4,72400
inverter,3760,6.77,420,17.34,216.9,20191003,558.6,72500
inverter,3786,6.86,424,17.48,216.6,20191003,561.3,72600
inverter,3789,7.03,429,17.75,214.6,20191003,547.4,72700
inverter,3854,6.96,433,17.95,214.8,20191003,560.4,72800
inverter,3882,7.06,436,18.09,214.6,20191003,558.6,72900
inverter,3918,7.14,441,18.19,215.6,20191003,559.3,73000
inverter,3952,7.26,446,18.36,215.5,20191003,555.9,73100
inverter,3993,7.32,449,18.52,215.7,20191003,555.2,73200
inverter,4021,7.38,453,18.82,213.7,20191003,554.6,73300
inverter,4074,7.48,459,19.07,213.9,20191003,553.9,73400
inverter,4125,7.51,465,19.34,213.6,20191003,555.6,73500
inverter,4165,7.66,468,19.51,213.6,20191003,553.7,73600
inverter,4208,7.64,474,19.53,215.4,20191003,553.3,73700
inverter,4254,7.83,481,19.73,215.6,20191003,550.7,73800
inverter,4305,7.85,485,19.96,215.6,20191003,554.3,73900
inverter,4335,7.92,490,20.27,213.9,20191003,555.1,74000
inverter,4362,7.99,494,20.37,214.2,20191003,550.7,74100
inverter,4389,8.07,496,20.49,214.2,20191003,555.1,74200
inverter,4419,8.06,500,20.47,216.1,20191003,552.1,74300
inverter,4466,8.15,506,20.69,215.9,20191003,553.3,74400
inverter,4509,8.31,511,20.88,215.9,20191003,551.9,74500
inverter,3795,7.69,517,18.56,213.5,20191003,520.9,74600
inverter,4592,8.45,522,21.43,214.1,20191003,554.2,74700
inverter,4620,8.55,526,21.6,213.9,20191003,545.5,74800
inverter,4653,8.63,531,21.58,215.8,20191003,550.6,74900
inverter,4689,8.63,534,21.71,215.9,20191003,546,75000
inverter,4716,8.76,537,21.85,215.8,20191003,548.5,75100
inverter,4751,8.82,541,22.17,214.2,20191003,548.9,75200
inverter,4796,8.93,546,22.37,214.4,20191003,545.7,75300
inverter,4872,8.92,552,22.8,213.5,20191003,550.6,75400
inverter,4891,9.04,555,22.87,213.8,20191003,550.1,75500
inverter,4921,9.08,560,23.06,213.3,20191003,546.2,75600
inverter,4953,9.08,564,23.16,213.8,20191003,552.4,75700
inverter,4980,9.16,567,23.47,211.9,20191003,552.7,75800
inverter,4992,9.21,569,23.47,213,20191003,548,75900
inverter,5025,9.23,572,23.62,212.9,20191003,548.1,80000
inverter,5056,9.36,576,23.43,215.7,20191003,549.1,80100
inverter,5094,9.34,581,23.6,215.8,20191003,549.8,80200
inverter,5022,9.22,586,23.33,215.2,20191003,551.3,80300
inverter,5173,9.5,589,24.22,213.6,20191003,551.5,80400
inverter,5208,9.62,593,24.37,213.7,20191003,547.4,80500
inverter,5232,9.66,598,24.53,213.3,20191003,552.6,80600
inverter,5265,9.78,601,24.54,214.7,20191003,548.9,80700
inverter,5288,9.83,604,24.72,213.9,20191003,548.3,80800
inverter,5332,9.84,608,24.95,213.8,20191003,547.5,80900
inverter,5373,10,613,25.34,212,20191003,546.5,81000
inverter,5403,9.97,618,25.48,212,20191003,548.6,81100
inverter,5448,10.07,622,25.69,211.9,20191003,549.1,81200
inverter,5469,10.14,625,25.61,213.6,20191003,544.7,81300
inverter,5506,10.25,630,25.78,213.5,20191003,549.3,81400
inverter,5520,10.17,631,25.86,213.6,20191003,546.5,81500
inverter,5583,10.44,639,26.13,213.6,20191003,544.9,81600
inverter,5496,10.08,642,25.74,213.5,20191003,560.6,81700
inverter,5619,10.56,645,26.24,214.1,20191003,540.7,81800
inverter,5637,10.56,648,26.33,213.9,20191003,540.3,81900
inverter,5679,10.63,654,26.53,214.1,20191003,540.4,82000
inverter,5700,10.66,657,26.64,214.2,20191003,539.8,82100
inverter,5748,10.81,662,27.05,212.4,20191003,544.1,82200
inverter,5769,10.74,663,27.14,212.5,20191003,542,82300
inverter,5799,10.95,668,27.25,212.5,20191003,534.8,82400
inverter,5814,10.95,671,27.11,214.4,20191003,535.3,82500
inverter,5838,10.98,674,27.24,214.3,20191003,535.8,82600
inverter,5869,11.03,678,27.37,214.4,20191003,536.8,82700
inverter,5900,11.21,683,27.52,214.4,20191003,536.3,82800
inverter,5927,11.12,688,27.58,214.8,20191003,539.9,82900
inverter,5961,11.22,692,27.73,214.7,20191003,539.9,83000
inverter,5973,11.43,694,27.85,214.4,20191003,532.1,83100
inverter,5988,11.46,697,28.06,213.3,20191003,533.3,83200
inverter,5997,11.5,700,28,214.1,20191003,530.2,83300
inverter,6009,11.44,701,28.08,213.9,20191003,534.8,83400
inverter,6024,11.5,704,27.64,217.9,20191003,534.5,83500
inverter,6054,11.5,707,27.78,217.9,20191003,531,83600
inverter,6102,11.6,712,27.98,218.1,20191003,531.3,83700
inverter,6120,11.68,715,28.41,215.5,20191003,529.9,83800
inverter,6150,11.76,718,28.69,214.3,20191003,534.1,83900
inverter,6165,11.85,721,28.91,213.2,20191003,533.6,84000
inverter,6189,11.88,724,29.09,212.7,20191003,529.2,84100
inverter,6179,11.91,726,29.08,212.4,20191003,529.3,84200
inverter,6234,12.04,733,28.97,215.1,20191003,528.8,84300
inverter,6261,11.99,736,29.12,215,20191003,525.9,84400
inverter,6321,12.12,744,29.4,215.1,20191003,527,84500
inverter,6351,12.31,747,29.86,212.7,20191003,526.6,84600
inverter,6384,12.35,750,30.02,212.6,20191003,526,84700
inverter,6417,12.33,752,29.89,214.7,20191003,528.3,84800
inverter,6426,12.25,755,29.72,216.1,20191003,530.7,84900
inverter,6459,12.42,756,29.72,217.3,20191003,529.7,85000
inverter,6474,12.31,758,30,215.6,20191003,532.4,85100
inverter,6462,12.42,758,30.4,213,20191003,528.8,85200
inverter,6510,12.46,762,30.54,212.8,20191003,532.9,85300
inverter,6545,12.58,767,30.7,213.1,20191003,528.3,85400
inverter,6552,12.68,770,30.73,213.2,20191003,524.1,85500
inverter,6567,12.63,773,30.44,215.8,20191003,523.6,85600
inverter,6589,12.72,774,30.29,217.4,20191003,523.4,85700
inverter,6600,12.68,777,30.31,218.2,20191003,527.5,85800
inverter,6640,12.9,780,30.8,215.6,20191003,526.7,85900
inverter,6651,12.77,782,30.73,216.5,20191003,525.8,90000
inverter,6675,12.94,785,30.87,216.2,20191003,524.4,90100
inverter,6699,12.87,788,31.13,215.1,20191003,528,90200
