tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,12.0,0.08,6.0,0.09,214.6,20191003.0,463.6,052300
inverter,15.0,0.09,6.0,0.11,214.6,20191003.0,469.5,052400
inverter,24.0,0.11,7.0,0.14,214.6,20191003.0,474.8,052500
inverter,33.0,0.12,6.0,0.17,214.9,20191003.0,489.5,052600
inverter,39.0,0.14,7.0,0.21,215.1,20191003.0,497.9,052700
inverter,48.0,0.15,9.0,0.24,215.3,20191003.0,508.5,052800
inverter,57.0,0.17,10.0,0.28,215.2,20191003.0,504.4,052900
inverter,66.0,0.19,10.0,0.31,215.3,20191003.0,495.5,053000
inverter,72.0,0.19,12.0,0.34,215.4,20191003.0,509.9,053100
inverter,72.0,0.2,12.0,0.36,215.3,20191003.0,501.9,053200
inverter,75.0,0.2,12.0,0.37,215.3,20191003.0,511.5,053300
inverter,81.0,0.21,12.0,0.39,215.3,20191003.0,513.4,053400
inverter,87.0,0.22,13.0,0.41,215.0,20191003.0,509.4,053500
inverter,93.0,0.24,13.0,0.45,215.2,20191003.0,511.3,053600
inverter,99.0,0.24,15.0,0.47,216.3,20191003.0,516.7,053700
inverter,105.0,0.25,15.0,0.51,216.3,20191003.0,517.7,053800
inverter,123.0,0.29,16.0,0.58,216.4,20191003.0,524.7,053900
inverter,144.0,0.32,19.0,0.68,216.4,20191003.0,531.6,054000
inverter,171.0,0.36,21.0,0.8,216.3,20191003.0,543.0,054100
inverter,192.0,0.4,24.0,0.89,216.4,20191003.0,542.3,054200
inverter,204.0,0.43,25.0,0.96,216.2,20191003.0,541.8,054300
inverter,210.0,0.43,25.0,0.98,216.4,20191003.0,540.1,054400
inverter,213.0,0.43,25.0,1.0,216.2,20191003.0,547.6,054500
inverter,243.0,0.48,28.0,1.13,216.3,20191003.0,565.2,054600
inverter,285.0,0.55,35.0,1.32,216.4,20191003.0,556.1,054700
inverter,307.0,0.59,38.0,1.44,216.4,20191003.0,563.2,054800
inverter,332.0,0.63,39.0,1.55,216.3,20191003.0,563.2,054900
inverter,348.0,0.67,42.0,1.62,216.3,20191003.0,561.2,055000
inverter,363.0,0.68,44.0,1.69,216.3,20191003.0,566.4,055100
inverter,376.0,0.71,45.0,1.75,216.4,20191003.0,567.7,055200
inverter,371.0,0.7,44.0,1.72,216.3,20191003.0,560.1,055300
inverter,372.0,0.71,44.0,1.72,216.6,20191003.0,560.3,055400
