tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.6,000000
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.6,000100
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,000200
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,000300
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,000400
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.4,000500
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.4,000600
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.4,000700
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.6,000800
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.8,000900
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.9,001000
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.9,001100
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.9,001200
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.9,001300
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.8,001400
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.8,001500
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.8,001600
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.8,001700
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.8,001800
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,001900
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,002000
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,002100
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,002200
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.6,002300
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.6,002400
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,002500
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,002600
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,002700
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.5,002800
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.0,002900
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,42.0,003000
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,41.7,003100
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,41.7,003200
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,41.7,003300
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,41.7,003400
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,41.8,003500
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,41.8,003600
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,41.9,003700
inverter,0.0,0.0,0.0,0.48,1.87,20191019.0,41.9,003800
