dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191006,060000,2.39,2.44,0.08,0,0,20.13,0.06,0,0,0.46,18.19,219,3.1,6.93,0.14,221.16,23.6,0.11,478.67,52.65
20191006,061500,2.62,2.16,0.07,0,0,17.84,0.05,0,0,0.46,17.83,243,8.78,9.2,0.23,220.42,44.67,0.15,495.01,74.25
20191006,063000,6.73,2.25,0.07,0,0,18.59,0.05,0,0,0.46,17.81,234,6.56,12.53,0.37,220.67,77.13,0.21,501.11,105.23
20191006,064500,15.1,2.29,0.08,0,0,18.92,0.05,0,0,0.46,17.91,225,7.8,19.73,0.71,221.06,152.87,0.35,516.75,180.86
20191006,070000,46.34,1.98,0.07,0,0,16.36,0.05,0,0,0.45,18.3,228,8.51,52.93,2.23,220.33,490.4,0.94,550.91,517.86
20191006,071500,27.04,1.95,0.07,0,0,16.12,0.05,0,0,0.46,18.19,225,9.66,33.73,1.31,219.85,285.73,0.58,534.03,309.74
20191006,073000,25.32,2.87,0.1,0,0,23.68,0.07,0,0,0.47,17.82,219,9.22,36.07,1.44,218.36,311.6,0.63,537.71,338.76
20191006,074500,20.03,3.87,0.13,0,0,31.91,0.09,0,0,0.45,17.18,228,9.66,29,1.11,219.09,239.53,0.5,530.4,265.2
20191006,080000,38.14,4.57,0.15,0,0,37.7,0.1,0,0,0.45,17.22,219,8.69,41.6,1.69,219.13,368.47,0.73,544.3,397.34
20191006,081500,66.44,3.47,0.11,0,0,28.61,0.08,0,0,0.46,17.33,204,15.69,69,0.89,218.49,189.62,0.39,614.57,239.68
20191006,083000,110.46,2.37,0.08,0,0,19.57,0.05,0,0,0.46,17.48,195,17.11,111.67,0.2,217.61,37.87,0.1,663.25,66.33
20191006,084500,106.23,1.97,0.07,0,0,16.25,0.04,0,0,0.46,17.65,201,15.34,108.13,3.31,218.11,720.07,1.29,606.31,782.14
20191006,090000,105.3,2.39,0.08,0,0,19.69,0.05,0,0,0.45,17.78,180,12.68,107.33,3.85,218.43,837.87,1.43,607.31,868.45
20191006,091500,171.28,2.23,0.07,0,0,18.39,0.05,0,0,0.47,18.16,201,10.64,161.93,5.12,218.21,1118.93,1.86,622.97,1158.72
20191006,093000,231.43,1.95,0.06,0,0,16.04,0.05,0,0,0.46,18.75,198,8.87,222.67,5.78,218.09,1259.33,2.04,645.3,1316.41
20191006,094500,245.58,1.58,0.05,0,0,13.03,0.04,0,0,0.44,19.16,186,9.75,249.8,11.26,219.73,2477.4,4.35,577.59,2512.52
20191006,100000,331.38,1.97,0.06,0,0,16.3,0.05,0,0,0.45,19.95,177,7.98,322.53,14.45,219.96,3232.87,5.65,568.39,3211.4
