dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191009,053000,27.3,19.55,0,4.3,0.14,0,0,35.45,0.1,0,0,0.45,78,5.32,29.8,1.15,218.35,249.53,0.51,535.25,272.98
20191009,054500,55.86,20.01,0,4.76,0.16,0,0,39.24,0.11,0,0,0.45,84,5.94,56.07,2.31,217.3,501.87,0.95,554.47,526.75
20191009,060000,110.33,21.41,0,5.17,0.17,0,0,42.68,0.12,0,0,0.46,90,8.6,104.67,4.07,218.24,898,1.59,573.77,912.29
20191009,061500,125.27,21.63,0,5.73,0.19,0,0,47.24,0.13,0,0,0.45,78,9.75,125.2,5.14,216.63,1107.47,2.02,565.99,1143.3
20191009,063000,159.91,22.47,0,6.05,0.2,0,0,49.94,0.14,0,0,0.45,69,9.84,169.6,6.95,217.98,1524,2.71,566.9,1536.3
20191009,064500,212.66,23.74,0,6.01,0.2,0,0,49.57,0.14,0,0,0.44,78,7.71,202.2,8.55,218.35,1874.53,3.31,570.42,1888.09
20191009,070000,397.75,25.04,0,5.76,0.19,0,0,47.55,0.13,0,0,0.43,66,14.54,369.6,15.72,218.41,3441.53,6.08,572.3,3479.58
20191009,071500,439.27,26.11,0,5.64,0.19,0,0,46.56,0.13,0,0,0.44,60,17.47,458.57,19.08,220.09,4191.86,7.54,563.37,4247.81
20191009,073000,493.21,26.51,0,5.08,0.17,0,0,41.91,0.11,0,0,0.44,63,17.91,474.73,19.93,218.01,4373.53,7.92,560.32,4437.73
20191009,074500,435.57,26.52,0,4.44,0.15,0,0,36.62,0.1,0,0,0.44,78,18.09,427.6,18.23,214.83,3920,7.04,559.49,3938.81
20191009,080000,305.6,25.91,0,4.16,0.14,0,0,34.31,0.09,0,0,0.44,90,15.96,239.13,12.11,214.65,2588,4.72,560.45,2645.32
20191009,081500,470.2,27.08,0,3.86,0.13,0,0,31.82,0.09,0,0,0.43,87,16.23,233.2,20.37,215.2,4430.6,7.87,562.5,4426.88
20191009,083000,380.96,26.65,0,3.5,0.12,0,0,28.87,0.08,0,0,0.44,81,20.93,211.47,17.51,214.52,3726.13,6.75,559.87,3779.12
20191009,084500,381.62,26.84,0,3.58,0.12,0,0,29.53,0.08,0,0,0.43,78,15.96,179.8,15.91,215.25,3282.07,6.15,561.76,3454.82
20191009,090000,654.24,28.61,0,3.33,0.11,0,0,27.46,0.08,0,0,0.44,90,16.58,178,27.26,219.07,5932.4,10.94,554.85,6070.06
20191009,091500,806.02,29.26,0,3.58,0.12,0,0,29.5,0.08,0,0,0.44,48,17.2,586.53,30.76,219.85,6755.07,12.95,530.95,6875.8
20191009,093000,835.63,29.77,0,3.85,0.13,0,0,31.73,0.09,0,0,0.44,84,16.31,777.33,30.69,219.93,6740.27,12.54,549.78,6894.24
20191009,094500,855.99,30.11,0,3.64,0.12,0,0,30.04,0.08,0,0,0.43,96,17.2,906.53,34.01,220.32,7527.93,13.73,554.73,7616.44
20191009,100000,771.11,30.52,0,3.01,0.1,0,0,24.87,0.07,0,0,0.43,84,19.33,834.93,31.27,219.27,6881.4,12.63,546.5,6902.3
20191009,101500,659.13,30.4,0,2.76,0.09,0,0,22.78,0.06,0,0,0.43,57,15.52,700.47,27.1,219.27,5981.4,10.85,550.67,5974.77
20191009,103000,806.28,30.53,0,2.94,0.1,0,0,24.24,0.07,0,0,0.43,69,16.05,777.73,29.27,219.98,6470,12.17,537.67,6543.44
20191009,104500,849.25,30.51,0,2.86,0.1,0,0,23.61,0.06,0,0,0.43,84,18.18,879.53,31.48,221.65,6946.8,12.63,558.13,7049.18
20191009,110000,1051.53,31.51,0,2.62,0.09,0,0,21.64,0.06,0,0,0.44,54,13.48,1100.93,37.17,222.31,8265,15.29,549.47,8401.4
20191009,111500,1053.91,32.11,0,2.46,0.08,0,0,20.31,0.06,0,0,0.43,90,13.57,1104.47,36.91,222,8199.47,15.29,545.83,8345.74
20191009,113000,787.37,31.75,0,2.43,0.08,0,0,20.01,0.05,0,0,0.43,87,13.65,919.27,30.14,220.04,6713.73,12.11,542.07,6564.47
20191009,114500,939.15,32.04,0,2.27,0.08,0,0,18.74,0.05,0,0,0.43,78,12.95,993.4,32.86,221.07,7274.07,13.25,552.27,7317.58
20191009,120000,1127.95,32.81,0,2.22,0.07,0,0,18.29,0.05,0,0,0.42,33,15.69,1136.87,35.07,221.52,7780.2,14.3,552.55,7901.47
20191009,121500,791.21,32.71,0,2.16,0.07,0,0,17.84,0.05,0,0,0.42,120,13.83,825.5,27.19,219.16,5997.71,11.23,529.79,5949.54
20191009,123000,519.12,32.39,0,2.18,0.07,0,0,18,0.05,0,0,0.42,150,6.65,444,17.71,217.17,3857.07,7.36,529.15,3894.54
20191009,124500,219,31.21,0,2.25,0.08,0,0,18.59,0.05,0,0,0.42,105,11.53,186.53,9.32,213.95,1995.6,3.85,526.73,2027.91
20191009,130000,1003.4,32.75,0,2.12,0.07,0,0,17.52,0.05,0,0,0.42,129,9.31,1017.87,35.61,220.57,7865.73,14.31,558.89,7997.72
20191009,131500,593.69,32.02,0,2.05,0.07,0,0,16.95,0.05,0,0,0.44,93,15.43,579.53,22.46,217.38,4929.27,9.36,525.37,4917.46
20191009,133000,918.53,32.75,0,1.9,0.06,0,0,15.69,0.04,0,0,0.45,81,11.88,939.53,35.35,219.99,7774,15.75,503.27,7926.5
20191009,134500,873.44,32.73,0,2.01,0.07,0,0,16.62,0.05,0,0,0.43,66,18,894.33,33.55,218.81,7339.13,14.83,502.29,7448.96
20191009,140000,635.73,32.41,0,2.03,0.07,0,0,16.74,0.05,0,0,0.43,57,17.73,650.67,24.85,217.33,5420.53,10.95,505.11,5530.95
20191009,141500,707.26,32.76,0,1.98,0.07,0,0,16.29,0.04,0,0,0.44,111,7.63,209.93,27.43,218.66,6012.73,11.84,519.41,6149.81
20191009,143000,540.14,32.82,0,1.86,0.06,0,0,15.37,0.04,0,0,0.42,114,13.12,164.47,21.26,217.49,4660.47,9.25,510.25,4719.81
20191009,144500,271.49,31.18,0,1.99,0.07,0,0,16.44,0.04,0,0,0.44,78,10.99,95.67,11.03,214.4,2395.2,4.46,533.92,2381.28
