dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n.x,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n.y,P_DC
20191014,053000,39.2,3.21,0.11,0,0,26.45,0.07,0,0,0.45,22.07,90,0,15,43.53,1.68,219.95,367.47,0.73,538.15,15,392.85
20191014,054500,53.61,3.17,0.11,0,0,26.16,0.07,0,0,0.44,22.81,132,0,15,49.87,1.99,217.54,431.87,0.84,544.66,15,457.51
20191014,060000,117.07,4.19,0.14,0,0,34.56,0.1,0,0,0.44,27.51,144,0,15,100.07,3.64,217.97,793.07,1.51,548.48,15,828.2
20191014,061500,107.82,4.34,0.14,0,0,35.83,0.1,0,0,0.45,28.68,147,0,15,100.2,3.98,218.14,865.87,1.62,550.24,15,891.39
20191014,063000,99.22,4.78,0.16,0,0,39.46,0.11,0,0,0.45,26.17,180,0,15,95.47,3.96,216.65,855.93,1.59,554.82,15,882.16
20191014,064500,202.21,4.48,0.15,0,0,36.94,0.1,0,0,0.45,29,180,0,15,188,7.89,218.12,1703.27,3.08,569.9,15,1755.29
20191014,070000,376.07,4.21,0.14,0,0,34.71,0.1,0,0,0.43,30.21,111,3.28,15,368.13,15.23,219.49,3338.33,5.97,566.42,15,3381.53
20191014,071500,428.82,4.5,0.15,0,0,37.17,0.1,0,0,0.45,30.66,108,6.12,15,433.27,17.88,218.96,3914.07,7.1,557.79,15,3960.31
20191014,073000,485.54,3.66,0.12,0,0,30.2,0.08,0,0,0.43,30.23,72,10.02,15,497.27,20.2,219.43,4431.27,8.16,550.35,15,4490.86
20191014,074500,551.78,3.28,0.11,0,0,27.07,0.08,0,0,0.43,30.74,84,8.16,15,569.4,23.13,217.96,5046.67,9.37,546.18,15,5117.71
20191014,080000,589.32,3.38,0.11,0,0,27.85,0.08,0,0,0.43,30.56,57,10.2,15,612.47,24.85,216.97,5395.47,10.13,539.75,15,5467.67
20191014,081500,633.61,3.65,0.12,0,0,30.14,0.08,0,0,0.43,31.84,72,8.07,15,661.93,26.67,215.77,5754.87,10.92,533.53,15,5826.15
20191014,083000,729.73,3.8,0.13,0,0,31.32,0.09,0,0,0.42,32.57,96,8.87,15,753.27,29.46,217.53,6420.73,12.52,525.13,15,6574.63
20191014,084500,809.45,3.81,0.13,0,0,31.4,0.08,0,0,0.43,33.38,90,7.36,15,847.8,32.88,216.75,7126.67,14.09,514.09,15,7243.53
20191014,090000,869.08,3.91,0.13,0,0,32.26,0.09,0,0,0.44,34.26,84,7.71,15,901.13,34.56,217.37,7515,14.97,511.17,15,7652.21
20191014,091500,746.26,3.42,0.11,0,0,28.21,0.08,0,0,0.42,34.79,153,9.93,15,760.4,29.24,214.99,6311.87,12.3,518.92,15,6382.72
20191014,093000,612.2,3.23,0.11,0,0,26.69,0.07,0,0,0.43,34.6,237,7.71,15,631.73,26.61,211.51,5636.53,10.85,525.15,15,5697.88
20191014,094500,725.9,3.31,0.11,0,0,27.29,0.07,0,0,0.43,33.98,90,8.33,15,742.87,29.93,210.07,6294.33,12.18,522.49,15,6363.93
20191014,100000,739.65,3.13,0.1,0,0,25.79,0.07,0,0,0.42,35.36,195,7.27,15,759.07,30.89,210.63,6510.33,12.66,521.63,15,6603.84
20191014,101500,765.56,3.19,0.11,0,0,26.33,0.07,0,0,0.43,35.7,189,7.27,15,825.33,32.28,215.55,6943.47,13.66,518.34,15,7080.52
20191014,103000,894.73,3.2,0.11,0,0,26.36,0.07,0,0,0.43,36.03,132,8.33,15,875.47,34.29,218.99,7498.67,15.02,512.41,15,7696.4
20191014,104500,783.14,3.45,0.11,0,0,28.44,0.08,0,0,0.41,35.79,171,7.71,5,752,30.04,218.38,6559.6,13.15,504.66,5,6636.28
20191014,113000,809.98,3.7,0.12,0,0,30.54,0.09,0,0,0.42,35.53,195,7.27,15,779.87,30.71,218.28,6710.4,12.85,526.88,15,6770.41
20191014,114500,820.56,3.46,0.11,0,0,28.52,0.08,0,0,0.42,36.07,180,6.03,15,843.29,31.83,219.29,6992.36,13.74,514.5,14,7069.23
20191014,120000,900.23,3.43,0.11,0,0,28.27,0.08,0,0,0.42,35.57,90,7.79,14,875.2,30.65,217.02,6674.07,12.49,538.95,15,6731.49
20191014,121500,1091.85,3.38,0.11,0,0,27.93,0.08,0,0,0.42,35.95,195,8.69,15,1117.86,37.71,219.19,8267.57,15.86,530.34,14,8411.19
20191014,123000,871.59,3.28,0.11,0,0,27.1,0.07,0,0,0.42,35.18,168,9.22,15,891.47,33.53,216.45,7262.13,14.36,518.59,15,7446.95
20191014,124500,664.82,3.55,0.12,0,0,29.32,0.08,0,0,0.43,34.95,240,8.51,15,670.47,26.67,214.85,5784.33,11.27,512.57,15,5776.66
20191014,130000,980.4,3.98,0.13,0,0,32.8,0.09,0,0,0.42,35.35,201,9.31,15,961.53,36.84,217.47,8013.93,15.91,513.53,15,8170.26
20191014,131500,948.67,4.03,0.14,0,0,33.28,0.09,0,0,0.42,35.73,186,10.29,15,958,37.11,217.61,8000.33,16.56,496.97,15,8229.82
20191014,133000,888.25,4.32,0.14,0,0,35.68,0.1,0,0,0.43,35.65,180,10.02,15,877.4,34.56,215.39,7470.87,14.89,507.86,15,7562.04
20191014,134500,490.56,4.29,0.14,0,0,35.37,0.1,0,0,0.42,35.19,246,8.16,15,449.13,20.23,212.63,4351.8,8.35,525.34,15,4386.59
20191014,140000,788.83,4.41,0.15,0,0,36.38,0.1,0,0,0.43,35.18,243,11.44,15,734.67,30.86,217.03,6687.87,13.08,519.79,15,6798.85
20191014,141500,846.47,4.36,0.15,0,0,35.95,0.1,0,0,0.44,35.9,222,8.78,15,369.67,33.11,216.65,7177.4,14.26,511.19,15,7289.57
20191014,143000,720.61,4.48,0.15,0,0,36.99,0.1,0,0,0.42,35.66,216,12.24,15,246.4,28.16,217.01,6114.2,12.01,515.59,15,6192.24
20191014,144500,493.61,4.92,0.16,0,0,40.64,0.11,0,0,0.42,34.76,237,10.37,15,170.27,19.97,213.49,4267.4,8.21,525.66,15,4315.67
20191014,150000,545.03,5.88,0.2,0,0,48.53,0.13,0,0,0.43,35.18,198,10.37,15,184.73,21.72,215.37,4677.67,9.01,525.82,15,4737.64
20191014,151500,514.23,7.18,0.24,0,0,59.27,0.16,0,0,0.42,35.68,234,12.77,15,193.47,20.4,214.64,4380.2,8.53,519.87,15,4434.49
20191014,153000,357.56,7.36,0.24,0,0,60.69,0.17,0,0,0.43,34.75,231,13.21,15,164.6,14.12,212.37,2999.2,5.85,522.35,15,3055.75
20191014,154500,413.75,7.08,0.23,0,0,58.43,0.16,0,0,0.42,35.46,234,10.55,15,335.73,15.81,212.66,3363.47,6.63,515.05,15,3414.78
20191014,160000,367.08,6.4,0.21,0,0,52.83,0.15,0,0,0.43,35.44,219,9.58,15,317.07,13.49,211.77,2853.53,5.72,506.67,15,2898.15
20191014,161500,206.97,6.19,0.21,0,0,51.03,0.14,0,0,0.43,33.51,132,10.29,15,181.4,7.64,211.68,1622.27,3.35,495.93,15,1661.37
20191014,163000,77.14,4.7,0.16,0,0,38.81,0.11,0,0,0.44,29.96,195,10.37,15,62.4,3.15,212.63,667.47,1.31,526.58,15,689.82
20191014,164500,50.44,5.5,0.18,0,0,45.4,0.13,0,0,0.44,28.78,189,10.64,15,50.07,2.37,214.05,505.73,0.99,529.3,15,524.01
20191014,171500,6.83,6.04,0.2,0,0,49.85,0.14,0,0,0.45,27.17,138,10.91,15,8.87,0.38,213.31,77.2,0.22,476.23,15,104.77
20191014,173000,0,5.73,0.19,0,0,47.26,0.13,0,0,0.44,26.61,171,8.16,15,0,0.09,213.34,0.2,0.03,442.04,15,13.26
20191014,174500,0,5.37,0.18,0,0,44.34,0.12,0,0,0.44,26.3,168,6.83,15,0,0.1,213.8,0,0,317.51,15,0
20191014,180000,0,5.67,0.19,0,0,46.75,0.13,0,0,0.45,26.07,183,8.16,15,0,0.1,213.8,0,0,49.63,15,0
20191014,181500,0.3,5.63,0.19,0,0,46.49,0.13,0,0,0.44,25.86,177,6.47,15,0,0.1,213.8,0,0,39.51,15,0
20191014,183000,0.17,5.35,0.18,0,0,44.16,0.12,0,0,0.43,25.71,150,3.81,15,0,0.1,213.8,0,0,37.89,15,0
20191014,184500,0.04,4.95,0.17,0,0,40.85,0.11,0,0,0.45,25.57,147,4.34,15,0,0.1,213.8,0,0,40.21,15,0
20191014,190000,0,4.73,0.16,0,0,39.01,0.11,0,0,0.44,25.38,156,3.28,15,0,0.1,213.8,0,0,40.79,15,0
20191014,191500,0.04,4.6,0.15,0,0,37.96,0.11,0,0,0.46,25.18,159,0.8,15,0,0.1,213.8,0,0,42.33,15,0
20191014,193000,0.44,5.43,0.18,0,0,44.77,0.12,0,0,0.43,25.03,156,0.62,15,0,0.1,213.8,0,0,42.93,15,0
20191014,194500,0.48,5.49,0.18,0,0,45.26,0.12,0,0,0.44,24.82,120,3.99,15,0,0.1,213.8,0,0,42.17,15,0
20191014,200000,0,4.95,0.17,0,0,40.82,0.11,0,0,0.44,24.9,108,6.03,15,0,0.1,213.8,0,0,41.71,15,0
20191014,201500,0.44,5.59,0.19,0,0,46.09,0.13,0,0,0.45,24.7,105,7.8,15,0,0.1,213.8,0,0,42.15,15,0
20191014,203000,0.3,5.34,0.18,0,0,44.05,0.12,0,0,0.44,24.53,165,2.39,15,0,0.1,213.8,0,0,43.1,15,0
20191014,204500,0,5.71,0.19,0,0,47.09,0.13,0,0,0.44,24.02,141,2.39,15,0,0.1,213.8,0,0,42.81,15,0
20191014,210000,0,5.56,0.19,0,0,45.83,0.12,0,0,0.45,23.95,132,2.04,15,0,0.1,213.8,0,0,42.17,15,0
20191014,211500,0.17,5.62,0.19,0,0,46.34,0.13,0,0,0.45,23.92,129,1.24,15,0,0.1,213.8,0,0,43.17,15,0
20191014,213000,0.08,5.25,0.17,0,0,43.28,0.12,0,0,0.44,23.98,159,2.04,15,0,0.1,213.8,0,0,41.94,15,0
20191014,214500,0,4.84,0.16,0,0,39.89,0.11,0,0,0.44,23.79,144.64,2.76,14,0,0.1,213.8,0,0,42.95,15,0
20191014,220000,0.52,4.89,0.16,0,0,40.31,0.11,0,0,0.44,23.8,120,2.75,15,0,0.1,213.8,0,0,43.59,15,0
20191014,221500,0.3,4.58,0.15,0,0,37.78,0.1,0,0,0.44,23.92,138,4.97,15,0,0.1,213.8,0,0,41.88,15,0
20191014,223000,0,4.51,0.15,0,0,37.19,0.1,0,0,0.44,23.65,177,1.15,15,0,0.1,213.8,0,0,42.46,15,0
20191014,224500,0.52,4.79,0.16,0,0,39.53,0.11,0,0,0.45,23.07,102,2.84,15,0,0.1,213.8,0,0,44.05,15,0
20191014,230000,0.57,4.93,0.16,0,0,40.68,0.11,0,0,0.44,23,180,0,15,0,0.1,213.8,0,0,45.73,15,0
20191014,231500,0.97,4.9,0.16,0,0,40.46,0.11,0,0,0.45,22.57,180,0.09,15,0,0.1,213.8,0,0,44.78,15,0
20191014,233000,0.65,5.11,0.17,0,0,42.12,0.12,0,0,0.44,22.91,177,0.27,15,0,0.1,213.8,0,0,44.21,15,0
20191014,234500,0.04,5.26,0.17,0,0,43.41,0.12,0,0,0.44,23,153,1.86,15,0,0.1,213.8,0,0,44.49,15,0
