dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191117,001500,0.81,19.86,0,8.13,0.27,0,0,67.09,0.19,0,0,0.48,135,0,0,0.09,212.1,0,0,45.2,0
20191117,003000,0,19.92,0,7.38,0.25,0,0,60.87,0.17,0,0,0.49,135,0,0,0.09,212.1,0,0,46.11,0
20191117,004500,0,19.53,0,7.23,0.24,0,0,59.67,0.16,0,0,0.48,132,0,0,0.09,212.1,0,0,46.22,0
20191117,050000,13.49,21.57,0,4.22,0.14,0,0,34.81,0.09,0,0,0.46,69,5.23,21.2,0.66,217.05,140,0.32,522.01,167.04
20191117,051500,55.45,23.02,0,3.48,0.12,0,0,28.73,0.08,0,0,0.45,48,8.51,41,1.44,217.2,309.47,0.63,541.7,341.27
20191117,053000,132.29,25.73,0,3.27,0.11,0,0,26.97,0.07,0,0,0.44,78,7.63,68.73,2.52,216.43,544.13,1.01,563.75,569.39
20191117,054500,108.68,25.44,0,3.12,0.1,0,0,25.75,0.07,0,0,0.45,57,7.98,69.67,2.61,217.03,564.4,1.06,556.93,590.35
20191117,060000,227.27,28.01,0,2.9,0.1,0,0,23.93,0.07,0,0,0.45,63,6.74,148.47,5.88,218.37,1280.47,2.28,574.82,1310.59
20191117,061500,289.37,28.7,0,2.59,0.09,0,0,21.38,0.06,0,0,0.45,42,10.46,212.53,8.62,217.71,1874.67,3.31,576.78,1909.14
20191117,063000,345.99,28.62,0,2.69,0.09,0,0,22.22,0.06,0,0,0.44,45,11.08,279.47,11.55,217.66,2513.73,4.48,570.58,2556.2
20191117,064500,410.05,27.71,0,2.73,0.09,0,0,22.49,0.06,0,0,0.43,54,15.16,349.27,14.57,218.79,3186,5.71,566.99,3237.51
20191117,070000,472.41,27.22,0,2.66,0.09,0,0,21.92,0.06,0,0,0.44,42,14.72,417.6,17.28,218.29,3769.2,6.8,561.59,3818.81
